	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d
7	28.08129	0.44477	43.28457	1.01527	16.58000	1.28934	2.57864	0.58415	18.24599	1.02058	44.74887	0.67891	21.92490	1.58460	7.70726	1.05109	27.69028	28.00043	27.65347	28.38266	28.67963	42.61503	42.19292	43.37084	43.38959	44.85448	15.11563	16.55715	18.05168	15.50640	17.66913	1.73094	3.20964	2.70767	2.95989	2.28507	18.92743	17.05613	18.73330	17.72408	17.36197	19.67301	45.60944	44.89882	44.14664	44.67479	43.83426	45.32927	19.86835	22.81521	19.99963	22.30993	23.36567	23.19061	6.27568	7.84340	7.45994	6.92909	8.64862	9.08680
8	27.96456	0.49298	42.75538	1.02761	17.49788	1.05253	3.07452	0.61254	18.74135	0.99277	44.31060	0.69812	20.96384	1.50613	7.12722	1.06201	27.41821	27.89594	27.59692	28.29623	28.61552	41.99312	41.93867	42.42213	42.99160	44.43140	16.10552	17.59993	18.39700	16.79983	18.58713	2.25410	3.70218	2.99937	3.65132	2.76564	18.61700	17.66012	19.34291	18.34749	18.07225	20.40829	43.50788	44.77874	44.10386	44.63396	43.58222	45.25692	18.81502	21.99516	19.26469	21.60970	22.02989	22.06857	5.60483	7.34827	6.92818	6.34411	8.18912	8.34882
9	27.80362	0.54161	42.23780	1.11065	18.23397	0.94611	3.59131	0.66082	19.46126	0.99064	44.17826	0.72806	19.64425	1.47642	6.47527	1.02775	27.10596	27.72979	27.52734	28.16030	28.49473	41.34938	41.57808	41.61361	42.63099	44.01697	16.79436	18.41382	18.63140	17.97740	19.35286	2.80180	4.22642	3.32878	4.33089	3.26864	19.39649	18.30721	20.02042	19.06034	18.86574	21.11737	43.39560	44.67252	44.04928	44.59710	43.28270	45.07238	17.39199	20.86777	18.17183	20.54643	20.25779	20.62967	4.92859	6.77594	6.29423	5.77429	7.61110	7.46748
10	27.60061	0.58098	41.73595	1.21907	18.74259	0.99196	4.09669	0.71924	20.19468	0.95959	43.91262	0.77622	17.99625	1.48877	5.75576	0.99020	26.78127	27.51608	27.42523	27.96914	28.31132	40.70559	41.12900	40.93194	42.29027	43.62295	17.17934	18.95044	18.72691	18.92374	19.93253	3.31521	4.74359	3.68851	4.97062	3.76552	20.14404	18.97478	20.74211	19.83529	19.71160	21.76029	43.05340	44.49783	43.89791	44.46778	42.88835	44.67045	15.67532	19.42668	16.73411	19.09881	18.14082	18.90173	4.15298	6.16864	5.57809	5.24419	6.92363	6.46701
11	27.36947	0.60097	41.22144	1.32246	18.99417	1.13141	4.56267	0.77310	20.93457	0.90476	43.53124	0.76849	16.12537	1.49892	4.89470	0.99165	26.47469	27.27757	27.28620	27.73674	28.07215	40.05637	40.61398	40.30438	41.92929	43.20315	17.27761	19.20406	18.63148	19.57466	20.28307	3.76379	5.21411	4.06159	5.54525	4.22859	20.97027	19.63720	21.47705	20.63818	20.57327	22.31146	42.80616	44.19134	43.60421	44.18608	42.38203	44.01762	13.83773	17.73078	15.04739	17.32531	15.82916	16.98185	3.16115	5.45143	4.71881	4.67357	6.05802	5.30521
12	27.12722	0.59664	40.64326	1.39848	18.96877	1.29731	4.97466	0.81131	21.63677	0.84165	43.03606	0.74903	14.20185	1.46121	3.84931	1.04266	26.20737	27.03679	27.11461	27.48659	27.79076	39.37209	40.04346	39.63767	41.49041	42.67266	17.11394	19.18828	18.29140	19.89019	20.36002	4.15542	5.61548	4.42107	6.03949	4.64185	21.75806	20.26968	22.18933	21.43087	21.41321	22.75949	42.57336	43.74354	43.18052	43.75124	41.79524	43.17244	12.11165	15.90760	13.27742	15.36359	13.50665	15.04423	1.94893	4.53940	3.66002	3.96923	4.97856	3.99970
13	26.88901	0.57075	39.95693	1.43252	18.66903	1.45013	5.33165	0.83363	22.27017	0.78579	42.49152	0.74908	12.41735	1.37137	2.67374	1.10049	25.98603	26.81118	26.92050	27.24127	27.48609	38.62254	39.41213	38.86841	40.91996	41.96162	16.71776	18.92694	17.69710	19.85848	20.14487	4.50940	5.94762	4.74017	6.45721	5.00383	22.44485	20.85110	22.84298	22.17620	22.19846	23.10742	42.37919	43.20469	42.68542	43.21822	41.20103	42.26057	10.69871	14.13130	11.61642	13.39847	11.35687	13.30232	0.65260	3.43081	2.42526	3.10282	3.74674	2.68420
14	26.66566	0.53275	39.15126	1.42249	18.13288	1.56975	5.64133	0.84799	22.81293	0.74848	41.97612	0.77572	10.93054	1.27588	1.50650	1.10762	25.80460	26.61101	26.71538	27.01675	27.18058	37.80445	38.70922	37.98917	40.19075	41.06272	16.13157	18.45196	16.90615	19.50560	19.66915	4.83287	6.22336	5.00789	6.81728	5.32526	22.97716	21.36633	23.40954	22.84429	22.90511	23.37513	42.20696	42.66193	42.19655	42.67233	40.69115	41.42779	9.69637	12.57427	10.22799	11.60901	9.53651	11.93907	-0.51452	2.22926	1.13862	2.13026	2.50702	1.54837
15	26.46099	0.49472	38.25733	1.37846	17.43613	1.64278	5.91773	0.86027	23.26130	0.73515	41.56208	0.79479	9.83220	1.23567	0.51080	1.04006	25.64780	26.43875	26.50566	26.82050	26.89224	36.95062	37.93462	37.04139	39.31778	40.04224	15.43095	17.80675	16.02506	18.89636	19.02152	5.12807	6.45634	5.23823	7.14192	5.62410	23.34391	21.80836	23.87612	23.41949	23.52123	23.59867	42.03723	42.20631	41.78526	42.20014	40.34901	40.79450	9.09077	11.36048	9.20881	10.12881	8.15880	11.04555	-1.35075	1.09910	-0.01560	1.16518	1.42700	0.73987
16	26.27169	0.46707	37.33799	1.31838	16.68004	1.66293	6.17825	0.86914	23.62999	0.74543	41.28882	0.76580	9.13615	1.26744	-0.18229	0.91945	25.49737	26.29010	26.28986	26.65221	26.62890	36.11621	37.10936	36.09110	38.35872	39.01455	14.72419	17.05108	15.16861	18.12690	18.32944	5.40563	6.65737	5.46134	7.44854	5.91836	23.56845	22.18106	24.25061	23.90601	24.04968	23.82411	41.81832	41.90614	41.49836	41.86745	40.22140	40.42123	8.80142	10.54074	8.57779	9.02648	7.27052	10.59996	-1.73699	0.19759	-0.85985	0.33849	0.63951	0.32752
