	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d	2014_04_03_PC007_BAREFOOT_GAIT0006_2.c3d
7	25.84472	2.22103	-5.12592	1.76706	-16.03392	1.09134	3.49843	0.71422	5.58169	3.22971	-19.84176	2.27589	11.19144	1.88966	-31.74465	0.97552	29.85040	1.09162	-7.48211	4.10579	25.96102	23.10925	24.25179	28.59393	27.30758	-3.66183	-7.05452	-3.78455	-7.05487	-4.07384	-17.46191	-15.95369	-15.00246	-14.98007	-16.77144	3.35191	2.63134	4.49727	3.13885	3.87278	5.74949	0.18017	5.82325	8.06262	8.09290	-19.91019	-19.00872	-17.96974	-23.41963	-21.42678	-17.31553	10.15593	10.70378	11.99597	10.45134	9.24828	14.59336	-31.58091	-29.93901	-32.19285	-32.09333	-31.85070	-32.81112	30.84364	29.32899	30.08017	31.33933	28.87949	28.63081	-7.67293	-4.21088	-2.56004	-11.01107	-11.95563
8	26.54302	2.32345	-2.74778	1.47583	-18.76068	1.27152	3.24642	0.70492	5.64078	3.21926	-20.32481	2.25193	12.53547	1.78901	-32.57846	0.79761	29.86815	0.96716	-7.70652	4.04766	26.56793	23.47380	25.23441	29.42180	28.01716	-0.78854	-4.20554	-2.11628	-4.23839	-2.39017	-20.86253	-18.74944	-17.51025	-18.08306	-18.59813	3.30299	2.38754	4.27994	2.85526	3.40640	5.79168	0.26529	5.86859	8.14241	8.13593	-21.29872	-19.30646	-18.34018	-23.65412	-21.61145	-17.73791	10.56440	12.38288	13.38311	12.16492	11.13583	15.58170	-31.92627	-31.28408	-32.77464	-33.15857	-33.06289	-33.26434	30.34790	29.61386	29.93684	31.47230	28.95302	28.88495	-7.93535	-4.27655	-3.00748	-11.19308	-12.12013
9	27.00480	2.40753	-0.72231	1.21655	-21.06662	1.52355	2.97143	0.63155	5.66345	3.20401	-20.84100	2.18115	13.92450	1.47393	-32.58853	0.79869	29.28309	0.85248	-8.06620	3.97513	26.96313	23.67536	25.93987	29.97275	28.47286	1.35076	-1.71576	-0.70297	-1.39669	-1.14691	-23.44501	-21.24270	-19.49850	-21.14427	-20.00263	3.20709	2.18448	3.85877	2.60749	2.99931	5.82449	0.31605	5.87010	8.17271	8.13389	-21.87492	-19.78959	-18.94082	-24.08131	-22.00009	-18.35927	11.93219	14.07983	14.64712	13.76452	12.90195	16.22137	-31.56353	-31.76599	-32.54486	-33.31264	-33.52916	-32.81499	29.34474	29.14311	29.23740	30.87097	28.46372	28.63859	-8.30065	-4.43666	-3.67962	-11.47797	-12.43609
10	27.24822	2.46211	0.70438	1.16257	-22.67686	1.77829	2.66547	0.51150	5.67288	3.18912	-21.53259	2.11804	14.84779	1.25131	-32.06470	0.91505	28.57992	0.70902	-8.55184	3.89860	27.19045	23.73680	26.36542	30.25683	28.69161	2.56295	0.09303	0.37066	0.97209	-0.47681	-24.91826	-23.07541	-20.89758	-23.64835	-20.84469	2.97453	1.98895	3.30531	2.37628	2.68229	5.85596	0.35236	5.84897	8.18534	8.12178	-22.69359	-20.43340	-19.73054	-24.66126	-22.55222	-19.12456	12.69934	15.46038	15.50074	14.96944	14.20206	16.25479	-30.94209	-31.56586	-31.78792	-32.79486	-33.48106	-31.81640	28.58493	28.29124	28.44606	29.92862	27.83176	28.39693	-8.74815	-4.67960	-4.56543	-11.87490	-12.89113
11	27.32425	2.48521	1.45178	1.30018	-23.52003	1.95102	2.34125	0.38339	5.68341	3.17856	-22.30559	2.04863	15.10578	1.21862	-31.40674	1.04524	28.34017	0.64721	-9.13994	3.83033	27.31817	23.70017	26.55060	30.32484	28.72749	2.89015	1.09927	1.06246	2.54824	-0.34124	-25.28781	-24.08928	-21.74957	-25.29611	-21.17741	2.56709	1.76707	2.73217	2.15635	2.48357	5.88692	0.38455	5.82495	8.20262	8.11801	-23.52215	-21.18703	-20.63981	-25.32939	-23.20162	-19.95352	12.80580	16.23487	15.71702	15.55277	14.78752	15.53670	-30.50802	-31.06196	-30.90463	-31.99653	-33.26296	-30.70632	28.73179	27.65476	28.13297	29.19710	27.60066	28.72376	-9.25491	-4.98964	-5.62462	-12.37494	-13.45557
12	27.29902	2.48320	1.55003	1.45960	-23.66899	1.98934	2.03442	0.34429	5.69971	3.17380	-23.09128	1.98462	14.59529	1.41830	-30.93227	1.18513	28.95852	0.92201	-9.79786	3.78080	27.40737	23.61711	26.56450	30.25232	28.65379	2.47234	1.32741	1.35717	3.22740	-0.63417	-24.75395	-24.30259	-22.13754	-26.01352	-21.13737	2.04487	1.51367	2.23843	1.94847	2.42664	5.91794	0.41393	5.81002	8.23156	8.12511	-24.35680	-21.98163	-21.58248	-26.00838	-23.86666	-20.75174	12.12354	16.23189	15.19623	15.39488	14.54661	14.07858	-30.48289	-30.62984	-30.24812	-31.29600	-33.13483	-29.80192	30.04856	27.76577	28.72135	29.15311	28.15508	29.90723	-9.79742	-5.34928	-6.79808	-12.95344	-14.09106
13	27.23455	2.46623	1.07619	1.55110	-23.26488	1.90541	1.79879	0.46633	5.72006	3.17411	-23.81083	1.93497	13.37094	1.70244	-30.75956	1.33024	30.47914	1.33837	-10.48868	3.75608	27.49127	23.53592	26.48696	30.11940	28.53920	1.46544	0.87445	1.24641	3.05816	-1.26353	-23.59486	-23.85478	-22.14691	-25.89337	-20.83451	1.53584	1.27032	1.90052	1.77400	2.51326	5.94799	0.43758	5.80930	8.26708	8.13835	-25.14172	-22.74251	-22.46793	-26.62103	-24.46431	-21.42750	10.75599	15.42500	13.99078	14.50295	13.50331	12.04758	-30.78211	-30.48540	-29.99594	-30.92130	-33.16095	-29.21164	32.32003	28.86090	30.30616	30.01349	29.54362	31.83068	-10.35201	-5.74089	-8.01639	-13.57575	-14.75835
14	27.17562	2.44332	0.11851	1.57091	-22.45289	1.76362	1.68121	0.64390	5.74021	3.17769	-24.39600	1.90727	11.61544	1.92036	-30.80127	1.43258	32.61615	1.62178	-11.17702	3.75558	27.57709	23.48916	26.39005	29.99396	28.42781	0.02414	-0.13383	0.71668	2.16176	-2.17623	-22.07993	-22.93498	-21.84334	-25.10863	-20.29757	1.16318	1.10155	1.76925	1.66804	2.70403	5.97367	0.45217	5.82379	8.29837	8.15304	-25.82552	-23.40049	-23.21154	-27.10029	-24.92389	-21.91426	8.93684	13.92292	12.28943	13.00193	11.80420	9.73733	-31.09966	-30.62216	-30.10427	-30.89193	-33.22741	-28.86216	34.98089	30.81465	32.62623	31.68017	31.49912	34.09585	-10.89790	-6.14834	-9.21177	-14.20477	-15.42232
15	27.14418	2.41954	-1.22877	1.53357	-21.35253	1.62466	1.69951	0.78025	5.75695	3.18304	-24.79404	1.90047	9.60852	1.97101	-30.84948	1.46466	34.88934	1.63861	-11.83389	3.77165	27.65386	23.48763	26.32633	29.91967	28.33341	-1.68572	-1.55601	-0.24462	0.68407	-3.34158	-20.44979	-21.72693	-21.24980	-23.83524	-19.50090	1.00952	1.05745	1.84545	1.65145	2.93369	5.99266	0.45604	5.85188	8.31635	8.16781	-26.34410	-23.90099	-23.74395	-27.39565	-25.19791	-22.18165	7.00202	11.94172	10.36981	11.10775	9.70692	7.52290	-31.10060	-30.85154	-30.35773	-31.05417	-33.14444	-28.58839	37.33853	33.22947	35.17311	33.80624	33.58710	36.20162	-11.41814	-6.55820	-10.33284	-14.80702	-16.05325
16	27.14126	2.39647	-2.85781	1.43292	-20.06060	1.48682	1.83856	0.83261	5.76887	3.18948	-24.97602	1.90555	7.67678	1.80506	-30.69968	1.45875	36.78528	1.37888	-12.43913	3.79351	27.70018	23.52227	26.32515	29.91135	28.24735	-3.49238	-3.23881	-1.62521	-1.21671	-4.71595	-18.90787	-20.38694	-20.35076	-22.22335	-18.43407	1.10763	1.15570	2.06719	1.71773	3.14453	6.00207	0.44980	5.89087	8.31867	8.18296	-26.65067	-24.20998	-24.01803	-27.47542	-25.26727	-22.23473	5.30899	9.77406	8.53773	9.09016	7.55222	5.79749	-30.62857	-30.91669	-30.48663	-31.17420	-32.75807	-28.23391	38.82777	35.59103	37.36286	35.91562	35.35310	37.66133	-11.89887	-6.95954	-11.35208	-15.35640	-16.62876
