	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d
7	0.47794	0.22901	-0.05883	0.06913	0.03367	0.07525	0.17666	0.10543	0.17540	0.05845	-0.13775	0.04127	0.22061	0.01610	0.06616	0.08098	0.11529	-0.12927	0.15204	0.23731	-0.17224	0.55386	-0.07246	-0.05236	0.35703	0.11248	-0.07437	0.65934	-0.12013	0.08721	0.16009	0.21999	-0.17688	0.13315	0.19191	-0.13602
8	0.49050	0.21832	-0.00802	0.03895	0.05152	0.08239	0.14635	0.09218	0.24838	0.07122	-0.14450	0.05135	0.24900	0.03266	0.09212	0.07387	0.15445	-0.13514	0.10533	0.32206	-0.19006	0.54864	-0.01173	-0.04328	0.30733	0.19693	-0.06596	0.67387	-0.04498	0.10573	0.12530	0.30452	-0.19134	0.11991	0.26393	-0.14001
9	0.48312	0.20037	0.04280	0.01275	0.07192	0.08857	0.10955	0.08556	0.31458	0.08563	-0.14519	0.06249	0.26689	0.04803	0.12066	0.06413	0.19226	-0.13873	0.05167	0.40163	-0.20355	0.51997	0.05210	-0.03031	0.26027	0.26893	-0.04874	0.66251	0.02827	0.12541	0.08212	0.38178	-0.19810	0.08955	0.32831	-0.13684
10	0.45794	0.17765	0.08804	0.02723	0.09335	0.09371	0.07432	0.08507	0.36839	0.09827	-0.14036	0.07422	0.27283	0.05956	0.15000	0.05094	0.22793	-0.14048	0.00533	0.47060	-0.21182	0.47395	0.11381	-0.01482	0.22245	0.31948	-0.02442	0.62705	0.09075	0.14487	0.03798	0.44561	-0.19792	0.05491	0.37831	-0.12714
11	0.42244	0.15370	0.12262	0.05234	0.11440	0.09760	0.04661	0.08621	0.40697	0.10777	-0.13059	0.08579	0.26869	0.06508	0.17832	0.03437	0.26154	-0.14052	-0.02599	0.52563	-0.21399	0.42252	0.16740	0.00206	0.19475	0.34421	0.00471	0.57610	0.13539	0.16283	0.00160	0.49224	-0.19158	0.02832	0.41124	-0.11158
12	0.38322	0.13044	0.14389	0.07401	0.13399	0.10003	0.02798	0.08526	0.43052	0.11525	-0.11650	0.09623	0.25713	0.06326	0.20425	0.01711	0.29292	-0.13884	-0.04324	0.56597	-0.20941	0.37492	0.20873	0.01947	0.17336	0.34407	0.03610	0.51762	0.15967	0.17825	-0.02302	0.52198	-0.17950	0.01568	0.42769	-0.09083
13	0.34403	0.10808	0.15175	0.09193	0.15136	0.10095	0.01612	0.08152	0.44085	0.12316	-0.09874	0.10459	0.24100	0.05393	0.22686	0.00103	0.32114	-0.13532	-0.05270	0.59246	-0.19798	0.33456	0.23635	0.03670	0.15306	0.32308	0.06715	0.45654	0.16498	0.19052	-0.03741	0.53764	-0.16172	0.01663	0.42992	-0.06581
14	0.30658	0.08585	0.14788	0.10654	0.16604	0.10058	0.00652	0.07691	0.44013	0.13342	-0.07815	0.11009	0.22412	0.03797	0.24570	-0.01499	0.34482	-0.13000	-0.06162	0.60626	-0.18023	0.30017	0.25069	0.05302	0.13090	0.28610	0.09548	0.39546	0.15499	0.19940	-0.04610	0.54228	-0.13814	0.02439	0.42118	-0.03788
15	0.27094	0.06317	0.13504	0.11801	0.17792	0.09931	-0.00520	0.07330	0.43040	0.14596	-0.05570	0.11236	0.20931	0.01739	0.26081	-0.03441	0.36302	-0.12320	-0.07443	0.60810	-0.15712	0.26794	0.25340	0.06786	0.10651	0.23821	0.11937	0.33556	0.13432	0.20511	-0.05233	0.53770	-0.10873	0.02867	0.40497	-0.00883
16	0.23607	0.04058	0.11657	0.12606	0.18734	0.09757	-0.02109	0.07088	0.41346	0.15914	-0.03231	0.11166	0.19638	-0.00480	0.27266	-0.05991	0.37551	-0.11550	-0.09243	0.59892	-0.12992	0.23435	0.24686	0.08096	0.08020	0.18483	0.13811	0.27749	0.10763	0.20840	-0.05667	0.52442	-0.07361	0.02334	0.38364	0.01939
17	0.20168	0.01909	0.09566	0.13045	0.19502	0.09576	-0.03978	0.07023	0.39078	0.17110	-0.00868	0.10880	0.18458	-0.02566	0.28214	-0.08932	0.38201	-0.10731	-0.11466	0.58025	-0.09990	0.19818	0.23364	0.09249	0.05381	0.13081	0.15198	0.22228	0.07901	0.21045	-0.05927	0.50252	-0.03322	0.01054	0.35829	0.04508
18	0.16892	0.00687	0.07471	0.13130	0.20205	0.09426	-0.05768	0.07223	0.36366	0.18060	0.01479	0.10515	0.17376	-0.04349	0.29054	-0.11700	0.38226	-0.09890	-0.13776	0.55405	-0.06806	0.16106	0.21603	0.10292	0.03234	0.07919	0.16203	0.17195	0.05160	0.21268	-0.06137	0.47244	0.01164	-0.00458	0.33035	0.06723
19	0.13963	0.02043	0.05522	0.12913	0.20969	0.09356	-0.07180	0.07640	0.33359	0.18730	0.03805	0.10240	0.16318	-0.05781	0.29964	-0.13886	0.37697	-0.09030	-0.15786	0.52257	-0.03503	0.12669	0.19595	0.11289	0.02067	0.03135	0.16985	0.12901	0.02751	0.21654	-0.06443	0.43539	0.05989	-0.01853	0.30169	0.08583
20	0.11484	0.03190	0.03806	0.12477	0.21924	0.09436	-0.08081	0.08219	0.30203	0.19169	0.06138	0.10219	0.15165	-0.06875	0.31149	-0.15434	0.36770	-0.08132	-0.17297	0.48816	-0.00137	0.09760	0.17521	0.12291	0.01998	-0.01232	0.17725	0.09526	0.00772	0.22331	-0.06907	0.39353	0.11019	-0.02765	0.27311	0.10213
21	0.09469	0.03812	0.02348	0.11917	0.23188	0.09740	-0.08473	0.08976	0.27011	0.19462	0.08530	0.10533	0.13869	-0.07672	0.32819	-0.16471	0.35601	-0.07155	-0.18403	0.45317	0.03244	0.07389	0.15526	0.13343	0.02815	-0.05193	0.18597	0.07150	-0.00810	0.23404	-0.07412	0.34905	0.16105	-0.02893	0.24427	0.11860
22	0.07842	0.03960	0.01110	0.11310	0.24850	0.10329	-0.08468	0.09805	0.23868	0.19655	0.11052	0.11146	0.12412	-0.08238	0.35136	-0.17135	0.34301	-0.06055	-0.19220	0.41923	0.06609	0.05417	0.13681	0.14478	0.04008	-0.08732	0.19752	0.05697	-0.02114	0.24937	-0.07653	0.30351	0.21102	-0.02343	0.21499	0.13849
23	0.06455	0.03793	0.00014	0.10704	0.26963	0.11227	-0.08272	0.10431	0.20844	0.19745	0.13766	0.11947	0.10770	-0.08654	0.38191	-0.17564	0.32946	-0.04810	-0.19718	0.38708	0.09941	0.03649	0.11979	0.15736	0.04829	-0.11773	0.21300	0.04945	-0.03283	0.26962	-0.07375	0.25805	0.25889	-0.01533	0.18534	0.16511
24	0.05134	0.03530	-0.01026	0.10132	0.29532	0.12427	-0.08116	0.10696	0.17982	0.19740	0.16714	0.12834	0.08924	-0.09003	0.41988	-0.17930	0.31589	-0.03423	-0.19964	0.35733	0.13237	0.01940	0.10375	0.17134	0.04787	-0.14282	0.23301	0.04539	-0.04449	0.29473	-0.06571	0.21362	0.30369	-0.00902	0.15509	0.20085
25	0.03718	0.03317	-0.02078	0.09612	0.32526	0.13889	-0.08205	0.10783	0.15315	0.19706	0.19897	0.13754	0.06850	-0.09353	0.46461	-0.18530	0.30315	-0.01913	-0.20289	0.33082	0.16492	0.00242	0.08819	0.18683	0.03998	-0.16318	0.25781	0.04063	-0.05701	0.32436	-0.05494	0.17123	0.34462	-0.00708	0.12375	0.24662
26	0.02109	0.03154	-0.03193	0.09171	0.35899	0.15551	-0.08629	0.11033	0.12862	0.19721	0.23285	0.14715	0.04571	-0.09765	0.51500	-0.19641	0.29225	-0.00307	-0.21082	0.30828	0.19713	-0.01445	0.07285	0.20398	0.02943	-0.17975	0.28739	0.03203	-0.07098	0.35798	-0.04414	0.13148	0.38099	-0.00953	0.09085	0.30179
27	0.00305	0.02983	-0.04399	0.08851	0.39593	0.17350	-0.09334	0.11605	0.10623	0.19843	0.26827	0.15759	0.02200	-0.10297	0.56988	-0.21255	0.28370	0.01357	-0.22452	0.28975	0.22909	-0.03133	0.05778	0.22289	0.02023	-0.19327	0.32153	0.01848	-0.08679	0.39501	-0.03485	0.09453	0.41256	-0.01501	0.05644	0.36459
28	-0.01631	0.02784	-0.05719	0.08694	0.43563	0.19232	-0.10240	0.12326	0.08582	0.20055	0.30465	0.16923	-0.00110	-0.10996	0.62829	-0.23085	0.27685	0.03058	-0.24167	0.27448	0.26102	-0.04844	0.04316	0.24366	0.01210	-0.20399	0.35974	0.00061	-0.10476	0.43493	-0.02904	0.06056	0.43954	-0.02252	0.02122	0.43238
29	-0.03608	0.02583	-0.07171	0.08716	0.47773	0.21140	-0.11331	0.12910	0.06712	0.20314	0.34142	0.18201	-0.02214	-0.11901	0.68936	-0.24904	0.27054	0.04800	-0.25884	0.26139	0.29311	-0.06588	0.02887	0.26656	0.00204	-0.21209	0.40128	-0.02022	-0.12500	0.47727	-0.02969	0.02992	0.46265	-0.03104	-0.01414	0.50207
30	-0.05527	0.02449	-0.08769	0.08891	0.52190	0.23005	-0.12593	0.13251	0.04961	0.20600	0.37809	0.19545	-0.04004	-0.13026	0.75212	-0.26700	0.26391	0.06596	-0.27407	0.24954	0.32555	-0.08353	0.01450	0.29201	-0.01136	-0.21841	0.44514	-0.04226	-0.14731	0.52158	-0.03696	0.00215	0.48317	-0.04024	-0.04917	0.57063
31	-0.07345	0.02456	-0.10505	0.09172	0.56777	0.24746	-0.13949	0.13437	0.03259	0.20924	0.41438	0.20869	-0.05491	-0.14349	0.81542	-0.28504	0.25638	0.08477	-0.28760	0.23838	0.35864	-0.10131	-0.00037	0.32050	-0.02645	-0.22438	0.49022	-0.06413	-0.17130	0.56738	-0.04755	-0.02397	0.50278	-0.05078	-0.08344	0.63549
32	-0.09109	0.02579	-0.12350	0.09498	0.61479	0.26280	-0.15322	0.13601	0.01556	0.21299	0.45021	0.22074	-0.06845	-0.15814	0.87792	-0.30296	0.24752	0.10494	-0.30088	0.22754	0.39265	-0.11917	-0.01607	0.35232	-0.04043	-0.23162	0.53553	-0.08565	-0.19630	0.61413	-0.05842	-0.04918	0.52321	-0.06343	-0.11645	0.69469
33	-0.10914	0.02758	-0.14263	0.09813	0.66229	0.27523	-0.16700	0.13843	-0.00172	0.21715	0.48565	0.23064	-0.08246	-0.17350	0.93799	-0.32107	0.23735	0.12715	-0.31551	0.21659	0.42784	-0.13754	-0.03278	0.38753	-0.05211	-0.24107	0.58037	-0.10742	-0.22161	0.66134	-0.06826	-0.07365	0.54586	-0.07806	-0.14782	0.74702
34	-0.12858	0.02964	-0.16205	0.10065	0.70963	0.28393	-0.18101	0.14209	-0.01936	0.22157	0.52088	0.23766	-0.09810	-0.18882	0.99403	-0.34037	0.22609	0.15222	-0.33185	0.20510	0.46418	-0.15731	-0.05072	0.42617	-0.06182	-0.25328	0.62436	-0.13033	-0.24661	0.70869	-0.07653	-0.09750	0.57158	-0.09448	-0.17721	0.79205
