	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d
7	0.04126	0.04498	-0.03841	0.03733	-0.07088	0.02140	0.02111	0.08291	0.04496	0.07532	-0.03472	0.04440	0.06718	-0.04366	-0.07519	-0.01481	-0.00746	-0.07596	-0.10403	-0.06174	-0.08918	0.06728	0.00127	-0.04765	0.10968	0.10697	-0.00405	-0.01068	-0.07284	-0.08980	0.06335	0.09340	-0.01124	0.05137	0.09363	0.00685
8	0.07946	0.03649	-0.01971	0.03767	-0.08551	0.02464	0.06592	0.09183	0.08346	0.08407	-0.03525	0.04787	0.10327	-0.02979	-0.08830	0.01468	0.01911	-0.08041	-0.06712	-0.03157	-0.09303	0.09767	0.02197	-0.05959	0.16382	0.15005	-0.00691	0.03745	-0.05132	-0.10864	0.10222	0.13256	-0.00803	0.11598	0.14715	0.01212
9	0.12434	0.02773	0.00258	0.03840	-0.09962	0.02760	0.11268	0.10330	0.12220	0.09030	-0.03586	0.05147	0.14648	-0.00867	-0.09977	0.04346	0.04681	-0.08598	-0.02951	0.00423	-0.09580	0.13331	0.04535	-0.07194	0.21611	0.18944	-0.01148	0.09323	-0.02894	-0.12714	0.14270	0.16888	-0.00371	0.19064	0.20166	0.01767
10	0.17108	0.02006	0.02619	0.03851	-0.11257	0.02997	0.15697	0.11400	0.15728	0.09399	-0.03786	0.05528	0.19107	0.01775	-0.10891	0.07003	0.07227	-0.09338	0.00940	0.04201	-0.09940	0.17122	0.06821	-0.08460	0.26283	0.22058	-0.01810	0.15095	-0.00740	-0.14421	0.18150	0.19898	0.00004	0.26106	0.25254	0.02153
11	0.21495	0.01524	0.04924	0.03784	-0.12365	0.03150	0.19680	0.11995	0.18587	0.09619	-0.04181	0.05912	0.23233	0.04683	-0.11540	0.09639	0.09297	-0.10256	0.05174	0.07759	-0.10509	0.20869	0.08823	-0.09710	0.30026	0.24052	-0.02564	0.20384	0.01267	-0.15845	0.21467	0.22086	0.00191	0.32093	0.29743	0.02233
12	0.25357	0.01394	0.07071	0.03687	-0.13219	0.03206	0.23199	0.12014	0.20650	0.09819	-0.04730	0.06272	0.26939	0.07592	-0.11928	0.12548	0.10776	-0.11285	0.09700	0.10718	-0.11290	0.24309	0.10469	-0.10860	0.32659	0.24875	-0.03216	0.24825	0.03151	-0.16869	0.24053	0.23428	0.00132	0.37036	0.33455	0.02008
13	0.28559	0.01496	0.08985	0.03578	-0.13778	0.03172	0.26177	0.11586	0.21868	0.10025	-0.05326	0.06587	0.30124	0.10196	-0.12080	0.15696	0.11673	-0.12312	0.14152	0.12833	-0.12170	0.27145	0.11800	-0.11816	0.34190	0.24664	-0.03616	0.28408	0.04958	-0.17437	0.25897	0.24021	-0.00140	0.40949	0.36151	0.01609
14	0.30973	0.01678	0.10599	0.03422	-0.14031	0.03076	0.28457	0.10926	0.22317	0.10161	-0.05846	0.06852	0.32536	0.12214	-0.12018	0.18719	0.12133	-0.13215	0.18055	0.14033	-0.12984	0.29200	0.12914	-0.12504	0.34834	0.23717	-0.03707	0.31183	0.06668	-0.17572	0.27001	0.24031	-0.00534	0.43679	0.37672	0.01209
15	0.32567	0.01852	0.11885	0.03156	-0.14003	0.02952	0.30003	0.10212	0.22211	0.10130	-0.06204	0.07061	0.34021	0.13499	-0.11765	0.21296	0.12417	-0.13894	0.21135	0.14451	-0.13589	0.30482	0.13908	-0.12896	0.34977	0.22436	-0.03529	0.33199	0.08249	-0.17349	0.27398	0.23661	-0.00941	0.45208	0.38091	0.00931
16	0.33463	0.02085	0.12859	0.02780	-0.13749	0.02833	0.30961	0.09536	0.21797	0.09866	-0.06375	0.07197	0.34795	0.14089	-0.11350	0.23372	0.12770	-0.14297	0.23446	0.14348	-0.13912	0.31061	0.14812	-0.13023	0.34979	0.21167	-0.03195	0.34534	0.09676	-0.16874	0.27226	0.23082	-0.01266	0.45780	0.37619	0.00794
