	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d
7	0.04704	0.04201	0.01086	0.02443	0.00648	0.02987	0.03209	0.02093	0.01846	0.03536	0.01721	0.02402	0.02451	-0.01008	-0.01760	0.04485	0.04778	0.04149	0.01491	0.06465	0.04346	0.09551	0.03769	0.03990	0.05728	0.00177	0.01127	0.02109	0.00496	-0.00285	0.03662	-0.01123	-0.00527	0.00680	-0.01066	-0.00490
8	0.05960	0.04517	0.00729	0.02816	0.00447	0.03365	0.05304	0.02164	0.01913	0.04052	0.01869	0.02672	0.03192	-0.01752	-0.02246	0.06781	0.05306	0.04580	0.04048	0.07187	0.04814	0.11173	0.03790	0.04219	0.08311	-0.00051	0.01095	0.03515	0.00147	-0.00631	0.04292	-0.01526	-0.00635	0.03088	-0.01352	-0.00511
9	0.07308	0.04840	0.00207	0.03221	0.00169	0.03707	0.07456	0.02312	0.01887	0.04516	0.02016	0.02940	0.04110	-0.02639	-0.02730	0.08940	0.05741	0.05032	0.06563	0.07719	0.05271	0.12876	0.03704	0.04346	0.10695	-0.00385	0.00999	0.04938	-0.00443	-0.01109	0.05018	-0.01984	-0.00759	0.06061	-0.01658	-0.00464
10	0.08543	0.05178	-0.00419	0.03634	-0.00144	0.04005	0.09436	0.02522	0.01783	0.04883	0.02168	0.03192	0.04942	-0.03592	-0.03181	0.10734	0.06096	0.05486	0.08929	0.07985	0.05700	0.14478	0.03546	0.04395	0.12700	-0.00782	0.00874	0.06210	-0.01212	-0.01647	0.05888	-0.02443	-0.00892	0.08931	-0.01940	-0.00327
11	0.09466	0.05564	-0.01086	0.04018	-0.00450	0.04254	0.11078	0.02680	0.01628	0.05125	0.02328	0.03415	0.05483	-0.04516	-0.03573	0.12109	0.06394	0.05923	0.11085	0.07948	0.06082	0.15823	0.03334	0.04395	0.14125	-0.01158	0.00771	0.07091	-0.02076	-0.02171	0.06796	-0.02849	-0.01030	0.11276	-0.02193	-0.00108
12	0.10003	0.05938	-0.01731	0.04331	-0.00709	0.04449	0.12305	0.02730	0.01468	0.05241	0.02499	0.03601	0.05739	-0.05321	-0.03880	0.13139	0.06649	0.06328	0.12914	0.07661	0.06411	0.16785	0.03079	0.04376	0.14865	-0.01411	0.00736	0.07485	-0.02950	-0.02624	0.07642	-0.03146	-0.01164	0.12966	-0.02415	0.00183
13	0.10175	0.06198	-0.02295	0.04545	-0.00894	0.04588	0.13087	0.02679	0.01352	0.05241	0.02684	0.03739	0.05777	-0.05937	-0.04081	0.13869	0.06857	0.06687	0.14273	0.07237	0.06686	0.17264	0.02799	0.04364	0.14956	-0.01470	0.00791	0.07483	-0.03747	-0.02965	0.08356	-0.03288	-0.01277	0.13982	-0.02575	0.00533
14	0.10042	0.06303	-0.02735	0.04654	-0.00988	0.04674	0.13445	0.02571	0.01320	0.05146	0.02877	0.03828	0.05648	-0.06331	-0.04164	0.14316	0.07008	0.06984	0.15082	0.06799	0.06907	0.17264	0.02522	0.04379	0.14584	-0.01320	0.00934	0.07215	-0.04395	-0.03179	0.08877	-0.03263	-0.01352	0.14364	-0.02624	0.00914
15	0.09708	0.06265	-0.03026	0.04669	-0.00988	0.04709	0.13501	0.02468	0.01386	0.04978	0.03071	0.03867	0.05423	-0.06506	-0.04122	0.14572	0.07105	0.07211	0.15406	0.06429	0.07075	0.16897	0.02280	0.04427	0.14037	-0.00986	0.01154	0.06803	-0.04852	-0.03269	0.09183	-0.03097	-0.01379	0.14305	-0.02522	0.01294
16	0.09297	0.06098	-0.03168	0.04617	-0.00907	0.04697	0.13434	0.02411	0.01543	0.04759	0.03260	0.03853	0.05227	-0.06496	-0.03970	0.14791	0.07160	0.07366	0.15433	0.06152	0.07188	0.16308	0.02104	0.04501	0.13570	-0.00499	0.01434	0.06357	-0.05111	-0.03251	0.09311	-0.02838	-0.01340	0.14063	-0.02257	0.01653
17	0.08912	0.05831	-0.03168	0.04528	-0.00763	0.04643	0.13357	0.02411	0.01773	0.04511	0.03441	0.03786	0.05166	-0.06335	-0.03730	0.15071	0.07183	0.07453	0.15350	0.05969	0.07246	0.15630	0.02019	0.04587	0.13270	0.00106	0.01759	0.05939	-0.05186	-0.03147	0.09336	-0.02534	-0.01224	0.13760	-0.01859	0.01970
18	0.08585	0.05540	-0.03042	0.04425	-0.00576	0.04554	0.13279	0.02457	0.02051	0.04256	0.03614	0.03669	0.05224	-0.06059	-0.03424	0.15408	0.07184	0.07483	0.15250	0.05871	0.07255	0.14979	0.02038	0.04676	0.13040	0.00782	0.02117	0.05551	-0.05106	-0.02980	0.09321	-0.02211	-0.01021	0.13378	-0.01373	0.02236
19	0.08296	0.05296	-0.02809	0.04327	-0.00356	0.04437	0.13162	0.02538	0.02356	0.04009	0.03787	0.03509	0.05310	-0.05698	-0.03067	0.15737	0.07178	0.07476	0.15139	0.05843	0.07224	0.14410	0.02165	0.04764	0.12744	0.01472	0.02504	0.05167	-0.04896	-0.02766	0.09292	-0.01872	-0.00733	0.12895	-0.00842	0.02463
20	0.08013	0.05126	-0.02493	0.04247	-0.00113	0.04303	0.12986	0.02632	0.02674	0.03778	0.03972	0.03311	0.05356	-0.05286	-0.02671	0.15993	0.07179	0.07452	0.14990	0.05868	0.07165	0.13921	0.02394	0.04856	0.12353	0.02132	0.02927	0.04760	-0.04587	-0.02523	0.09268	-0.01497	-0.00361	0.12325	-0.00310	0.02676
21	0.07709	0.05034	-0.02123	0.04195	0.00150	0.04170	0.12768	0.02702	0.03002	0.03559	0.04186	0.03082	0.05341	-0.04861	-0.02252	0.16124	0.07195	0.07435	0.14776	0.05934	0.07093	0.13490	0.02707	0.04965	0.11945	0.02753	0.03396	0.04296	-0.04215	-0.02263	0.09288	-0.01069	0.00094	0.11708	0.00198	0.02911
22	0.07366	0.05008	-0.01731	0.04177	0.00426	0.04054	0.12553	0.02702	0.03347	0.03344	0.04445	0.02828	0.05267	-0.04453	-0.01827	0.16094	0.07228	0.07441	0.14491	0.06028	0.07023	0.13082	0.03078	0.05106	0.11654	0.03363	0.03923	0.03748	-0.03819	-0.02001	0.09365	-0.00584	0.00628	0.11163	0.00697	0.03209
23	0.06980	0.05019	-0.01346	0.04187	0.00708	0.03962	0.12404	0.02589	0.03718	0.03128	0.04759	0.02558	0.05153	-0.04084	-0.01409	0.15895	0.07277	0.07482	0.14157	0.06142	0.06968	0.12657	0.03474	0.05279	0.11627	0.04009	0.04516	0.03131	-0.03426	-0.01746	0.09470	-0.00056	0.01224	0.10871	0.01215	0.03606
24	0.06578	0.05023	-0.00987	0.04217	0.00986	0.03900	0.12373	0.02358	0.04125	0.02918	0.05133	0.02286	0.05034	-0.03765	-0.01011	0.15565	0.07351	0.07561	0.13818	0.06277	0.06945	0.12192	0.03866	0.05480	0.11935	0.04720	0.05174	0.02508	-0.03060	-0.01510	0.09581	0.00495	0.01862	0.10965	0.01781	0.04123
25	0.06207	0.04989	-0.00663	0.04259	0.01252	0.03864	0.12477	0.02069	0.04574	0.02729	0.05564	0.02027	0.04951	-0.03493	-0.00641	0.15175	0.07467	0.07677	0.13534	0.06446	0.06965	0.11704	0.04235	0.05698	0.12531	0.05490	0.05889	0.01966	-0.02732	-0.01300	0.09715	0.01052	0.02520	0.11433	0.02414	0.04769
