	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_17_CR011_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_CINEMATIC_1.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_CINEMATIC_1.c3d	2014_06_17_CR011_BAREFOOT_GAIT0001_CINEMATIC_1.c3d	2014_06_17_CR011_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_06_17_CR011_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_06_17_CR011_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_06_17_CR011_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_4_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_4_CINE_D.c3d	2014_06_17_CR011_BAREFOOT_GAIT0005_4_CINE_D.c3d
7	0.49666	0.17275	0.06087	0.06586	-0.10116	0.04043	0.47869	0.16271	0.13224	0.17350	-0.07509	0.04055	0.58085	-0.04672	-0.08055	0.46481	0.08468	-0.16435	0.74292	-0.03683	-0.05563	0.43953	0.00291	-0.07631	0.43729	0.26092	-0.06632	0.73979	0.01688	-0.06854	0.68469	0.05044	-0.02883	0.35722	0.10630	-0.13228	0.39374	0.12097	-0.08255	0.32266	0.19563	-0.13306	0.33860	0.13116	-0.12843	0.26954	0.37736	-0.10679	0.57713	-0.04420	-0.03497
8	0.46676	0.19608	0.17365	0.05369	-0.11008	0.05261	0.45367	0.18846	0.24986	0.19062	-0.07541	0.04402	0.59654	0.06465	-0.10767	0.47410	0.20524	-0.19195	0.71995	0.12301	-0.03959	0.39759	0.08702	-0.08576	0.41365	0.39920	-0.04805	0.75699	0.15119	-0.07066	0.66770	0.16737	-0.02255	0.30932	0.21316	-0.14290	0.31365	0.22877	-0.09225	0.27042	0.29888	-0.13688	0.29569	0.20717	-0.14746	0.20349	0.52270	-0.09351	0.57023	0.04633	-0.04378
9	0.42092	0.20737	0.28420	0.05421	-0.10818	0.06759	0.40698	0.20725	0.36960	0.20156	-0.06605	0.05262	0.58012	0.18388	-0.12505	0.47842	0.32420	-0.20778	0.65265	0.29776	-0.00559	0.34352	0.17010	-0.08791	0.36738	0.53519	-0.01730	0.73876	0.28271	-0.05781	0.62470	0.29584	-0.00756	0.25285	0.31221	-0.14399	0.22656	0.32826	-0.09532	0.20137	0.40233	-0.13036	0.25369	0.27417	-0.15890	0.13052	0.65789	-0.07026	0.53781	0.14247	-0.04576
10	0.37100	0.20921	0.38233	0.07361	-0.09568	0.08545	0.35477	0.21660	0.47873	0.20524	-0.04838	0.06366	0.54128	0.29722	-0.13071	0.47713	0.43167	-0.21194	0.56200	0.46758	0.04560	0.29028	0.24588	-0.08213	0.31267	0.65512	0.02257	0.69881	0.40029	-0.03148	0.57909	0.42057	0.01430	0.19876	0.39273	-0.13671	0.15314	0.41033	-0.09158	0.13642	0.49527	-0.11477	0.21685	0.32782	-0.16150	0.06897	0.76837	-0.04077	0.49020	0.23582	-0.04087
11	0.32250	0.20607	0.46232	0.09985	-0.07426	0.10560	0.30722	0.21964	0.56785	0.20252	-0.02462	0.07423	0.49519	0.39258	-0.12466	0.46356	0.52369	-0.20567	0.47537	0.61372	0.11114	0.24315	0.31124	-0.06911	0.25954	0.74948	0.06737	0.64678	0.49695	0.00440	0.54151	0.52941	0.04013	0.15119	0.45046	-0.12329	0.09889	0.47207	-0.08177	0.08612	0.56966	-0.09247	0.17858	0.36811	-0.15548	0.02064	0.84700	-0.00847	0.44029	0.31895	-0.02962
12	0.27396	0.19895	0.52302	0.12392	-0.04653	0.12701	0.26380	0.21916	0.63243	0.19510	0.00274	0.08292	0.44691	0.46299	-0.10899	0.43082	0.60015	-0.19093	0.40043	0.72728	0.18701	0.19892	0.36646	-0.05065	0.20852	0.81459	0.11361	0.58656	0.57020	0.04437	0.50645	0.61525	0.06712	0.11068	0.48574	-0.10617	0.05681	0.51591	-0.06720	0.04726	0.62198	-0.06615	0.13350	0.39539	-0.14212	-0.02047	0.89276	0.02412	0.39413	0.38697	-0.01324
13	0.22422	0.18835	0.56532	0.14340	-0.01539	0.14859	0.22174	0.21579	0.67143	0.18485	0.03151	0.08965	0.39672	0.50615	-0.08700	0.38093	0.66084	-0.17011	0.32804	0.80819	0.26860	0.15557	0.41210	-0.02893	0.15713	0.85099	0.15912	0.52413	0.62041	0.08299	0.46680	0.67450	0.09334	0.07519	0.50129	-0.08743	0.02184	0.54482	-0.04938	0.01474	0.65169	-0.03811	0.08386	0.40962	-0.12344	-0.05756	0.90809	0.05523	0.35259	0.43715	0.00649
14	0.17616	0.17632	0.59037	0.15784	0.01646	0.16931	0.18110	0.21027	0.68646	0.17325	0.05999	0.09504	0.34678	0.52393	-0.06215	0.32239	0.70539	-0.14564	0.25530	0.85784	0.35102	0.11638	0.44715	-0.00603	0.10469	0.86142	0.20274	0.46695	0.64902	0.11613	0.42133	0.70720	0.11791	0.04272	0.50055	-0.06858	-0.00557	0.56058	-0.02996	-0.01327	0.66059	-0.01001	0.03498	0.41204	-0.10174	-0.09038	0.89719	0.08378	0.31746	0.46844	0.02766
15	0.13292	0.16463	0.59958	0.16715	0.04678	0.18823	0.14370	0.20502	0.68090	0.16111	0.08706	0.09982	0.30100	0.52062	-0.03726	0.26248	0.73449	-0.11960	0.18609	0.87806	0.42938	0.08345	0.47085	0.01629	0.05283	0.84963	0.24389	0.41822	0.65791	0.14157	0.37513	0.71614	0.14086	0.01437	0.48643	-0.05057	-0.02470	0.56433	-0.01049	-0.03839	0.65236	0.01703	-0.00944	0.40502	-0.07914	-0.11881	0.86496	0.10927	0.29042	0.48169	0.04857
16	0.09508	0.15410	0.59485	0.17173	0.07403	0.20453	0.11129	0.20259	0.65864	0.14889	0.11210	0.10454	0.26325	0.50080	-0.01429	0.20449	0.74925	-0.09353	0.12195	0.87233	0.49954	0.05441	0.48363	0.03673	0.00517	0.81949	0.28213	0.37734	0.64912	0.15892	0.33471	0.70516	0.16275	-0.00772	0.46159	-0.03398	-0.03766	0.55722	0.00771	-0.06281	0.63098	0.04240	-0.04729	0.39084	-0.05716	-0.14380	0.81635	0.13170	0.27119	0.47906	0.06791
17	0.06206	0.14516	0.57819	0.17231	0.09742	0.21758	0.08468	0.20263	0.62340	0.13669	0.13480	0.10941	0.23477	0.46911	0.00569	0.14991	0.75039	-0.06832	0.06214	0.84520	0.55853	0.02601	0.48625	0.05448	-0.03417	0.77453	0.31702	0.34318	0.62495	0.16917	0.30193	0.67807	0.18426	-0.02342	0.42919	-0.01904	-0.04668	0.54035	0.02373	-0.08676	0.59961	0.06581	-0.07669	0.37102	-0.03662	-0.16490	0.75588	0.15123	0.25722	0.46318	0.08480
18	0.03333	0.13833	0.55188	0.16945	0.11687	0.22695	0.06293	0.20183	0.57878	0.12435	0.15507	0.11441	0.21213	0.43049	0.02231	0.10057	0.73879	-0.04434	0.00681	0.80134	0.60481	-0.00260	0.47955	0.06927	-0.06480	0.71837	0.34816	0.31440	0.58829	0.17420	0.27311	0.63852	0.20593	-0.03520	0.39293	-0.00548	-0.05327	0.51517	0.03744	-0.10845	0.56076	0.08722	-0.09741	0.34709	-0.01779	-0.17904	0.68757	0.16811	0.24460	0.43698	0.09870
19	0.00786	0.13363	0.51867	0.16350	0.13290	0.23248	0.04390	0.19714	0.52838	0.11162	0.17301	0.11937	0.18946	0.38951	0.03584	0.05831	0.71610	-0.02159	-0.04313	0.74531	0.63819	-0.03078	0.46499	0.08129	-0.08909	0.65462	0.37519	0.28840	0.54285	0.17630	0.24410	0.58997	0.22811	-0.04686	0.35645	0.00729	-0.05916	0.48396	0.04933	-0.12601	0.51686	0.10679	-0.11175	0.32102	-0.00051	-0.18438	0.61560	0.18266	0.22935	0.40374	0.10947
20	-0.01586	0.12996	0.48154	0.15476	0.14630	0.23426	0.02609	0.18798	0.47547	0.09838	0.18893	0.12404	0.16383	0.34935	0.04709	0.02347	0.68473	0.00013	-0.08614	0.68122	0.65953	-0.05788	0.44475	0.09101	-0.10876	0.58648	0.39796	0.26130	0.49278	0.17767	0.21376	0.53544	0.25096	-0.06122	0.32249	0.01991	-0.06707	0.44966	0.06028	-0.13866	0.47056	0.12488	-0.12352	0.29513	0.01560	-0.18282	0.54421	0.19529	0.20917	0.36678	0.11738
21	-0.03865	0.12532	0.44305	0.14384	0.15798	0.23258	0.00920	0.17562	0.42266	0.08466	0.20331	0.12815	0.13592	0.31188	0.05717	-0.00522	0.64743	0.02087	-0.12027	0.61270	0.67042	-0.08324	0.42107	0.09905	-0.12456	0.51679	0.41660	0.22977	0.44192	0.18002	0.18357	0.47745	0.27445	-0.07824	0.29226	0.03302	-0.07841	0.41495	0.07140	-0.14682	0.42425	0.14198	-0.13494	0.27106	0.03113	-0.17735	0.47666	0.20655	0.18445	0.32894	0.12309
22	-0.05989	0.11862	0.40498	0.13170	0.16881	0.22785	-0.00628	0.16206	0.37188	0.07082	0.21675	0.13155	0.10836	0.27784	0.06727	-0.02953	0.60677	0.04067	-0.14466	0.54272	0.67278	-0.10566	0.39555	0.10612	-0.13704	0.44819	0.43157	0.19408	0.39313	0.18437	0.15546	0.41827	0.29849	-0.09538	0.26569	0.04717	-0.09192	0.38157	0.08380	-0.15160	0.37968	0.15874	-0.14615	0.24941	0.04679	-0.17044	0.41503	0.21704	0.15757	0.29230	0.12737
23	-0.07827	0.11056	0.36831	0.11939	0.17959	0.22052	-0.02007	0.14919	0.32451	0.05747	0.22985	0.13416	0.08348	0.24727	0.07843	-0.05079	0.56488	0.05978	-0.16085	0.47372	0.66859	-0.12369	0.36906	0.11300	-0.14709	0.38301	0.44362	0.15818	0.34814	0.19114	0.13038	0.36005	0.32299	-0.10996	0.24226	0.06279	-0.10433	0.35016	0.09847	-0.15436	0.33795	0.17586	-0.15644	0.22992	0.06337	-0.16427	0.36051	0.22724	0.13146	0.25827	0.13097
24	-0.09323	0.10236	0.33364	0.10783	0.19100	0.21097	-0.03207	0.13834	0.28144	0.04536	0.24322	0.13606	0.06266	0.22021	0.09143	-0.06966	0.52347	0.07863	-0.17189	0.40783	0.65955	-0.13658	0.34217	0.12052	-0.15561	0.32292	0.45368	0.12538	0.30765	0.20027	0.10850	0.30451	0.34803	-0.12155	0.22165	0.08028	-0.11238	0.32060	0.11612	-0.15645	0.29972	0.19406	-0.16591	0.21211	0.08163	-0.16017	0.31375	0.23747	0.10867	0.22753	0.13465
25	-0.10517	0.09494	0.30130	0.09765	0.20361	0.19945	-0.04227	0.13025	0.24315	0.03543	0.25738	0.13736	0.04537	0.19674	0.10675	-0.08653	0.48366	0.09778	-0.17981	0.34666	0.64693	-0.14450	0.31554	0.12943	-0.16336	0.26899	0.46264	0.09696	0.27152	0.21148	0.09008	0.25271	0.37379	-0.13195	0.20369	0.10010	-0.11487	0.29254	0.13726	-0.15916	0.26538	0.21406	-0.17550	0.19547	0.10227	-0.15805	0.27498	0.24798	0.09152	0.20008	0.13907
26	-0.11472	0.08928	0.27128	0.08912	0.21793	0.18617	-0.05091	0.12486	0.20963	0.02920	0.27278	0.13821	0.03029	0.17630	0.12458	-0.10159	0.44581	0.11792	-0.18520	0.29120	0.63178	-0.14792	0.28988	0.14026	-0.17050	0.22170	0.47129	0.07413	0.23892	0.22453	0.07483	0.20520	0.40044	-0.14275	0.18805	0.12286	-0.11333	0.26571	0.16229	-0.16313	0.23494	0.23651	-0.18639	0.17940	0.12588	-0.15750	0.24407	0.25893	0.08056	0.17558	0.14494
27	-0.12257	0.08618	0.24338	0.08225	0.23442	0.17133	-0.05891	0.12112	0.18059	0.02787	0.28977	0.13880	0.01529	0.15807	0.14493	-0.11485	0.40970	0.13969	-0.18869	0.24215	0.61497	-0.14769	0.26568	0.15337	-0.17732	0.18107	0.48027	0.05782	0.20888	0.23930	0.06101	0.16247	0.42818	-0.15422	0.17411	0.14919	-0.11137	0.23996	0.19151	-0.16819	0.20806	0.26190	-0.19898	0.16321	0.15292	-0.15820	0.22019	0.27052	0.07393	0.15365	0.15282
28	-0.12962	0.08547	0.21739	0.07682	0.25344	0.15526	-0.06730	0.11801	0.15542	0.03056	0.30867	0.13926	-0.00105	0.14126	0.16772	-0.12649	0.37508	0.16366	-0.19118	0.19993	0.59737	-0.14555	0.24338	0.16909	-0.18441	0.14670	0.49004	0.04715	0.18082	0.25585	0.04694	0.12468	0.45728	-0.16605	0.16117	0.17950	-0.11251	0.21517	0.22506	-0.17405	0.18419	0.29064	-0.21274	0.14623	0.18354	-0.15995	0.20185	0.28301	0.06873	0.13385	0.16331
29	-0.13680	0.08637	0.19315	0.07260	0.27528	0.13843	-0.07664	0.11530	0.13337	0.03518	0.32979	0.13966	-0.01811	0.12503	0.19291	-0.13719	0.34192	0.19025	-0.19314	0.16427	0.58002	-0.14362	0.22360	0.18779	-0.19201	0.11771	0.50090	0.04014	0.15456	0.27432	0.03240	0.09145	0.48806	-0.17818	0.14863	0.21401	-0.11840	0.19111	0.26297	-0.18089	0.16275	0.32301	-0.22726	0.12794	0.21762	-0.16379	0.18761	0.29685	0.06259	0.11569	0.17703
30	-0.14455	0.08812	0.17045	0.06944	0.30023	0.12147	-0.08716	0.11320	0.11361	0.04030	0.35347	0.14003	-0.03405	0.10841	0.22053	-0.14735	0.31041	0.21976	-0.19472	0.13445	0.56396	-0.14265	0.20671	0.20997	-0.19995	0.09295	0.51300	0.03470	0.13020	0.29495	0.01772	0.06221	0.52077	-0.19147	0.13619	0.25275	-0.12850	0.16741	0.30528	-0.18929	0.14316	0.35919	-0.24187	0.10780	0.25493	-0.17158	0.17628	0.31269	0.05417	0.09868	0.19462
31	-0.15318	0.08984	0.14915	0.06735	0.32849	0.10514	-0.09887	0.11187	0.09537	0.04524	0.38004	0.14027	-0.04701	0.09061	0.25076	-0.15749	0.28080	0.25247	-0.19660	0.10967	0.55026	-0.14273	0.19267	0.23626	-0.20829	0.07121	0.52647	0.02816	0.10783	0.31796	0.00269	0.03643	0.55563	-0.20757	0.12401	0.29554	-0.14078	0.14362	0.35188	-0.19983	0.12481	0.39919	-0.25522	0.08543	0.29509	-0.18393	0.16688	0.33140	0.04316	0.08230	0.21676
32	-0.16304	0.09100	0.12908	0.06646	0.36021	0.09035	-0.11185	0.11169	0.07793	0.04985	0.40988	0.14019	-0.05695	0.07130	0.28393	-0.16883	0.25337	0.28854	-0.19980	0.08918	0.53997	-0.14431	0.18098	0.26740	-0.21848	0.05140	0.54151	0.01874	0.08704	0.34353	-0.01290	0.01334	0.59275	-0.22739	0.11237	0.34197	-0.15331	0.11965	0.40250	-0.21341	0.10727	0.44287	-0.26635	0.06100	0.33758	-0.19958	0.15855	0.35393	0.03022	0.06574	0.24429
33	-0.17445	0.09187	0.11008	0.06690	0.39546	0.07814	-0.12629	0.11320	0.06064	0.05433	0.44336	0.13952	-0.06641	0.05078	0.32047	-0.18215	0.22832	0.32796	-0.20552	0.07221	0.53408	-0.14857	0.17080	0.30411	-0.23234	0.03254	0.55845	0.00704	0.06697	0.37193	-0.02786	-0.00836	0.63209	-0.24991	0.10113	0.39149	-0.16632	0.09598	0.45679	-0.23080	0.09029	0.48991	-0.27570	0.03513	0.38183	-0.21693	0.15049	0.38119	0.01660	0.04808	0.27804
