	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d
7	5.00161	1.98496	8.58133	2.31465	-8.23795	0.55359	1.49358	1.87749	2.57476	1.98622	-7.78021	0.87360	5.20492	8.24383	-8.10350	4.00623	3.58498	3.51364	4.83964	-6.81305	-8.12072	3.66845	3.57336	-7.73911	0.50987	-0.27629	0.33442	-1.23859	-5.72684	-8.16094	5.23483	10.49490	-8.04935	2.63977	-1.80476	4.63511	0.58018	-7.05325	-7.53502	5.81951	10.26048	-8.79172	2.88538	-0.51615	4.48765	0.08724	-8.02045	-7.81416	0.55234	7.56315	6.20950	9.66898	-8.89054	-8.99024	2.62378	3.53937	-8.69724	4.83146	10.50578	-8.26623	1.70070	3.64658	2.46195	2.79292	-8.14069	-7.52347	6.46328	9.30357	-7.94813	0.00444	3.50888	-8.53610	5.67659	8.97159	-7.36277	0.41198	3.92948	-9.00078
8	5.98882	2.13750	9.49279	2.34949	-8.12838	0.57333	2.19866	1.95641	3.57470	1.91193	-7.70012	0.75724	6.15484	8.91656	-8.11282	4.67742	4.40729	4.34578	5.90641	-7.09732	-7.73892	4.31519	4.46220	-7.69994	0.79424	0.03628	1.40343	-0.11101	-6.46015	-8.73589	6.56149	11.71952	-7.81855	3.61815	-1.09091	5.60213	1.75278	-6.81592	-7.56662	6.86086	11.22509	-8.24516	3.62650	0.12142	5.27150	1.24385	-7.12170	-7.47899	1.18572	8.45916	7.13376	10.23076	-9.34716	-8.60556	3.24452	4.41275	-8.68189	5.86118	11.34673	-8.10288	2.49710	4.50684	3.40933	3.65457	-8.08823	-7.32355	7.61259	10.28718	-7.82213	0.97133	4.56122	-8.18098	6.88830	10.11330	-7.40127	1.17244	5.01831	-8.81144
9	7.06444	2.29466	10.46856	2.34814	-7.76935	0.72457	2.96880	2.04167	4.53637	1.81023	-7.25368	0.84993	7.23021	9.68455	-7.96831	5.39899	5.24516	5.18135	6.85940	-6.98747	-6.82286	5.07911	5.51934	-7.64890	1.12856	0.44143	2.55092	1.03701	-7.28069	-9.11218	7.94962	12.90415	-7.24360	4.64241	-0.31144	6.52475	2.85818	-6.22188	-7.17639	7.98713	12.20563	-7.38408	4.42372	0.85294	6.00627	2.34827	-5.92382	-6.68734	1.92481	9.50259	8.14163	10.98970	-9.56186	-7.87727	3.92680	5.22307	-8.14643	6.97023	12.21647	-7.65660	3.36675	5.44286	4.38897	4.49964	-7.65311	-6.85660	8.79208	11.27755	-7.40889	2.01938	5.45016	-7.35511	8.14418	11.27799	-7.17465	2.01680	6.04479	-8.07399
10	8.15898	2.43490	11.43825	2.30525	-7.20801	0.94864	3.75678	2.12773	5.41293	1.69092	-6.48625	1.17095	8.38971	10.49267	-7.65553	6.14651	6.04869	5.97280	7.68257	-6.44228	-5.57855	5.92530	6.67137	-7.54023	1.50058	0.92581	3.71483	2.15295	-8.01532	-9.16572	9.28966	13.95449	-6.42030	5.64914	0.47876	7.34259	3.82333	-5.30899	-6.34601	9.09550	13.13783	-6.43753	5.21026	1.61739	6.67624	3.34737	-4.73781	-5.64964	2.72698	10.63843	9.12542	11.91747	-9.46175	-6.91717	4.62984	5.94363	-7.11947	8.07770	13.05159	-6.98251	4.25039	6.40873	5.34945	5.28380	-6.86317	-6.12109	9.92804	12.19604	-6.72634	3.07384	6.10227	-6.11849	9.35953	12.39742	-6.73071	2.89816	6.97631	-6.85476
11	9.19107	2.53894	12.34354	2.22980	-6.57788	1.10771	4.50711	2.20652	6.17705	1.57509	-5.58583	1.49744	9.57460	11.28717	-7.19202	6.88372	6.77055	6.69582	8.37800	-5.54927	-4.36529	6.80480	7.83042	-7.31355	1.88946	1.46375	4.83049	3.19422	-8.49391	-8.84467	10.46263	14.81373	-5.59107	6.56975	1.22110	8.02392	4.61271	-4.27996	-5.27389	10.07566	13.96590	-5.70480	5.90767	2.33760	7.25219	4.18619	-3.91568	-4.71150	3.53824	11.78097	10.01112	12.94419	-9.04681	-5.91589	5.30501	6.56653	-5.84947	9.08943	13.80466	-6.25152	5.07931	7.35094	6.23849	5.98034	-5.90105	-5.22759	10.94486	12.99891	-5.93375	4.05837	6.53979	-4.77190	10.44844	13.43573	-6.25145	3.75515	7.80298	-5.43164
12	10.08431	2.59711	13.14053	2.13745	-6.04996	1.11121	5.16624	2.27019	6.80952	1.48190	-4.81035	1.66538	10.71713	12.02696	-6.65398	7.56501	7.36920	7.33644	8.93835	-4.52520	-3.54263	7.66077	8.91853	-6.94044	2.26872	2.02028	5.84455	4.12807	-8.60253	-8.20980	11.36966	15.45271	-5.02392	7.34348	1.86581	8.54972	5.20919	-3.43284	-4.31200	10.84091	14.65450	-5.38936	6.44560	2.94062	7.71257	4.82088	-3.66851	-4.20199	4.30089	12.82870	10.75984	13.97366	-8.41812	-5.11232	5.90371	7.07974	-4.70911	9.91929	14.43762	-5.68010	5.78914	8.21746	6.99346	6.56854	-5.04095	-4.37393	11.77855	13.66470	-5.27657	4.90971	6.83081	-3.70447	11.34288	14.37628	-5.95478	4.52244	8.51142	-4.21054
13	10.78296	2.61298	13.80303	2.04520	-5.75450	0.95966	5.69291	2.31360	7.30131	1.41948	-4.36649	1.62159	11.75092	12.68693	-6.16321	8.14168	7.81269	7.87425	9.35803	-3.64949	-3.31405	8.43596	9.88197	-6.46036	2.60983	2.55683	6.72146	4.92349	-8.32248	-7.42399	11.95802	15.87068	-4.87541	7.92948	2.38244	8.91798	5.61656	-3.01521	-3.78467	11.34762	15.20200	-5.49563	6.77796	3.37980	8.06808	5.25581	-3.97501	-4.26605	4.96207	13.68948	11.35543	14.91222	-7.74609	-4.70185	6.38535	7.47440	-4.01200	10.50929	14.92401	-5.42305	6.33289	8.96590	7.55771	7.03069	-4.52358	-3.75975	12.38882	14.18037	-4.95868	5.58853	7.03736	-3.18781	12.00448	15.21364	-5.96620	5.14447	9.08119	-3.53032
14	11.26014	2.59952	14.32683	1.96987	-5.73010	0.73957	6.06387	2.33500	7.66335	1.38374	-4.32273	1.40781	12.62067	13.25626	-5.83841	8.56980	8.08226	8.28646	9.65495	-3.15407	-3.66426	9.08059	10.69222	-5.97582	2.88575	3.03784	7.44030	5.54931	-7.73817	-6.68679	12.23037	16.10034	-5.13477	8.31243	2.76309	9.15606	5.87753	-3.10402	-3.82782	11.59433	15.63469	-5.86609	6.88867	3.64445	8.35040	5.55138	-4.61819	-4.80038	5.48466	14.30242	11.79990	15.69731	-7.19650	-4.74416	6.72205	7.76903	-3.88551	10.83987	15.26150	-5.50953	6.68793	9.56798	7.91173	7.36520	-4.45340	-3.49979	12.76451	14.54592	-5.04138	6.08237	7.20821	-3.26567	12.42379	15.95337	-6.26420	5.58568	9.50304	-3.49740
15	11.51568	2.57045	14.72573	1.92316	-5.92738	0.58305	6.27368	2.33526	7.92411	1.36183	-4.60100	1.12143	13.28813	13.73425	-5.74466	8.81681	8.17383	8.56708	9.86634	-3.13652	-4.39606	9.55953	11.34048	-5.61078	3.07422	3.43662	7.98712	5.98640	-7.00962	-6.15667	12.23464	16.19310	-5.65606	8.49965	3.01685	9.31028	6.06489	-3.58384	-4.34740	11.60344	15.97958	-6.29747	6.78914	3.75328	8.58322	5.78438	-5.30156	-5.51734	5.85367	14.64473	12.11478	16.30905	-6.86956	-5.14890	6.89934	8.01022	-4.25981	10.92707	15.47492	-5.85525	6.85495	10.00973	8.08379	7.59547	-4.77244	-3.58924	12.91962	14.78042	-5.43816	6.40065	7.38301	-3.77360	12.61029	16.60502	-6.72557	5.83278	9.79119	-3.96895
16	11.56709	2.53356	15.01777	1.90434	-6.24795	0.55385	6.33060	2.31636	8.11429	1.34053	-5.03386	0.85703	13.73314	14.12458	-5.87186	8.86495	8.09659	8.73295	10.02499	-3.54026	-5.22461	9.85650	11.83289	-5.45785	3.16102	3.73770	8.35213	6.24199	-6.31928	-5.90230	12.04129	16.19139	-6.23664	8.51341	3.16045	9.41806	6.24369	-4.21650	-5.09090	11.40125	16.23835	-6.63610	6.51245	3.74137	8.76911	6.00425	-5.78076	-6.09203	6.07329	14.72443	12.33428	16.75663	-6.78198	-5.73696	6.91511	8.24793	-4.93368	10.81059	15.60179	-6.31977	6.85187	10.28800	8.13021	7.75970	-5.30346	-3.92732	12.88278	14.91134	-5.98493	6.56502	7.58510	-4.44350	12.58050	17.16872	-7.20548	5.88981	9.97571	-4.66554
