	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.80191	0.10652	-0.31996	0.05395	0.07556	0.01628	0.89073	0.13948	-0.36843	0.04796	0.08059	0.02253	0.72972	-0.26986	0.05388	0.91440	-0.35644	0.09593	0.98087	-0.39348	0.07451	1.13755	-0.43850	0.07361	0.76562	-0.30330	0.06653	0.80655	-0.36702	0.05617	0.80697	-0.34057	0.08899	0.68284	-0.28960	0.07577	0.90223	-0.37571	0.06595	1.00730	-0.42261	0.10495	0.83842	-0.34379	0.10704	0.93116	-0.38408	0.11566	0.75438	-0.30085	0.07779	0.82369	-0.32851	0.06771	0.63704	-0.23211	0.06979	0.82231	-0.36065	0.05491
2	0.80702	0.12645	-0.29854	0.06183	0.13435	0.01988	0.90079	0.15593	-0.34029	0.04864	0.13949	0.03221	0.74638	-0.25738	0.10605	0.93857	-0.33394	0.16358	1.01755	-0.36441	0.12260	1.19521	-0.40315	0.12766	0.75181	-0.27650	0.12227	0.81909	-0.34577	0.10490	0.82626	-0.34199	0.16158	0.66844	-0.26855	0.14067	0.93043	-0.37181	0.12042	0.99081	-0.40207	0.17068	0.83302	-0.32038	0.16002	0.94398	-0.35473	0.18873	0.74581	-0.26356	0.14123	0.82764	-0.28297	0.11952	0.60489	-0.19229	0.14062	0.82260	-0.33117	0.10016
3	0.78690	0.14198	-0.26611	0.06804	0.21826	0.03206	0.88008	0.17131	-0.29705	0.04825	0.22368	0.04489	0.74194	-0.23483	0.17833	0.93172	-0.30017	0.25665	1.01877	-0.31373	0.18418	1.22459	-0.34641	0.19773	0.71971	-0.24338	0.20374	0.80099	-0.30983	0.17617	0.82373	-0.33081	0.26861	0.63395	-0.24416	0.24367	0.92674	-0.35355	0.19825	0.93338	-0.36377	0.26628	0.79800	-0.28726	0.23247	0.91712	-0.30939	0.28658	0.71223	-0.21764	0.23242	0.79677	-0.21890	0.19357	0.55408	-0.14771	0.24807	0.80210	-0.28378	0.16879
4	0.74747	0.14336	-0.22418	0.06954	0.33126	0.05310	0.83667	0.18013	-0.24309	0.04833	0.33755	0.06144	0.71480	-0.20047	0.27457	0.90599	-0.26117	0.37819	0.97285	-0.23609	0.26547	1.21420	-0.26273	0.28985	0.68279	-0.20912	0.31403	0.75814	-0.26359	0.27363	0.80191	-0.30370	0.41030	0.59020	-0.22238	0.38649	0.89227	-0.32056	0.30460	0.84409	-0.31073	0.39588	0.74189	-0.24776	0.32835	0.86226	-0.25600	0.41414	0.66439	-0.16830	0.35562	0.74939	-0.14485	0.29483	0.50884	-0.10742	0.39710	0.76913	-0.22326	0.26739
5	0.70559	0.13388	-0.17824	0.06888	0.47155	0.07939	0.78973	0.18206	-0.18757	0.05605	0.48037	0.08032	0.67723	-0.16032	0.39552	0.87531	-0.22167	0.52445	0.90565	-0.14708	0.36795	1.18180	-0.16750	0.40638	0.65290	-0.17546	0.45151	0.71099	-0.21508	0.39737	0.78323	-0.26269	0.57876	0.55826	-0.21112	0.56676	0.84386	-0.27874	0.44095	0.75210	-0.25180	0.55723	0.67910	-0.20547	0.44476	0.79625	-0.20465	0.56805	0.61637	-0.12150	0.50893	0.70655	-0.06976	0.42302	0.48639	-0.07470	0.58405	0.73655	-0.15896	0.39974
6	0.67153	0.11717	-0.12927	0.06827	0.63037	0.10438	0.75148	0.17521	-0.13370	0.07269	0.64430	0.09777	0.63876	-0.11679	0.53809	0.85003	-0.18145	0.68522	0.82719	-0.05196	0.49245	1.13218	-0.06820	0.54877	0.63514	-0.14065	0.60635	0.67839	-0.16901	0.53990	0.77577	-0.20327	0.75168	0.54373	-0.20576	0.76809	0.79797	-0.23241	0.60195	0.68125	-0.19127	0.73807	0.62537	-0.16205	0.57481	0.73474	-0.16063	0.74001	0.57939	-0.07983	0.68398	0.68317	0.00220	0.57178	0.49264	-0.04725	0.79366	0.70836	-0.09545	0.56257
