	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	14.43923	0.75120	48.96392	1.30030	32.91383	1.84901	-17.32140	1.32331	14.87547	0.88817	49.49494	2.02225	38.15447	2.27555	-11.47068	1.76672	14.29616	46.83918	34.32877	-16.12195	14.73527	15.47851	46.89742	50.09373	36.92818	40.47585	-11.17120	-8.69315	15.17079	48.87297	36.14069	-15.54863	16.06305	15.53606	49.44817	50.45710	41.91810	41.54338	-11.71616	-10.28483	14.40483	46.72245	31.21630	-16.23149	14.09375	12.90962	47.64177	47.96552	36.45430	37.39196	-11.20865	-11.76938	13.69679	49.76049	32.05435	-18.77807	14.87478	14.25359	48.35530	46.23025	35.87267	34.10244	-11.20656	-13.15504	13.42969	14.05875	49.55911	50.03515	35.00989	33.17673	-18.82929	-18.96249	14.35523	50.46976	37.90283	-11.95027	15.90236	49.57468	31.06844	-16.30300	15.69212	16.03658	50.41403	50.31996	38.23796	37.91965	-10.06286	-9.23507	14.27890	50.16212	31.42521	-17.53524	14.74190	51.59224	37.23050	-13.45914	14.71483	49.14917	31.80407	-17.58248	14.61073	53.54903	40.03034	-15.20649
2	14.92714	0.72274	48.34455	1.26146	32.24731	1.80734	-15.89313	1.46497	15.38415	0.84413	48.69123	2.12992	37.03894	2.46702	-9.91422	1.76305	14.55042	46.17832	33.51569	-14.77194	15.17964	15.96765	45.86072	49.19352	35.58151	39.28887	-9.81854	-6.98177	15.42461	48.78506	35.67859	-14.53176	16.22463	15.84107	49.30858	50.20641	41.50186	40.75608	-10.62295	-9.39408	14.94821	46.34428	30.88971	-14.40119	14.37612	13.40331	46.76048	47.18600	35.60507	36.16967	-9.51593	-10.20527	14.37355	48.72086	30.67676	-17.16412	15.60055	15.13046	47.16269	45.09645	34.37389	32.64429	-9.09211	-11.39105	13.99074	14.53337	49.14134	49.14782	34.21540	31.98759	-17.81174	-18.13386	14.92221	49.38539	36.37230	-10.53003	16.46548	49.03239	30.53533	-14.76452	16.34127	16.40591	49.83795	49.47068	37.26871	36.85608	-8.63627	-7.50187	14.85092	49.70729	31.41508	-16.03622	15.38649	51.04282	36.58338	-11.46029	15.20695	48.04354	31.31165	-15.42281	15.21456	52.47424	38.50458	-13.73472
3	15.53872	0.69507	47.53648	1.28093	31.57495	1.94168	-13.74832	1.65929	16.02786	0.83747	47.73667	2.23958	35.96123	2.70299	-7.65800	1.77189	14.96721	45.42080	32.77587	-12.78573	15.76998	16.58834	44.79657	48.09462	34.30714	38.01628	-7.84544	-4.64594	15.77352	48.55563	35.42519	-12.90909	16.50817	16.25641	48.99994	49.68899	41.20229	39.97978	-8.95469	-7.90543	15.60995	45.75074	30.50968	-11.85311	14.78701	14.06171	45.69970	46.29472	34.76814	35.08144	-7.12449	-7.91318	15.17516	47.50069	29.32631	-14.67727	16.47591	16.09983	45.88852	43.85780	32.89100	31.16779	-6.22253	-8.71223	14.71622	15.17800	48.49948	48.09251	33.43435	30.75091	-16.04102	-16.55263	15.66197	48.11909	34.84818	-8.38522	17.11024	48.22112	29.89897	-12.58311	17.12606	16.90779	49.10967	48.49594	36.31226	35.90184	-6.56632	-5.14591	15.51647	49.00292	31.30666	-13.79288	16.17169	50.33940	35.99595	-8.71132	15.80169	46.78445	30.74664	-12.54001	15.94736	51.19169	37.02386	-11.42132
4	16.26234	0.66876	46.59583	1.33302	30.91591	2.17702	-10.96768	1.82478	16.78968	0.87020	46.67898	2.34036	34.91330	2.94634	-4.81809	1.78902	15.55099	44.62519	32.14224	-10.21872	16.47924	17.32175	43.72701	46.87652	33.10096	36.68601	-5.30801	-1.82581	16.21592	48.16662	35.31056	-10.66037	16.92894	16.80011	48.49719	48.93589	40.91761	39.18778	-6.68228	-5.78614	16.37012	44.97689	30.05148	-8.77003	15.32075	14.85472	44.50822	45.30379	33.89539	34.07433	-4.17361	-5.01178	16.08467	46.24013	28.14253	-11.48495	17.45605	17.11417	44.64184	42.56993	31.54327	29.71368	-2.87547	-5.34827	15.59539	15.96402	47.66753	46.92748	32.68819	29.55733	-13.50159	-14.12890	16.54062	46.74471	33.37996	-5.59210	17.82474	47.20340	29.17357	-9.87024	18.02728	17.53401	48.26184	47.42908	35.33705	34.99746	-3.96108	-2.31570	16.26549	48.08597	31.04857	-10.91349	17.08805	49.54723	35.43363	-5.42566	16.48973	45.46931	30.12874	-9.16086	16.80014	49.78350	35.60579	-8.32930
5	17.07504	0.64614	45.61343	1.37328	30.30881	2.40917	-7.79884	1.86461	17.64156	0.92931	45.60103	2.42062	33.90845	3.14633	-1.66819	1.76502	16.29046	43.85523	31.62155	-7.25803	17.26985	18.14144	42.68932	45.65405	31.95733	35.36165	-2.39507	1.20401	16.74991	47.62083	35.24908	-7.89477	17.49714	17.48376	47.80178	48.01625	40.54521	38.37515	-3.88963	-3.12111	17.20000	44.10771	29.52786	-5.47881	15.95858	15.73583	43.27918	44.25620	32.97122	33.11256	-0.95657	-1.80111	17.06503	45.10000	27.25549	-8.00228	18.47985	18.12263	43.55067	41.32652	30.45499	28.36516	0.52643	-1.74103	16.60429	16.84394	46.72248	45.74583	32.01402	28.54009	-10.36292	-10.97330	17.50331	45.38511	32.06667	-2.42909	18.59082	46.09078	28.41146	-6.88637	19.01649	18.26525	47.37139	46.33298	34.33987	34.09154	-1.07985	0.71576	17.08167	47.04591	30.64095	-7.67654	18.11001	48.76891	34.88776	-1.96600	17.24921	44.23207	29.51876	-5.65658	17.75620	48.38107	34.28075	-4.75319
6	17.94222	0.62791	44.69553	1.36164	29.79572	2.55652	-4.59016	1.73447	18.54405	0.99634	44.61068	2.47099	32.99485	3.24750	1.44662	1.64174	17.15585	43.16904	31.18874	-4.18424	18.09744	19.01454	41.73317	44.55880	30.88317	34.15525	0.61961	4.11933	17.37061	46.94326	35.14675	-4.83862	18.21197	18.30459	46.94870	47.02684	39.99726	37.55051	-0.76734	-0.11890	18.06349	43.26055	28.99205	-2.34403	16.66678	16.64512	42.14038	43.23369	32.03690	32.21167	2.16887	1.33395	18.06066	44.22379	26.74932	-4.73657	19.47635	19.07485	42.73849	40.24996	29.74566	27.25716	3.57811	1.63031	17.70393	17.75447	45.76744	44.66137	31.44268	27.82958	-6.95561	-7.42612	18.47779	44.19528	31.04774	0.71174	19.38356	45.01737	27.68316	-3.96427	20.05517	19.06909	46.55061	45.29637	33.36053	33.17333	1.74640	3.63088	17.94107	46.00481	30.12933	-4.44513	19.19260	48.12576	34.40264	1.28016	18.04638	43.21214	28.99984	-2.41685	18.78640	47.14083	33.11130	-1.12710
