	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_gait0001_08.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_03.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_03.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_03.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_05.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_05.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_05.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_06.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_06.c3d	2014_04_08_PC011_BAREFOOT_GAIT0002_06.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0006_01.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_02.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_03.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_03.c3d	2014_04_08_PC011_BAREFOOT_GAIT0007_03.c3d
7	0.36208	0.07021	0.39013	0.17969	-0.06125	0.03750	0.76642	0.11346	0.32224	0.07462	0.41200	0.08317	0.37445	0.38027	-0.10350	0.93908	0.32841	0.36768	0.26049	0.41286	-0.01387	0.62028	0.36750	0.43793	0.77099	0.27164	0.44931	0.45354	0.22327	-0.08012	0.34003	0.25635	-0.03044	0.70797	0.28239	0.26842	0.38191	0.67789	-0.07830	0.81806	0.24771	0.50836	0.65510	0.29195	0.36628	0.85346	0.46612	0.48604
8	0.37995	0.08563	0.56047	0.23074	-0.04458	0.04803	0.76361	0.10833	0.48964	0.10123	0.50169	0.09558	0.43570	0.55205	-0.10369	0.93839	0.51518	0.44766	0.26954	0.59911	0.01377	0.61382	0.49754	0.52361	0.78503	0.41570	0.54531	0.48698	0.34680	-0.07111	0.32924	0.37934	-0.00589	0.71610	0.44929	0.33969	0.37828	0.92506	-0.05598	0.80497	0.41357	0.60288	0.66538	0.43471	0.44950	0.82155	0.70146	0.60317
9	0.37615	0.10472	0.74020	0.28058	-0.01552	0.06181	0.74638	0.10216	0.65442	0.12193	0.59567	0.10641	0.47654	0.74779	-0.09642	0.91444	0.71635	0.53668	0.26047	0.79779	0.05741	0.59385	0.62193	0.61081	0.78687	0.55964	0.64198	0.49395	0.48004	-0.05434	0.29962	0.50241	0.02806	0.71472	0.61078	0.41850	0.35018	1.17298	-0.01230	0.77631	0.58140	0.69965	0.66401	0.58491	0.53780	0.77445	0.90594	0.72426
10	0.35590	0.12107	0.91443	0.32718	0.02517	0.07928	0.72037	0.09671	0.79967	0.13160	0.68980	0.11511	0.49688	0.95444	-0.08040	0.87537	0.91495	0.63206	0.23487	0.99451	0.11582	0.56506	0.72820	0.69639	0.77851	0.68886	0.73365	0.47485	0.61373	-0.03053	0.27398	0.60884	0.07015	0.71029	0.75009	0.50035	0.29892	1.40060	0.05079	0.73909	0.73715	0.79523	0.65610	0.72980	0.62814	0.71816	1.04862	0.84276
11	0.32575	0.13490	1.06909	0.36977	0.07597	0.09975	0.68745	0.09414	0.91367	0.13472	0.77983	0.12108	0.49814	1.15730	-0.05484	0.82750	1.09412	0.73075	0.19754	1.17376	0.18654	0.52824	0.80965	0.77675	0.75734	0.79161	0.81546	0.44149	0.73748	0.00001	0.26080	0.68648	0.11833	0.70297	0.85610	0.58094	0.23079	1.59045	0.12979	0.69693	0.86935	0.88626	0.64171	0.85617	0.71720	0.65746	1.11868	0.95147
12	0.29245	0.14867	1.19337	0.40848	0.13464	0.12147	0.64607	0.09457	0.99255	0.14138	0.86189	0.12386	0.48260	1.34312	-0.01958	0.77254	1.24166	0.82953	0.15565	1.32217	0.26581	0.48301	0.86714	0.84849	0.71926	0.86171	0.88388	0.40954	0.84235	0.03726	0.25873	0.72833	0.16942	0.68927	0.92392	0.65665	0.15574	1.73089	0.22030	0.64923	0.97187	0.96968	0.61869	0.95352	0.80159	0.59047	1.12806	1.04343
13	0.26180	0.16232	1.28041	0.44388	0.19844	0.14253	0.59611	0.09746	1.03794	0.15570	0.93309	0.12384	0.45458	1.50115	0.02477	0.71149	1.35089	0.92520	0.11571	1.42999	0.34906	0.42947	0.90711	0.90874	0.66365	0.89859	0.93702	0.38681	0.92224	0.08119	0.26683	0.73182	0.21946	0.66987	0.95277	0.72482	0.08506	1.81686	0.31771	0.59399	1.04415	1.04295	0.58410	1.01709	0.87840	0.52022	1.09496	1.11449
14	0.23757	0.17523	1.32781	0.47593	0.26445	0.16145	0.54160	0.10251	1.05375	0.17506	0.99160	0.12218	0.42201	1.62277	0.07676	0.64640	1.42012	1.01477	0.08228	1.49220	0.43157	0.37176	0.93607	0.95555	0.59848	0.90481	0.97455	0.37291	0.97403	0.13151	0.28346	0.70003	0.26490	0.65121	0.94470	0.78377	0.02718	1.85005	0.41752	0.53340	1.08927	1.10428	0.53715	1.04819	0.94520	0.45281	1.03309	1.16306
15	0.22124	0.18545	1.33720	0.50326	0.33002	0.17740	0.48900	0.10993	1.04404	0.19683	1.03642	0.12040	0.39231	1.70292	0.13446	0.58037	1.45160	1.09564	0.05862	1.50851	0.50904	0.31686	0.95637	0.98816	0.53657	0.88396	0.99721	0.36332	0.99713	0.18715	0.30464	0.64083	0.30371	0.63947	0.90403	0.83245	-0.01267	1.83660	0.51571	0.47524	1.11107	1.15253	0.48241	1.05153	1.00022	0.39209	0.94975	1.18874
16	0.21296	0.19042	1.31275	0.52373	0.39298	0.19012	0.44313	0.11990	1.01219	0.22046	1.06717	0.12006	0.36956	1.74026	0.19577	0.51679	1.44996	1.16572	0.04740	1.48219	0.57810	0.27026	0.96585	1.00684	0.48698	0.83971	1.00616	0.35446	0.99260	0.24640	0.32600	0.56406	0.33567	0.63672	0.83605	0.87006	-0.03260	1.78462	0.60897	0.42635	1.11263	1.18715	0.42655	1.03199	1.04240	0.33829	0.84914	1.19187
