	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d
7	0.19142	0.08340	0.00321	0.03133	-0.06545	0.01725	0.18398	0.10572	-0.02093	0.03691	-0.04116	0.02527	0.11466	-0.02258	-0.00089	0.22320	0.02002	-0.07426	0.28387	0.01624	-0.02598	0.17478	0.01843	-0.04499	0.18115	-0.04321	-0.05004	0.20755	-0.01044	-0.06831	0.10108	-0.05493	-0.06771	0.08370	-0.05274	-0.06453	0.33943	0.03164	-0.03783	0.29256	0.03663	-0.09563	0.03653	-0.02546	-0.07028	0.14923	-0.04697	-0.05097	0.25613	0.03024	-0.05371
8	0.28612	0.09129	0.02962	0.03471	-0.07373	0.01703	0.25365	0.10472	0.00236	0.04237	-0.04746	0.02818	0.17521	-0.00226	-0.00232	0.31152	0.04809	-0.07707	0.36044	0.04300	-0.03136	0.24105	0.03899	-0.05174	0.24170	-0.01628	-0.05534	0.29389	0.02226	-0.07289	0.18014	-0.03865	-0.07359	0.15952	-0.03580	-0.07780	0.40488	0.06416	-0.04433	0.40804	0.07108	-0.10372	0.13683	-0.00627	-0.08452	0.23737	-0.02463	-0.06214	0.37411	0.05779	-0.06402
9	0.37661	0.09478	0.06384	0.03913	-0.07749	0.01617	0.32625	0.10658	0.03523	0.04691	-0.05100	0.03068	0.24205	0.02955	-0.00076	0.39241	0.08276	-0.07700	0.43982	0.08015	-0.03394	0.31404	0.06447	-0.05527	0.30646	0.01911	-0.05797	0.37768	0.06465	-0.07413	0.25757	-0.01194	-0.07650	0.23341	-0.00834	-0.08553	0.47817	0.10285	-0.05128	0.50288	0.11480	-0.10383	0.23782	0.01850	-0.09309	0.32563	0.00704	-0.06977	0.48585	0.09462	-0.06934
10	0.45547	0.09127	0.10360	0.04369	-0.07837	0.01528	0.40092	0.11157	0.07512	0.04989	-0.05282	0.03275	0.31666	0.07093	0.00223	0.46301	0.12164	-0.07545	0.52569	0.12707	-0.03446	0.39352	0.09385	-0.05624	0.36906	0.05730	-0.05924	0.44850	0.11093	-0.07345	0.32898	0.02373	-0.07780	0.30731	0.02866	-0.08877	0.55781	0.14302	-0.05886	0.56637	0.16290	-0.09961	0.33073	0.04836	-0.09753	0.40547	0.04783	-0.07477	0.58071	0.13965	-0.07156
11	0.51721	0.08453	0.14427	0.04724	-0.07820	0.01481	0.47126	0.11829	0.11657	0.05107	-0.05416	0.03432	0.38920	0.11565	0.00459	0.52376	0.16079	-0.07372	0.60915	0.17868	-0.03421	0.46845	0.12358	-0.05588	0.42228	0.09171	-0.06024	0.49724	0.15348	-0.07219	0.39337	0.06396	-0.07872	0.37790	0.07151	-0.08928	0.63568	0.17792	-0.06708	0.60409	0.20835	-0.09441	0.40729	0.08108	-0.09989	0.46820	0.09394	-0.07845	0.65145	0.18865	-0.07287
12	0.56307	0.08018	0.18073	0.04939	-0.07815	0.01480	0.53180	0.12424	0.15356	0.05153	-0.05586	0.03525	0.44920	0.15620	0.00469	0.57722	0.19581	-0.07268	0.67943	0.22788	-0.03425	0.52737	0.15045	-0.05532	0.46573	0.11764	-0.06135	0.52713	0.18681	-0.07099	0.45360	0.10297	-0.07993	0.43926	0.11445	-0.08877	0.70359	0.20223	-0.07554	0.63118	0.24480	-0.09013	0.46504	0.11260	-0.10150	0.51260	0.13925	-0.08169	0.70094	0.23541	-0.07476
13	0.59973	0.08044	0.20916	0.05045	-0.07842	0.01501	0.58231	0.12678	0.18180	0.05289	-0.05812	0.03535	0.49485	0.18677	0.00182	0.62594	0.22332	-0.07257	0.73375	0.26886	-0.03497	0.56840	0.17315	-0.05512	0.50512	0.13354	-0.06230	0.54914	0.20834	-0.06963	0.51338	0.13557	-0.08136	0.48982	0.15212	-0.08838	0.75698	0.21395	-0.08353	0.65974	0.26873	-0.08688	0.50841	0.13853	-0.10265	0.54611	0.17771	-0.08454	0.74036	0.27432	-0.07754
14	0.63318	0.08416	0.22750	0.05081	-0.07842	0.01513	0.62571	0.12448	0.19937	0.05580	-0.06054	0.03458	0.53204	0.20422	-0.00367	0.67030	0.24165	-0.07309	0.77650	0.29843	-0.03598	0.59847	0.19157	-0.05522	0.54460	0.14011	-0.06254	0.57008	0.21693	-0.06743	0.57319	0.15838	-0.08230	0.53417	0.18121	-0.08850	0.79378	0.21390	-0.09024	0.69153	0.27933	-0.08351	0.54397	0.15566	-0.10277	0.57801	0.20540	-0.08637	0.77991	0.30200	-0.08052
15	0.66408	0.08937	0.23514	0.05096	-0.07725	0.01498	0.66355	0.11709	0.20631	0.05947	-0.06235	0.03313	0.56663	0.20784	-0.01063	0.70780	0.25071	-0.07354	0.81184	0.31528	-0.03646	0.62514	0.20538	-0.05521	0.58282	0.13935	-0.06148	0.58752	0.21228	-0.06386	0.62968	0.17045	-0.08173	0.57789	0.20045	-0.08883	0.81245	0.20450	-0.09500	0.71922	0.27764	-0.07855	0.57530	0.16264	-0.10086	0.61156	0.22058	-0.08618	0.82204	0.31672	-0.08252
16	0.68805	0.09478	0.23277	0.05136	-0.07413	0.01452	0.69409	0.10573	0.20421	0.06221	-0.06277	0.03139	0.59895	0.19938	-0.01760	0.73474	0.25160	-0.07306	0.83872	0.31912	-0.03559	0.65008	0.21399	-0.05457	0.61495	0.13405	-0.05864	0.59377	0.19603	-0.05867	0.67799	0.17347	-0.07864	0.62116	0.20997	-0.08866	0.81275	0.18929	-0.09751	0.73306	0.26630	-0.07096	0.60080	0.15997	-0.09606	0.64333	0.22351	-0.08319	0.86054	0.31796	-0.08238
