	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_3_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0003_5_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_1_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_CR003_BAREFOOT_GAIT0004_4_CINE_E.c3d
7	0.59586	0.21085	-0.01401	0.11185	-0.10847	0.03106	0.48091	0.16649	-0.00624	0.18299	-0.09080	0.01779	0.68102	-0.20943	-0.07036	0.42082	0.05749	-0.13089	0.39070	0.07174	-0.08135	0.57212	-0.10634	-0.10342	0.45671	-0.04309	-0.07570	0.35619	0.07728	-0.09756	0.53021	-0.01212	-0.09719	0.61123	-0.15093	-0.11566	0.21557	0.30639	-0.10452	0.64047	0.05443	-0.16834	0.84225	-0.15597	-0.09364	0.44099	0.10637	-0.08036	0.89821	-0.13133	-0.08508
8	0.55633	0.22005	0.08309	0.11332	-0.11047	0.03588	0.45515	0.17399	0.08777	0.20025	-0.09307	0.02546	0.68002	-0.13333	-0.06801	0.36059	0.13703	-0.13824	0.35018	0.15889	-0.08420	0.56668	-0.05130	-0.11089	0.41503	0.03646	-0.06795	0.30827	0.15779	-0.08969	0.50618	0.09761	-0.10149	0.58598	-0.06699	-0.13497	0.19352	0.43401	-0.10181	0.59395	0.17993	-0.17812	0.80506	-0.03206	-0.09022	0.38857	0.21253	-0.07910	0.87121	-0.02230	-0.08700
9	0.49473	0.22541	0.17827	0.11777	-0.10359	0.04125	0.41722	0.18356	0.18108	0.21887	-0.08758	0.03428	0.66865	-0.05627	-0.05688	0.28597	0.21024	-0.13985	0.30302	0.24081	-0.08031	0.54575	0.00343	-0.11196	0.35803	0.11354	-0.05224	0.24363	0.23688	-0.07443	0.46222	0.21202	-0.09699	0.55459	0.01329	-0.14691	0.15681	0.56311	-0.09217	0.51477	0.29495	-0.17642	0.74493	0.09552	-0.07317	0.31605	0.31845	-0.06875	0.81204	0.08839	-0.08059
10	0.41674	0.22602	0.26372	0.12366	-0.08862	0.04718	0.36339	0.19330	0.26957	0.23730	-0.07538	0.04316	0.63706	0.01998	-0.03851	0.20557	0.27287	-0.13594	0.23472	0.31683	-0.06921	0.50313	0.05531	-0.10664	0.29365	0.18149	-0.03060	0.17294	0.30528	-0.05298	0.40155	0.32590	-0.08441	0.50994	0.08771	-0.15169	0.10342	0.68553	-0.07788	0.42146	0.38839	-0.16353	0.66463	0.21596	-0.04434	0.22289	0.41686	-0.05034	0.72653	0.19138	-0.06658
11	0.33773	0.22149	0.33136	0.13015	-0.06690	0.05365	0.30119	0.20078	0.34747	0.25442	-0.05803	0.05125	0.59088	0.08980	-0.01524	0.13287	0.32084	-0.12701	0.15304	0.38123	-0.05135	0.45028	0.09703	-0.09559	0.23536	0.23512	-0.00522	0.11406	0.35429	-0.02710	0.33343	0.43316	-0.06506	0.45276	0.15277	-0.14973	0.04167	0.79271	-0.06160	0.33608	0.45343	-0.14063	0.57291	0.31944	-0.00640	0.12308	0.49862	-0.02540	0.63486	0.27590	-0.04615
12	0.27042	0.21515	0.37719	0.13658	-0.04013	0.06060	0.24151	0.20601	0.41040	0.26967	-0.03729	0.05799	0.54176	0.14885	0.01013	0.07648	0.35292	-0.11374	0.07600	0.42878	-0.02805	0.39973	0.12406	-0.08009	0.19057	0.27346	0.02205	0.07146	0.38349	0.00129	0.26834	0.52782	-0.04055	0.39262	0.20423	-0.14159	-0.02023	0.87924	-0.04575	0.26899	0.48992	-0.10990	0.48378	0.39803	0.03782	0.03459	0.55691	0.00439	0.55794	0.33501	-0.02068
13	0.21764	0.20953	0.40247	0.14113	-0.01004	0.06792	0.19045	0.20966	0.45703	0.28225	-0.01479	0.06332	0.49644	0.19661	0.03510	0.03653	0.37101	-0.09685	0.01501	0.45855	-0.00098	0.35739	0.13770	-0.06149	0.15814	0.29817	0.05001	0.03782	0.39795	0.03063	0.21255	0.60553	-0.01259	0.33837	0.24025	-0.12820	-0.07780	0.94306	-0.03212	0.21967	0.50151	-0.07405	0.40546	0.44875	0.08561	-0.03409	0.59054	0.03741	0.50067	0.36983	0.00848
14	0.17603	0.20490	0.41077	0.14237	0.02188	0.07537	0.14821	0.21178	0.48812	0.29116	0.00820	0.06770	0.45529	0.23435	0.05806	0.00831	0.37815	-0.07703	-0.02947	0.47296	0.02826	0.32194	0.14183	-0.04103	0.13234	0.31157	0.07803	0.00794	0.40165	0.05989	0.16741	0.66384	0.01743	0.29276	0.26191	-0.11082	-0.12905	0.98412	-0.02178	0.18491	0.49234	-0.03574	0.33898	0.47287	0.13460	-0.08644	0.60308	0.07220	0.45659	0.38547	0.04028
15	0.14261	0.20050	0.40517	0.14026	0.05444	0.08259	0.11287	0.21199	0.50484	0.29573	0.03086	0.07195	0.41636	0.26265	0.07844	-0.01213	0.37645	-0.05488	-0.06174	0.47509	0.05847	0.29252	0.13920	-0.01954	0.10861	0.31529	0.10579	-0.01567	0.39503	0.08849	0.13172	0.70171	0.04855	0.25493	0.27104	-0.09083	-0.17269	1.00324	-0.01523	0.16175	0.46608	0.00283	0.28193	0.47369	0.18283	-0.12889	0.59912	0.10751	0.41875	0.38663	0.07382
16	0.11655	0.19614	0.38753	0.13571	0.08673	0.08912	0.08303	0.20989	0.50807	0.29584	0.05280	0.07698	0.37816	0.28128	0.09650	-0.02569	0.36652	-0.03083	-0.08553	0.46721	0.08886	0.27079	0.13056	0.00252	0.08569	0.31034	0.13316	-0.03020	0.37722	0.11611	0.10362	0.71919	0.08022	0.22389	0.26879	-0.06951	-0.20763	1.00160	-0.01241	0.14602	0.42625	0.04005	0.23335	0.45470	0.22866	-0.16371	0.58186	0.14235	0.38526	0.37562	0.10827
17	0.09694	0.19198	0.35942	0.12966	0.11817	0.09447	0.05792	0.20551	0.49867	0.29167	0.07392	0.08342	0.34074	0.28961	0.11308	-0.03246	0.34866	-0.00517	-0.10389	0.45082	0.11904	0.25717	0.11610	0.02511	0.06387	0.29777	0.15993	-0.03918	0.34901	0.14260	0.08100	0.71707	0.11222	0.19876	0.25601	-0.04787	-0.23294	0.98076	-0.01286	0.13231	0.37654	0.07510	0.19345	0.41942	0.27075	-0.18953	0.55308	0.17597	0.35684	0.35315	0.14280
18	0.08117	0.18708	0.32301	0.12257	0.14842	0.09821	0.03668	0.19867	0.47785	0.28344	0.09433	0.09149	0.30448	0.28752	0.12917	-0.03443	0.32401	0.02187	-0.11924	0.42694	0.14892	0.24762	0.09698	0.04840	0.04276	0.27908	0.18588	-0.04885	0.31317	0.16801	0.06157	0.69693	0.14446	0.17791	0.23408	-0.02665	-0.24741	0.94256	-0.01581	0.11648	0.32076	0.10798	0.16143	0.37163	0.30810	-0.20505	0.51426	0.20784	0.33096	0.32025	0.17675
19	0.06638	0.18010	0.28103	0.11467	0.17745	0.10003	0.01811	0.18924	0.44730	0.27161	0.11426	0.10103	0.26937	0.27567	0.14570	-0.03532	0.29452	0.05005	-0.13284	0.39653	0.17873	0.23616	0.07523	0.07267	0.02110	0.25578	0.21088	-0.06101	0.27290	0.19261	0.04303	0.66122	0.17684	0.15930	0.20496	-0.00626	-0.25129	0.88962	-0.02032	0.09801	0.26245	0.13932	0.13469	0.31547	0.34016	-0.21154	0.46747	0.23769	0.30368	0.27915	0.20964
20	0.05120	0.17052	0.23614	0.10649	0.20548	0.09981	0.00114	0.17750	0.40915	0.25696	0.13407	0.11164	0.23483	0.25543	0.16342	-0.03804	0.26227	0.07923	-0.14430	0.36063	0.20884	0.22040	0.05238	0.09825	-0.00164	0.22917	0.23500	-0.07289	0.23052	0.21688	0.02367	0.61320	0.20930	0.14134	0.17095	0.01317	-0.24706	0.82554	-0.02531	0.07908	0.20453	0.17016	0.11005	0.25518	0.36688	-0.21231	0.41554	0.26559	0.27210	0.23259	0.24135
21	0.03595	0.15940	0.19057	0.09880	0.23293	0.09760	-0.01465	0.16437	0.36583	0.24056	0.15420	0.12288	0.20058	0.22852	0.18298	-0.04287	0.22888	0.10937	-0.15291	0.32066	0.23966	0.20261	0.02901	0.12547	-0.02346	0.20025	0.25852	-0.08210	0.18768	0.24132	0.00332	0.55649	0.24188	0.12329	0.13445	0.03179	-0.23875	0.75462	-0.02966	0.06156	0.14938	0.20159	0.08637	0.19447	0.38874	-0.21088	0.36151	0.29194	0.23694	0.18303	0.27210
22	0.02183	0.14868	0.14603	0.09216	0.26033	0.09367	-0.02887	0.15125	0.31970	0.22351	0.17516	0.13429	0.16775	0.19660	0.20500	-0.04823	0.19544	0.14055	-0.15851	0.27834	0.27165	0.18563	0.00543	0.15456	-0.04179	0.17011	0.28191	-0.08860	0.14587	0.26637	-0.01589	0.49431	0.27463	0.10543	0.09761	0.05001	-0.23023	0.68125	-0.03224	0.04576	0.09880	0.23451	0.06445	0.13626	0.40657	-0.20935	0.30802	0.31737	0.20313	0.13237	0.30236
23	0.00974	0.13938	0.10371	0.08677	0.28818	0.08839	-0.04064	0.13947	0.27285	0.20667	0.19749	0.14547	0.13879	0.16122	0.22999	-0.05284	0.16269	0.17289	-0.16160	0.23526	0.30524	0.16998	-0.01796	0.18569	-0.05557	0.13991	0.30573	-0.09344	0.10621	0.29236	-0.03088	0.42941	0.30754	0.08875	0.06213	0.06839	-0.22333	0.60914	-0.03196	0.03113	0.05366	0.26952	0.04590	0.08255	0.42146	-0.20759	0.25687	0.34260	0.17506	0.08196	0.33272
24	-0.00002	0.13152	0.06430	0.08255	0.31694	0.08221	-0.04935	0.12968	0.22696	0.19074	0.22164	0.15606	0.11552	0.12393	0.25835	-0.05656	0.13113	0.20658	-0.16341	0.19290	0.34078	0.15439	-0.04061	0.21890	-0.06449	0.11059	0.33043	-0.09789	0.06939	0.31960	-0.04056	0.36445	0.34063	0.07435	0.02906	0.08755	-0.21753	0.54084	-0.02789	0.01753	0.01383	0.30693	0.03188	0.03435	0.43455	-0.20449	0.20909	0.36833	0.15503	0.03293	0.36368
25	-0.00770	0.12478	0.02807	0.07945	0.34700	0.07567	-0.05518	0.12150	0.18335	0.17626	0.24795	0.16580	0.09741	0.08635	0.29028	-0.05913	0.10104	0.24188	-0.16551	0.15248	0.37846	0.13820	-0.06212	0.25410	-0.06826	0.08257	0.35632	-0.10269	0.03562	0.34846	-0.04643	0.30200	0.37390	0.06259	-0.00111	0.10809	-0.21086	0.47782	-0.01935	0.00551	-0.02151	0.34691	0.02223	-0.00798	0.44693	-0.20002	0.16533	0.39518	0.14201	-0.01387	0.39558
26	-0.01410	0.11897	-0.00506	0.07743	0.37868	0.06925	-0.05889	0.11434	0.14283	0.16362	0.27666	0.17444	0.08298	0.04972	0.32578	-0.06042	0.07246	0.27902	-0.16901	0.11477	0.41839	0.12226	-0.08258	0.29106	-0.06744	0.05597	0.38358	-0.10806	0.00471	0.37940	-0.05072	0.24389	0.40741	0.05287	-0.02830	0.13059	-0.20203	0.42095	-0.00580	-0.00436	-0.05330	0.38947	0.01581	-0.04466	0.45951	-0.19586	0.12594	0.42360	0.13196	-0.05796	0.42867
27	-0.02026	0.11383	-0.03549	0.07636	0.41219	0.06353	-0.06122	0.10827	0.10564	0.15316	0.30793	0.18179	0.07162	0.01443	0.36470	-0.06076	0.04512	0.31824	-0.17399	0.07991	0.46057	0.10786	-0.10237	0.32949	-0.06360	0.03071	0.41221	-0.11371	-0.02394	0.41292	-0.05461	0.19088	0.44129	0.04474	-0.05289	0.15557	-0.19151	0.37079	0.01324	-0.01239	-0.08236	0.43453	0.01069	-0.07627	0.47308	-0.19389	0.09077	0.45393	0.12042	-0.09937	0.46317
28	-0.02676	0.10923	-0.06380	0.07596	0.44775	0.05904	-0.06274	0.10374	0.07152	0.14513	0.34192	0.18766	0.06329	-0.01971	0.40681	-0.06042	0.01854	0.35972	-0.18027	0.04761	0.50495	0.09567	-0.12164	0.36903	-0.05826	0.00635	0.44220	-0.11953	-0.05106	0.44957	-0.05832	0.14293	0.47581	0.03792	-0.07548	0.18344	-0.18083	0.32739	0.03830	-0.01976	-0.10925	0.48186	0.00493	-0.10373	0.48827	-0.19444	0.05905	0.48651	0.10625	-0.13852	0.49930
29	-0.03370	0.10559	-0.09051	0.07593	0.48550	0.05625	-0.06424	0.10106	0.04004	0.13951	0.37875	0.19184	0.05752	-0.05295	0.45186	-0.05929	-0.00774	0.40369	-0.18859	0.01759	0.55143	0.08572	-0.14024	0.40931	-0.05278	-0.01763	0.47346	-0.12663	-0.07710	0.48982	-0.06121	0.09950	0.51129	0.03119	-0.09658	0.21449	-0.17159	0.29032	0.06999	-0.02753	-0.13431	0.53116	-0.00271	-0.12822	0.50568	-0.19697	0.02981	0.52165	0.09153	-0.17577	0.53719
30	-0.04106	0.10361	-0.11604	0.07607	0.52554	0.05540	-0.06672	0.10019	0.01084	0.13605	0.41859	0.19419	0.05352	-0.08545	0.49960	-0.05749	-0.03393	0.45035	-0.19996	-0.01032	0.59993	0.07758	-0.15808	0.45008	-0.04860	-0.04157	0.50597	-0.13736	-0.10222	0.53394	-0.06255	0.05989	0.54819	0.02240	-0.11634	0.24893	-0.16514	0.25883	0.10894	-0.03648	-0.15793	0.58205	-0.01231	-0.15101	0.52576	-0.20062	0.00217	0.55966	0.07928	-0.21128	0.57691
31	-0.04898	0.10370	-0.14076	0.07635	0.56793	0.05641	-0.07076	0.10096	-0.01641	0.13438	0.46157	0.19460	0.05078	-0.11726	0.54972	-0.05581	-0.06003	0.49989	-0.21412	-0.03636	0.65042	0.07056	-0.17559	0.49126	-0.04756	-0.06534	0.53979	-0.15314	-0.12645	0.58199	-0.06220	0.02340	0.58696	0.01081	-0.13487	0.28684	-0.16227	0.23200	0.15571	-0.04779	-0.18056	0.63418	-0.02336	-0.17315	0.54889	-0.20462	-0.02447	0.60081	0.07128	-0.24507	0.61848
