	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d
7	0.26647	0.04458	0.08680	0.05791	-0.03419	0.07166	0.18866	0.06336	0.08981	0.05434	-0.03600	0.07275	0.15175	0.07248	-0.02491	0.26956	0.11115	0.01452	0.18183	0.11144	-0.02002	0.29576	0.12091	0.00127	0.25782	0.03702	-0.09936	0.28985	0.14859	0.05122	0.27488	0.09980	-0.13334	0.21766	0.10113	0.03443	0.14646	0.04570	-0.08360	0.31796	0.12614	-0.05275	0.28174	0.17708	0.05969	0.29701	0.07935	-0.06785	0.15686	0.11422	0.04662	0.18610	-0.02989	-0.15498	0.12708	0.00799	-0.09643
8	0.32688	0.05028	0.11575	0.06333	-0.03995	0.08416	0.25459	0.07718	0.11358	0.06221	-0.04075	0.08327	0.19532	0.08775	-0.02490	0.32296	0.14231	0.01450	0.24970	0.13857	-0.02133	0.34910	0.16128	0.00853	0.30127	0.06387	-0.10801	0.36639	0.18199	0.05746	0.36534	0.12997	-0.14816	0.26903	0.12321	0.03867	0.22219	0.06527	-0.09204	0.37986	0.14834	-0.06435	0.36182	0.21224	0.06978	0.37820	0.11994	-0.07854	0.19736	0.14157	0.05086	0.24823	-0.01494	-0.18787	0.19041	0.01970	-0.11946
9	0.38046	0.05913	0.15109	0.06643	-0.04368	0.09685	0.31519	0.09017	0.14623	0.06863	-0.04275	0.09251	0.23423	0.11270	-0.02111	0.37131	0.17934	0.01573	0.30746	0.17195	-0.01816	0.39647	0.20686	0.01763	0.33537	0.09672	-0.11508	0.43300	0.21830	0.06641	0.44790	0.17021	-0.15887	0.31569	0.15036	0.04663	0.29294	0.09322	-0.09627	0.43768	0.17586	-0.07435	0.43392	0.25616	0.08099	0.45402	0.16674	-0.08969	0.25189	0.17427	0.05357	0.30010	0.01454	-0.21670	0.23802	0.04513	-0.13938
10	0.42760	0.06770	0.18983	0.06712	-0.04669	0.10938	0.36589	0.10007	0.18561	0.07381	-0.04389	0.10068	0.26937	0.14581	-0.01542	0.41874	0.21999	0.01771	0.34968	0.20978	-0.01294	0.44352	0.25404	0.02609	0.36468	0.13208	-0.12283	0.48482	0.25589	0.07666	0.51762	0.21805	-0.16751	0.35805	0.18155	0.05728	0.34925	0.12809	-0.09910	0.48963	0.20521	-0.08429	0.48956	0.30619	0.09064	0.51960	0.21392	-0.10270	0.31791	0.21059	0.05464	0.34177	0.05598	-0.24145	0.26784	0.08074	-0.15752
11	0.47028	0.07468	0.22777	0.06583	-0.05000	0.12118	0.40668	0.10826	0.22703	0.07812	-0.04583	0.10792	0.29961	0.18270	-0.01025	0.46652	0.26016	0.01969	0.37753	0.24856	-0.00845	0.49489	0.29779	0.03181	0.39474	0.16538	-0.13253	0.52225	0.29213	0.08642	0.57521	0.26820	-0.17567	0.39457	0.21495	0.06908	0.39025	0.16647	-0.10295	0.53285	0.23240	-0.09521	0.52780	0.35707	0.09675	0.57880	0.25565	-0.11684	0.38958	0.24659	0.05469	0.37762	0.10374	-0.26242	0.28678	0.11965	-0.17491
12	0.51129	0.08115	0.26049	0.06353	-0.05382	0.13141	0.44317	0.11677	0.26476	0.08191	-0.04939	0.11427	0.32492	0.21694	-0.00776	0.51286	0.29498	0.02117	0.39819	0.28344	-0.00679	0.54972	0.33336	0.03378	0.42977	0.19236	-0.14393	0.55116	0.32354	0.09417	0.62608	0.31441	-0.18421	0.42595	0.24838	0.08037	0.42536	0.20374	-0.10905	0.56843	0.25383	-0.10689	0.55839	0.40216	0.09898	0.63888	0.28748	-0.12955	0.46175	0.27902	0.05471	0.41351	0.14998	-0.27964	0.30748	0.15363	-0.19157
13	0.55217	0.08709	0.28464	0.06137	-0.05752	0.13915	0.48120	0.12517	0.29360	0.08528	-0.05437	0.11959	0.34888	0.24251	-0.00916	0.55461	0.32047	0.02203	0.41951	0.30981	-0.00869	0.60377	0.35814	0.03254	0.47010	0.21055	-0.15548	0.57804	0.34686	0.09918	0.67426	0.35111	-0.19308	0.45740	0.27962	0.08965	0.46532	0.23540	-0.11735	0.60189	0.26731	-0.11785	0.59345	0.43490	0.09838	0.69916	0.30698	-0.13778	0.52841	0.30594	0.05553	0.45237	0.18722	-0.29249	0.33858	0.17549	-0.20625
14	0.59120	0.08931	0.29865	0.06018	-0.06001	0.14370	0.52173	0.13131	0.31044	0.08824	-0.05981	0.12359	0.37558	0.25624	-0.01429	0.58853	0.33461	0.02253	0.44579	0.32534	-0.01345	0.65210	0.37139	0.02980	0.51156	0.21940	-0.16493	0.60524	0.36024	0.10166	0.71848	0.37450	-0.20145	0.49462	0.30677	0.09600	0.51330	0.25837	-0.12675	0.63647	0.27216	-0.12601	0.63755	0.45105	0.09668	0.74796	0.31371	-0.13926	0.58260	0.32642	0.05744	0.49308	0.21092	-0.29990	0.37881	0.18116	-0.21682
15	0.62364	0.08484	0.30268	0.06038	-0.06022	0.14470	0.56025	0.13415	0.31492	0.09103	-0.06435	0.12596	0.40563	0.25848	-0.02175	0.61135	0.33720	0.02309	0.47486	0.32982	-0.01952	0.68943	0.37369	0.02740	0.54706	0.21972	-0.17028	0.63012	0.36337	0.10230	0.75371	0.38310	-0.20810	0.53917	0.32842	0.09931	0.56406	0.27144	-0.13560	0.66802	0.26889	-0.12952	0.68529	0.44993	0.09543	0.77299	0.31022	-0.13334	0.61983	0.34120	0.06022	0.53099	0.21988	-0.30068	0.41833	0.17050	-0.22113
16	0.64431	0.07455	0.29829	0.06196	-0.05757	0.14225	0.58997	0.13418	0.30922	0.09417	-0.06684	0.12645	0.43560	0.25205	-0.02956	0.62032	0.32954	0.02408	0.50034	0.32478	-0.02525	0.71124	0.36672	0.02653	0.56955	0.21322	-0.17052	0.64788	0.35736	0.10184	0.77423	0.37783	-0.21182	0.58798	0.34373	0.10013	0.60857	0.27524	-0.14215	0.68852	0.25933	-0.12733	0.72564	0.43500	0.09553	0.77009	0.30119	-0.12121	0.64011	0.35219	0.06331	0.55891	0.21524	-0.29409	0.44527	0.14745	-0.21794
