	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_3_CINE_D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0002_4_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_18_CR012_BAREFOOT_GAIT0003_1_CINE_E&D.c3d
7	0.50689	0.06251	-0.07206	0.06949	-0.07795	0.05154	0.54757	0.10896	0.01030	0.10294	-0.09819	0.03526	0.64925	-0.06216	-0.13381	0.43321	-0.05155	-0.09443	0.59927	-0.06559	-0.13413	0.42875	0.03320	-0.14868	0.47412	-0.01765	-0.09202	0.61341	-0.16623	-0.12445	0.55133	0.07182	-0.11681	0.51978	-0.13534	-0.10492	0.53280	-0.07697	-0.10805	0.56295	-0.13231	-0.02567	0.60511	-0.03553	-0.09184	0.50636	-0.08603	-0.01862	0.31591	0.20654	-0.05517	0.51651	-0.02060	-0.01485	0.57933	0.03402	-0.04753
8	0.48222	0.07300	0.00919	0.07452	-0.08188	0.05565	0.52711	0.09691	0.11503	0.11730	-0.10358	0.04390	0.64414	0.02556	-0.15155	0.41207	0.03093	-0.09930	0.58036	0.03229	-0.14852	0.38699	0.10809	-0.15433	0.43790	0.06045	-0.09578	0.61636	-0.09714	-0.13086	0.50208	0.19949	-0.12523	0.52057	-0.05647	-0.11853	0.53292	0.00363	-0.11707	0.52024	-0.05222	-0.02480	0.58638	0.05089	-0.08552	0.46703	-0.00859	-0.00614	0.33970	0.31520	-0.03824	0.49664	0.08850	-0.02534	0.50421	0.17815	-0.05893
9	0.44127	0.07956	0.08858	0.08057	-0.07785	0.05933	0.47933	0.09775	0.22146	0.13588	-0.10087	0.05330	0.62236	0.11244	-0.16198	0.38921	0.11597	-0.09370	0.53581	0.12976	-0.15397	0.33445	0.17040	-0.14997	0.38961	0.13489	-0.09120	0.58535	-0.03074	-0.12763	0.42795	0.32243	-0.12535	0.50621	0.01882	-0.12520	0.50384	0.08335	-0.11748	0.46212	0.02875	-0.01677	0.53182	0.14347	-0.06838	0.40063	0.06893	0.01456	0.33252	0.43064	-0.01691	0.46261	0.20165	-0.03287	0.40098	0.32812	-0.06201
10	0.38594	0.07931	0.16110	0.08896	-0.06608	0.06311	0.41074	0.10514	0.32269	0.15429	-0.09067	0.06226	0.57430	0.19616	-0.16478	0.35189	0.20105	-0.07772	0.47192	0.22129	-0.15081	0.28331	0.21757	-0.13591	0.33716	0.20059	-0.07827	0.52347	0.02860	-0.11594	0.33759	0.43372	-0.11771	0.46914	0.08679	-0.12551	0.45061	0.15768	-0.11028	0.38904	0.10570	-0.00116	0.45076	0.23714	-0.04234	0.32568	0.13782	0.04143	0.31072	0.53915	0.00655	0.40785	0.31064	-0.03557	0.27928	0.47371	-0.05535
11	0.32570	0.07179	0.22203	0.09966	-0.04772	0.06694	0.33758	0.11427	0.41158	0.16887	-0.07425	0.06982	0.50682	0.27240	-0.16034	0.29871	0.27980	-0.05302	0.40239	0.30200	-0.14005	0.24088	0.25238	-0.11344	0.29092	0.25440	-0.05818	0.44721	0.07680	-0.09765	0.24533	0.52747	-0.10315	0.41448	0.14355	-0.12009	0.38883	0.22409	-0.09689	0.31426	0.17185	0.02150	0.36659	0.32417	-0.01065	0.26214	0.19223	0.07121	0.29314	0.62885	0.02985	0.33696	0.40525	-0.03210	0.15997	0.60212	-0.03852
12	0.27010	0.06272	0.26925	0.11032	-0.02468	0.07037	0.27541	0.12367	0.48293	0.17744	-0.05328	0.07544	0.43767	0.33704	-0.14984	0.23812	0.34541	-0.02251	0.34114	0.36817	-0.12341	0.20596	0.27972	-0.08489	0.25544	0.29670	-0.03297	0.37580	0.11153	-0.07517	0.16614	0.59904	-0.08276	0.35757	0.18752	-0.10969	0.33549	0.28068	-0.07878	0.25281	0.22417	0.04977	0.30085	0.39861	0.02277	0.21580	0.23115	0.10038	0.28298	0.69421	0.05117	0.25935	0.47778	-0.02240	0.06361	0.70273	-0.01211
13	0.22364	0.05985	0.30281	0.11827	0.00076	0.07301	0.23061	0.13101	0.53477	0.17896	-0.02956	0.07909	0.38089	0.38852	-0.13476	0.17848	0.39451	0.01049	0.29523	0.41808	-0.10303	0.17551	0.30181	-0.05313	0.22898	0.32929	-0.00498	0.32022	0.13282	-0.05130	0.10725	0.64652	-0.05777	0.31159	0.22109	-0.09537	0.29799	0.32636	-0.05729	0.21003	0.26419	0.08179	0.26004	0.45892	0.05440	0.18155	0.25386	0.12603	0.27401	0.73421	0.06923	0.18278	0.52493	-0.00741	-0.00116	0.77076	0.02229
14	0.18651	0.06528	0.32320	0.12249	0.02643	0.07468	0.20169	0.13473	0.56723	0.17332	-0.00474	0.08109	0.34110	0.42692	-0.11645	0.12480	0.42607	0.04311	0.26457	0.45175	-0.08103	0.14907	0.31792	-0.02102	0.20789	0.35289	0.02356	0.28219	0.14185	-0.02860	0.06682	0.67062	-0.02951	0.27912	0.24849	-0.07846	0.27359	0.36089	-0.03348	0.18156	0.29385	0.11576	0.23927	0.50522	0.08187	0.15422	0.25788	0.14586	0.26346	0.74947	0.08316	0.11325	0.54666	0.01123	-0.03693	0.80575	0.06227
15	0.15720	0.07430	0.33046	0.12366	0.05052	0.07553	0.18357	0.13550	0.58115	0.16150	0.01988	0.08202	0.31561	0.45261	-0.09587	0.07835	0.43994	0.07346	0.24493	0.46979	-0.05905	0.12796	0.32573	0.00928	0.18952	0.36676	0.05063	0.25799	0.14004	-0.00879	0.03915	0.67345	0.00073	0.25507	0.27249	-0.06035	0.25699	0.38376	-0.00809	0.16036	0.31293	0.15021	0.23015	0.53679	0.10400	0.13186	0.24127	0.15821	0.25117	0.74183	0.09264	0.05649	0.54456	0.03154	-0.05300	0.80984	0.10481
16	0.13350	0.08230	0.32482	0.12361	0.07181	0.07602	0.17048	0.13471	0.57753	0.14533	0.04335	0.08236	0.29902	0.46559	-0.07359	0.03751	0.43685	0.10071	0.22983	0.47295	-0.03824	0.11258	0.32299	0.03656	0.17217	0.36977	0.07460	0.24159	0.12898	0.00741	0.01975	0.65726	0.03178	0.23406	0.29358	-0.04231	0.24455	0.39378	0.01839	0.14112	0.31992	0.18406	0.22465	0.55214	0.12055	0.11388	0.20503	0.16222	0.23614	0.71415	0.09793	0.01507	0.52147	0.05125	-0.06056	0.78687	0.14664
