	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d
7	0.19443	0.06031	0.06055	0.03353	-0.01388	0.03962	0.14386	0.06951	0.06254	0.03870	-0.04395	0.02802	0.11388	0.04094	0.01335	0.07494	0.01119	-0.06396	0.16896	0.03867	-0.04392	0.12465	0.09772	-0.00057	0.21566	0.06795	0.00827	0.27159	0.10562	-0.06020	0.18525	0.05111	0.00020	0.07981	0.03888	-0.04331	0.19607	0.09770	0.01294	0.19317	0.05843	-0.06179	0.24375	0.05653	-0.07328	0.22018	0.09331	-0.03682	0.14887	0.04821	0.01197	0.04978	0.00765	-0.03514	0.11561	0.04896	0.00552	0.14271	0.07916	-0.05198	0.29083	0.13618	0.01525	0.12057	0.02864	-0.08762	0.26546	0.01921	-0.08907	0.16116	0.10478	0.00188
8	0.26411	0.06346	0.07865	0.03589	-0.02242	0.04175	0.20830	0.07245	0.07203	0.03962	-0.05806	0.03215	0.18023	0.06187	0.00897	0.15945	0.02008	-0.08273	0.24874	0.05684	-0.04910	0.18848	0.10974	-0.01053	0.28905	0.09064	-0.00245	0.34440	0.11956	-0.07726	0.24977	0.06778	-0.00330	0.14420	0.04701	-0.05363	0.27050	0.11667	0.00397	0.25324	0.06292	-0.08297	0.31783	0.07204	-0.08488	0.28581	0.10285	-0.04831	0.21725	0.07163	0.01017	0.09435	0.02281	-0.04240	0.17087	0.05803	-0.00204	0.19683	0.08828	-0.06642	0.35564	0.15889	-0.00127	0.18955	0.03233	-0.10822	0.34123	0.03208	-0.10430	0.22670	0.11476	-0.00807
9	0.32205	0.06180	0.09855	0.03699	-0.03137	0.04262	0.27063	0.07374	0.07953	0.04079	-0.07223	0.03629	0.24098	0.08466	0.00260	0.24083	0.02426	-0.10293	0.31569	0.07642	-0.05333	0.25086	0.11807	-0.02037	0.34917	0.11542	-0.01559	0.41046	0.13177	-0.09452	0.30678	0.08731	-0.00763	0.20451	0.05230	-0.06314	0.33308	0.13647	-0.00694	0.30864	0.06483	-0.10442	0.37606	0.08783	-0.09516	0.34765	0.11265	-0.06001	0.27840	0.09918	0.00837	0.14659	0.04065	-0.05008	0.22246	0.06889	-0.01047	0.25235	0.09527	-0.08067	0.40621	0.17898	-0.02000	0.25450	0.03365	-0.12734	0.39169	0.05037	-0.11556	0.28988	0.12180	-0.01881
10	0.36248	0.05685	0.11849	0.03711	-0.04183	0.04278	0.32941	0.07281	0.08612	0.04312	-0.08663	0.04042	0.28889	0.10704	-0.00674	0.31351	0.02478	-0.12488	0.36029	0.09429	-0.05924	0.31021	0.12424	-0.02989	0.39326	0.14048	-0.03130	0.46961	0.14397	-0.11179	0.35068	0.10840	-0.01395	0.26094	0.05656	-0.07250	0.37793	0.15603	-0.02052	0.36212	0.06584	-0.12540	0.40974	0.10114	-0.10661	0.40135	0.12410	-0.07226	0.32240	0.12680	0.00475	0.20526	0.05918	-0.05911	0.26505	0.08045	-0.02062	0.30993	0.10085	-0.09506	0.44147	0.19559	-0.03993	0.31186	0.03369	-0.14538	0.41507	0.07466	-0.12416	0.34928	0.12798	-0.03005
11	0.38720	0.05224	0.13680	0.03657	-0.05438	0.04251	0.38107	0.06979	0.09244	0.04627	-0.10116	0.04435	0.32207	0.12651	-0.01943	0.37205	0.02364	-0.14759	0.38400	0.10820	-0.06896	0.36201	0.12954	-0.03926	0.42398	0.16394	-0.04877	0.51935	0.15550	-0.12835	0.38096	0.12927	-0.02306	0.31295	0.06163	-0.08237	0.40595	0.17396	-0.03679	0.41221	0.06775	-0.14516	0.42355	0.11140	-0.12039	0.44378	0.13668	-0.08482	0.34806	0.15099	-0.00224	0.26442	0.07638	-0.07010	0.29524	0.09141	-0.03311	0.36572	0.10518	-0.10979	0.46386	0.20754	-0.05950	0.35814	0.03355	-0.16286	0.42433	0.10474	-0.13153	0.40003	0.13457	-0.04135
12	0.40338	0.04956	0.15187	0.03595	-0.06855	0.04174	0.42262	0.06568	0.09802	0.04903	-0.11509	0.04766	0.34568	0.14130	-0.03473	0.41682	0.02248	-0.16850	0.39704	0.11724	-0.08294	0.40203	0.13410	-0.04847	0.44644	0.18347	-0.06634	0.55745	0.16355	-0.14273	0.40227	0.14815	-0.03494	0.35973	0.06823	-0.09291	0.42315	0.18843	-0.05470	0.45383	0.07033	-0.16260	0.43004	0.11903	-0.13576	0.47558	0.14818	-0.09671	0.36372	0.16989	-0.01297	0.31683	0.09079	-0.08289	0.31455	0.10080	-0.04776	0.41370	0.10766	-0.12447	0.47664	0.21310	-0.07685	0.39200	0.03361	-0.17977	0.43424	0.13728	-0.13850	0.43821	0.14125	-0.05189
13	0.41709	0.04783	0.16198	0.03572	-0.08293	0.04037	0.45383	0.06144	0.10184	0.05065	-0.12716	0.04991	0.36526	0.15017	-0.05088	0.45182	0.02184	-0.18434	0.40830	0.12109	-0.09976	0.42965	0.13711	-0.05705	0.46438	0.19668	-0.08187	0.58392	0.16568	-0.15317	0.42000	0.16324	-0.04869	0.40102	0.07566	-0.10364	0.43529	0.19725	-0.07239	0.48349	0.07195	-0.17647	0.43800	0.12375	-0.15065	0.50021	0.15651	-0.10660	0.37884	0.18251	-0.02644	0.35882	0.10176	-0.09641	0.32788	0.10786	-0.06341	0.44982	0.10745	-0.13804	0.48248	0.21090	-0.09019	0.41530	0.03322	-0.19535	0.45047	0.16637	-0.14507	0.46427	0.14720	-0.06057
14	0.43009	0.04609	0.16589	0.03568	-0.09565	0.03847	0.47656	0.05739	0.10328	0.05128	-0.13601	0.05088	0.38214	0.15247	-0.06565	0.47979	0.02136	-0.19251	0.42024	0.11998	-0.11674	0.44727	0.13777	-0.06415	0.47897	0.20208	-0.09332	0.60032	0.16170	-0.15834	0.43665	0.17316	-0.06270	0.43695	0.08256	-0.11354	0.44460	0.19870	-0.08778	0.50201	0.07142	-0.18566	0.44927	0.12506	-0.16255	0.52066	0.16102	-0.11337	0.39695	0.18819	-0.04063	0.39138	0.10921	-0.10883	0.33928	0.11185	-0.07832	0.47398	0.10440	-0.14900	0.48235	0.20077	-0.09826	0.43175	0.03139	-0.20824	0.47050	0.18664	-0.15053	0.48149	0.15195	-0.06647
15	0.44075	0.04418	0.16360	0.03515	-0.10491	0.03633	0.49272	0.05354	0.10254	0.05141	-0.14069	0.05066	0.39438	0.14869	-0.07692	0.50129	0.02110	-0.19205	0.43129	0.11542	-0.13084	0.45791	0.13607	-0.06891	0.48915	0.19978	-0.09931	0.60811	0.15357	-0.15789	0.45216	0.17735	-0.07510	0.46765	0.08808	-0.12140	0.45070	0.19250	-0.09910	0.51243	0.06876	-0.18968	0.46104	0.12324	-0.16949	0.53764	0.16223	-0.11662	0.41544	0.18696	-0.05317	0.41688	0.11330	-0.11816	0.34986	0.11233	-0.09056	0.48833	0.09917	-0.15602	0.47529	0.18423	-0.10069	0.44385	0.02773	-0.21695	0.48817	0.19549	-0.15387	0.49309	0.15534	-0.06926
16	0.44604	0.04215	0.15640	0.03366	-0.10958	0.03435	0.50312	0.04982	0.10042	0.05120	-0.14099	0.04953	0.39927	0.14039	-0.08335	0.51597	0.02184	-0.18391	0.43861	0.10970	-0.13960	0.46374	0.13289	-0.07075	0.49212	0.19144	-0.09954	0.60780	0.14388	-0.15263	0.46537	0.17632	-0.08409	0.49289	0.09239	-0.12619	0.45192	0.17974	-0.10537	0.51676	0.06463	-0.18878	0.46836	0.11919	-0.17076	0.54971	0.16081	-0.11673	0.42917	0.18010	-0.06199	0.43568	0.11439	-0.12292	0.35862	0.10949	-0.09850	0.49547	0.09316	-0.15831	0.45988	0.16406	-0.09825	0.45223	0.02294	-0.22042	0.49705	0.19358	-0.15435	0.50094	0.15724	-0.06929
