	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0005_4_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_1_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d	2014_07_09_CR020_BAREFOOT_GAIT0006_3_CINE_E&D.c3d
7	0.39503	0.06933	-0.07214	0.06163	0.01023	0.04480	0.42686	0.08253	-0.09986	0.05843	0.03486	0.05060	0.41075	-0.06590	0.00755	0.46985	-0.12506	0.13109	0.37253	-0.04874	-0.04356	0.54931	-0.13103	-0.02064	0.36192	-0.09231	0.08003	0.40122	-0.03910	0.03998	0.41738	-0.10370	0.04177	0.47682	-0.13907	0.00053	0.41566	-0.14070	0.02896	0.40550	-0.12299	0.08004	0.49187	-0.08860	-0.02883	0.24774	0.03431	-0.02980	0.41761	-0.06467	-0.04262	0.38985	-0.09420	0.02453	0.48127	-0.15058	0.02625	0.48946	-0.16194	0.07020	0.31686	-0.03397	0.06270	0.37839	-0.13496	0.05611	0.26446	0.06773	-0.02995	0.46042	-0.08459	-0.00344
8	0.34143	0.07869	0.00417	0.06981	0.03726	0.05520	0.40735	0.09214	-0.03754	0.05971	0.06351	0.05997	0.38161	0.00613	0.03145	0.45881	-0.05516	0.17647	0.31403	0.03212	-0.02360	0.54354	-0.05883	-0.00326	0.29991	-0.02156	0.12311	0.36513	0.03813	0.07701	0.37671	-0.04030	0.07216	0.46210	-0.07414	0.01474	0.36018	-0.07088	0.06145	0.37806	-0.06760	0.11924	0.43093	-0.00893	0.00046	0.21062	0.09205	-0.00577	0.36308	0.01126	-0.02897	0.37903	-0.04831	0.04230	0.44570	-0.08219	0.05419	0.47716	-0.10723	0.10594	0.25047	0.05537	0.10619	0.34913	-0.07366	0.08777	0.19171	0.16069	-0.02387	0.44988	-0.02062	0.02063
9	0.27085	0.08538	0.08301	0.07720	0.07437	0.06650	0.37878	0.10107	0.02679	0.06135	0.10240	0.07050	0.32885	0.08419	0.06562	0.43692	0.01726	0.23321	0.23677	0.11456	0.00945	0.52427	0.01692	0.02571	0.22874	0.04985	0.17603	0.31579	0.11800	0.12610	0.31779	0.02743	0.11132	0.43744	-0.00767	0.03763	0.28605	0.00455	0.10607	0.35267	-0.00950	0.16970	0.35014	0.07064	0.04094	0.16323	0.14791	0.02874	0.28512	0.09136	-0.00589	0.36461	-0.00253	0.06636	0.39182	-0.01049	0.09210	0.45296	-0.04888	0.15209	0.17574	0.14230	0.16046	0.31083	-0.00880	0.13124	0.10745	0.25567	-0.01237	0.42903	0.04518	0.05317
10	0.19898	0.08565	0.15526	0.08222	0.12048	0.07821	0.33995	0.10616	0.09019	0.06206	0.15052	0.08227	0.26519	0.15921	0.10894	0.39970	0.09076	0.30029	0.15768	0.18953	0.05503	0.48895	0.09125	0.06494	0.16199	0.11351	0.23711	0.26194	0.19262	0.18590	0.25196	0.09284	0.15847	0.40195	0.05753	0.06841	0.20771	0.07774	0.16148	0.31955	0.05178	0.23045	0.27427	0.13906	0.09061	0.11430	0.19738	0.07304	0.20005	0.16671	0.02588	0.33824	0.04423	0.09640	0.32429	0.05795	0.13901	0.41515	0.01056	0.20748	0.11014	0.21478	0.22286	0.26455	0.05476	0.18575	0.03647	0.34126	0.00541	0.39516	0.11104	0.09254
11	0.14368	0.08048	0.21228	0.08489	0.17401	0.08961	0.29910	0.10598	0.14639	0.06055	0.20632	0.09515	0.20995	0.22136	0.15981	0.36204	0.15617	0.37605	0.09774	0.24821	0.11175	0.44461	0.15720	0.11214	0.11440	0.16154	0.30420	0.21754	0.25212	0.25415	0.19508	0.14856	0.21256	0.36187	0.11722	0.10609	0.14521	0.13972	0.22556	0.28346	0.11026	0.29978	0.22622	0.18775	0.14730	0.07574	0.23458	0.12601	0.12844	0.22867	0.06518	0.29943	0.08969	0.13203	0.25858	0.11460	0.19355	0.37093	0.06492	0.27034	0.06563	0.26388	0.29006	0.21764	0.11119	0.24960	-0.00449	0.40853	0.03016	0.35770	0.17056	0.13703
12	0.11035	0.07517	0.24978	0.08646	0.23302	0.10001	0.26590	0.10232	0.18896	0.05701	0.26776	0.10864	0.17303	0.26382	0.21643	0.33670	0.20459	0.45789	0.06495	0.28596	0.17733	0.40266	0.20785	0.16448	0.08716	0.19100	0.37490	0.18842	0.29015	0.32784	0.15708	0.18923	0.27220	0.32681	0.16630	0.14969	0.10772	0.18491	0.29567	0.25498	0.15746	0.37512	0.20618	0.21565	0.20867	0.05296	0.25599	0.18596	0.08095	0.27247	0.11054	0.25857	0.12819	0.17277	0.20949	0.15252	0.25406	0.33097	0.10694	0.33843	0.03584	0.28789	0.35847	0.18019	0.15458	0.32046	-0.01893	0.45436	0.06191	0.32670	0.21751	0.18495
13	0.09112	0.07267	0.26816	0.08779	0.29532	0.10882	0.24337	0.09785	0.21450	0.05273	0.33241	0.12189	0.14843	0.28522	0.27694	0.32190	0.23300	0.54231	0.04997	0.30342	0.24887	0.36894	0.23920	0.21908	0.07013	0.20324	0.44662	0.17029	0.30544	0.40342	0.13575	0.21349	0.33568	0.30196	0.20121	0.19815	0.08822	0.21267	0.36894	0.23782	0.18773	0.45316	0.19888	0.22668	0.27244	0.04205	0.26194	0.25064	0.05355	0.29817	0.16056	0.22758	0.15454	0.21797	0.17866	0.16999	0.31868	0.30100	0.13207	0.40916	0.00937	0.28873	0.42461	0.15680	0.18125	0.39541	-0.02178	0.47997	0.09989	0.30536	0.24857	0.23483
14	0.07566	0.07205	0.26990	0.08888	0.35867	0.11563	0.22737	0.09376	0.22338	0.04897	0.39764	0.13382	0.12525	0.28745	0.33934	0.30862	0.24374	0.62511	0.03977	0.30325	0.32323	0.34076	0.25084	0.27332	0.05406	0.20083	0.51678	0.15524	0.30067	0.47713	0.12116	0.22334	0.40111	0.28496	0.22143	0.25031	0.07336	0.22493	0.44249	0.22692	0.19995	0.53026	0.19327	0.22455	0.33632	0.03428	0.25556	0.31729	0.03476	0.30856	0.21396	0.21043	0.16704	0.26681	0.15584	0.16999	0.38547	0.27907	0.13986	0.47977	-0.01693	0.26894	0.48536	0.14367	0.19081	0.47118	-0.02397	0.48712	0.14263	0.28973	0.26390	0.28523
15	0.05971	0.07165	0.25732	0.08948	0.42081	0.12024	0.21176	0.09014	0.21844	0.04643	0.46074	0.14338	0.09954	0.27272	0.40141	0.28996	0.24133	0.70185	0.02853	0.28755	0.39732	0.31258	0.24481	0.32503	0.03752	0.18592	0.58274	0.13803	0.28032	0.54527	0.10576	0.22129	0.46659	0.26986	0.22891	0.30475	0.05590	0.22341	0.51362	0.21514	0.19635	0.60281	0.18796	0.21143	0.39796	0.02260	0.24067	0.38297	0.01639	0.30621	0.26957	0.20274	0.16744	0.31819	0.13231	0.15631	0.45246	0.25958	0.13307	0.54749	-0.03972	0.23192	0.53818	0.13374	0.18532	0.54441	-0.02710	0.47646	0.18824	0.27334	0.26615	0.33465
16	0.04443	0.07121	0.23251	0.08936	0.47961	0.12266	0.19286	0.08727	0.20322	0.04538	0.51919	0.14969	0.07470	0.24307	0.46078	0.26377	0.22995	0.76842	0.01677	0.25805	0.46818	0.28212	0.22457	0.37248	0.02328	0.16078	0.64203	0.11700	0.24918	0.60474	0.08855	0.20903	0.53021	0.25278	0.22641	0.35986	0.03713	0.20940	0.57988	0.19895	0.18049	0.66763	0.18460	0.18918	0.45512	0.00428	0.22006	0.44493	-0.00216	0.29231	0.32614	0.19783	0.15896	0.37066	0.10747	0.13160	0.51770	0.23834	0.11571	0.60969	-0.05750	0.18288	0.58133	0.12181	0.16821	0.61188	-0.02853	0.44877	0.23471	0.25175	0.25862	0.38164
