	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d
7	0.14051	0.07192	0.03445	0.05791	-0.03291	0.04585	0.06628	0.06221	0.01187	0.07206	-0.06113	0.04978	-0.01844	-0.08636	-0.04566	0.14883	0.11867	0.01361	0.07016	-0.04797	-0.13414	0.06715	-0.00121	-0.03974	0.12687	0.03355	-0.05724	0.11559	0.00726	-0.07017	0.05990	0.01117	-0.05378	0.15620	-0.00600	-0.10820	0.11435	0.07670	-0.02455	0.13677	0.02491	-0.07254	0.07108	-0.00854	-0.06078	0.19635	0.08376	0.02075	-0.05653	-0.08685	-0.12553	0.15704	0.05667	0.02624	-0.01582	-0.07163	-0.09733	0.06589	-0.01443	-0.07598	0.17953	0.08200	0.02757	0.18349	0.08465	-0.02881	0.23139	0.09885	-0.03853	0.07803	0.10805	0.00443
8	0.19701	0.07973	0.06871	0.06655	-0.03370	0.04879	0.12675	0.06818	0.03508	0.08250	-0.06979	0.05420	0.00938	-0.07878	-0.05081	0.22225	0.14745	0.00881	0.13316	-0.03267	-0.15173	0.12304	0.03261	-0.03865	0.18946	0.06802	-0.06353	0.17354	0.05476	-0.06341	0.12442	0.04486	-0.05782	0.21083	0.02039	-0.11650	0.17739	0.11067	-0.02860	0.20244	0.06610	-0.07265	0.12258	0.00916	-0.06164	0.25087	0.11411	0.02342	-0.01044	-0.08134	-0.14143	0.23367	0.08803	0.02761	0.04542	-0.05958	-0.10747	0.11341	-0.00280	-0.09215	0.23266	0.11059	0.03269	0.25098	0.14220	-0.02587	0.28267	0.13710	-0.05283	0.14990	0.14702	-0.00235
9	0.24737	0.08493	0.11037	0.07543	-0.03517	0.05183	0.19093	0.07404	0.06851	0.09344	-0.07793	0.05822	0.03889	-0.05824	-0.05534	0.29032	0.18305	0.00361	0.19357	-0.00824	-0.16732	0.18000	0.07021	-0.03798	0.25923	0.11546	-0.07013	0.22488	0.10897	-0.05516	0.19670	0.09047	-0.06235	0.26023	0.05311	-0.12483	0.25023	0.15674	-0.03314	0.27027	0.11392	-0.07165	0.16735	0.03519	-0.06060	0.28773	0.15168	0.02481	0.04329	-0.06479	-0.15570	0.29346	0.12678	0.02655	0.11272	-0.03580	-0.11687	0.16143	0.01582	-0.10804	0.27316	0.14991	0.03643	0.32085	0.20860	-0.02311	0.32422	0.17880	-0.07146	0.23446	0.19720	-0.00878
10	0.29373	0.08898	0.15547	0.08322	-0.03909	0.05542	0.25344	0.08138	0.11035	0.10488	-0.08653	0.06163	0.07210	-0.02728	-0.06027	0.35387	0.22637	-0.00215	0.24562	0.02395	-0.18120	0.23679	0.10784	-0.03993	0.32911	0.17194	-0.07884	0.27742	0.16533	-0.04840	0.26501	0.14420	-0.06890	0.30869	0.09023	-0.13491	0.32233	0.20990	-0.03929	0.33731	0.16346	-0.07211	0.20334	0.06790	-0.05913	0.31417	0.19424	0.02343	0.10105	-0.03868	-0.16901	0.33333	0.16970	0.02166	0.17416	-0.00354	-0.12706	0.21393	0.04354	-0.12344	0.30326	0.19348	0.03720	0.39321	0.27754	-0.02248	0.36102	0.22020	-0.09509	0.32601	0.25790	-0.01624
11	0.34118	0.09353	0.19921	0.08894	-0.04622	0.05953	0.30985	0.08921	0.15575	0.11555	-0.09604	0.06423	0.11204	0.00965	-0.06639	0.41420	0.27540	-0.00837	0.28785	0.06001	-0.19338	0.29444	0.14260	-0.04583	0.39298	0.22987	-0.09055	0.33637	0.21859	-0.04522	0.32296	0.19978	-0.07828	0.36023	0.12792	-0.14715	0.38547	0.26182	-0.04718	0.40196	0.20971	-0.07600	0.23511	0.10407	-0.05844	0.34146	0.23731	0.01889	0.15789	-0.00724	-0.18155	0.36392	0.21336	0.01278	0.22367	0.03254	-0.13907	0.26981	0.07908	-0.13771	0.33314	0.23380	0.03396	0.46656	0.34139	-0.02481	0.40166	0.25775	-0.12240	0.40855	0.32221	-0.02586
12	0.39237	0.09695	0.23676	0.09178	-0.05599	0.06373	0.36013	0.09545	0.19829	0.12388	-0.10605	0.06595	0.16074	0.04757	-0.07386	0.47091	0.32449	-0.01448	0.32405	0.09496	-0.20340	0.35274	0.17242	-0.05554	0.44861	0.28100	-0.10473	0.40037	0.26368	-0.04628	0.37286	0.24977	-0.09008	0.41482	0.16149	-0.16051	0.44133	0.30429	-0.05565	0.46274	0.24831	-0.08394	0.26950	0.13879	-0.05936	0.37884	0.27564	0.01213	0.21039	0.02389	-0.19270	0.39860	0.25369	0.00131	0.26551	0.06793	-0.15274	0.32416	0.11717	-0.14984	0.37301	0.26589	0.02705	0.53471	0.39242	-0.02981	0.44714	0.28651	-0.15048	0.47394	0.38063	-0.03754
13	0.44545	0.09669	0.26458	0.09139	-0.06687	0.06740	0.40576	0.09868	0.23206	0.12869	-0.11543	0.06679	0.21594	0.08195	-0.08204	0.52192	0.36681	-0.01957	0.35826	0.12419	-0.21059	0.40866	0.19615	-0.06747	0.49359	0.31918	-0.11967	0.46534	0.29743	-0.05095	0.41875	0.28734	-0.10274	0.46919	0.18722	-0.17310	0.49431	0.33179	-0.06301	0.51790	0.27657	-0.09498	0.30946	0.16696	-0.06215	0.42959	0.30466	0.00477	0.25713	0.05024	-0.20121	0.44230	0.28585	-0.01054	0.30736	0.09824	-0.16674	0.37265	0.15154	-0.15866	0.42399	0.28832	0.01808	0.59077	0.42547	-0.03654	0.49083	0.30222	-0.17590	0.52421	0.42434	-0.05002
14	0.49496	0.09277	0.28124	0.08809	-0.07700	0.07007	0.44615	0.09842	0.25378	0.12938	-0.12281	0.06683	0.27106	0.10958	-0.08980	0.56503	0.39779	-0.02282	0.39029	0.14479	-0.21434	0.45712	0.21354	-0.07938	0.52466	0.34183	-0.13320	0.52587	0.31873	-0.05769	0.45956	0.30848	-0.11421	0.51752	0.20352	-0.18304	0.54186	0.34285	-0.06789	0.56463	0.29382	-0.10714	0.35248	0.18561	-0.06638	0.48867	0.32187	-0.00157	0.29716	0.07006	-0.20573	0.49147	0.30623	-0.02072	0.35318	0.12057	-0.17895	0.41384	0.17834	-0.16319	0.47779	0.30205	0.00917	0.63030	0.43923	-0.04403	0.52518	0.30386	-0.19585	0.56347	0.44750	-0.06138
15	0.53409	0.08729	0.28752	0.08267	-0.08494	0.07152	0.47851	0.09530	0.26352	0.12611	-0.12709	0.06608	0.31846	0.12921	-0.09594	0.59843	0.41622	-0.02377	0.41643	0.15626	-0.21436	0.49279	0.22500	-0.08930	0.54040	0.34993	-0.14342	0.57536	0.32830	-0.06480	0.48994	0.31325	-0.12261	0.55286	0.21109	-0.18909	0.57601	0.34024	-0.06976	0.59888	0.30087	-0.11835	0.39288	0.19472	-0.07123	0.54437	0.32772	-0.00589	0.32859	0.08397	-0.20545	0.53776	0.31416	-0.02788	0.40017	0.13446	-0.18717	0.44879	0.19703	-0.16317	0.52315	0.30888	0.00208	0.65134	0.43596	-0.05145	0.54587	0.29398	-0.20874	0.59347	0.44910	-0.06999
16	0.55796	0.08211	0.28593	0.07612	-0.08989	0.07177	0.50023	0.09082	0.26404	0.11970	-0.12783	0.06454	0.35277	0.14142	-0.09956	0.62098	0.42345	-0.02255	0.43343	0.16044	-0.21080	0.51350	0.23180	-0.09600	0.54259	0.34691	-0.14929	0.60882	0.32883	-0.07086	0.50482	0.30516	-0.12674	0.57069	0.21240	-0.19075	0.59151	0.32967	-0.06891	0.61780	0.29983	-0.12712	0.42558	0.19698	-0.07553	0.58482	0.32533	-0.00791	0.35006	0.09401	-0.20029	0.57197	0.31176	-0.03161	0.44091	0.14160	-0.18983	0.47854	0.20925	-0.15920	0.55242	0.31077	-0.00233	0.65433	0.42005	-0.05823	0.55252	0.27714	-0.21449	0.61392	0.43296	-0.07512
