	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_5_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0002_6_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_2_CINE_D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d	2014_07_09_CR021_BAREFOOT_GAIT0005_1_CINE_E&D.c3d
7	0.44885	0.12262	0.02341	0.10123	-0.12387	0.04094	0.52907	0.15867	0.02522	0.08700	-0.10075	0.04848	0.51625	-0.06875	-0.11194	0.65843	-0.05577	-0.06533	0.51086	0.05836	-0.07211	0.32053	0.10036	-0.14857	0.31393	0.18574	-0.18699	0.28637	0.05009	-0.16496	0.37774	0.13085	-0.18925	0.47639	0.07829	-0.14116	0.61541	-0.04407	-0.08021	0.48031	-0.06216	-0.11596	0.30428	-0.04760	-0.08824	0.60313	-0.07446	-0.09332	0.56667	0.02895	-0.11187	0.58442	-0.10649	-0.05177	0.60392	-0.07581	-0.07330	0.53598	-0.00291	-0.05465	0.46669	-0.00706	-0.12452	0.24799	0.14094	-0.19521	0.50642	0.18335	-0.09128	0.80346	0.07449	-0.08557
8	0.41171	0.13026	0.10789	0.12121	-0.13167	0.04708	0.53895	0.17514	0.12112	0.10301	-0.09939	0.05090	0.52621	0.00565	-0.12575	0.67767	0.02241	-0.05712	0.49887	0.16069	-0.06840	0.27503	0.18201	-0.16210	0.30292	0.30200	-0.18605	0.22975	0.12535	-0.18012	0.38580	0.22831	-0.19447	0.44881	0.15019	-0.15651	0.62649	0.04175	-0.07324	0.47560	0.00380	-0.12746	0.29832	0.00498	-0.08963	0.54599	-0.01485	-0.08980	0.56431	0.15100	-0.11142	0.52237	-0.02793	-0.04622	0.60243	0.01564	-0.07911	0.56988	0.08190	-0.04965	0.44879	0.07822	-0.12926	0.19058	0.24407	-0.20581	0.45398	0.33241	-0.09365	0.86278	0.20256	-0.08476
9	0.36258	0.13515	0.19366	0.14132	-0.13047	0.05396	0.51833	0.18661	0.22575	0.12232	-0.08883	0.05386	0.51826	0.08823	-0.13266	0.67690	0.10620	-0.03888	0.45997	0.26773	-0.05646	0.22266	0.25930	-0.16894	0.26421	0.42323	-0.17603	0.18074	0.19313	-0.18775	0.36367	0.33705	-0.19092	0.41287	0.21862	-0.16352	0.59280	0.13750	-0.05788	0.45416	0.07195	-0.13148	0.27754	0.05915	-0.08515	0.48409	0.04612	-0.07662	0.52616	0.28318	-0.10004	0.43007	0.06175	-0.03104	0.56434	0.11855	-0.07913	0.58393	0.17824	-0.03435	0.40569	0.16498	-0.12431	0.12863	0.34635	-0.20397	0.38867	0.48618	-0.08443	0.87380	0.34671	-0.06943
10	0.31847	0.13656	0.27287	0.15991	-0.12075	0.06162	0.47395	0.18989	0.33010	0.14241	-0.07030	0.05808	0.49662	0.17334	-0.13230	0.65555	0.19074	-0.01248	0.40483	0.36954	-0.03780	0.17668	0.32651	-0.16915	0.21036	0.53829	-0.15977	0.15032	0.25105	-0.18834	0.32099	0.44681	-0.17961	0.38522	0.27746	-0.16154	0.52896	0.23181	-0.03693	0.42727	0.13603	-0.12846	0.24705	0.11243	-0.07602	0.43720	0.10248	-0.05492	0.46644	0.41199	-0.07909	0.33946	0.15205	-0.00762	0.49823	0.22455	-0.07350	0.57449	0.27990	-0.00870	0.35605	0.24519	-0.11151	0.08334	0.43445	-0.19052	0.33248	0.63014	-0.06310	0.83260	0.49496	-0.03911
11	0.28611	0.13606	0.34046	0.17531	-0.10389	0.06999	0.42395	0.18677	0.42369	0.15988	-0.04552	0.06414	0.46774	0.25434	-0.12483	0.62432	0.26900	0.01969	0.35133	0.45559	-0.01417	0.14158	0.38068	-0.16343	0.16215	0.63633	-0.13953	0.13107	0.30130	-0.18302	0.27614	0.54644	-0.16202	0.36550	0.32494	-0.15133	0.46320	0.31439	-0.01364	0.40122	0.19272	-0.11999	0.21593	0.16173	-0.06360	0.40693	0.15257	-0.02709	0.40756	0.52369	-0.05042	0.27726	0.23266	0.02166	0.42097	0.32424	-0.06275	0.55260	0.37657	0.02659	0.31945	0.31068	-0.09330	0.05530	0.50185	-0.16777	0.29502	0.75289	-0.02986	0.76527	0.62896	0.00467
12	0.26043	0.13513	0.39495	0.18610	-0.08186	0.07898	0.38432	0.18124	0.49841	0.17248	-0.01621	0.07237	0.43479	0.32567	-0.11106	0.59835	0.33305	0.05518	0.31054	0.51925	0.01285	0.11397	0.42150	-0.15293	0.13334	0.71043	-0.11661	0.11053	0.34609	-0.17330	0.24277	0.62750	-0.13963	0.34585	0.36143	-0.13462	0.41843	0.37894	0.00952	0.37478	0.24199	-0.10818	0.19128	0.20464	-0.04909	0.38463	0.19736	0.00398	0.36398	0.60875	-0.01603	0.24295	0.30006	0.05420	0.35221	0.40877	-0.04761	0.53258	0.45785	0.07031	0.29927	0.35801	-0.07232	0.03156	0.54807	-0.13852	0.26601	0.84929	0.01413	0.69976	0.73491	0.05903
13	0.23502	0.13421	0.43580	0.19133	-0.05666	0.08853	0.35911	0.17523	0.55071	0.17927	0.01607	0.08273	0.39523	0.38437	-0.09256	0.58183	0.37877	0.09191	0.28402	0.55858	0.04182	0.09066	0.44902	-0.13887	0.12310	0.75886	-0.09176	0.08320	0.38503	-0.16073	0.22179	0.68531	-0.11383	0.32365	0.38660	-0.11347	0.39736	0.42437	0.03111	0.34653	0.28438	-0.09498	0.17620	0.24047	-0.03343	0.36440	0.23618	0.03560	0.33577	0.66340	0.02210	0.22087	0.35416	0.08778	0.30586	0.47195	-0.02885	0.51779	0.51785	0.12088	0.28638	0.38833	-0.05087	0.00550	0.57356	-0.10519	0.23378	0.91640	0.06666	0.64735	0.80755	0.12078
14	0.20787	0.13278	0.46203	0.19055	-0.03011	0.09858	0.34241	0.16782	0.58086	0.18023	0.04996	0.09490	0.34761	0.42817	-0.07125	0.56809	0.40609	0.12832	0.26813	0.57481	0.07150	0.07148	0.46303	-0.12244	0.12039	0.78353	-0.06571	0.05155	0.41564	-0.14660	0.20421	0.71868	-0.08587	0.29952	0.39938	-0.08984	0.38724	0.45269	0.05039	0.31822	0.31949	-0.08185	0.17228	0.26923	-0.01693	0.34446	0.26620	0.06559	0.31435	0.68846	0.06203	0.19762	0.39440	0.12084	0.28453	0.51157	-0.00736	0.50089	0.55589	0.17640	0.27302	0.40389	-0.03053	-0.02103	0.57884	-0.06958	0.19627	0.95122	0.12458	0.60399	0.84761	0.18680
15	0.18000	0.13005	0.47257	0.18384	-0.00370	0.10885	0.32612	0.15781	0.59077	0.17596	0.08420	0.10829	0.29519	0.45479	-0.04898	0.54849	0.41696	0.16333	0.25721	0.57097	0.10078	0.05723	0.46378	-0.10479	0.11362	0.78742	-0.03942	0.02112	0.43494	-0.13176	0.18183	0.72830	-0.05702	0.27245	0.39915	-0.06537	0.37364	0.46581	0.06699	0.29155	0.34631	-0.06976	0.17803	0.29112	0.00066	0.32329	0.28444	0.09244	0.29156	0.68703	0.10198	0.16878	0.41904	0.15239	0.28228	0.52831	0.01585	0.47486	0.57347	0.23477	0.25782	0.40630	-0.01236	-0.04450	0.56500	-0.03286	0.15708	0.95200	0.18409	0.55967	0.85833	0.25406
16	0.15307	0.12559	0.46730	0.17192	0.02137	0.11889	0.30500	0.14598	0.58270	0.16711	0.11766	0.12221	0.24350	0.46289	-0.02737	0.51849	0.41380	0.19632	0.24520	0.55098	0.12865	0.04890	0.45222	-0.08709	0.09747	0.77310	-0.01395	-0.00373	0.44099	-0.11677	0.15383	0.71549	-0.02855	0.24176	0.38634	-0.04124	0.34686	0.46486	0.08081	0.26722	0.36353	-0.05934	0.18722	0.30635	0.01984	0.29820	0.28948	0.11513	0.26391	0.66290	0.14040	0.13565	0.42665	0.18184	0.28988	0.52441	0.03948	0.43921	0.57220	0.29392	0.24326	0.39639	0.00305	-0.06328	0.53449	0.00422	0.11918	0.91999	0.24132	0.50791	0.84293	0.31963
