	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0001_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0002_4_CINE_E.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d	2014_07_21_CR027_BAREFOOT_GAIT0003_4_CINE_D.c3d
7	0.39599	0.06056	-0.07630	0.05047	-0.14250	0.03067	0.42904	0.05937	-0.01786	0.05577	-0.11843	0.02339	0.36190	-0.07841	-0.12536	0.39990	-0.03400	-0.12050	0.41423	-0.12922	-0.12111	0.45288	-0.03659	-0.11104	0.36676	-0.05557	-0.16054	0.49265	-0.05294	-0.12574	0.51523	-0.12487	-0.13570	0.36539	-0.03636	-0.18787	0.39244	-0.07987	-0.05954	0.36708	-0.07710	-0.13137	0.36354	0.02223	-0.12970	0.40996	0.02708	-0.12340	0.28768	0.03470	-0.19533	0.42509	-0.06576	-0.14828	0.52396	0.03056	-0.11593	0.42799	-0.12694	-0.11934	0.50334	-0.12164	-0.12508	0.42859	-0.10348	-0.10010	0.38204	0.04613	-0.15212	0.36966	0.02044	-0.12123
8	0.37644	0.06165	-0.02204	0.05411	-0.15398	0.03272	0.42412	0.05563	0.04809	0.06467	-0.12474	0.02515	0.33000	-0.03865	-0.13186	0.39714	0.02606	-0.12927	0.38663	-0.07429	-0.13343	0.44639	0.01546	-0.10729	0.34777	-0.00858	-0.17356	0.47608	0.01438	-0.13205	0.50195	-0.05715	-0.14818	0.36027	0.02290	-0.20360	0.38224	-0.01664	-0.06992	0.35428	-0.04468	-0.13573	0.36849	0.07998	-0.14253	0.39948	0.09356	-0.12491	0.26707	0.10606	-0.21231	0.40134	-0.01441	-0.15518	0.49991	0.12329	-0.12070	0.41470	-0.07389	-0.13244	0.51595	-0.06593	-0.13007	0.40041	-0.03769	-0.11346	0.37815	0.14043	-0.16879	0.37736	0.07030	-0.12186
9	0.34353	0.06293	0.03248	0.05948	-0.15773	0.03486	0.40536	0.05404	0.11708	0.07514	-0.12583	0.02707	0.28687	-0.00016	-0.13267	0.38715	0.09128	-0.13356	0.34367	-0.01627	-0.13725	0.42616	0.07010	-0.09854	0.31409	0.03636	-0.17914	0.44252	0.08444	-0.13254	0.47708	0.01185	-0.14949	0.34254	0.08314	-0.21143	0.36229	0.04988	-0.07812	0.32593	-0.01319	-0.13303	0.35602	0.14106	-0.15258	0.37579	0.16047	-0.12092	0.23818	0.17613	-0.22182	0.35929	0.03663	-0.15364	0.45824	0.21710	-0.12095	0.38467	-0.01893	-0.13785	0.51807	-0.00554	-0.12687	0.36299	0.02921	-0.12095	0.36257	0.23881	-0.17710	0.36479	0.12324	-0.11713
10	0.30133	0.06265	0.08378	0.06652	-0.15435	0.03734	0.37117	0.05483	0.18486	0.08545	-0.12253	0.02930	0.24049	0.03450	-0.12823	0.35967	0.15943	-0.13401	0.28878	0.04111	-0.13305	0.39764	0.12265	-0.08641	0.27334	0.07500	-0.17782	0.39441	0.15239	-0.12789	0.43771	0.07892	-0.14047	0.31369	0.14114	-0.21231	0.32260	0.11876	-0.08441	0.28988	0.01420	-0.12414	0.32699	0.19948	-0.15998	0.34346	0.22365	-0.11236	0.20172	0.24144	-0.22468	0.30868	0.08397	-0.14450	0.40238	0.30542	-0.11779	0.34028	0.03473	-0.13572	0.49965	0.05709	-0.11702	0.31872	0.09280	-0.12263	0.32447	0.33674	-0.17760	0.34039	0.17303	-0.10786
11	0.25876	0.05973	0.12930	0.07479	-0.14491	0.04019	0.33025	0.05681	0.24595	0.09487	-0.11552	0.03191	0.20085	0.06390	-0.11942	0.31981	0.22414	-0.13106	0.23416	0.09389	-0.12209	0.37085	0.16947	-0.07228	0.23659	0.10565	-0.17067	0.34396	0.21255	-0.11840	0.38652	0.14063	-0.12278	0.28079	0.19448	-0.20728	0.26870	0.18502	-0.08856	0.25647	0.03641	-0.11050	0.29422	0.24873	-0.16447	0.30810	0.28002	-0.10011	0.16174	0.29894	-0.22160	0.26270	0.12635	-0.12924	0.34545	0.38199	-0.11180	0.29273	0.08382	-0.12682	0.46305	0.11676	-0.10233	0.27505	0.14892	-0.11874	0.27124	0.42622	-0.17101	0.31710	0.21460	-0.09513
12	0.22284	0.05490	0.16823	0.08310	-0.13083	0.04326	0.29283	0.05967	0.29681	0.10290	-0.10524	0.03477	0.17431	0.08808	-0.10748	0.28006	0.28005	-0.12495	0.18995	0.14044	-0.10617	0.35317	0.20921	-0.05711	0.20960	0.12957	-0.15913	0.30214	0.26191	-0.10400	0.32968	0.19439	-0.09885	0.25016	0.24212	-0.19751	0.21683	0.24296	-0.08980	0.23301	0.05421	-0.09374	0.26782	0.28606	-0.16548	0.27508	0.32790	-0.08498	0.12238	0.34679	-0.21339	0.22776	0.16476	-0.10984	0.29752	0.44409	-0.10296	0.25216	0.12695	-0.11248	0.41812	0.16899	-0.08451	0.23942	0.19498	-0.10965	0.21755	0.50066	-0.15848	0.29997	0.24626	-0.08017
13	0.19678	0.05050	0.20046	0.09021	-0.11364	0.04623	0.26437	0.06278	0.33590	0.10884	-0.09204	0.03759	0.16266	0.10738	-0.09369	0.24985	0.32468	-0.11566	0.16041	0.18046	-0.08713	0.34536	0.24158	-0.04144	0.19345	0.14814	-0.14480	0.27336	0.29918	-0.08444	0.27529	0.23848	-0.07165	0.22525	0.28327	-0.18416	0.17996	0.28977	-0.08715	0.22236	0.06859	-0.07532	0.24951	0.31130	-0.16255	0.24821	0.36590	-0.06773	0.08818	0.38360	-0.20103	0.20262	0.20029	-0.08848	0.26200	0.49056	-0.09080	0.22251	0.16407	-0.09430	0.37530	0.21106	-0.06494	0.21504	0.23028	-0.09582	0.17371	0.55630	-0.14148	0.28639	0.26865	-0.06424
14	0.18098	0.04875	0.22551	0.09521	-0.09477	0.04874	0.24469	0.06513	0.36263	0.11224	-0.07631	0.04006	0.16394	0.12175	-0.07919	0.23139	0.35728	-0.10322	0.14499	0.21332	-0.06646	0.34277	0.26625	-0.02572	0.18683	0.16160	-0.12913	0.25545	0.32374	-0.05969	0.23197	0.27151	-0.04420	0.20793	0.31654	-0.16809	0.16116	0.32483	-0.07975	0.22213	0.08036	-0.05634	0.23664	0.32503	-0.15573	0.22786	0.39255	-0.04915	0.06345	0.40790	-0.18561	0.18361	0.23241	-0.06714	0.23587	0.52090	-0.07512	0.20360	0.19488	-0.07375	0.34184	0.24093	-0.04468	0.20134	0.25483	-0.07779	0.14148	0.59193	-0.12161	0.27241	0.28285	-0.04847
15	0.17370	0.04940	0.24247	0.09762	-0.07532	0.05046	0.22967	0.06557	0.37709	0.11294	-0.05871	0.04215	0.17383	0.13052	-0.06478	0.22134	0.37800	-0.08801	0.13997	0.23768	-0.04524	0.33650	0.28316	-0.01032	0.18633	0.16946	-0.11323	0.24201	0.33617	-0.03022	0.20521	0.29247	-0.01889	0.19827	0.34018	-0.14978	0.15635	0.34828	-0.06743	0.22610	0.08990	-0.03753	0.22549	0.32797	-0.14562	0.21073	0.40681	-0.03014	0.04961	0.41860	-0.16815	0.16813	0.25884	-0.04728	0.21358	0.53499	-0.05649	0.19342	0.21838	-0.05208	0.31827	0.25773	-0.02460	0.19611	0.26868	-0.05624	0.11757	0.60809	-0.10043	0.25484	0.28973	-0.03379
16	0.17127	0.05066	0.25034	0.09741	-0.05607	0.05127	0.21343	0.06296	0.38004	0.11087	-0.04013	0.04413	0.18638	0.13280	-0.05096	0.21453	0.38744	-0.07078	0.13942	0.25195	-0.02430	0.31688	0.29254	0.00441	0.18737	0.17089	-0.09772	0.22574	0.33819	0.00304	0.19422	0.30099	0.00289	0.19424	0.35254	-0.12950	0.15854	0.36051	-0.05091	0.22740	0.09707	-0.01941	0.21108	0.32144	-0.13335	0.19174	0.40848	-0.01168	0.04410	0.41562	-0.14958	0.15435	0.27637	-0.02968	0.18897	0.53331	-0.03633	0.18902	0.23320	-0.03034	0.29820	0.26243	-0.00550	0.19617	0.27199	-0.03209	0.09828	0.60610	-0.07937	0.23033	0.28993	-0.02086
17	0.16836	0.05124	0.24876	0.09476	-0.03757	0.05126	0.19085	0.05785	0.37270	0.10623	-0.02163	0.04654	0.19420	0.12838	-0.03800	0.20495	0.38674	-0.05268	0.13625	0.25538	-0.00450	0.28092	0.29421	0.01826	0.18528	0.16545	-0.08286	0.20114	0.33185	0.03884	0.19257	0.29733	0.02063	0.19111	0.35298	-0.10747	0.15925	0.36238	-0.03182	0.22075	0.10149	-0.00225	0.18873	0.30719	-0.12022	0.16727	0.39819	0.00538	0.04238	0.40012	-0.13082	0.13919	0.28260	-0.01452	0.15680	0.51720	-0.01638	0.18546	0.23849	-0.00951	0.27258	0.25702	0.01188	0.19639	0.26541	-0.00642	0.08010	0.58804	-0.05962	0.19673	0.28413	-0.00991
