	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0001_5_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_11_CR009_BAREFOOT_GAIT0003_2_CINE_E&D.c3d
7	0.03984	0.04573	0.00120	0.02577	-0.00886	0.01988	0.06657	0.03591	0.00314	0.01239	0.00213	0.00636	0.02256	0.01278	0.00153	0.09617	0.00650	0.00907	0.07149	-0.02067	-0.01572	0.07940	-0.00347	-0.00176	0.02846	-0.00934	-0.02728	0.06724	-0.00982	0.00256	0.00081	0.00043	-0.01146	0.11927	-0.00842	-0.00136	-0.00503	-0.03333	-0.03341	0.03484	0.02080	0.01251	0.12669	0.04497	0.02603	0.05522	-0.00182	-0.00472	0.03387	0.01358	-0.00170	0.01382	0.01822	-0.00143
8	0.07367	0.05756	-0.01520	0.02689	-0.01257	0.02025	0.09402	0.02922	-0.01295	0.01411	0.00036	0.00683	0.03891	-0.00429	-0.00196	0.12003	-0.00847	0.00857	0.12167	-0.03175	-0.01377	0.10432	-0.01751	-0.00583	0.04294	-0.02686	-0.03224	0.10667	-0.03430	-0.00093	0.02316	-0.00942	-0.01241	0.13067	-0.02419	-0.00488	0.02686	-0.05947	-0.04230	0.06816	0.00116	0.01106	0.17630	0.02412	0.01923	0.07793	-0.01372	-0.00513	0.08582	0.00125	-0.00457	0.05033	0.00634	-0.00032
9	0.10936	0.06404	-0.03414	0.02876	-0.01756	0.02044	0.11961	0.02385	-0.03132	0.01634	-0.00186	0.00758	0.06612	-0.02418	-0.00670	0.14135	-0.02539	0.00779	0.16417	-0.04466	-0.01169	0.13138	-0.03386	-0.01004	0.05993	-0.04585	-0.03757	0.13576	-0.06028	-0.00479	0.04891	-0.02185	-0.01432	0.14416	-0.04163	-0.00818	0.07123	-0.08814	-0.05191	0.10096	-0.02242	0.00857	0.21545	-0.00042	0.00890	0.09669	-0.02707	-0.00663	0.13974	-0.01389	-0.00964	0.08698	-0.00857	0.00026
10	0.14195	0.06208	-0.05392	0.03129	-0.02332	0.02105	0.14363	0.02026	-0.05094	0.01875	-0.00427	0.00841	0.10261	-0.04529	-0.01196	0.15860	-0.04300	0.00699	0.19528	-0.05929	-0.00920	0.15785	-0.05172	-0.01417	0.08278	-0.06506	-0.04294	0.15601	-0.08586	-0.00864	0.07594	-0.03620	-0.01691	0.16412	-0.06021	-0.01089	0.11899	-0.11657	-0.06179	0.13317	-0.04894	0.00529	0.23501	-0.02520	-0.00383	0.11452	-0.04126	-0.00897	0.18301	-0.02979	-0.01659	0.12114	-0.02556	0.00050
11	0.16702	0.05321	-0.07308	0.03361	-0.02936	0.02256	0.16511	0.01903	-0.07037	0.02120	-0.00653	0.00923	0.13879	-0.06498	-0.01732	0.17078	-0.05969	0.00652	0.21554	-0.07546	-0.00606	0.18031	-0.06954	-0.01795	0.11107	-0.08334	-0.04806	0.17181	-0.10904	-0.01192	0.10226	-0.05172	-0.01990	0.18867	-0.07877	-0.01281	0.15781	-0.14217	-0.07145	0.16337	-0.07701	0.00154	0.23621	-0.04849	-0.01757	0.13380	-0.05562	-0.01166	0.20748	-0.04538	-0.02519	0.14704	-0.04291	0.00058
12	0.18373	0.04194	-0.09101	0.03504	-0.03526	0.02491	0.18248	0.02006	-0.08804	0.02351	-0.00832	0.01001	0.16530	-0.08086	-0.02258	0.17862	-0.07422	0.00671	0.22780	-0.09270	-0.00231	0.19688	-0.08574	-0.02102	0.13948	-0.09923	-0.05263	0.18527	-0.12790	-0.01414	0.12661	-0.06795	-0.02312	0.21207	-0.09577	-0.01387	0.18243	-0.16430	-0.08008	0.18918	-0.10453	-0.00230	0.22859	-0.07052	-0.03091	0.15367	-0.06918	-0.01414	0.21592	-0.06151	-0.03521	0.16167	-0.05897	0.00056
13	0.19387	0.03189	-0.10753	0.03581	-0.04058	0.02763	0.19467	0.02222	-0.10273	0.02540	-0.00940	0.01063	0.18064	-0.09247	-0.02736	0.18336	-0.08590	0.00761	0.23367	-0.10921	0.00178	0.20730	-0.09899	-0.02297	0.16225	-0.11162	-0.05619	0.19506	-0.14116	-0.01512	0.14780	-0.08438	-0.02648	0.22940	-0.10982	-0.01396	0.19578	-0.18409	-0.08677	0.20862	-0.12910	-0.00583	0.22037	-0.09164	-0.04292	0.17149	-0.08112	-0.01590	0.21657	-0.07931	-0.04612	0.16750	-0.07301	0.00039
14	0.19948	0.02396	-0.12215	0.03670	-0.04488	0.03031	0.20166	0.02402	-0.11378	0.02658	-0.00960	0.01099	0.18902	-0.10079	-0.03117	0.18548	-0.09438	0.00910	0.23397	-0.12219	0.00602	0.21171	-0.10826	-0.02358	0.17730	-0.12044	-0.05829	0.19927	-0.14855	-0.01482	0.16481	-0.10015	-0.02984	0.23909	-0.12017	-0.01290	0.20268	-0.20239	-0.09085	0.22136	-0.14897	-0.00870	0.21354	-0.11088	-0.05299	0.18517	-0.09114	-0.01640	0.21504	-0.09823	-0.05706	0.16953	-0.08496	0.00008
15	0.20116	0.01753	-0.13392	0.03816	-0.04785	0.03266	0.20384	0.02484	-0.12103	0.02721	-0.00879	0.01103	0.19412	-0.10662	-0.03374	0.18453	-0.09949	0.01109	0.22983	-0.12921	0.01028	0.20990	-0.11280	-0.02279	0.18575	-0.12614	-0.05862	0.19814	-0.15067	-0.01309	0.17673	-0.11413	-0.03296	0.24176	-0.12648	-0.01062	0.20493	-0.21849	-0.09191	0.22835	-0.16384	-0.01067	0.20519	-0.12667	-0.06074	0.19382	-0.09933	-0.01515	0.21154	-0.11621	-0.06728	0.17038	-0.09460	-0.00029
16	0.19821	0.01301	-0.14185	0.04012	-0.04932	0.03450	0.20138	0.02519	-0.12452	0.02783	-0.00690	0.01080	0.19649	-0.10992	-0.03483	0.17974	-0.10123	0.01351	0.22258	-0.12930	0.01428	0.20180	-0.11239	-0.02064	0.18965	-0.12899	-0.05699	0.19365	-0.14837	-0.00988	0.18211	-0.12533	-0.03561	0.23833	-0.12861	-0.00722	0.20196	-0.23076	-0.08980	0.23010	-0.17423	-0.01157	0.19138	-0.13766	-0.06613	0.19743	-0.10564	-0.01186	0.20328	-0.13097	-0.07613	0.16863	-0.10120	-0.00064
