	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d
7	-0.13959	0.04382	-0.01931	0.03837	-0.06166	0.04304	0.04190	0.03116	-0.01917	0.02066	-0.05438	0.02544	-0.11910	0.01347	-0.02172	0.01299	0.01185	-0.01393	-0.20387	-0.04533	-0.09933	0.05593	-0.02478	-0.06004	-0.07865	-0.03184	-0.09699	0.07440	-0.04847	-0.07797	-0.18523	-0.07154	-0.11757	0.03237	-0.00614	-0.06114	-0.13200	0.04200	-0.00507	-0.00688	-0.00555	-0.08639	-0.15034	-0.00628	-0.04574	0.04746	-0.02366	-0.05074	-0.10796	-0.03564	-0.04519	0.07704	-0.03743	-0.03044
8	-0.10352	0.03842	-0.04175	0.04307	-0.07901	0.04618	0.06357	0.03534	-0.03427	0.01974	-0.04839	0.03151	-0.09398	-0.00823	-0.03956	0.03013	-0.00481	0.00280	-0.17806	-0.07137	-0.11960	0.07946	-0.04405	-0.06001	-0.05522	-0.05629	-0.11556	0.10370	-0.06479	-0.07554	-0.12257	-0.10368	-0.14009	0.05764	-0.02436	-0.06061	-0.09708	0.02650	-0.01695	0.00932	-0.02052	-0.08562	-0.09340	-0.02519	-0.05989	0.06201	-0.03455	-0.04096	-0.08430	-0.05399	-0.06142	0.10270	-0.04679	-0.01882
9	-0.04891	0.03224	-0.06818	0.04786	-0.09692	0.04910	0.08398	0.03993	-0.04718	0.01951	-0.03750	0.03563	-0.04447	-0.03293	-0.05825	0.04477	-0.01855	0.02166	-0.11902	-0.10160	-0.14022	0.10290	-0.06180	-0.05408	-0.01895	-0.08541	-0.13374	0.13268	-0.07917	-0.06580	-0.04661	-0.14107	-0.16379	0.08508	-0.04119	-0.05298	-0.03405	0.00470	-0.03085	0.02503	-0.03513	-0.07845	-0.04138	-0.04736	-0.07335	0.07237	-0.04233	-0.02735	-0.03788	-0.07361	-0.07820	0.12505	-0.05207	-0.00551
10	0.00523	0.02728	-0.09740	0.05249	-0.11400	0.05188	0.10577	0.04414	-0.05698	0.02038	-0.02361	0.03701	0.00288	-0.05971	-0.07643	0.06204	-0.02904	0.03922	-0.04908	-0.13460	-0.15989	0.12829	-0.07643	-0.04330	0.02049	-0.11737	-0.14970	0.16005	-0.09042	-0.05017	0.01157	-0.18111	-0.18736	0.11329	-0.05528	-0.03935	0.03729	-0.02215	-0.04499	0.04185	-0.04741	-0.06660	-0.00343	-0.07191	-0.08503	0.08653	-0.04642	-0.01242	0.01689	-0.09493	-0.09461	0.14835	-0.05386	0.00736
11	0.04680	0.02897	-0.12760	0.05671	-0.12894	0.05449	0.12924	0.04673	-0.06361	0.02205	-0.00918	0.03571	0.03451	-0.08729	-0.09281	0.08587	-0.03685	0.05259	0.00935	-0.16816	-0.17714	0.15531	-0.08744	-0.02974	0.05552	-0.14982	-0.16208	0.18321	-0.09806	-0.03123	0.04197	-0.22126	-0.20910	0.13946	-0.06641	-0.02205	0.09678	-0.05202	-0.05760	0.05861	-0.05642	-0.05295	0.02383	-0.09673	-0.09442	0.10757	-0.04699	0.00111	0.06564	-0.11792	-0.10939	0.17467	-0.05308	0.01804
12	0.07494	0.03456	-0.15639	0.06032	-0.14071	0.05676	0.15333	0.04806	-0.06703	0.02407	0.00363	0.03247	0.05268	-0.11381	-0.10637	0.11557	-0.04221	0.06016	0.04789	-0.19944	-0.19061	0.18258	-0.09455	-0.01566	0.08330	-0.17988	-0.17015	0.20218	-0.10186	-0.01191	0.05449	-0.25880	-0.22747	0.16316	-0.07451	-0.00386	0.13745	-0.08213	-0.06755	0.07398	-0.06163	-0.04024	0.04659	-0.11913	-0.10139	0.13347	-0.04407	0.01150	0.10217	-0.14157	-0.12144	0.20236	-0.05039	0.02542
13	0.09412	0.03928	-0.18122	0.06310	-0.14882	0.05847	0.17644	0.04944	-0.06724	0.02600	0.01339	0.02839	0.06424	-0.13736	-0.11647	0.14512	-0.04495	0.06167	0.07051	-0.22577	-0.19943	0.20917	-0.09749	-0.00276	0.10447	-0.20466	-0.17375	0.21872	-0.10174	0.00526	0.06146	-0.29076	-0.24145	0.18589	-0.07927	0.01271	0.16395	-0.10934	-0.07454	0.08803	-0.06294	-0.03033	0.06761	-0.13691	-0.10599	0.16015	-0.03811	0.01818	0.12659	-0.16377	-0.13008	0.22799	-0.04621	0.02902
14	0.10843	0.04254	-0.20006	0.06486	-0.15318	0.05941	0.19606	0.05143	-0.06456	0.02738	0.01943	0.02466	0.07400	-0.15650	-0.12288	0.16750	-0.04498	0.05772	0.08535	-0.24527	-0.20329	0.23375	-0.09623	0.00791	0.12092	-0.22198	-0.17325	0.23302	-0.09807	0.01845	0.06842	-0.31458	-0.25052	0.20694	-0.08042	0.02573	0.18366	-0.13101	-0.07881	0.10038	-0.06083	-0.02429	0.08438	-0.14890	-0.10831	0.18191	-0.03032	0.02144	0.14226	-0.18219	-0.13517	0.24892	-0.04109	0.02903
15	0.11910	0.04526	-0.21183	0.06546	-0.15409	0.05950	0.20965	0.05346	-0.05982	0.02773	0.02165	0.02210	0.08240	-0.17027	-0.12582	0.18019	-0.04296	0.04928	0.09762	-0.25696	-0.20235	0.25363	-0.09130	0.01580	0.13327	-0.23092	-0.16940	0.24278	-0.09163	0.02669	0.07385	-0.32884	-0.25479	0.22312	-0.07821	0.03406	0.19964	-0.14568	-0.08089	0.10963	-0.05646	-0.02234	0.09424	-0.15496	-0.10844	0.19513	-0.02238	0.02199	0.15271	-0.19520	-0.13693	0.26308	-0.03582	0.02606
16	0.12523	0.04751	-0.21642	0.06483	-0.15214	0.05880	0.21660	0.05458	-0.05429	0.02682	0.02042	0.02097	0.08693	-0.17810	-0.12589	0.18584	-0.04032	0.03751	0.10714	-0.26063	-0.19729	0.26648	-0.08380	0.02074	0.14033	-0.23175	-0.16313	0.24598	-0.08372	0.02981	0.07401	-0.33337	-0.25483	0.23156	-0.07361	0.03752	0.20960	-0.15311	-0.08138	0.11492	-0.05137	-0.02391	0.09976	-0.15582	-0.10651	0.20187	-0.01592	0.02051	0.15881	-0.20216	-0.13593	0.26952	-0.03126	0.02076
17	0.12609	0.04837	-0.21438	0.06303	-0.14795	0.05745	0.21829	0.05431	-0.04916	0.02486	0.01642	0.02095	0.08738	-0.18015	-0.12377	0.18763	-0.03844	0.02393	0.11093	-0.25664	-0.18898	0.27186	-0.07521	0.02289	0.14104	-0.22536	-0.15531	0.24365	-0.07579	0.02820	0.06743	-0.32903	-0.25134	0.23205	-0.06795	0.03657	0.21014	-0.15389	-0.08072	0.11686	-0.04696	-0.02810	0.10556	-0.15250	-0.10277	0.20643	-0.01171	0.01763	0.16018	-0.20309	-0.13276	0.26956	-0.02806	0.01382
18	0.12261	0.04767	-0.20677	0.06028	-0.14210	0.05560	0.21686	0.05270	-0.04515	0.02240	0.01055	0.02150	0.08688	-0.17746	-0.12008	0.18675	-0.03800	0.01032	0.10741	-0.24593	-0.17834	0.27110	-0.06683	0.02268	0.13680	-0.21304	-0.14664	0.23906	-0.06884	0.02268	0.05582	-0.31750	-0.24497	0.22763	-0.06248	0.03206	0.20097	-0.14899	-0.07909	0.11771	-0.04406	-0.03400	0.11272	-0.14595	-0.09763	0.21061	-0.00948	0.01398	0.15763	-0.19850	-0.12794	0.26517	-0.02636	0.00612
19	0.11678	0.04629	-0.19493	0.05700	-0.13505	0.05339	0.21398	0.05000	-0.04235	0.02009	0.00385	0.02215	0.08812	-0.17124	-0.11526	0.18345	-0.03890	-0.00153	0.09829	-0.23007	-0.16619	0.26677	-0.05943	0.02076	0.13100	-0.19636	-0.13763	0.23502	-0.06326	0.01430	0.04268	-0.30098	-0.23628	0.22216	-0.05798	0.02512	0.18543	-0.13968	-0.07652	0.11962	-0.04286	-0.04087	0.11930	-0.13696	-0.09159	0.21365	-0.00827	0.01033	0.15261	-0.18918	-0.12190	0.25719	-0.02578	-0.00118
20	0.11035	0.04504	-0.18024	0.05366	-0.12721	0.05093	0.21048	0.04672	-0.04046	0.01839	-0.00263	0.02269	0.09123	-0.16247	-0.10963	0.17815	-0.04062	-0.01022	0.08704	-0.21089	-0.15323	0.26169	-0.05326	0.01778	0.12603	-0.17702	-0.12858	0.23240	-0.05887	0.00440	0.03105	-0.28159	-0.22582	0.21752	-0.05451	0.01697	0.16768	-0.12735	-0.07307	0.12313	-0.04302	-0.04801	0.12345	-0.12617	-0.08511	0.21467	-0.00725	0.00754	0.14596	-0.17619	-0.11502	0.24582	-0.02567	-0.00686
21	0.10423	0.04394	-0.16398	0.05056	-0.11892	0.04836	0.20646	0.04375	-0.03901	0.01746	-0.00793	0.02314	0.09478	-0.15189	-0.10345	0.17232	-0.04263	-0.01504	0.07670	-0.19012	-0.14007	0.25760	-0.04825	0.01435	0.12241	-0.15664	-0.11963	0.22986	-0.05527	-0.00545	0.02247	-0.26097	-0.21425	0.21338	-0.05174	0.00887	0.15085	-0.11333	-0.06890	0.12649	-0.04387	-0.05449	0.12442	-0.11427	-0.07858	0.21330	-0.00592	0.00640	0.13797	-0.16066	-0.10756	0.23224	-0.02540	-0.01017
22	0.09872	0.04249	-0.14724	0.04781	-0.11048	0.04582	0.20180	0.04163	-0.03764	0.01725	-0.01141	0.02363	0.09709	-0.14017	-0.09692	0.16833	-0.04452	-0.01604	0.06913	-0.16917	-0.12723	0.25414	-0.04409	0.01114	0.11959	-0.13660	-0.11081	0.22578	-0.05215	-0.01371	0.01742	-0.24030	-0.20224	0.20882	-0.04942	0.00191	0.13687	-0.09876	-0.06425	0.12713	-0.04473	-0.05930	0.12218	-0.10200	-0.07225	0.21017	-0.00415	0.00714	0.12877	-0.14367	-0.09969	0.21824	-0.02439	-0.01101
23	0.09376	0.04046	-0.13087	0.04541	-0.10213	0.04346	0.19637	0.04015	-0.03607	0.01758	-0.01283	0.02417	0.09721	-0.12797	-0.09017	0.16738	-0.04602	-0.01400	0.06472	-0.14905	-0.11511	0.24948	-0.04041	0.00891	0.11665	-0.11793	-0.10217	0.21900	-0.04929	-0.01933	0.01509	-0.22043	-0.19038	0.20342	-0.04738	-0.00312	0.12640	-0.08452	-0.05938	0.12376	-0.04512	-0.06175	0.11742	-0.08998	-0.06615	0.20642	-0.00201	0.00939	0.11884	-0.12621	-0.09153	0.20514	-0.02221	-0.00990
24	0.08914	0.03835	-0.11549	0.04335	-0.09401	0.04140	0.19006	0.03906	-0.03414	0.01829	-0.01235	0.02466	0.09527	-0.11595	-0.08333	0.16861	-0.04708	-0.01013	0.06248	-0.13041	-0.10401	0.24235	-0.03689	0.00821	0.11307	-0.10122	-0.09379	0.20909	-0.04651	-0.02187	0.01354	-0.20199	-0.17910	0.19734	-0.04546	-0.00580	0.11888	-0.07117	-0.05447	0.11675	-0.04483	-0.06179	0.11149	-0.07864	-0.06015	0.20249	0.00044	0.01258	0.10923	-0.10908	-0.08318	0.19381	-0.01863	-0.00762
