	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_2.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_2.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_2.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_2.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_2.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_2.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_2.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_2.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	20.11992	1.37613	49.59404	0.62989	30.17753	1.06186	-2.72621	0.75629	20.47222	0.65158	52.68559	1.02722	32.90049	0.93951	-8.16221	1.17504	21.81829	50.09398	28.75592	-2.31072	21.27445	21.29943	51.22537	53.92456	33.48005	32.88026	-8.48396	-7.74307	20.66788	21.18892	48.97794	50.50090	30.81584	31.51931	-2.10361	-2.09183	20.54606	52.75626	31.49514	-9.32754	20.52345	19.91836	52.40889	52.29395	32.41335	33.55766	-7.33851	-6.82978	19.69902	49.33500	29.06034	-2.72685	20.75672	20.32567	51.40742	52.47816	31.78283	32.47072	-7.09455	-7.20666	19.29526	18.05013	49.73032	48.92606	30.40795	30.50583	-3.06233	-4.06195	20.41750	19.18834	53.51622	54.15955	33.71624	34.30816	-9.89323	-9.54256
2	20.27208	1.35771	49.03986	0.64526	29.80363	0.98925	-1.69598	0.92191	20.86167	0.65186	52.10809	0.96788	32.73486	0.86655	-6.61778	1.32257	21.93840	49.65822	28.46590	-1.32378	21.58728	21.63870	50.73503	53.40036	32.51439	32.63232	-8.00223	-6.49027	20.78351	21.32561	48.54872	49.91414	30.49981	30.96309	-1.06184	-0.99712	20.83748	52.16489	31.38899	-7.93540	20.88204	20.28438	51.71726	51.65053	32.33280	33.57951	-5.54707	-4.95420	19.89591	48.84177	28.74216	-1.45793	21.32335	20.90631	50.97205	52.06745	31.77938	32.81719	-5.56097	-5.23482	19.49693	18.19209	49.04547	48.23081	30.08247	30.06830	-1.86893	-3.46626	20.73953	19.55600	52.83075	53.43447	33.52181	34.04737	-7.95251	-7.88255
3	20.55807	1.35921	48.46854	0.71436	29.69914	0.88523	-0.22172	1.09279	21.40316	0.66438	51.52249	0.92305	32.82621	0.97392	-4.54150	1.49324	22.21956	49.24406	28.44050	0.06931	22.03743	22.12517	50.15802	52.77319	31.66057	32.54327	-6.82443	-4.65698	21.01629	21.61225	48.06136	49.32188	30.41810	30.70679	0.41295	0.55702	21.30796	51.67038	31.68811	-5.94086	21.38737	20.81572	51.05112	51.04675	32.55561	33.88524	-3.28401	-2.78373	20.24561	48.39855	28.85731	0.18912	22.02624	21.64484	50.50908	51.59536	31.94637	33.24203	-3.48806	-2.83757	19.82167	18.43308	48.33313	47.45224	29.99367	29.77851	-0.16784	-2.39089	21.21081	20.07292	52.15795	52.74054	33.68050	34.23420	-5.42758	-5.63029
4	20.98319	1.37889	47.90189	0.83824	29.74411	0.77399	1.55966	1.22491	22.10253	0.68154	50.93509	0.89834	32.97905	1.21146	-2.13366	1.57523	22.66812	48.87079	28.57411	1.77102	22.62824	22.77085	49.50079	52.05851	30.88891	32.46263	-4.95592	-2.38677	21.37294	22.04591	47.51989	48.72834	30.44844	30.62273	2.18041	2.40642	21.96261	51.26579	32.18395	-3.53113	22.04195	21.52307	50.43341	50.50285	32.87505	34.25870	-0.80763	-0.54213	20.74549	48.03838	29.26138	2.06401	22.85657	22.53587	49.98245	51.09084	32.04498	33.55120	-1.08081	-0.27157	20.28363	18.78307	47.63972	46.61420	30.02683	29.53119	1.83139	-0.89529	21.84738	20.75626	51.47954	52.10159	33.90111	34.64495	-2.61706	-3.00994
5	21.55345	1.41194	47.38284	1.01309	29.82063	0.72094	3.45369	1.29385	22.95780	0.69428	50.37782	0.90706	33.02802	1.48961	0.33947	1.51821	23.28477	48.56991	28.75427	3.62018	23.36165	23.57619	48.78960	51.31596	30.15493	32.27386	-2.58003	0.06981	21.86370	22.62457	46.96225	48.16381	30.47871	30.58440	4.05785	4.34175	22.80025	50.94020	32.63458	-0.99187	22.84101	22.40319	49.89295	50.06229	33.10168	34.53907	1.60807	1.56746	21.39303	47.79719	29.78315	3.97626	23.80285	23.55812	49.42056	50.62556	31.92105	33.65145	1.36691	2.18913	20.89683	19.25780	47.04996	45.75393	30.10506	29.21821	3.86915	0.85692	22.66168	21.61525	50.80598	51.54723	33.93611	35.03946	0.15051	-0.32479
6	22.26890	1.45096	46.98392	1.22984	29.87155	0.80580	5.26391	1.30163	23.95283	0.69425	49.92381	0.96306	32.90617	1.75446	2.62551	1.33881	24.06152	48.38736	28.89999	5.42911	24.23403	24.52822	48.08090	50.65947	29.42273	31.93997	-0.00014	2.42943	22.49455	23.34139	46.46483	47.70141	30.45659	30.53779	5.86114	6.16243	23.80797	50.70683	32.86521	1.39120	23.76506	23.43345	49.48152	49.79371	33.15200	34.66350	3.74678	3.40046	22.17949	47.72200	30.30137	5.74801	24.84325	24.67124	48.93528	50.31076	31.56620	33.58917	3.57180	4.32918	21.66253	19.87389	46.68758	44.94037	30.25161	28.78192	5.73165	2.65111	23.65074	22.64153	50.22153	51.12429	33.70348	35.25332	2.61197	2.14886
