	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d
7	-0.00667	0.02820	-0.00458	0.02170	-0.01109	0.01395	0.00703	0.02113	0.03369	0.02736	0.03041	0.02355	-0.00215	-0.01082	-0.01051	-0.00034	0.03750	0.02256	-0.02826	-0.00931	-0.00375	0.02019	0.03920	0.03434	0.01849	-0.02864	-0.02387	-0.04692	-0.00240	-0.01813	0.02106	0.02308	0.02642	-0.00014	0.03641	0.03370	0.00390	0.02353	0.00816	0.02966	0.07528	0.06917
8	0.00813	0.02787	-0.01296	0.01895	-0.01517	0.01278	0.02603	0.02069	0.02455	0.02955	0.02792	0.02612	0.01550	-0.01768	-0.01380	0.01117	0.02931	0.02069	-0.00536	-0.01695	-0.00501	0.03153	0.02730	0.03144	0.02678	-0.03368	-0.02362	-0.03306	-0.01252	-0.02563	0.04482	0.01049	0.01700	0.02457	0.02347	0.02921	0.02331	0.01205	0.00235	0.04946	0.07369	0.07421
9	0.02519	0.02648	-0.02274	0.01598	-0.02029	0.01256	0.04675	0.02206	0.01264	0.03101	0.02303	0.02841	0.03435	-0.02553	-0.01799	0.02351	0.01983	0.01756	0.02171	-0.02641	-0.00726	0.04374	0.01329	0.02643	0.03512	-0.03992	-0.02425	-0.01384	-0.02425	-0.03448	0.06749	-0.00453	0.00478	0.04863	0.00712	0.02128	0.04512	-0.00127	-0.00446	0.07544	0.06655	0.07537
10	0.04306	0.02482	-0.03332	0.01306	-0.02577	0.01346	0.06732	0.02531	-0.00097	0.03176	0.01660	0.03061	0.05163	-0.03418	-0.02284	0.03647	0.00924	0.01349	0.04915	-0.03730	-0.01024	0.05572	-0.00119	0.02060	0.04461	-0.04690	-0.02529	0.00866	-0.03663	-0.04373	0.08685	-0.02031	-0.00910	0.07108	-0.01134	0.01123	0.06733	-0.01556	-0.01121	0.10463	0.05505	0.07360
11	0.05911	0.02329	-0.04410	0.01036	-0.03094	0.01511	0.08512	0.02922	-0.01518	0.03206	0.00957	0.03301	0.06450	-0.04347	-0.02795	0.04868	-0.00219	0.00871	0.07315	-0.04897	-0.01358	0.06661	-0.01477	0.01518	0.05438	-0.05403	-0.02624	0.03072	-0.04893	-0.05245	0.09932	-0.03582	-0.02362	0.09068	-0.03044	0.00039	0.08686	-0.02997	-0.01712	0.13227	0.04112	0.07035
12	0.07080	0.02220	-0.05452	0.00813	-0.03534	0.01706	0.09848	0.03270	-0.02900	0.03224	0.00268	0.03580	0.07124	-0.05304	-0.03286	0.05874	-0.01394	0.00333	0.09131	-0.06078	-0.01699	0.07633	-0.02669	0.01091	0.06276	-0.06072	-0.02674	0.04827	-0.06073	-0.06000	0.10396	-0.05065	-0.03790	0.10606	-0.04864	-0.01027	0.10091	-0.04361	-0.02175	0.15450	0.02669	0.06702
13	0.07670	0.02174	-0.06395	0.00680	-0.03868	0.01902	0.10721	0.03549	-0.04164	0.03258	-0.00354	0.03896	0.07162	-0.06219	-0.03710	0.06600	-0.02542	-0.00258	0.10250	-0.07212	-0.02028	0.08469	-0.03650	0.00799	0.06816	-0.06640	-0.02669	0.05873	-0.07164	-0.06604	0.10287	-0.06450	-0.05108	0.11711	-0.06472	-0.01993	0.10827	-0.05556	-0.02488	0.17009	0.01342	0.06462
14	0.07683	0.02192	-0.07168	0.00676	-0.04084	0.02081	0.11199	0.03799	-0.05251	0.03315	-0.00867	0.04229	0.06646	-0.07013	-0.04027	0.07067	-0.03613	-0.00891	0.10658	-0.08229	-0.02310	0.09157	-0.04400	0.00646	0.06953	-0.07055	-0.02615	0.06196	-0.08108	-0.07045	0.09804	-0.07699	-0.06247	0.12446	-0.07806	-0.02775	0.10937	-0.06496	-0.02648	0.18064	0.00239	0.06376
15	0.07208	0.02249	-0.07711	0.00771	-0.04176	0.02233	0.11331	0.04086	-0.06126	0.03388	-0.01242	0.04558	0.05709	-0.07615	-0.04205	0.07309	-0.04569	-0.01533	0.10418	-0.09067	-0.02510	0.09672	-0.04911	0.00614	0.06653	-0.07286	-0.02514	0.05944	-0.08826	-0.07323	0.08992	-0.08766	-0.07163	0.12767	-0.08840	-0.03324	0.10527	-0.07118	-0.02663	0.18828	-0.00604	0.06461
16	0.06353	0.02303	-0.07989	0.00896	-0.04144	0.02357	0.11123	0.04425	-0.06757	0.03462	-0.01477	0.04859	0.04517	-0.07978	-0.04230	0.07317	-0.05368	-0.02149	0.09647	-0.09673	-0.02610	0.09975	-0.05183	0.00672	0.05965	-0.07321	-0.02353	0.05238	-0.09258	-0.07446	0.07896	-0.09605	-0.07836	0.12570	-0.09536	-0.03626	0.09692	-0.07397	-0.02548	0.19334	-0.01174	0.06686
