	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d
7	0.59449	0.15453	-0.10652	0.10697	-0.03770	0.05153	0.58576	0.16664	-0.12577	0.11438	-0.06767	0.01572	0.49441	-0.02747	-0.06399	0.54267	-0.06718	-0.08896	0.60859	-0.16544	-0.05760	0.64833	-0.09831	-0.07448	0.46500	-0.08433	-0.09609	0.80547	-0.26312	0.01648	0.28577	0.04926	-0.05255	0.64622	-0.18904	-0.08039	0.61310	-0.05116	-0.00719	0.78299	-0.28391	-0.05206
8	0.55730	0.15882	-0.02896	0.11274	-0.02860	0.04994	0.57955	0.17661	-0.03287	0.12484	-0.06449	0.02165	0.44483	0.04341	-0.05802	0.52775	0.02167	-0.09704	0.60201	-0.10308	-0.05312	0.63595	-0.00806	-0.06380	0.44812	-0.03930	-0.08192	0.78331	-0.18421	0.02603	0.27672	0.16277	-0.04293	0.61776	-0.06395	-0.08361	0.55294	0.06425	-0.00049	0.81709	-0.20654	-0.04647
9	0.49439	0.15528	0.05406	0.12018	-0.01257	0.04687	0.55157	0.17825	0.06706	0.13201	-0.05289	0.02864	0.37341	0.11664	-0.04703	0.49670	0.11464	-0.09829	0.57368	-0.03632	-0.04256	0.60068	0.08774	-0.04265	0.41526	0.00878	-0.05639	0.71978	-0.09099	0.04103	0.25931	0.27417	-0.02430	0.56815	0.07070	-0.07717	0.46910	0.18183	0.01212	0.81092	-0.10855	-0.03237
10	0.41756	0.14395	0.13389	0.12865	0.00965	0.04356	0.50847	0.17537	0.16713	0.13752	-0.03448	0.03611	0.29912	0.18320	-0.03199	0.45384	0.20688	-0.09249	0.53165	0.03047	-0.02713	0.55319	0.18209	-0.01318	0.37077	0.05557	-0.02058	0.62724	0.00580	0.06078	0.23024	0.37947	0.00170	0.50729	0.20313	-0.06353	0.37311	0.29098	0.03040	0.77462	0.00071	-0.01223
11	0.34408	0.12672	0.20167	0.13724	0.03716	0.04224	0.46293	0.16687	0.25961	0.14144	-0.01085	0.04359	0.24029	0.23662	-0.01395	0.40612	0.29348	-0.07941	0.48974	0.09072	-0.00811	0.50490	0.26842	0.02260	0.32820	0.09423	0.02375	0.52637	0.09454	0.08492	0.20764	0.47041	0.03396	0.44541	0.32284	-0.04523	0.28147	0.38129	0.05392	0.72376	0.11181	0.01109
12	0.28743	0.11002	0.25200	0.14484	0.06895	0.04508	0.42369	0.15406	0.33847	0.14395	0.01654	0.05092	0.20467	0.27585	0.00620	0.35953	0.37080	-0.05920	0.45718	0.13959	0.01313	0.46367	0.34128	0.06316	0.29777	0.12108	0.07445	0.43926	0.16501	0.11320	0.20212	0.54127	0.07152	0.38805	0.42167	-0.02442	0.20804	0.44605	0.08196	0.67161	0.21619	0.03508
13	0.25160	0.10004	0.28394	0.15006	0.10408	0.05246	0.39168	0.14234	0.40042	0.14558	0.04646	0.05844	0.18849	0.30316	0.02782	0.31642	0.43715	-0.03257	0.43645	0.17573	0.03541	0.43013	0.39765	0.10733	0.28236	0.13614	0.12964	0.37862	0.21209	0.14530	0.20560	0.59112	0.11322	0.33643	0.49466	-0.00265	0.15693	0.48437	0.11355	0.62508	0.30620	0.05802
14	0.23148	0.09824	0.29961	0.15223	0.14170	0.06327	0.36411	0.13546	0.44416	0.14628	0.07789	0.06661	0.18218	0.32056	0.05049	0.27805	0.49101	-0.00056	0.42679	0.19984	0.05802	0.40020	0.43671	0.15426	0.27864	0.14113	0.18776	0.34276	0.23701	0.18083	0.20424	0.62131	0.15750	0.29153	0.53950	0.01906	0.12233	0.49972	0.14772	0.58385	0.37658	0.07906
15	0.21832	0.10218	0.30167	0.15162	0.18103	0.07609	0.33866	0.13247	0.46955	0.14544	0.10999	0.07570	0.17690	0.32836	0.07387	0.24611	0.53041	0.03566	0.42463	0.21337	0.08059	0.36973	0.45888	0.20310	0.27998	0.13755	0.24743	0.32133	0.24413	0.21937	0.19226	0.63329	0.20245	0.25479	0.55634	0.03996	0.09506	0.49664	0.18346	0.54445	0.42501	0.09821
16	0.20539	0.10823	0.29198	0.14883	0.22127	0.08986	0.31403	0.13096	0.47772	0.14276	0.14199	0.08564	0.16736	0.32613	0.09763	0.22081	0.55408	0.07482	0.42385	0.21808	0.10293	0.33726	0.46520	0.25283	0.27989	0.12622	0.30728	0.30436	0.23708	0.26048	0.17246	0.62865	0.24607	0.22483	0.54875	0.05932	0.06994	0.47851	0.21970	0.50498	0.45156	0.11595
17	0.18908	0.11335	0.27196	0.14428	0.26157	0.10378	0.28887	0.12970	0.47090	0.13846	0.17312	0.09606	0.15056	0.31409	0.12147	0.19983	0.56213	0.11562	0.41830	0.21556	0.12496	0.30384	0.45707	0.30222	0.27355	0.10809	0.36591	0.28626	0.21793	0.30351	0.14861	0.60985	0.28658	0.19728	0.52263	0.07641	0.04596	0.44774	0.25541	0.46534	0.45818	0.13289
18	0.16721	0.11591	0.24346	0.13825	0.30114	0.11721	0.26221	0.12807	0.45173	0.13297	0.20271	0.10651	0.12479	0.29356	0.14524	0.18000	0.55561	0.15668	0.40446	0.20685	0.14657	0.27132	0.43631	0.34998	0.25745	0.08493	0.42208	0.26417	0.18852	0.34755	0.12315	0.57965	0.32272	0.16845	0.48389	0.09076	0.02244	0.40681	0.28968	0.42591	0.44805	0.14956
19	0.13823	0.11512	0.20890	0.13105	0.33933	0.12961	0.23417	0.12486	0.42277	0.12657	0.23029	0.11655	0.09065	0.26649	0.16906	0.15904	0.53608	0.19671	0.38153	0.19269	0.16765	0.24063	0.40534	0.39494	0.22935	0.05892	0.47488	0.23530	0.15153	0.39153	0.09963	0.54025	0.35389	0.13783	0.43728	0.10230	-0.00237	0.35864	0.32183	0.38639	0.42496	0.16628
20	0.10241	0.11079	0.17079	0.12319	0.37578	0.14045	0.20548	0.11876	0.38658	0.11936	0.25568	0.12579	0.05205	0.23486	0.19338	0.13618	0.50567	0.23478	0.35046	0.17401	0.18818	0.21130	0.36722	0.43618	0.19022	0.03167	0.52367	0.19743	0.11020	0.43452	0.08156	0.49359	0.38019	0.10749	0.38643	0.11149	-0.03006	0.30642	0.35156	0.34587	0.39255	0.18324
21	0.06329	0.10366	0.13112	0.11533	0.41044	0.14928	0.17734	0.10969	0.34562	0.11152	0.27900	0.13388	0.01561	0.20015	0.21880	0.11248	0.46692	0.27043	0.31447	0.15172	0.20842	0.18270	0.32498	0.47317	0.14604	0.00383	0.56811	0.15182	0.06741	0.47585	0.06992	0.44183	0.40221	0.08013	0.33434	0.11919	-0.06030	0.25309	0.37899	0.30436	0.35390	0.20060
22	0.02656	0.09540	0.09126	0.10803	0.44345	0.15579	0.15096	0.09891	0.30217	0.10326	0.30067	0.14056	-0.01289	0.16349	0.24591	0.08985	0.42240	0.30373	0.27758	0.12686	0.22870	0.15472	0.28118	0.50577	0.10474	-0.02433	0.60814	0.10437	0.02492	0.51522	0.06287	0.38736	0.42082	0.05741	0.28365	0.12647	-0.08998	0.20094	0.40453	0.26331	0.31156	0.21853
