	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0002_CINE_E.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_2_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d	2014_07_08_CR019_BAREFOOT_GAIT0004_3_CINE_E&D.c3d
7	0.08477	0.08521	-0.04405	0.07337	-0.05324	0.06260	0.01951	0.06767	0.00750	0.06295	-0.05723	0.05672	0.11667	-0.02753	-0.07917	-0.02087	-0.09027	-0.07896	0.13949	0.07643	-0.01594	0.03798	-0.00819	-0.03054	0.19065	0.05301	0.03940	0.02157	-0.10256	-0.09834	0.02018	-0.00810	-0.15041	-0.05861	-0.00247	-0.07508	0.01020	-0.09911	-0.07485	-0.00110	0.07761	0.00753
8	0.14964	0.06952	-0.02402	0.07741	-0.06588	0.07115	0.09569	0.06832	0.01810	0.06505	-0.07193	0.05981	0.18235	0.00236	-0.09027	0.02772	-0.08640	-0.09203	0.21983	0.09522	-0.02451	0.09991	-0.00304	-0.04202	0.23210	0.07329	0.03790	0.09176	-0.09491	-0.12390	0.10564	0.00594	-0.17076	0.04161	0.01799	-0.09416	0.09236	-0.07684	-0.08725	0.07944	0.07887	-0.00809
9	0.21608	0.05397	0.00693	0.07937	-0.07603	0.07816	0.17085	0.07453	0.03407	0.06687	-0.08458	0.06215	0.24772	0.04070	-0.10014	0.07321	-0.07229	-0.10253	0.30194	0.12298	-0.03198	0.16073	0.00924	-0.05211	0.27558	0.10130	0.03643	0.16581	-0.07508	-0.14467	0.17839	0.01969	-0.18804	0.14095	0.04355	-0.11002	0.17523	-0.03920	-0.09574	0.16987	0.08126	-0.02278
10	0.27900	0.04051	0.04591	0.07824	-0.08412	0.08308	0.23997	0.08462	0.05489	0.06972	-0.09576	0.06415	0.30543	0.08240	-0.10956	0.11625	-0.04931	-0.11165	0.37992	0.15852	-0.03899	0.21764	0.02744	-0.06147	0.32092	0.13401	0.03422	0.23670	-0.04388	-0.16008	0.23474	0.03183	-0.20345	0.23305	0.07278	-0.12309	0.25296	0.01112	-0.10107	0.25821	0.08809	-0.03591
11	0.33373	0.03061	0.08760	0.07398	-0.09091	0.08583	0.30114	0.09510	0.07840	0.07457	-0.10608	0.06568	0.35260	0.12197	-0.11888	0.15797	-0.02114	-0.12062	0.44934	0.19853	-0.04620	0.27122	0.04871	-0.07083	0.36446	0.16626	0.03049	0.29708	-0.00541	-0.17090	0.27801	0.04018	-0.21708	0.31563	0.10264	-0.13417	0.32076	0.06757	-0.10435	0.33466	0.10146	-0.04759
12	0.37933	0.02665	0.12618	0.06792	-0.09683	0.08660	0.35618	0.10295	0.10111	0.08177	-0.11572	0.06642	0.39272	0.15534	-0.12769	0.20004	0.00691	-0.13021	0.50968	0.23854	-0.05382	0.32474	0.06948	-0.08037	0.40419	0.19334	0.02499	0.34287	0.03420	-0.17816	0.31824	0.04188	-0.22818	0.38855	0.12865	-0.14375	0.37754	0.12186	-0.10644	0.39580	0.12119	-0.05797
13	0.41854	0.02939	0.15699	0.06179	-0.10173	0.08578	0.40806	0.10713	0.11976	0.09123	-0.12424	0.06616	0.43115	0.18022	-0.13509	0.24370	0.02935	-0.14060	0.56317	0.27420	-0.06141	0.37922	0.08628	-0.08950	0.44146	0.21206	0.01828	0.37553	0.06876	-0.18250	0.36330	0.03585	-0.23564	0.45430	0.14795	-0.15157	0.42605	0.16691	-0.10761	0.44469	0.14494	-0.06675
14	0.45441	0.03613	0.17738	0.05687	-0.10511	0.08381	0.45853	0.10912	0.13278	0.10228	-0.13085	0.06494	0.46925	0.19589	-0.14020	0.28926	0.04246	-0.15112	0.61310	0.30272	-0.06811	0.43301	0.09761	-0.09708	0.47841	0.22118	0.01151	0.40060	0.09378	-0.18406	0.41182	0.02367	-0.23865	0.51585	0.16086	-0.15676	0.46938	0.19866	-0.10770	0.48812	0.16934	-0.07338
15	0.48702	0.04304	0.18703	0.05374	-0.10640	0.08116	0.50629	0.11076	0.14018	0.11362	-0.13467	0.06303	0.50307	0.20291	-0.14247	0.33512	0.04524	-0.16046	0.66096	0.32299	-0.07297	0.48252	0.10360	-0.10192	0.51491	0.22161	0.00597	0.42288	0.10729	-0.18276	0.45549	0.00861	-0.23704	0.57208	0.16926	-0.15826	0.50723	0.21630	-0.10632	0.53154	0.19135	-0.07737
16	0.51299	0.04829	0.18737	0.05251	-0.10521	0.07822	0.54723	0.11258	0.14284	0.12367	-0.13513	0.06081	0.52675	0.20284	-0.14176	0.37726	0.03903	-0.16696	0.70440	0.33496	-0.07537	0.52348	0.10510	-0.10315	0.54768	0.21592	0.00263	0.44170	0.10947	-0.17859	0.48690	-0.00553	-0.23135	0.61674	0.17503	-0.15550	0.53581	0.22125	-0.10314	0.57460	0.20849	-0.07848
