	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d
7	3.82448	6.54542	22.48147	4.08735	-27.16472	1.29405	-21.00869	1.63395	-23.94675	5.81867	3.55858	3.98292	-6.64814	1.49399	-18.96564	2.90066	-21.41934	2.68780	-53.15110	1.79479	6.69708	3.74163	-5.94665	11.96635	2.66400	22.73362	25.45292	22.06900	15.88884	26.26299	-27.75029	-25.68574	-25.91192	-28.62214	-27.85349	-19.62496	-19.60777	-21.14439	-21.05354	-23.61281	-19.65657	-18.64483	-32.82888	-22.09183	-26.51166	6.40561	6.96143	-1.61276	2.48004	-7.52331	-7.65120	-4.45204	-6.96603	-15.37403	-19.65869	-18.45780	-22.37204	-24.70277	-21.70791	-21.12147	-18.14522	-52.66374	-52.13939	-52.76347	-56.29604	-51.89286
8	5.45205	7.03103	20.96585	3.95621	-27.70375	2.20269	-20.64548	1.23887	-23.41767	5.85467	3.88635	2.92092	-6.45076	2.18125	-20.46910	2.54087	-20.26100	2.67623	-53.25955	2.59485	8.36851	5.28822	-4.82813	14.46916	3.96252	21.10753	23.64282	21.54613	14.30116	24.23161	-27.55455	-25.05885	-26.38380	-30.80593	-28.71560	-19.77157	-19.60732	-21.19641	-20.08754	-22.56458	-19.20396	-17.95495	-32.30287	-21.54917	-26.07740	5.80772	6.57044	0.15287	3.01435	-7.25143	-7.57385	-3.19532	-7.78242	-17.60622	-19.46532	-21.24292	-23.56193	-22.40236	-21.87593	-20.28526	-16.48044	-52.78308	-51.86559	-52.41620	-57.80778	-51.42510
9	6.76895	6.78123	19.82169	2.81169	-28.37051	2.28647	-20.06426	1.33557	-22.95027	5.81975	4.67368	1.72743	-6.70284	2.82390	-20.97480	1.05568	-20.06855	2.01269	-53.51145	3.30376	9.47374	6.45978	-3.26990	15.41450	5.76662	20.89854	22.24911	20.08829	14.98756	20.88496	-28.63090	-26.07720	-26.81210	-31.99748	-28.33490	-19.21802	-18.38853	-20.64430	-20.20191	-21.86852	-18.61695	-17.54860	-31.73141	-21.19573	-25.65866	6.04542	6.27689	2.99272	3.37968	-7.63960	-7.50016	-2.60265	-9.06894	-20.73608	-19.58915	-21.94050	-21.63346	-19.56764	-22.04038	-21.19480	-17.47138	-53.68266	-51.82940	-51.92514	-59.15199	-50.96808
10	7.76018	6.16919	19.40490	2.48196	-28.96483	1.79279	-19.79007	1.88632	-22.54585	5.74616	5.72992	1.61599	-7.03540	2.81555	-20.34494	1.39841	-20.96928	1.98886	-53.91645	3.95060	9.90695	7.00358	-1.45468	15.64291	7.70215	22.09606	21.89953	18.36170	16.46582	18.20138	-29.73475	-27.84669	-27.39772	-31.75597	-28.08905	-18.99961	-17.02570	-19.91201	-21.33465	-21.67835	-17.98270	-17.31124	-31.16844	-21.03454	-25.23231	6.98236	6.11428	6.45723	3.36582	-8.27768	-7.45134	-2.98986	-9.42271	-22.01324	-20.33942	-20.43576	-18.59134	-18.60809	-21.70097	-23.27207	-20.29598	-55.11658	-52.10337	-51.40761	-60.30097	-50.65376
11	8.56974	5.65495	19.28677	3.35611	-29.29537	1.24296	-19.93999	2.20747	-22.26207	5.59780	6.76938	3.05696	-6.89807	2.51936	-19.92207	1.89312	-21.92530	2.31362	-54.41904	4.52091	10.08583	6.98319	0.38188	16.01231	9.38549	23.27350	22.63626	16.84077	16.82185	16.86145	-29.23932	-29.07896	-28.13828	-31.38294	-28.63736	-20.08592	-16.52215	-19.36331	-22.02303	-21.70556	-17.64066	-17.15096	-30.63480	-21.09358	-24.79037	8.27646	6.09358	9.88656	2.82092	-8.60990	-7.55848	-3.17607	-8.24781	-21.11638	-21.66359	-19.44986	-17.45846	-19.82685	-20.59911	-25.05750	-22.21775	-56.53765	-52.65595	-51.02886	-61.32430	-50.54842
12	9.25030	5.28289	19.15116	4.04286	-29.43673	1.24480	-20.22334	2.07043	-22.11390	5.34471	7.57228	4.65509	-6.28458	2.58232	-20.66970	1.73281	-21.98208	2.55387	-54.94816	4.90776	10.48394	6.78932	2.03269	16.32800	10.61755	23.32768	23.79622	15.77755	16.16500	16.68933	-27.98952	-29.07005	-28.99546	-31.34907	-29.77955	-21.44872	-17.17326	-18.96581	-21.83768	-21.69125	-17.69996	-17.07585	-30.08464	-21.31031	-24.39872	9.66579	6.21555	12.61289	1.79487	-8.39124	-7.90848	-2.69137	-6.14723	-19.56072	-23.04897	-20.84401	-19.22512	-21.89668	-19.05045	-25.28138	-21.69982	-57.60160	-53.35154	-50.95420	-62.18255	-50.65088
13	9.71767	4.76958	19.09620	4.09130	-29.46512	1.62762	-20.47107	1.77979	-22.04516	5.00109	8.07022	5.88264	-5.82902	2.81960	-21.86208	2.03210	-21.34250	3.08503	-55.41587	4.92259	11.01134	6.85932	3.38100	15.88001	11.45668	22.46026	24.43510	15.31183	16.03835	17.23544	-27.45888	-28.07904	-29.88438	-31.11752	-30.78578	-21.83394	-18.46549	-18.58083	-21.66756	-21.80755	-18.01610	-17.10471	-29.45713	-21.54881	-24.09908	11.09030	6.47510	14.10814	0.60734	-7.84055	-8.43016	-2.42728	-4.61808	-19.04691	-23.76980	-22.76967	-21.86192	-23.24580	-17.83496	-24.52582	-19.76345	-58.31550	-54.03755	-51.28672	-62.47174	-50.96784
14	9.88424	3.97333	19.22112	3.57145	-29.43867	1.90436	-20.61358	1.71400	-21.98281	4.63028	8.35697	6.55230	-5.98149	2.75260	-22.31317	1.52034	-20.87193	3.28070	-55.87654	4.61410	11.12973	7.37202	4.40759	14.38651	12.12536	21.69692	24.10947	15.51780	16.85217	17.92922	-27.42446	-27.30435	-30.57410	-30.76439	-31.12606	-21.69414	-19.21483	-18.38241	-21.44140	-22.33511	-18.36894	-17.20213	-28.77503	-21.68281	-23.88512	12.54482	6.85899	14.27145	-0.24737	-7.54008	-8.91378	-2.83638	-4.63571	-20.06280	-23.38027	-23.03011	-22.77948	-23.24475	-17.67644	-24.12132	-18.44521	-58.66423	-54.76208	-52.03182	-62.39400	-51.53057
15	9.81149	3.19683	19.43708	2.91011	-29.41278	1.92973	-20.65317	1.90326	-21.89755	4.31635	8.59169	6.71259	-6.60060	2.40977	-21.69827	0.24334	-21.12455	2.77984	-56.38719	4.06041	10.45885	8.11947	5.18290	12.44788	12.84835	21.82638	23.14400	16.27781	17.71244	18.22477	-27.12300	-27.48789	-30.83637	-30.69548	-30.92118	-21.79599	-18.86931	-18.70358	-20.75586	-23.14113	-18.57611	-17.34667	-28.16351	-21.64511	-23.75635	13.90108	7.34400	13.53157	-0.40987	-7.84956	-9.12200	-3.62091	-5.80995	-21.67762	-21.99864	-21.71314	-21.40370	-22.38834	-18.80752	-24.44957	-18.85276	-58.58065	-55.71670	-53.11437	-62.18373	-52.34050
16	9.65135	2.88097	19.55422	2.50931	-29.26276	1.78539	-20.68046	2.17294	-21.80863	4.09218	8.81454	6.55050	-7.15760	2.04809	-20.73462	1.41904	-21.84436	2.02518	-56.69433	2.95324	9.31775	8.64765	5.84016	10.75887	13.69232	22.39910	22.15501	17.21833	18.13600	17.86267	-26.79622	-27.93888	-30.75378	-30.25882	-30.56612	-21.80107	-18.18985	-19.51249	-20.09972	-23.79918	-18.68432	-17.54307	-27.74239	-21.36239	-23.71098	14.95235	7.90315	12.38865	0.01400	-8.44750	-8.90522	-4.36354	-6.91415	-22.78238	-20.23069	-20.41109	-19.51433	-21.63359	-20.85871	-24.74174	-20.14339	-58.01164	-56.87149	-54.37585	-60.80802	-53.40464
