	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d
7	-3.04751	1.35519	30.56705	2.32787	39.47348	4.04921	8.64285	1.99269	6.61937	1.10709	27.07504	0.95844	41.39787	3.46501	9.46290	2.30472	-4.96191	-2.56230	-3.08059	-3.40621	-1.22652	31.11453	28.50032	34.05265	28.35464	30.81309	37.02477	38.23863	44.59793	34.83096	42.67512	6.67550	6.52948	9.63969	9.23677	11.13283	7.11690	7.94249	5.81245	5.60564	27.95007	26.08817	26.42032	27.84159	42.37911	44.05235	42.85112	36.30888	11.75850	9.08503	10.58776	6.42031
8	-3.86463	1.77720	29.78026	2.03876	37.48299	4.17781	8.69655	2.01973	6.83474	1.42631	26.98509	1.06958	40.73807	3.83881	9.33107	2.29169	-5.85791	-3.22572	-3.46048	-5.34369	-1.43534	30.98156	27.65299	32.69618	28.48926	29.08131	35.76588	36.44121	42.76408	32.05584	40.38794	6.56455	6.83188	9.97626	8.83718	11.27287	7.76665	8.26990	6.08331	5.21910	28.56894	26.67782	26.26257	26.43103	41.60823	44.38235	41.64166	35.32004	11.51510	9.02472	10.52868	6.25578
9	-4.50730	1.82784	29.09426	1.92302	35.99394	4.02051	8.65624	2.19015	6.88649	1.82164	26.56866	1.55415	40.03260	3.90068	9.30411	2.23903	-6.41907	-4.26646	-3.88872	-6.06855	-1.89367	30.80423	27.45500	31.51175	27.50303	28.19730	35.06047	34.67282	40.90344	30.51837	38.81461	6.34256	6.60332	10.21596	8.78546	11.33393	8.33394	8.43942	6.07456	4.69806	28.59745	26.97141	25.27620	25.42957	40.28283	44.43018	40.48753	34.92988	11.33674	9.12412	10.51785	6.23774
10	-4.98940	1.36529	28.51341	2.06081	34.93110	3.58202	8.71266	2.25446	6.90269	2.02993	26.32083	1.62931	39.60852	3.57970	9.27680	2.19898	-6.46877	-5.51053	-4.47649	-5.59213	-2.89904	30.24020	27.53397	30.73805	25.67071	28.38411	35.02071	33.01510	39.04884	30.03954	37.53133	6.53902	6.21365	10.26346	9.25318	11.29401	8.71241	8.44174	5.97360	4.48300	28.29357	26.85539	24.50009	25.63426	38.90580	44.10634	40.00414	35.41780	11.14716	9.32776	10.45621	6.17605
11	-5.41237	0.92952	28.07541	2.58799	34.22773	2.99365	8.97598	2.17311	7.07008	1.96590	26.39182	1.52691	39.35596	3.11652	9.22192	2.20392	-6.33160	-6.37435	-5.33887	-4.66081	-4.35624	29.87022	27.22222	30.35944	23.97037	28.95477	35.87233	31.76601	37.10225	30.30910	36.08900	7.29942	6.09773	10.10662	10.11636	11.25976	8.96518	8.33648	6.32647	4.65219	28.17118	26.40443	24.44167	26.55002	38.08158	43.49698	39.69139	36.15387	11.00027	9.50927	10.33303	6.04511
12	-5.61512	1.26158	27.56620	3.18973	33.79603	2.67942	9.40353	2.11002	7.30984	1.88283	26.49652	1.57341	39.12104	2.67973	9.20864	2.16244	-6.13805	-6.54640	-6.34635	-3.44935	-5.59544	29.78936	26.44850	30.14004	22.47750	28.97557	37.11303	31.21849	35.20512	30.88093	34.56260	8.32959	6.30483	9.89931	11.08706	11.39686	9.15884	8.22350	7.06107	4.79595	28.27057	25.85954	24.65767	27.19832	38.07928	42.82680	39.04932	36.52877	11.02349	9.57152	10.14854	6.09100
13	-5.50315	1.85630	26.86558	3.66147	33.56312	2.85600	9.88907	2.10042	7.24515	2.00221	26.25147	1.74604	38.94488	2.41924	9.28937	2.05891	-5.67987	-6.28213	-7.18548	-2.33541	-6.03285	29.62803	25.70529	29.86812	21.02550	28.10094	38.23439	31.38521	33.74742	31.11888	33.32968	9.33347	6.70287	9.84229	11.84523	11.72149	9.18037	8.19479	7.07126	4.53418	28.18985	25.49108	24.22779	27.09716	38.47262	42.32790	38.39888	36.58010	11.29271	9.53502	9.91337	6.41636
14	-5.25186	2.16854	26.09280	4.01452	33.42276	3.19356	10.35242	1.97433	6.92856	2.12621	25.86388	1.84235	38.93141	2.27914	9.47350	2.08019	-5.30405	-5.88914	-7.63767	-1.71664	-5.71178	29.37571	25.24353	29.47048	19.67486	26.69944	38.91811	31.95830	32.95679	30.67066	32.60997	10.15316	7.33283	10.01638	12.09303	12.16669	8.84844	8.30182	6.41518	4.14881	27.69909	25.43980	23.47914	26.83751	38.75704	42.10421	38.13613	36.72826	11.77176	9.49388	9.89706	6.73129
15	-5.15909	2.00422	25.53222	4.07607	33.28007	3.53131	10.74995	1.70757	6.80560	2.03868	25.85415	1.74525	39.04679	2.15096	9.68484	2.29023	-5.31219	-5.57037	-7.72579	-2.11280	-5.07429	29.20952	25.01453	28.95028	19.13285	25.35388	39.17599	32.51018	32.71243	29.61987	32.38187	10.70179	8.16578	10.39482	11.79968	12.68768	8.25187	8.53424	6.30180	4.13447	27.05442	25.64857	23.46471	27.24891	38.86678	42.10218	38.04400	37.17421	12.30075	9.53037	10.16281	6.74541
16	-5.15532	1.79546	25.11990	4.11096	33.24540	3.66669	11.15423	1.54190	6.92304	1.91055	26.13045	1.75388	39.17298	2.08762	9.85445	2.52355	-5.50831	-5.54112	-7.60300	-2.68082	-4.44334	29.10298	25.09174	28.33379	18.73288	24.33810	39.08075	32.96151	32.73978	28.89756	32.54739	11.04562	8.96666	10.91643	11.57107	13.27136	7.82181	8.82423	6.66508	4.38104	26.68846	25.93351	23.85075	28.04907	38.94557	42.19203	37.85303	37.70129	12.69790	9.66967	10.45532	6.59492
