	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_06_PC004_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_4_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0001_5_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_1_CINE_D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_2_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_2_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_2_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_3_CINE_E.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_05_06_PC004_BAREFOOT_GAIT0002_6_CINE_E&D.c3d
7	0.16166	0.08768	0.01639	0.11759	-0.02784	0.05908	0.05795	0.06575	0.11736	0.03746	-0.03135	0.05099	0.26145	-0.01370	-0.02658	0.12684	0.07446	-0.07757	-0.00463	0.25713	-0.14343	-0.03693	0.11643	0.02082	0.22155	-0.10614	-0.00845	0.11392	0.13139	-0.09507	-0.03092	0.09734	0.03215	0.26029	-0.04994	0.02297	0.03125	0.11228	0.03437	0.22379	-0.09306	0.02266	0.10990	0.05806	0.03761	0.10185	0.17010	-0.06582	0.05816	0.12626	-0.07057	0.12287	-0.05705	-0.01915	0.08181	0.16932	-0.04839	0.14581	0.02083	-0.04115	0.13150	0.07270	-0.07577
8	0.12045	0.09411	0.07776	0.12897	-0.01603	0.06391	0.04121	0.07399	0.19540	0.04884	-0.01869	0.05825	0.24206	0.04972	-0.01147	0.11215	0.15406	-0.06899	-0.05111	0.33277	-0.14085	-0.06736	0.19462	0.03552	0.19480	-0.06215	-0.00114	0.07534	0.20917	-0.08308	-0.06327	0.15583	0.04772	0.21484	0.00738	0.04193	0.01096	0.17577	0.06559	0.17326	-0.04236	0.03807	0.05212	0.14096	0.05920	0.08682	0.27826	-0.06243	0.05555	0.20857	-0.05864	0.06885	-0.00573	-0.01120	0.07424	0.25272	-0.03487	0.11387	0.07009	-0.03578	0.12057	0.14334	-0.07343
9	0.07716	0.10121	0.13483	0.13698	0.00133	0.06756	0.02134	0.08412	0.26611	0.06262	0.00094	0.06427	0.21727	0.10747	0.01113	0.09979	0.21682	-0.05116	-0.09885	0.39631	-0.13110	-0.09707	0.27339	0.05324	0.16330	-0.01749	0.01144	0.03518	0.27916	-0.06158	-0.10206	0.21112	0.06635	0.17139	0.05848	0.06621	-0.01889	0.23200	0.10370	0.12318	0.00693	0.05716	-0.00501	0.21877	0.08343	0.07103	0.37846	-0.05077	0.04851	0.28154	-0.03748	0.01073	0.04930	0.00149	0.05945	0.33068	-0.01156	0.07724	0.11456	-0.02622	0.10997	0.20490	-0.06479
10	0.03619	0.10663	0.18274	0.14147	0.02278	0.07046	-0.00378	0.09433	0.32326	0.07677	0.02613	0.06964	0.18596	0.15546	0.03886	0.08496	0.25849	-0.02647	-0.14075	0.44298	-0.11626	-0.13253	0.34377	0.07299	0.13054	0.02333	0.02854	-0.00073	0.33629	-0.03244	-0.14336	0.25739	0.08734	0.13346	0.09861	0.09452	-0.05565	0.27345	0.14694	0.08037	0.04981	0.07877	-0.05673	0.28485	0.10882	0.04944	0.46245	-0.03237	0.03561	0.33978	-0.00869	-0.04685	0.10237	0.01798	0.03700	0.39667	0.02049	0.04040	0.15098	-0.01377	0.09427	0.25407	-0.05119
11	0.00217	0.11038	0.21763	0.14327	0.04684	0.07309	-0.03154	0.10149	0.36269	0.09030	0.05530	0.07484	0.15348	0.18953	0.06955	0.06256	0.27872	0.00264	-0.17347	0.47110	-0.09820	-0.17304	0.39829	0.09341	0.10245	0.05574	0.04882	-0.02873	0.37751	0.00218	-0.17968	0.29006	0.11001	0.10379	0.12432	0.12566	-0.08833	0.29496	0.19325	0.04909	0.08254	0.10196	-0.10035	0.33474	0.13439	0.02354	0.52486	-0.00904	0.01700	0.38114	0.02612	-0.09595	0.14674	0.03695	0.01451	0.44492	0.05985	0.00920	0.17640	0.00025	0.07115	0.28857	-0.03383
12	-0.02466	0.11359	0.23826	0.14354	0.07218	0.07590	-0.05872	0.10371	0.38331	0.10241	0.08697	0.08025	0.12481	0.20747	0.10141	0.03057	0.27973	0.03388	-0.19877	0.48210	-0.07833	-0.21224	0.43305	0.11339	0.08122	0.07745	0.07079	-0.05196	0.40306	0.04005	-0.20667	0.30724	0.13385	0.08154	0.13469	0.15861	-0.11129	0.29595	0.24063	0.02754	0.10384	0.12598	-0.13894	0.36743	0.15956	-0.00288	0.56406	0.01768	-0.00795	0.40631	0.06525	-0.13178	0.17824	0.05701	-0.00075	0.47221	0.10492	-0.01564	0.19003	0.01458	0.04148	0.30792	-0.01384
13	-0.04777	0.11644	0.24573	0.14312	0.09779	0.07919	-0.08362	0.10236	0.38651	0.11274	0.11985	0.08608	0.09867	0.21007	0.13327	-0.00617	0.26411	0.06559	-0.22004	0.47912	-0.05758	-0.24412	0.44837	0.13219	0.06418	0.08858	0.09319	-0.07592	0.41499	0.07918	-0.22546	0.30986	0.15834	0.06309	0.13111	0.19255	-0.12861	0.27999	0.28732	0.01011	0.11438	0.15023	-0.17716	0.38413	0.18390	-0.02762	0.58157	0.04657	-0.03687	0.41627	0.10713	-0.15518	0.19591	0.07707	-0.00893	0.47910	0.15385	-0.03763	0.19325	0.02828	0.00880	0.31280	0.00782
14	-0.07031	0.11832	0.24218	0.14233	0.12298	0.08306	-0.10520	0.10020	0.37504	0.12125	0.15288	0.09225	0.07067	0.20007	0.16453	-0.03763	0.23463	0.09680	-0.23855	0.46519	-0.03641	-0.26629	0.44732	0.14941	0.04756	0.09047	0.11527	-0.10237	0.41563	0.11789	-0.24020	0.30071	0.18294	0.04521	0.11615	0.22694	-0.14665	0.25199	0.33181	-0.00786	0.11556	0.17424	-0.21605	0.38697	0.20710	-0.04956	0.58052	0.07654	-0.06422	0.41195	0.15052	-0.17181	0.20133	0.09653	-0.01512	0.46859	0.20456	-0.05960	0.18826	0.04076	-0.02196	0.30461	0.03045
15	-0.09236	0.11871	0.22978	0.14107	0.14740	0.08740	-0.12232	0.09901	0.35213	0.12796	0.18518	0.09858	0.04049	0.18058	0.19504	-0.05540	0.19482	0.12708	-0.25252	0.44239	-0.01488	-0.27994	0.43367	0.16482	0.02971	0.08484	0.13669	-0.12817	0.40658	0.15487	-0.25419	0.28316	0.20709	0.02756	0.09246	0.26136	-0.16652	0.21584	0.37306	-0.02755	0.10888	0.19770	-0.25220	0.37812	0.22891	-0.06773	0.56464	0.10654	-0.08520	0.39501	0.19436	-0.18721	0.19696	0.11514	-0.02321	0.44418	0.25492	-0.08138	0.17721	0.05179	-0.04638	0.28570	0.05358
16	-0.11118	0.11766	0.21027	0.13921	0.17090	0.09206	-0.13446	0.09965	0.32099	0.13292	0.21602	0.10480	0.01361	0.15390	0.22491	-0.05838	0.14894	0.15640	-0.25950	0.41233	0.00708	-0.28877	0.41088	0.17831	0.01193	0.07306	0.15743	-0.14871	0.38900	0.18917	-0.26843	0.26041	0.23042	0.01255	0.06230	0.29547	-0.18458	0.17405	0.41045	-0.04724	0.09585	0.22043	-0.28070	0.35949	0.24924	-0.08203	0.53774	0.13541	-0.09745	0.36777	0.23749	-0.20262	0.18495	0.13297	-0.03413	0.40899	0.30292	-0.09996	0.16155	0.06143	-0.06187	0.25917	0.07680
