	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d
7	0.22235	0.03286	-0.21439	0.02831	-0.04415	0.06509	-0.14448	0.16765	-0.42268	0.09397	-0.07504	0.01028	-0.35960	-0.55196	-0.07573	0.26636	-0.25306	-0.09415	0.05000	-0.34907	-0.06942	-0.13628	-0.35737	-0.08919	0.22266	-0.19879	-0.07787	0.21281	-0.18874	-0.05507	-0.13203	-0.43233	-0.06584	0.18756	-0.21697	0.05048
8	0.26401	0.02806	-0.20291	0.03867	-0.05682	0.07028	-0.10292	0.18250	-0.41659	0.10144	-0.08053	0.01359	-0.33876	-0.55541	-0.07908	0.30399	-0.24211	-0.11205	0.10589	-0.32650	-0.07486	-0.10235	-0.35832	-0.09981	0.26285	-0.20044	-0.09315	0.24251	-0.15086	-0.06695	-0.07646	-0.42614	-0.06836	0.24670	-0.21823	0.04489
9	0.28125	0.02589	-0.16358	0.04962	-0.06503	0.07208	-0.05736	0.19598	-0.38357	0.10768	-0.08372	0.01559	-0.31251	-0.53095	-0.07962	0.31249	-0.19970	-0.12175	0.16161	-0.27909	-0.07887	-0.06677	-0.33737	-0.10621	0.27630	-0.17434	-0.10340	0.24987	-0.09080	-0.07395	-0.01177	-0.38686	-0.07020	0.28634	-0.18946	0.03898
10	0.28780	0.02738	-0.10818	0.05477	-0.06679	0.07124	-0.00731	0.20826	-0.33128	0.11322	-0.08500	0.01568	-0.28121	-0.48672	-0.07774	0.31134	-0.13985	-0.12176	0.21762	-0.21644	-0.08185	-0.02344	-0.29903	-0.10782	0.27556	-0.12971	-0.10690	0.25494	-0.02627	-0.07436	0.05779	-0.32291	-0.07259	0.30938	-0.13690	0.03587
11	0.29775	0.02820	-0.05307	0.05229	-0.06178	0.06886	0.04805	0.21901	-0.26946	0.11780	-0.08468	0.01416	-0.24324	-0.43168	-0.07421	0.31604	-0.08128	-0.11272	0.27602	-0.14944	-0.08401	0.02931	-0.25135	-0.10491	0.27713	-0.08210	-0.10352	0.27042	0.02518	-0.06832	0.13009	-0.24536	-0.07561	0.32742	-0.07406	0.03744
12	0.31610	0.02772	-0.01095	0.04503	-0.05142	0.06598	0.10959	0.22771	-0.20600	0.12079	-0.08327	0.01215	-0.19543	-0.37218	-0.07017	0.33138	-0.03754	-0.09711	0.33963	-0.08612	-0.08557	0.08882	-0.20171	-0.09885	0.28959	-0.04438	-0.09478	0.29616	0.05412	-0.05752	0.20533	-0.16397	-0.07850	0.34727	-0.01600	0.04374
13	0.34272	0.02519	0.01363	0.03770	-0.03814	0.06351	0.17714	0.23406	-0.14615	0.12194	-0.08138	0.01081	-0.13646	-0.31272	-0.06677	0.35880	-0.01180	-0.07854	0.40944	-0.03113	-0.08681	0.15166	-0.15435	-0.09169	0.31400	-0.02134	-0.08318	0.32980	0.06073	-0.04434	0.28390	-0.08642	-0.08024	0.36829	0.02692	0.05352
14	0.37498	0.02164	0.02314	0.03306	-0.02435	0.06193	0.24892	0.23856	-0.09306	0.12154	-0.07945	0.01031	-0.06857	-0.25722	-0.06476	0.39497	0.00043	-0.06038	0.48339	0.01375	-0.08776	0.21460	-0.11080	-0.08525	0.34741	-0.01085	-0.07113	0.36839	0.05124	-0.03086	0.36628	-0.01796	-0.08003	0.38917	0.05174	0.06496
15	0.40454	0.01801	0.02325	0.03065	-0.01170	0.06118	0.32106	0.24196	-0.04783	0.12020	-0.07763	0.00994	0.00306	-0.20845	-0.06422	0.42385	0.00563	-0.04463	0.55548	0.04905	-0.08803	0.27323	-0.07133	-0.08058	0.38079	-0.00759	-0.06010	0.40315	0.03365	-0.01844	0.45246	0.03940	-0.07768	0.41037	0.06132	0.07636
16	0.41832	0.01370	0.01937	0.02921	-0.00088	0.06089	0.38776	0.24408	-0.00984	0.11851	-0.07586	0.00930	0.07291	-0.16690	-0.06487	0.42456	0.00865	-0.03177	0.61724	0.07706	-0.08723	0.32251	-0.03581	-0.07781	0.39864	-0.00650	-0.05062	0.42021	0.01416	-0.00771	0.53837	0.08629	-0.07351	0.42986	0.06119	0.08657
