	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d
7	0.39097	0.02812	0.33316	0.06270	0.41809	0.07501	0.28745	0.13813	-0.02328	0.08959	0.22402	0.04097	0.36021	-0.11668	0.21982	0.38046	0.28771	0.40258	0.13793	0.09089	0.25315	0.44126	-0.06611	0.25548	0.43236	0.28095	0.34937	0.38155	0.41541	0.39551	0.21040	-0.00123	0.16763	0.36951	0.34855	0.52490
8	0.39488	0.02627	0.41535	0.06866	0.48377	0.08431	0.28582	0.14289	0.00215	0.09135	0.27225	0.04741	0.36969	-0.09384	0.25756	0.37801	0.36246	0.46187	0.13568	0.11799	0.30763	0.44036	-0.04097	0.31221	0.42881	0.35834	0.40806	0.40198	0.50238	0.46064	0.19754	0.02542	0.21160	0.37072	0.43823	0.60451
9	0.42530	0.02951	0.46243	0.07245	0.54242	0.09114	0.28904	0.14448	0.01457	0.09321	0.31961	0.05372	0.37804	-0.08126	0.29509	0.39824	0.39994	0.51603	0.13979	0.13112	0.35956	0.44289	-0.03506	0.36820	0.44990	0.40431	0.46092	0.45176	0.54714	0.51967	0.19545	0.04346	0.25559	0.40131	0.49831	0.67306
10	0.47485	0.03984	0.46497	0.07635	0.59286	0.09532	0.30695	0.14408	0.01009	0.09603	0.36493	0.05951	0.39857	-0.08468	0.33234	0.42960	0.39111	0.56419	0.16008	0.12567	0.40747	0.45865	-0.05086	0.42201	0.49410	0.40846	0.50711	0.51951	0.54320	0.57090	0.21051	0.05022	0.29789	0.45618	0.51712	0.72924
11	0.51886	0.05130	0.42458	0.08085	0.63400	0.09720	0.33969	0.14220	-0.01211	0.10061	0.40755	0.06458	0.43290	-0.10561	0.36915	0.45093	0.33931	0.60474	0.19591	0.10052	0.45073	0.48750	-0.08784	0.47284	0.53666	0.37176	0.54564	0.57313	0.49682	0.61293	0.24247	0.04450	0.33748	0.51471	0.49041	0.77270
12	0.53823	0.06038	0.35134	0.08413	0.66501	0.09738	0.38039	0.13932	-0.05037	0.10696	0.44720	0.06892	0.47500	-0.14208	0.40515	0.45164	0.25648	0.63609	0.23738	0.05768	0.48942	0.52218	-0.14250	0.52026	0.55343	0.30448	0.57549	0.59213	0.42168	0.64492	0.28700	0.02543	0.37399	0.55569	0.42271	0.80355
13	0.53366	0.06753	0.25777	0.08480	0.68571	0.09622	0.42256	0.13747	-0.10223	0.11400	0.48394	0.07260	0.51889	-0.19124	0.43991	0.43625	0.15635	0.65746	0.27401	0.00044	0.52409	0.55818	-0.21013	0.56415	0.54092	0.21930	0.59630	0.58486	0.33091	0.66687	0.33917	-0.00799	0.40760	0.57260	0.32453	0.82220
14	0.52101	0.07218	0.15406	0.08369	0.69683	0.09378	0.46324	0.13961	-0.16476	0.12029	0.51802	0.07575	0.56131	-0.25016	0.47310	0.42061	0.04899	0.66946	0.30212	-0.06794	0.55562	0.59700	-0.28595	0.60461	0.51629	0.12604	0.60876	0.57365	0.23338	0.67968	0.39250	-0.05498	0.43874	0.57349	0.20785	0.82943
15	0.51601	0.07291	0.04686	0.08300	0.70001	0.08989	0.50129	0.14679	-0.23398	0.12510	0.54981	0.07844	0.60076	-0.31518	0.50454	0.41948	-0.06036	0.67390	0.32498	-0.14376	0.58492	0.64148	-0.36534	0.64185	0.49972	0.03083	0.61452	0.57261	0.13417	0.68502	0.43797	-0.11165	0.46792	0.57223	0.08279	0.82660
16	0.52320	0.07149	-0.05986	0.08445	0.69726	0.08447	0.53501	0.15750	-0.30507	0.12850	0.57963	0.08064	0.63584	-0.38178	0.53422	0.43321	-0.16912	0.67304	0.34632	-0.22238	0.61262	0.69027	-0.44370	0.67607	0.49824	-0.06280	0.61565	0.58240	0.03595	0.68475	0.46761	-0.17243	0.49562	0.57894	-0.04346	0.81559
