	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d
7	0.10037	0.00757	-0.03534	0.00931	-0.11598	0.00859	-0.02895	0.04550	0.03045	0.03464	-0.08849	0.01219	-0.07853	0.07063	-0.10384	0.10727	-0.03620	-0.12460	0.02367	-0.00790	-0.08366	-0.00835	0.04555	-0.07513	0.09686	-0.03578	-0.10896	0.10596	-0.02333	-0.10823	-0.05260	0.01353	-0.09132	0.09139	-0.04605	-0.12213
8	0.12733	0.00570	-0.04707	0.00928	-0.12959	0.00996	-0.01918	0.04859	0.01762	0.03596	-0.09638	0.01213	-0.07600	0.05934	-0.11247	0.12971	-0.04877	-0.13992	0.03550	-0.02191	-0.08845	0.00266	0.03348	-0.08571	0.12044	-0.04598	-0.12490	0.13371	-0.03549	-0.11803	-0.03886	-0.00042	-0.09888	0.12545	-0.05802	-0.13553
9	0.14113	0.00832	-0.05894	0.00877	-0.13521	0.01114	-0.00589	0.05121	0.00474	0.03628	-0.10038	0.01246	-0.07124	0.04708	-0.11740	0.13700	-0.06189	-0.14612	0.05003	-0.03505	-0.08963	0.01344	0.02034	-0.09272	0.13378	-0.05563	-0.13317	0.14093	-0.04885	-0.12053	-0.01578	-0.01342	-0.10177	0.15281	-0.06939	-0.14102
10	0.14339	0.01734	-0.07144	0.00819	-0.13261	0.01179	0.01235	0.05383	-0.00796	0.03575	-0.10105	0.01319	-0.06121	0.03434	-0.11926	0.13397	-0.07570	-0.14311	0.06737	-0.04712	-0.08825	0.02812	0.00639	-0.09594	0.13524	-0.06575	-0.13311	0.13498	-0.06351	-0.11603	0.01512	-0.02545	-0.10073	0.16939	-0.08081	-0.13820
11	0.14221	0.02447	-0.08349	0.00806	-0.12344	0.01169	0.03456	0.05629	-0.02024	0.03461	-0.09946	0.01403	-0.04557	0.02118	-0.11902	0.12934	-0.08805	-0.13274	0.08632	-0.05790	-0.08567	0.04739	-0.00707	-0.09600	0.13149	-0.07600	-0.12611	0.12912	-0.07740	-0.10640	0.05011	-0.03715	-0.09715	0.17888	-0.09249	-0.12850
12	0.14410	0.02831	-0.09220	0.00845	-0.11025	0.01086	0.05870	0.05790	-0.03148	0.03291	-0.09667	0.01477	-0.02523	0.00765	-0.11760	0.12847	-0.09520	-0.11785	0.10542	-0.06672	-0.08290	0.06898	-0.01813	-0.09379	0.13053	-0.08393	-0.11464	0.13087	-0.08699	-0.09414	0.08563	-0.04872	-0.09237	0.18654	-0.10268	-0.11439
13	0.15057	0.02905	-0.09491	0.00953	-0.09560	0.00948	0.08298	0.05809	-0.04059	0.03074	-0.09340	0.01544	-0.00136	-0.00544	-0.11574	0.13259	-0.09470	-0.10126	0.12346	-0.07238	-0.08044	0.09057	-0.02521	-0.09004	0.13549	-0.08677	-0.10119	0.14032	-0.08983	-0.08151	0.11925	-0.05935	-0.08737	0.19389	-0.10834	-0.09845
14	0.15804	0.02873	-0.09079	0.01112	-0.08152	0.00777	0.10584	0.05690	-0.04644	0.02846	-0.09007	0.01624	0.02416	-0.01676	-0.11405	0.13701	-0.08669	-0.08524	0.13915	-0.07379	-0.07833	0.11050	-0.02764	-0.08527	0.14320	-0.08339	-0.08766	0.15177	-0.08574	-0.07023	0.14954	-0.06759	-0.08262	0.20017	-0.10734	-0.08293
15	0.15950	0.03131	-0.08099	0.01241	-0.06935	0.00587	0.12520	0.05502	-0.04851	0.02651	-0.08685	0.01745	0.04822	-0.02533	-0.11294	0.13158	-0.07327	-0.07114	0.15031	-0.07077	-0.07634	0.12684	-0.02578	-0.07986	0.14582	-0.07473	-0.07531	0.15673	-0.07644	-0.06132	0.17542	-0.07216	-0.07825	0.20386	-0.09950	-0.06962
16	0.14898	0.03881	-0.06773	0.01279	-0.05973	0.00393	0.13893	0.05320	-0.04709	0.02507	-0.08370	0.01921	0.06766	-0.03107	-0.11251	0.10992	-0.05745	-0.05946	0.15484	-0.06420	-0.07409	0.13809	-0.02071	-0.07403	0.13570	-0.06289	-0.06476	0.14824	-0.06415	-0.05515	0.19512	-0.07240	-0.07417	0.20204	-0.08642	-0.05957
17	0.12617	0.04749	-0.05328	0.01210	-0.05268	0.00256	0.14609	0.05145	-0.04303	0.02408	-0.08040	0.02146	0.08080	-0.03448	-0.11252	0.07671	-0.04195	-0.05014	0.15252	-0.05550	-0.07111	0.14465	-0.01366	-0.06777	0.11190	-0.04999	-0.05611	0.12573	-0.05076	-0.05150	0.20639	-0.06849	-0.07020	0.19033	-0.07042	-0.05298
18	0.09735	0.05161	-0.03942	0.01047	-0.04780	0.00329	0.14750	0.04901	-0.03723	0.02350	-0.07666	0.02403	0.08794	-0.03616	-0.11248	0.04388	-0.02857	-0.04290	0.14567	-0.04584	-0.06700	0.14843	-0.00558	-0.06101	0.08193	-0.03766	-0.04922	0.09629	-0.03773	-0.04989	0.20795	-0.06132	-0.06614	0.16729	-0.05374	-0.04920
19	0.07151	0.04873	-0.02729	0.00823	-0.04452	0.00534	0.14504	0.04552	-0.03041	0.02348	-0.07222	0.02669	0.09046	-0.03653	-0.11187	0.02184	-0.01810	-0.03737	0.13767	-0.03588	-0.06155	0.15087	0.00295	-0.05373	0.05618	-0.02694	-0.04386	0.07005	-0.02604	-0.04974	0.20116	-0.05218	-0.06173	0.13798	-0.03810	-0.04712
20	0.05538	0.04074	-0.01738	0.00577	-0.04226	0.00745	0.14090	0.04149	-0.02311	0.02407	-0.06699	0.02925	0.09027	-0.03591	-0.11031	0.01468	-0.01053	-0.03318	0.13145	-0.02586	-0.05485	0.15216	0.01154	-0.04606	0.04138	-0.01831	-0.03984	0.05417	-0.01618	-0.05048	0.18973	-0.04223	-0.05674	0.11129	-0.02451	-0.04555
21	0.05138	0.03143	-0.00979	0.00361	-0.04050	0.00921	0.13695	0.03786	-0.01574	0.02512	-0.06105	0.03156	0.08890	-0.03464	-0.10770	0.02095	-0.00540	-0.02997	0.12879	-0.01592	-0.04724	0.15192	0.01981	-0.03824	0.03895	-0.01193	-0.03692	0.05086	-0.00837	-0.05150	0.17818	-0.03222	-0.05103	0.09478	-0.01345	-0.04360
22	0.05764	0.02409	-0.00427	0.00250	-0.03887	0.01044	0.13439	0.03528	-0.00862	0.02644	-0.05462	0.03350	0.08740	-0.03305	-0.10409	0.03568	-0.00197	-0.02758	0.13004	-0.00623	-0.03919	0.15038	0.02741	-0.03049	0.04596	-0.00751	-0.03485	0.05779	-0.00267	-0.05228	0.16975	-0.02262	-0.04472	0.09115	-0.00493	-0.04078
23	0.06975	0.02004	-0.00037	0.00279	-0.03720	0.01116	0.13367	0.03421	-0.00200	0.02786	-0.04798	0.03499	0.08613	-0.03133	-0.09965	0.05305	0.00052	-0.02595	0.13414	0.00293	-0.03116	0.14868	0.03414	-0.02301	0.05842	-0.00451	-0.03344	0.06955	0.00108	-0.05245	0.16571	-0.01373	-0.03808	0.09799	0.00145	-0.03697
24	0.08284	0.01914	0.00243	0.00360	-0.03551	0.01147	0.13429	0.03462	0.00399	0.02919	-0.04141	0.03599	0.08509	-0.02942	-0.09457	0.06818	0.00253	-0.02509	0.13901	0.01117	-0.02356	0.14748	0.03996	-0.01604	0.07222	-0.00236	-0.03265	0.08047	0.00319	-0.05189	0.16557	-0.00575	-0.03147	0.11050	0.00635	-0.03241
25	0.09336	0.02053	0.00442	0.00456	-0.03388	0.01164	0.13503	0.03565	0.00926	0.03023	-0.03520	0.03647	0.08426	-0.02720	-0.08909	0.07846	0.00405	-0.02487	0.14236	0.01806	-0.01670	0.14586	0.04490	-0.00985	0.08398	-0.00077	-0.03240	0.08734	0.00404	-0.05070	0.16764	0.00127	-0.02514	0.12365	0.01036	-0.02755
26	0.09982	0.02290	0.00571	0.00570	-0.03236	0.01186	0.13450	0.03628	0.01377	0.03077	-0.02955	0.03644	0.08360	-0.02454	-0.08346	0.08361	0.00484	-0.02510	0.14259	0.02332	-0.01079	0.14219	0.04899	-0.00466	0.09198	0.00028	-0.03248	0.08995	0.00401	-0.04904	0.16961	0.00732	-0.01929	0.13375	0.01373	-0.02282
27	0.10253	0.02512	0.00635	0.00696	-0.03091	0.01218	0.13181	0.03616	0.01745	0.03073	-0.02462	0.03593	0.08256	-0.02147	-0.07787	0.08470	0.00466	-0.02551	0.13946	0.02683	-0.00592	0.13567	0.05215	-0.00059	0.09607	0.00075	-0.03255	0.08980	0.00350	-0.04704	0.16955	0.01227	-0.01412	0.13956	0.01649	-0.01854
28	0.10261	0.02656	0.00639	0.00814	-0.02943	0.01250	0.12696	0.03560	0.02021	0.03015	-0.02044	0.03501	0.08040	-0.01816	-0.07241	0.08302	0.00349	-0.02582	0.13420	0.02873	-0.00204	0.12649	0.05433	0.00239	0.09704	0.00075	-0.03227	0.08886	0.00285	-0.04478	0.16674	0.01593	-0.00970	0.14151	0.01848	-0.01486
