	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d
7	15.83841	1.20609	38.63812	2.23206	24.77076	2.14071	1.29862	1.52917	18.48046	1.40745	34.81990	2.87090	15.90866	2.70147	-3.27135	1.70279	15.01980	35.83496	22.49092	0.58929	20.04319	34.44952	15.26033	-3.75883	14.92066	18.53872	35.98351	41.51900	22.68903	27.17476	-0.16627	3.37423	18.09049	16.03223	36.20701	30.20542	20.60891	16.30929	-0.40024	-1.45095	15.53220	37.97396	23.43629	0.70749	19.38820	39.84297	16.94301	-4.85086	14.94885	37.64823	24.46170	0.61560	17.45301	34.25837	15.57225	-3.94605	15.74272	40.43586	28.18436	1.90814	18.70654	34.68652	15.15929	-3.63333	15.53812	16.46623	38.43038	41.27907	23.59534	26.13368	-0.31134	3.67178	19.64953	34.08951	11.50753	-4.85915
8	16.51812	1.17080	38.71426	2.32620	25.53776	2.38143	2.68991	1.62960	18.24164	1.55990	34.15750	2.90717	16.18485	2.98524	-2.65396	1.72199	15.73559	35.50032	22.43048	1.79112	20.03365	33.82223	15.59966	-3.08710	15.37035	19.00593	35.98463	41.23283	23.62847	27.87656	1.16874	4.83409	17.68909	15.64110	35.67128	29.41520	21.07191	16.63522	0.23002	-0.84849	16.34220	37.97079	24.09383	2.15314	19.24239	39.16201	17.56376	-4.03242	15.57946	37.78185	25.34812	1.93085	17.05122	33.81579	16.04210	-3.26257	16.45353	41.07859	29.54529	3.39515	18.42573	33.76697	15.33419	-3.01997	16.40059	17.25731	38.85805	41.30700	24.52765	26.85172	0.98616	5.26003	19.60829	33.44900	11.04714	-4.55720
9	17.16977	1.13888	38.96117	2.42230	26.34050	2.56794	3.81493	1.74087	17.91201	1.70661	33.57729	2.89958	16.46919	3.17842	-2.12454	1.75968	16.51867	35.49448	22.63878	2.72873	19.93891	33.38553	15.99859	-2.55669	15.81697	19.39947	36.05457	41.27140	24.34711	28.91704	2.15386	6.08997	17.19217	15.16665	35.14521	28.73341	21.46186	16.93580	0.79012	-0.33790	17.07341	38.27981	25.08206	3.40902	18.98039	38.45192	18.04202	-3.36096	16.12537	38.05361	26.21425	2.97006	16.59015	33.31667	16.43574	-2.61797	17.13688	41.65355	30.52928	4.54575	18.05372	33.00434	15.59948	-2.46992	17.25417	18.03323	39.35639	41.52562	25.34658	27.64894	2.05327	6.56877	19.46210	33.00397	10.81083	-4.31847
10	17.77985	1.11811	39.15621	2.48494	26.84925	2.67071	4.63428	1.85195	17.53495	1.82793	33.02193	2.84538	16.66331	3.21978	-1.66418	1.79357	17.31455	35.68179	22.95276	3.46082	19.77947	33.05555	16.35747	-2.11513	16.27927	19.73603	35.95803	41.40813	24.48133	29.88824	2.74497	7.10729	16.66141	14.66706	34.57317	28.10184	21.63860	17.07888	1.26989	0.09434	17.70277	38.67878	26.02702	4.41582	18.63222	37.64108	18.24807	-2.82281	16.59362	38.19134	26.65357	3.66854	16.15086	32.70120	16.57114	-2.06989	17.78411	41.93917	30.85785	5.29836	17.61701	32.36858	15.92690	-1.92905	18.06904	18.75943	39.64592	41.74654	25.72306	28.21018	2.85379	7.52466	19.23666	32.71210	10.82210	-4.07659
11	18.35066	1.11134	39.10572	2.51721	26.81475	2.73329	5.12733	1.95473	17.16752	1.91522	32.42375	2.76949	16.64110	3.09890	-1.27190	1.80485	18.08907	35.88806	23.13264	3.98385	19.59984	32.73690	16.54819	-1.73550	16.77000	20.05447	35.53170	41.41597	23.86460	30.39108	2.95373	7.84201	16.16379	14.20782	33.89060	27.43310	21.46037	16.89965	1.64579	0.44362	18.23840	38.92337	26.55011	5.11956	18.26001	36.69147	18.08649	-2.39806	17.01145	37.97972	26.39822	4.00554	15.80197	31.90781	16.29554	-1.66770	18.40025	41.79348	30.43765	5.64727	17.16427	31.80813	16.20621	-1.38243	18.82018	19.42145	39.52680	41.78670	25.48093	28.26280	3.37939	8.08728	18.97493	32.49823	10.99128	-3.80903
12	18.88784	1.11573	38.69308	2.54378	26.14486	2.80588	5.31311	2.04622	16.86201	1.97126	31.71700	2.71587	16.28055	2.86018	-0.96362	1.78947	18.83047	35.95074	22.97276	4.27848	19.44931	32.33616	16.43270	-1.41679	17.28446	20.39148	34.71915	41.12539	22.53504	30.21149	2.84327	8.28160	15.75476	13.84060	33.03977	26.63414	20.82935	16.24792	1.89398	0.68994	18.70451	38.82025	26.42167	5.50872	17.93357	35.60310	17.49482	-2.08617	17.40248	37.31958	25.40228	4.01957	15.58163	30.89586	15.53971	-1.42632	18.99097	41.17905	29.33847	5.64725	16.75045	31.25097	16.27152	-0.86275	19.48027	20.01806	38.92103	41.50950	24.61333	27.66386	3.65445	8.27156	18.72374	32.25900	11.14786	-3.53721
13	19.39065	1.12702	37.89408	2.58368	24.88808	2.90749	5.24638	2.12324	16.65202	2.00467	30.85760	2.72250	15.50907	2.58447	-0.75688	1.75524	19.53448	35.74805	22.35938	4.35477	19.36159	31.77901	15.90699	-1.17136	17.80129	20.76299	33.55771	40.45366	20.64104	29.35556	2.50134	8.45282	15.46873	13.59306	31.99329	25.64604	19.72860	15.05210	2.00729	0.81378	19.12370	38.27632	25.60073	5.61968	17.70833	34.41814	16.46610	-1.89699	17.77323	36.23503	23.79361	3.79441	15.49121	29.67716	14.34383	-1.32229	19.55639	40.15765	27.71571	5.39186	16.41956	30.61147	15.96413	-0.42668	20.02105	20.55208	37.87307	40.85112	23.22657	26.41207	3.72042	8.13570	18.52169	31.87810	11.10173	-3.30192
14	19.85145	1.14347	36.76314	2.63494	23.16754	3.03392	4.99742	2.18189	16.54868	2.02344	29.84304	2.78917	14.33795	2.34947	-0.65400	1.71199	20.19118	35.21583	21.26163	4.25745	19.34680	31.02826	14.94315	-1.01021	18.29157	21.16184	32.13959	39.40306	18.34510	27.96493	2.01170	8.40750	15.31763	13.47092	30.77400	24.47958	18.23450	13.36556	2.00388	0.81561	19.51038	37.31167	24.18239	5.51534	17.61499	33.21057	15.06921	-1.82715	18.11681	34.83117	21.76175	3.42844	15.50347	28.33313	12.85511	-1.30682	20.09192	38.85782	25.73657	4.98125	16.19592	29.81230	15.18887	-0.12002	20.42285	21.02502	36.52019	39.82574	21.47991	24.60805	3.62153	7.75614	18.39105	31.26345	10.70926	-3.13329
15	20.26095	1.16629	35.40549	2.67597	21.12852	3.16319	4.63200	2.21892	16.54410	2.03056	28.71834	2.87597	12.86592	2.18355	-0.63538	1.66545	20.78378	34.35849	19.71267	4.04370	19.39295	30.09224	13.60308	-0.93032	18.72828	21.56773	30.58514	38.03081	15.80478	26.19475	1.43977	8.20141	15.29451	13.46548	29.45649	23.21819	16.49916	11.36063	1.92240	0.72339	19.87298	36.02917	22.31201	5.25800	17.65692	32.05772	13.43921	-1.84787	18.42474	33.24792	19.48710	3.00532	15.57997	26.99438	11.28658	-1.32662	20.59000	37.43404	23.55346	4.49971	16.08458	28.81458	13.94221	0.04573	20.68329	21.43681	35.05172	38.50666	19.56597	22.39741	3.40279	7.20526	18.33428	30.39480	9.93057	-3.03435
16	20.61287	1.19740	33.94774	2.68039	18.92212	3.25274	4.19983	2.23032	16.61749	2.02384	27.56137	2.94028	11.25054	2.06436	-0.66591	1.61808	21.29654	33.24688	17.80680	3.75972	19.47112	29.01929	12.01828	-0.91045	19.09173	21.95910	29.02702	36.41920	13.20526	24.13991	0.83312	7.87435	15.37869	13.55969	28.14356	21.97906	14.71037	9.27022	1.80805	0.58331	20.21551	34.57113	20.13914	4.89374	17.81360	31.01179	11.73837	-1.91403	18.69393	31.63140	17.13857	2.58047	15.68696	25.78982	9.84643	-1.34158	21.04162	36.03278	21.31759	4.00879	16.07526	27.63713	12.31605	0.09701	20.81841	21.78612	33.65732	36.99618	17.69971	19.93000	3.11107	6.53737	18.33712	29.34893	8.85405	-2.98366
