	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d
7	0.00738	0.03740	0.05175	0.02925	-0.07370	0.03386	-0.00718	0.02880	-0.00820	0.01862	-0.05024	0.02398	-0.04258	-0.02067	0.06608	-0.00300	-0.12309	-0.07503	-0.00886	-0.02918	0.02588	0.00107	0.00551	0.00358	-0.02946	-0.06244	-0.02427	-0.00841	-0.00488	0.05755	0.08625	-0.08710	-0.10551	0.00204	0.03567	-0.02181	0.01795	-0.04375	-0.03956	0.06761	0.03428	0.02633	0.06287	0.06241	0.03008	-0.03091	-0.04608	-0.04814	-0.00753	-0.05252	-0.02298	-0.03437	-0.02969	-0.00783	-0.04193	-0.06096	-0.09953
8	0.01335	0.04205	0.06215	0.02910	-0.07318	0.03379	0.01983	0.03310	-0.02462	0.02160	-0.05441	0.02280	-0.04491	-0.02147	0.07518	0.00889	-0.12144	-0.07528	0.01362	0.00848	0.06767	-0.01239	-0.00254	-0.00647	-0.03402	-0.06622	-0.02163	0.00421	-0.00222	0.07348	0.10001	-0.08726	-0.10610	0.01698	0.06462	-0.04592	-0.01019	-0.05674	-0.04995	0.07759	0.04772	0.03251	0.07009	0.06613	0.04129	-0.03363	-0.04324	-0.04532	0.01958	-0.03361	0.00128	-0.05617	-0.04814	-0.01517	-0.04178	-0.07134	-0.09362
9	0.01934	0.04770	0.07059	0.02915	-0.07115	0.03364	0.03227	0.04291	-0.03832	0.02532	-0.05733	0.02326	-0.04677	-0.02293	0.07895	0.01837	-0.11825	-0.07433	0.01749	0.03238	0.10002	-0.02057	-0.01119	-0.01578	-0.03789	-0.06841	-0.01763	0.01604	-0.00069	0.08727	0.11142	-0.08634	-0.10410	0.02518	0.08245	-0.06778	-0.03333	-0.06795	-0.05770	0.09005	0.06030	0.03941	0.07577	0.06987	0.05249	-0.03535	-0.03952	-0.04015	0.02828	-0.03882	0.01121	-0.07255	-0.06300	-0.02234	-0.04216	-0.08181	-0.08507
10	0.02390	0.05346	0.07663	0.02880	-0.06902	0.03366	0.03423	0.05369	-0.04879	0.02931	-0.05934	0.02548	-0.04864	-0.02524	0.07653	0.02583	-0.11519	-0.07291	0.01084	0.03793	0.11803	-0.02520	-0.01770	-0.02275	-0.04092	-0.06922	-0.01289	0.02336	-0.00155	0.09587	0.11956	-0.08604	-0.10146	0.03185	0.09445	-0.08762	-0.04962	-0.07689	-0.06174	0.10254	0.06967	0.04715	0.08123	0.07296	0.06444	-0.03638	-0.03693	-0.03421	0.02758	-0.05714	0.01029	-0.08397	-0.07464	-0.02882	-0.04401	-0.09263	-0.07646
11	0.02683	0.05875	0.07963	0.02808	-0.06800	0.03392	0.03301	0.06297	-0.05729	0.03343	-0.06058	0.02873	-0.05099	-0.02769	0.06916	0.03140	-0.11352	-0.07187	0.00164	0.03228	0.12856	-0.02786	-0.02256	-0.02782	-0.04298	-0.06898	-0.00771	0.02591	-0.00434	0.09736	0.12296	-0.08758	-0.09978	0.03676	0.10692	-0.10660	-0.06087	-0.08311	-0.06149	0.11338	0.07532	0.05622	0.08689	0.07362	0.07600	-0.03730	-0.03670	-0.02924	0.02355	-0.07410	0.00846	-0.09191	-0.08504	-0.03563	-0.04734	-0.10344	-0.06957
12	0.02851	0.06328	0.07998	0.02775	-0.06880	0.03441	0.03210	0.07076	-0.06461	0.03759	-0.06096	0.03239	-0.05316	-0.02915	0.06029	0.03475	-0.11389	-0.07190	-0.00621	0.02389	0.13875	-0.02970	-0.02674	-0.03148	-0.04410	-0.06795	-0.00197	0.02483	-0.00898	0.09370	0.12187	-0.09151	-0.09995	0.03788	0.11976	-0.12501	-0.06910	-0.08638	-0.05723	0.12229	0.07719	0.06659	0.09247	0.07193	0.08486	-0.03876	-0.03903	-0.02653	0.01709	-0.08511	0.01076	-0.09719	-0.09507	-0.04262	-0.05133	-0.11349	-0.06525
13	0.02953	0.06728	0.07926	0.02816	-0.07157	0.03501	0.03209	0.07679	-0.07091	0.04170	-0.06040	0.03610	-0.05379	-0.02929	0.05323	0.03596	-0.11623	-0.07347	-0.01122	0.01681	0.14995	-0.03248	-0.03001	-0.03376	-0.04432	-0.06642	0.00453	0.02018	-0.01520	0.08971	0.11865	-0.09770	-0.10229	0.03673	0.12944	-0.14231	-0.07494	-0.08675	-0.05011	0.12995	0.07706	0.07778	0.09790	0.06974	0.08965	-0.04119	-0.04341	-0.02670	0.00957	-0.09042	0.01584	-0.10065	-0.10468	-0.04847	-0.05491	-0.12183	-0.06336
14	0.03107	0.07115	0.07907	0.02920	-0.07604	0.03551	0.03373	0.08050	-0.07637	0.04563	-0.05884	0.03958	-0.05083	-0.02857	0.04897	0.03585	-0.11987	-0.07676	-0.01189	0.01214	0.15967	-0.03782	-0.03216	-0.03453	-0.04373	-0.06474	0.01180	0.01311	-0.02172	0.08893	0.11639	-0.10545	-0.10658	0.03759	0.13717	-0.15806	-0.07908	-0.08450	-0.04148	0.13751	0.07827	0.08972	0.10368	0.06878	0.09086	-0.04476	-0.04913	-0.02973	0.00332	-0.08937	0.02121	-0.10320	-0.11382	-0.05230	-0.05737	-0.12764	-0.06304
15	0.03521	0.07507	0.07995	0.03085	-0.08171	0.03575	0.03867	0.08234	-0.08162	0.04943	-0.05626	0.04257	-0.04331	-0.02742	0.04670	0.03547	-0.12398	-0.08175	-0.00660	0.00977	0.16589	-0.04626	-0.03381	-0.03398	-0.04252	-0.06312	0.01971	0.00950	-0.02603	0.09073	0.11698	-0.11390	-0.11236	0.04407	0.14901	-0.17279	-0.08289	-0.07999	-0.03230	0.14590	0.08482	0.10303	0.11023	0.06922	0.09030	-0.04944	-0.05540	-0.03512	0.00221	-0.08273	0.02777	-0.10573	-0.12268	-0.05484	-0.05832	-0.13034	-0.06321
16	0.04424	0.07855	0.08168	0.03299	-0.08802	0.03566	0.04736	0.08427	-0.08727	0.05310	-0.05266	0.04494	-0.03232	-0.02551	0.04543	0.03562	-0.12790	-0.08820	0.00261	0.00974	0.17019	-0.05726	-0.03599	-0.03306	-0.04101	-0.06149	0.02812	0.01748	-0.02362	0.09312	0.12035	-0.12229	-0.11905	0.05651	0.16796	-0.18727	-0.08713	-0.07365	-0.02281	0.15553	0.09949	0.11865	0.11739	0.07022	0.08965	-0.05504	-0.06161	-0.04203	0.00757	-0.07482	0.03909	-0.10881	-0.13109	-0.05758	-0.05787	-0.12970	-0.06291
17	0.05877	0.08125	0.08399	0.03525	-0.09446	0.03531	0.05867	0.08793	-0.09354	0.05644	-0.04812	0.04673	-0.01967	-0.02146	0.04483	0.03667	-0.13134	-0.09567	0.01145	0.01259	0.17765	-0.06993	-0.03949	-0.03290	-0.03982	-0.05944	0.03697	0.03790	-0.01059	0.09520	0.12546	-0.12996	-0.12616	0.07232	0.19152	-0.20159	-0.09173	-0.06592	-0.01303	0.16716	0.12027	0.13777	0.12461	0.07151	0.08964	-0.06127	-0.06730	-0.04956	0.01644	-0.06777	0.05518	-0.11277	-0.13875	-0.06112	-0.05639	-0.12593	-0.06143
18	0.07700	0.08377	0.08688	0.03733	-0.10067	0.03489	0.07076	0.09295	-0.10025	0.05939	-0.04285	0.04805	-0.00734	-0.01340	0.04520	0.03854	-0.13437	-0.10361	0.01697	0.01941	0.19256	-0.08317	-0.04437	-0.03405	-0.03955	-0.05649	0.04623	0.06228	0.01185	0.09778	0.13158	-0.13653	-0.13332	0.08661	0.21465	-0.21539	-0.09632	-0.05720	-0.00331	0.18116	0.14234	0.16208	0.13140	0.07359	0.09004	-0.06769	-0.07221	-0.05699	0.02446	-0.05965	0.07103	-0.11780	-0.14582	-0.06510	-0.05452	-0.11955	-0.05843
