	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_2.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0002_3.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d	2014_03_19_PC004_BAREFOOT_GAIT0003_1.c3d
7	-0.04964	0.04663	-0.13186	0.04680	0.10093	0.04091	0.01665	0.02158	-0.17431	0.03766	0.02906	0.03104	-0.09752	-0.00368	-0.20429	-0.10051	0.17234	0.10300	0.00710	-0.00795	0.02251	-0.17806	-0.19850	-0.13622	-0.00092	0.01612	0.05650	-0.07927	-0.11371	-0.14532	-0.18074	0.12350	0.10531	0.04074	-0.00266	-0.10715	-0.19988	0.04335	0.06270	-0.00257	-0.03684	-0.01391	-0.07905	-0.11820	-0.09489	0.05075	0.09360	0.05803	0.05455	0.01376	0.00514	-0.15903	-0.19706	-0.21860	-0.00829	-0.00154	0.06453
8	-0.05860	0.04907	-0.13698	0.04521	0.10598	0.03797	0.03512	0.02577	-0.17720	0.03950	0.03171	0.03075	-0.11372	-0.02374	-0.20237	-0.10938	0.17239	0.10984	0.02146	0.01148	0.05004	-0.17426	-0.21543	-0.14184	0.00180	0.01573	0.05944	-0.08221	-0.12870	-0.15425	-0.18892	0.12569	0.10860	0.06955	0.02904	-0.11854	-0.21364	0.04814	0.06484	-0.00449	-0.02805	-0.02930	-0.08863	-0.11694	-0.09840	0.05845	0.10015	0.06677	0.07347	0.01424	0.01165	-0.13940	-0.19734	-0.21719	-0.00563	0.00371	0.06566
9	-0.06225	0.05189	-0.13818	0.04371	0.10772	0.03524	0.04397	0.03621	-0.17220	0.04026	0.03271	0.03029	-0.11926	-0.04055	-0.19568	-0.11389	0.16973	0.11493	0.01626	0.02072	0.06760	-0.16615	-0.21683	-0.13409	0.00410	0.01421	0.06034	-0.07987	-0.13856	-0.16091	-0.19166	0.12475	0.10741	0.09688	0.05402	-0.12515	-0.21572	0.05239	0.06477	-0.00109	-0.01719	-0.03926	-0.09486	-0.11306	-0.09717	0.06294	0.10150	0.07277	0.08336	0.00154	0.01141	-0.12339	-0.19447	-0.20184	-0.00582	0.00775	0.06397
10	-0.06185	0.05455	-0.13852	0.04243	0.10853	0.03388	0.04997	0.05004	-0.16702	0.04009	0.03378	0.03069	-0.11565	-0.05390	-0.18810	-0.11617	0.16848	0.11875	0.00747	0.01606	0.07516	-0.16130	-0.20940	-0.11955	0.00773	0.01263	0.06075	-0.07568	-0.14422	-0.16724	-0.19224	0.12441	0.10442	0.12592	0.07864	-0.12940	-0.21608	0.05747	0.06686	0.00457	-0.00600	-0.04208	-0.09984	-0.11078	-0.09527	0.06545	0.10153	0.07669	0.09665	-0.00901	0.00888	-0.12070	-0.19872	-0.18101	-0.00830	0.01106	0.06201
11	-0.05808	0.05668	-0.14025	0.04133	0.11073	0.03411	0.06112	0.06342	-0.16541	0.04188	0.03611	0.03264	-0.10704	-0.06311	-0.18300	-0.11834	0.17110	0.12236	0.00628	0.00644	0.08107	-0.16254	-0.19919	-0.10354	0.01245	0.01309	0.06281	-0.07066	-0.14492	-0.17430	-0.19303	0.12777	0.10244	0.15962	0.10934	-0.13186	-0.21881	0.06375	0.07291	0.01011	0.00544	-0.03637	-0.10525	-0.11199	-0.09586	0.06775	0.10368	0.08000	0.11718	-0.00503	0.01408	-0.13268	-0.21272	-0.16189	-0.01231	0.01380	0.06242
12	-0.05238	0.05849	-0.14487	0.04059	0.11574	0.03555	0.07959	0.07483	-0.16749	0.04766	0.03971	0.03587	-0.09698	-0.06698	-0.18306	-0.12178	0.17789	0.12688	0.01591	0.00149	0.09113	-0.16805	-0.19046	-0.08889	0.01669	0.01670	0.06779	-0.06761	-0.14271	-0.18334	-0.19597	0.13646	0.10358	0.19801	0.14561	-0.13232	-0.22280	0.07033	0.08119	0.01470	0.01472	-0.02184	-0.11192	-0.11749	-0.10052	0.07101	0.11003	0.08434	0.14061	0.01288	0.03107	-0.15423	-0.23380	-0.14938	-0.01687	0.01550	0.06638
13	-0.04673	0.06113	-0.15328	0.04057	0.12395	0.03755	0.10270	0.08325	-0.17091	0.05568	0.04377	0.03945	-0.08632	-0.06581	-0.18920	-0.12733	0.18748	0.13313	0.03565	0.00406	0.10580	-0.17302	-0.18558	-0.07648	0.01937	0.02270	0.07543	-0.07209	-0.14133	-0.19602	-0.20274	0.15042	0.10886	0.23818	0.18108	-0.12982	-0.22423	0.07599	0.08832	0.01809	0.02070	-0.00036	-0.12034	-0.12753	-0.10977	0.07569	0.12089	0.09118	0.16193	0.03827	0.05664	-0.17686	-0.25646	-0.14484	-0.02073	0.01564	0.07340
14	-0.04136	0.06635	-0.16559	0.04133	0.13467	0.03920	0.12737	0.08868	-0.17231	0.06286	0.04721	0.04255	-0.07201	-0.06166	-0.19989	-0.13558	0.19735	0.14146	0.06224	0.01350	0.12258	-0.17308	-0.18442	-0.06578	0.02043	0.02918	0.08443	-0.08468	-0.14314	-0.21303	-0.21443	0.16763	0.11810	0.27777	0.21208	-0.12282	-0.21843	0.07974	0.09151	0.02042	0.02662	0.02490	-0.13102	-0.14167	-0.12354	0.08177	0.13462	0.10175	0.17840	0.06695	0.08540	-0.19335	-0.27454	-0.14605	-0.02315	0.01405	0.08151
15	-0.03368	0.07419	-0.18087	0.04231	0.14631	0.03943	0.15233	0.09259	-0.16895	0.06803	0.04918	0.04473	-0.05186	-0.05667	-0.21182	-0.14689	0.20477	0.15177	0.09137	0.02881	0.13854	-0.16687	-0.18465	-0.05511	0.02045	0.03419	0.09293	-0.09394	-0.14676	-0.23293	-0.23081	0.18416	0.12981	0.31709	0.24021	-0.10977	-0.20221	0.08122	0.08980	0.02256	0.03969	0.05121	-0.14435	-0.15807	-0.14121	0.08887	0.14804	0.11678	0.19099	0.09706	0.11457	-0.20064	-0.28369	-0.14869	-0.02424	0.01100	0.08807
16	-0.02040	0.08172	-0.19741	0.04287	0.15699	0.03763	0.17690	0.09624	-0.16008	0.07212	0.04928	0.04593	-0.02918	-0.05144	-0.22166	-0.16121	0.20793	0.16350	0.11882	0.04905	0.15279	-0.15645	-0.18302	-0.04216	0.02009	0.03644	0.09921	-0.08520	-0.14589	-0.25318	-0.25023	0.19571	0.14148	0.35620	0.26671	-0.09064	-0.17597	0.08069	0.08459	0.02635	0.06480	0.07779	-0.16017	-0.17383	-0.16156	0.09632	0.15792	0.13605	0.20189	0.12588	0.14388	-0.20046	-0.28310	-0.14883	-0.02481	0.00697	0.09101
17	-0.00119	0.08691	-0.21349	0.04280	0.16524	0.03457	0.20041	0.09960	-0.14691	0.07642	0.04778	0.04645	-0.00996	-0.04433	-0.22764	-0.17795	0.20673	0.17567	0.14320	0.07298	0.16684	-0.14572	-0.17702	-0.02535	0.01994	0.03559	0.10235	-0.05770	-0.13421	-0.27132	-0.27038	0.20004	0.15056	0.39369	0.29051	-0.06717	-0.14346	0.07896	0.07897	0.03450	0.09680	0.10660	-0.17764	-0.18665	-0.18283	0.10318	0.16265	0.15785	0.21250	0.15185	0.17175	-0.19685	-0.27468	-0.14500	-0.02584	0.00238	0.08990
18	0.02059	0.09106	-0.22789	0.04257	0.17066	0.03235	0.22252	0.10213	-0.13180	0.08143	0.04542	0.04679	0.00130	-0.03248	-0.23007	-0.19598	0.20291	0.18698	0.16570	0.09884	0.18220	-0.13878	-0.16604	-0.00489	0.02035	0.03212	0.10257	-0.02716	-0.11299	-0.28599	-0.28920	0.19830	0.15551	0.42810	0.31025	-0.04205	-0.10979	0.07706	0.07581	0.04825	0.12537	0.14183	-0.19541	-0.19573	-0.20287	0.10858	0.16322	0.17912	0.22370	0.17623	0.19510	-0.19370	-0.26092	-0.13819	-0.02789	-0.00264	0.08597
19	0.04123	0.09680	-0.24001	0.04290	0.17393	0.03238	0.24373	0.10403	-0.11730	0.08720	0.04296	0.04751	0.00352	-0.01395	-0.23046	-0.21382	0.19922	0.19618	0.18963	0.12475	0.19860	-0.13841	-0.15132	0.01749	0.02127	0.02712	0.10111	-0.00842	-0.08955	-0.29726	-0.30552	0.19421	0.15654	0.46013	0.32676	-0.01779	-0.07992	0.07570	0.07623	0.06678	0.14451	0.18570	-0.21200	-0.20124	-0.21974	0.11226	0.16254	0.19652	0.23713	0.19987	0.21299	-0.19378	-0.24434	-0.13031	-0.03089	-0.00807	0.08119
20	0.05905	0.10609	-0.24977	0.04422	0.17633	0.03369	0.26583	0.10672	-0.10522	0.09380	0.04089	0.04899	-0.00139	0.01030	-0.23038	-0.23001	0.19818	0.20253	0.21909	0.14942	0.21508	-0.14472	-0.13486	0.03956	0.02231	0.02199	0.09958	-0.00425	-0.06974	-0.30636	-0.31908	0.19203	0.15541	0.49354	0.34400	0.00430	-0.05741	0.07501	0.07937	0.08896	0.15476	0.23471	-0.22631	-0.20386	-0.23241	0.11465	0.16363	0.20791	0.25558	0.22265	0.22725	-0.19822	-0.22747	-0.12292	-0.03453	-0.01384	0.07725
