	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_CINE.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_CINE.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_CINE.c3d
7	0.39696	0.13371	0.01926	0.06310	-0.12851	0.01821	0.32297	0.11396	-0.05115	0.01667	-0.07770	0.03845	0.45798	-0.03231	-0.11974	0.30108	-0.02487	-0.05398	0.35782	-0.08683	-0.12224	0.19336	-0.05363	-0.01764	0.20884	0.03011	-0.15733	0.26014	-0.04063	-0.10825	0.43506	-0.00044	-0.13366	0.57184	0.06274	-0.10332	0.47905	-0.05343	-0.08438	0.24418	0.08323	-0.11818	0.50303	0.07833	-0.14509	0.44602	-0.06153	-0.12508	0.25815	-0.07280	-0.07684
8	0.39602	0.13319	0.09230	0.07626	-0.13879	0.02312	0.30059	0.11965	0.02528	0.01955	-0.07850	0.05007	0.45531	0.02814	-0.12919	0.25569	0.05849	-0.04727	0.33458	-0.03255	-0.13653	0.15679	0.00749	0.00227	0.22394	0.07920	-0.17377	0.26940	0.02716	-0.12435	0.40554	0.08666	-0.14202	0.57874	0.15486	-0.10359	0.44429	0.03488	-0.08714	0.25308	0.14863	-0.12594	0.52099	0.18117	-0.16051	0.44903	0.01586	-0.13178	0.22832	0.00776	-0.08275
9	0.38940	0.13330	0.16598	0.09175	-0.13951	0.02885	0.27006	0.12462	0.10678	0.02501	-0.06960	0.06179	0.45342	0.08792	-0.12789	0.20636	0.14154	-0.03238	0.30956	0.02458	-0.14119	0.12159	0.07281	0.03136	0.23479	0.12937	-0.17980	0.26573	0.10098	-0.13337	0.36436	0.17239	-0.14236	0.57758	0.24798	-0.09144	0.39308	0.13040	-0.07896	0.25857	0.21626	-0.12694	0.52754	0.28340	-0.16698	0.44334	0.09798	-0.12703	0.19024	0.09699	-0.07724
10	0.37659	0.13520	0.23485	0.10649	-0.13106	0.03593	0.23397	0.13045	0.18763	0.03036	-0.05136	0.07372	0.44981	0.14397	-0.11523	0.15845	0.21840	-0.01047	0.28486	0.08102	-0.13600	0.08638	0.13871	0.06911	0.23212	0.17474	-0.17686	0.24226	0.17945	-0.13567	0.32084	0.25166	-0.13596	0.57002	0.33193	-0.06684	0.34124	0.22130	-0.05891	0.25850	0.28247	-0.12173	0.51998	0.37814	-0.16479	0.42959	0.17937	-0.11268	0.14588	0.18855	-0.05952
11	0.35776	0.13825	0.29370	0.11851	-0.11447	0.04482	0.19851	0.13579	0.25958	0.03471	-0.02488	0.08626	0.44196	0.19311	-0.09132	0.11780	0.28246	0.01706	0.26481	0.13275	-0.12154	0.05240	0.19773	0.11454	0.20703	0.21036	-0.16722	0.20673	0.25449	-0.13208	0.28322	0.31944	-0.12410	0.55393	0.39854	-0.03111	0.29769	0.29810	-0.02716	0.25126	0.34305	-0.11117	0.50211	0.45865	-0.15485	0.41199	0.25365	-0.09185	0.10443	0.27102	-0.02977
12	0.33450	0.14053	0.33868	0.12741	-0.09124	0.05564	0.16660	0.13973	0.31662	0.03875	0.00806	0.09980	0.43061	0.23165	-0.05707	0.08572	0.32980	0.04882	0.25328	0.17548	-0.09882	0.01888	0.24338	0.16588	0.16269	0.23308	-0.15310	0.17160	0.31758	-0.12404	0.25461	0.37210	-0.10791	0.52448	0.44338	0.01346	0.26021	0.35671	0.01490	0.23634	0.39496	-0.09655	0.47950	0.52009	-0.13870	0.39289	0.31661	-0.06766	0.07033	0.33563	0.01044
13	0.30932	0.14003	0.36803	0.13355	-0.06301	0.06822	0.13818	0.14274	0.35693	0.04304	0.04542	0.11471	0.41548	0.25766	-0.01402	0.05995	0.36002	0.08365	0.24792	0.20654	-0.06904	-0.01616	0.27304	0.22093	0.11440	0.24179	-0.13610	0.14388	0.36598	-0.11352	0.23341	0.40894	-0.08832	0.48180	0.46445	0.06417	0.22527	0.39629	0.06513	0.21850	0.43582	-0.07943	0.45373	0.56102	-0.11834	0.37321	0.36757	-0.04231	0.04293	0.37867	0.05866
14	0.28421	0.13461	0.38198	0.13753	-0.03131	0.08216	0.11300	0.14563	0.38143	0.04819	0.08540	0.13107	0.39407	0.27121	0.03585	0.03780	0.37457	0.12083	0.24116	0.22553	-0.03349	-0.05234	0.28745	0.27763	0.07716	0.23728	-0.11705	0.12559	0.40147	-0.10238	0.21747	0.43127	-0.06575	0.43118	0.46206	0.11833	0.19244	0.41761	0.12099	0.20450	0.46390	-0.06132	0.42393	0.58261	-0.09577	0.35392	0.40747	-0.01680	0.02060	0.39998	0.11211
15	0.25980	0.12358	0.38206	0.14019	0.00266	0.09689	0.09104	0.14807	0.39186	0.05507	0.12661	0.14854	0.36569	0.27302	0.09045	0.01839	0.37510	0.15988	0.22707	0.23303	0.00671	-0.08632	0.28871	0.33431	0.05668	0.22193	-0.09586	0.11714	0.42634	-0.09159	0.20568	0.44077	-0.04015	0.37736	0.43923	0.17368	0.16267	0.42235	0.18006	0.19528	0.47946	-0.04348	0.39087	0.58694	-0.07272	0.33375	0.43690	0.00878	0.00061	0.40179	0.16819
16	0.23586	0.10941	0.37042	0.14239	0.03816	0.11176	0.07092	0.14822	0.39005	0.06424	0.16824	0.16633	0.33344	0.26389	0.14780	0.00104	0.36346	0.20054	0.20623	0.22945	0.05066	-0.11424	0.27880	0.38980	0.04916	0.19899	-0.07160	0.11616	0.44221	-0.08091	0.19552	0.43923	-0.01113	0.32336	0.40050	0.22852	0.13519	0.41274	0.24021	0.18584	0.48469	-0.02672	0.35746	0.57621	-0.05042	0.30787	0.45567	0.03505	-0.02050	0.38744	0.22477
17	0.21249	0.09594	0.34921	0.14483	0.07487	0.12617	0.05006	0.14448	0.37787	0.07522	0.20998	0.18332	0.30192	0.24500	0.20621	-0.01674	0.34215	0.24263	0.18381	0.21503	0.09768	-0.13477	0.25973	0.44336	0.04673	0.17123	-0.04258	0.11710	0.45046	-0.06914	0.18338	0.42844	0.02181	0.27266	0.35014	0.28179	0.10728	0.39127	0.29973	0.17287	0.48183	-0.01144	0.32605	0.55280	-0.02940	0.27163	0.46331	0.06301	-0.04418	0.36033	0.28028
18	0.19033	0.08564	0.32039	0.14795	0.11282	0.13964	0.02678	0.13716	0.35724	0.08685	0.25174	0.19838	0.27458	0.21788	0.26436	-0.03676	0.31368	0.28599	0.16359	0.19078	0.14725	-0.15034	0.23406	0.49449	0.04332	0.14022	-0.00697	0.11445	0.45223	-0.05466	0.16603	0.41009	0.05912	0.22907	0.29193	0.33300	0.07659	0.36059	0.35730	0.15830	0.47235	0.00250	0.29740	0.51944	-0.00952	0.22527	0.45953	0.09375	-0.06855	0.32337	0.33356
19	0.16979	0.07934	0.28583	0.15180	0.15217	0.15189	0.00135	0.12765	0.33008	0.09815	0.29351	0.21056	0.25238	0.18415	0.32124	-0.05769	0.27989	0.33048	0.14648	0.15867	0.19885	-0.16444	0.20426	0.54287	0.03527	0.10691	0.03659	0.10435	0.44840	-0.03604	0.14310	0.38523	0.10110	0.19436	0.22959	0.38194	0.04287	0.32370	0.41194	0.14522	0.45739	0.01560	0.27172	0.47886	0.00990	0.17368	0.44494	0.12810	-0.09069	0.27927	0.38372
20	0.15047	0.07689	0.24737	0.15596	0.19307	0.16279	-0.02487	0.11686	0.29835	0.10867	0.33525	0.21925	0.23300	0.14555	0.37609	-0.07653	0.24212	0.37598	0.13240	0.12096	0.25190	-0.17867	0.17219	0.58824	0.02032	0.07238	0.08846	0.08409	0.44011	-0.01238	0.11701	0.35423	0.14779	0.16729	0.16676	0.42852	0.00880	0.28333	0.46307	0.13414	0.43814	0.02869	0.24910	0.43356	0.03001	0.12269	0.42128	0.16641	-0.10958	0.23104	0.43015
21	0.13127	0.07703	0.20671	0.15983	0.23551	0.17231	-0.05008	0.10537	0.26375	0.11809	0.37682	0.22420	0.21222	0.10388	0.42835	-0.09131	0.20149	0.42237	0.12082	0.07971	0.30585	-0.19296	0.13928	0.63037	-0.00145	0.03792	0.14783	0.05353	0.42829	0.01674	0.09039	0.31748	0.19892	0.14565	0.10641	0.47263	-0.02160	0.24140	0.51033	0.12315	0.41554	0.04283	0.22813	0.38602	0.05213	0.07716	0.39042	0.20856	-0.12531	0.18164	0.47256
22	0.11146	0.07756	0.16529	0.16280	0.27937	0.18035	-0.07263	0.09394	0.22750	0.12595	0.41806	0.22535	0.18747	0.06074	0.47765	-0.10143	0.15889	0.46941	0.11068	0.03656	0.36018	-0.20677	0.10670	0.66908	-0.02586	0.00496	0.21304	0.01663	0.41284	0.05148	0.06414	0.27568	0.25384	0.12695	0.05062	0.51406	-0.04652	0.19945	0.55347	0.11061	0.39000	0.05921	0.20622	0.33845	0.07762	0.03923	0.35391	0.25399	-0.13692	0.13319	0.51095
23	0.09141	0.07658	0.12414	0.16437	0.32442	0.18665	-0.09138	0.08381	0.19037	0.13156	0.45878	0.22278	0.15990	0.01736	0.52374	-0.10712	0.11517	0.51677	0.10050	-0.00714	0.41443	-0.21925	0.07525	0.70418	-0.04709	-0.02551	0.28196	-0.01996	0.39269	0.09194	0.03946	0.22964	0.31168	0.10886	0.00069	0.55248	-0.06790	0.15920	0.59235	0.09625	0.36169	0.07898	0.18198	0.29228	0.10769	0.00943	0.31297	0.30184	-0.14344	0.08693	0.54558
