	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0001_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0002_6_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_CINE.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_CINE.c3d	2014_06_25_CR014_BAREFOOT_GAIT0003_CINE.c3d
7	0.14844	0.08622	-0.05003	0.06124	-0.04732	0.02946	0.26970	0.11065	0.00591	0.08450	-0.05852	0.05290	0.22486	0.02261	-0.03363	0.31813	0.00634	-0.06844	0.16022	0.00040	-0.02715	0.40186	0.05652	-0.03019	0.08731	-0.14745	-0.07941	0.14131	-0.01270	-0.05090	0.12887	-0.05036	-0.03227	0.28101	-0.01819	-0.09895	0.31871	-0.03093	-0.09997	0.13804	-0.04295	-0.02335	0.01875	-0.11428	-0.03650	0.31237	0.13347	0.02401	0.12584	-0.11724	-0.12564
8	0.20099	0.08806	-0.05683	0.05966	-0.05607	0.03701	0.35259	0.11587	0.02063	0.08654	-0.06713	0.05547	0.27437	0.01860	-0.04167	0.39843	0.01196	-0.07766	0.19647	-0.01965	-0.03524	0.48339	0.07189	-0.03827	0.14464	-0.15304	-0.09334	0.21579	0.01151	-0.05350	0.20047	-0.04772	-0.03191	0.34196	-0.02984	-0.12324	0.43536	-0.01408	-0.11293	0.18099	-0.04541	-0.02728	0.06802	-0.12076	-0.03980	0.37740	0.15058	0.01746	0.20516	-0.10808	-0.13786
9	0.25576	0.08701	-0.05319	0.05555	-0.06413	0.04397	0.43632	0.11420	0.04813	0.08648	-0.07193	0.05633	0.32321	0.02057	-0.05088	0.47540	0.02893	-0.08240	0.23602	-0.03226	-0.04462	0.56180	0.09332	-0.04591	0.20999	-0.13925	-0.10295	0.30856	0.05278	-0.04935	0.26765	-0.03370	-0.02999	0.39834	-0.02938	-0.14671	0.54002	0.01709	-0.12116	0.23089	-0.04086	-0.03116	0.12424	-0.11745	-0.04262	0.44019	0.17870	0.01135	0.29195	-0.08205	-0.14410
10	0.31373	0.08312	-0.03934	0.05003	-0.07205	0.05019	0.52224	0.10434	0.08599	0.08601	-0.07392	0.05633	0.37410	0.02882	-0.06173	0.55032	0.05492	-0.08408	0.28007	-0.03684	-0.05523	0.64217	0.11887	-0.05254	0.28286	-0.10575	-0.10897	0.42231	0.10905	-0.04035	0.33117	-0.01079	-0.02828	0.45120	-0.01608	-0.16905	0.62522	0.05960	-0.12609	0.28916	-0.02846	-0.03548	0.18756	-0.10630	-0.04563	0.50696	0.21657	0.00536	0.38647	-0.04308	-0.14584
11	0.37474	0.07767	-0.01721	0.04592	-0.08031	0.05550	0.60669	0.09153	0.12973	0.08662	-0.07438	0.05617	0.42856	0.04317	-0.07427	0.62213	0.08673	-0.08423	0.32861	-0.03344	-0.06671	0.72330	0.14679	-0.05758	0.35813	-0.05692	-0.11278	0.53934	0.17389	-0.02961	0.39594	0.01797	-0.02840	0.50132	0.00737	-0.18981	0.69312	0.10850	-0.12907	0.35421	-0.00892	-0.04068	0.25643	-0.08971	-0.04953	0.57924	0.25963	-0.00080	0.48302	0.00285	-0.14501
12	0.43715	0.07240	0.00999	0.04588	-0.08906	0.05962	0.68352	0.08039	0.17337	0.08854	-0.07435	0.05594	0.48510	0.06280	-0.08798	0.68786	0.12058	-0.08381	0.38043	-0.02235	-0.07842	0.79628	0.17451	-0.06068	0.42982	-0.00075	-0.11582	0.63769	0.23850	-0.02037	0.46579	0.04915	-0.03136	0.54964	0.03609	-0.20825	0.75084	0.15694	-0.13078	0.42252	0.01520	-0.04694	0.32674	-0.07023	-0.05464	0.65509	0.30113	-0.00712	0.57334	0.04858	-0.14331
13	0.49791	0.06841	0.03864	0.04928	-0.09805	0.06237	0.74923	0.07089	0.21110	0.09066	-0.07443	0.05515	0.54084	0.08617	-0.10192	0.74528	0.15291	-0.08318	0.43310	-0.00454	-0.08954	0.85321	0.19972	-0.06180	0.49494	0.05376	-0.11929	0.71073	0.29419	-0.01522	0.53961	0.07960	-0.03721	0.59407	0.06496	-0.22364	0.80262	0.19766	-0.13119	0.48969	0.04049	-0.05413	0.39315	-0.04994	-0.06066	0.73278	0.33453	-0.01347	0.65074	0.08756	-0.14173
14	0.55331	0.06617	0.06573	0.05316	-0.10685	0.06377	0.80310	0.06288	0.23857	0.09127	-0.07481	0.05317	0.59282	0.11134	-0.11516	0.79343	0.18099	-0.08220	0.48352	0.01857	-0.09939	0.89238	0.22102	-0.06113	0.55283	0.09928	-0.12402	0.76727	0.33396	-0.01554	0.61099	0.10693	-0.04525	0.63053	0.09053	-0.23550	0.84601	0.22517	-0.12985	0.55187	0.06370	-0.06187	0.45060	-0.03023	-0.06674	0.80884	0.35497	-0.01968	0.71065	0.11530	-0.14048
15	0.59974	0.06552	0.08927	0.05536	-0.11503	0.06407	0.84390	0.05821	0.25369	0.08908	-0.07538	0.04972	0.63870	0.13649	-0.12716	0.83028	0.20324	-0.08050	0.52894	0.04536	-0.10763	0.91556	0.23732	-0.05916	0.60277	0.13161	-0.13048	0.81786	0.35338	-0.02144	0.66995	0.12944	-0.05437	0.65691	0.11166	-0.24389	0.87450	0.23792	-0.12630	0.60600	0.08244	-0.06969	0.49495	-0.01210	-0.07199	0.87604	0.36033	-0.02558	0.74918	0.12996	-0.13932
16	0.63476	0.06559	0.10844	0.05556	-0.12238	0.06374	0.86927	0.05936	0.25698	0.08386	-0.07590	0.04509	0.67751	0.16034	-0.13791	0.85317	0.21967	-0.07775	0.56770	0.07430	-0.11440	0.92455	0.24767	-0.05647	0.64343	0.14983	-0.13871	0.86466	0.35154	-0.03189	0.70787	0.14618	-0.06352	0.67368	0.12875	-0.24931	0.88278	0.23837	-0.12041	0.64944	0.09586	-0.07704	0.52368	0.00379	-0.07576	0.92568	0.35178	-0.03098	0.76479	0.13286	-0.13793
17	0.65794	0.06624	0.12350	0.05480	-0.12884	0.06327	0.87804	0.06675	0.25124	0.07649	-0.07613	0.04009	0.70925	0.18225	-0.14780	0.86213	0.23181	-0.07373	0.59966	0.10391	-0.12011	0.92127	0.25216	-0.05360	0.67256	0.15578	-0.14822	0.90246	0.33147	-0.04511	0.72408	0.15787	-0.07194	0.68186	0.14261	-0.25256	0.87021	0.23117	-0.11256	0.68107	0.10460	-0.08346	0.53712	0.01748	-0.07783	0.95237	0.33327	-0.03567	0.75982	0.12753	-0.13611
18	0.67034	0.06799	0.13523	0.05451	-0.13445	0.06305	0.87185	0.07733	0.24036	0.06906	-0.07588	0.03587	0.73331	0.20166	-0.15732	0.86075	0.24173	-0.06845	0.62552	0.13259	-0.12527	0.90838	0.25183	-0.05094	0.68646	0.15263	-0.15807	0.92436	0.29946	-0.05881	0.72594	0.16635	-0.07927	0.68198	0.15382	-0.25438	0.84188	0.22104	-0.10363	0.70058	0.10990	-0.08854	0.53859	0.02965	-0.07830	0.95659	0.31011	-0.03951	0.73915	0.11797	-0.13394
19	0.67285	0.07031	0.14414	0.05538	-0.13929	0.06321	0.85417	0.08710	0.22802	0.06395	-0.07501	0.03325	0.74807	0.21763	-0.16690	0.85297	0.25074	-0.06210	0.64558	0.15834	-0.13039	0.88823	0.24801	-0.04863	0.68135	0.14393	-0.16706	0.92593	0.26336	-0.07055	0.72145	0.17291	-0.08571	0.67452	0.16246	-0.25527	0.80641	0.21134	-0.09471	0.70647	0.11273	-0.09214	0.53251	0.04096	-0.07755	0.94346	0.28710	-0.04249	0.70799	0.10755	-0.13157
20	0.66661	0.07265	0.15050	0.05695	-0.14351	0.06355	0.82877	0.09404	0.21682	0.06223	-0.07342	0.03217	0.75306	0.22923	-0.17660	0.84079	0.25891	-0.05504	0.65936	0.17924	-0.13585	0.86242	0.24206	-0.04651	0.65673	0.13302	-0.17424	0.90840	0.23067	-0.07842	0.71525	0.17791	-0.09197	0.66028	0.16838	-0.25542	0.77081	0.20336	-0.08669	0.69856	0.11379	-0.09440	0.52303	0.05194	-0.07610	0.91955	0.26749	-0.04480	0.67066	0.09844	-0.12904
21	0.65379	0.07544	0.15454	0.05810	-0.14735	0.06375	0.79855	0.09836	0.20798	0.06281	-0.07107	0.03194	0.74904	0.23585	-0.18614	0.82437	0.26543	-0.04761	0.66631	0.19400	-0.14186	0.83232	0.23520	-0.04421	0.61847	0.12277	-0.17936	0.87842	0.20661	-0.08159	0.70912	0.18120	-0.09904	0.64011	0.17153	-0.25475	0.73751	0.19678	-0.07999	0.68015	0.11345	-0.09577	0.51334	0.06295	-0.07455	0.88855	0.25243	-0.04674	0.63014	0.09143	-0.12626
22	0.63684	0.07852	0.15642	0.05778	-0.15111	0.06346	0.76556	0.10126	0.20146	0.06376	-0.06801	0.03196	0.73653	0.23736	-0.19497	0.80311	0.26926	-0.04001	0.66606	0.20214	-0.14839	0.79934	0.22828	-0.04133	0.57663	0.11524	-0.18314	0.84448	0.19307	-0.08058	0.70302	0.18230	-0.10782	0.61492	0.17206	-0.25299	0.70588	0.19082	-0.07453	0.65568	0.11188	-0.09693	0.50507	0.07398	-0.07352	0.85225	0.24103	-0.04852	0.58831	0.08629	-0.12306
23	0.61728	0.08034	0.15631	0.05557	-0.15504	0.06241	0.73158	0.10377	0.19645	0.06396	-0.06435	0.03205	0.71588	0.23414	-0.20245	0.77725	0.26974	-0.03230	0.65846	0.20402	-0.15517	0.76547	0.22198	-0.03762	0.53914	0.11116	-0.18691	0.81310	0.18870	-0.07697	0.69436	0.18071	-0.11867	0.58649	0.17040	-0.24979	0.67453	0.18476	-0.06984	0.62845	0.10917	-0.09864	0.49816	0.08460	-0.07363	0.81243	0.23120	-0.05019	0.54672	0.08232	-0.11917
24	0.59592	0.07945	0.15449	0.05176	-0.15924	0.06044	0.69816	0.10642	0.19199	0.06328	-0.06019	0.03231	0.68822	0.22716	-0.20800	0.74803	0.26681	-0.02435	0.64399	0.20080	-0.16180	0.73284	0.21690	-0.03293	0.50922	0.10999	-0.19195	0.78701	0.18992	-0.07274	0.68013	0.17653	-0.13119	0.55711	0.16714	-0.24478	0.64288	0.17836	-0.06531	0.60124	0.10565	-0.10153	0.49151	0.09414	-0.07541	0.77141	0.22096	-0.05145	0.50678	0.07898	-0.11435
25	0.57348	0.07581	0.15141	0.04708	-0.16360	0.05752	0.66637	0.10922	0.18742	0.06202	-0.05558	0.03287	0.65608	0.21774	-0.21135	0.71758	0.26116	-0.01598	0.62423	0.19413	-0.16788	0.70300	0.21346	-0.02726	0.48640	0.11056	-0.19887	0.76548	0.19266	-0.06956	0.65952	0.17086	-0.14424	0.52813	0.16274	-0.23769	0.61131	0.17178	-0.06034	0.57615	0.10184	-0.10595	0.48383	0.10198	-0.07920	0.73105	0.20924	-0.05185	0.46979	0.07622	-0.10848
26	0.55063	0.07064	0.14766	0.04227	-0.16779	0.05380	0.63682	0.11145	0.18264	0.06039	-0.05052	0.03385	0.62245	0.20727	-0.21249	0.68799	0.25405	-0.00701	0.60158	0.18572	-0.17307	0.67644	0.21179	-0.02071	0.46805	0.11172	-0.20726	0.74562	0.19384	-0.06819	0.63395	0.16543	-0.15638	0.49981	0.15732	-0.22844	0.58071	0.16545	-0.05456	0.55430	0.09854	-0.11190	0.47426	0.10760	-0.08502	0.69285	0.19615	-0.05094	0.43734	0.07457	-0.10170
27	0.52777	0.06536	0.14378	0.03779	-0.17140	0.04950	0.61000	0.11226	0.17806	0.05857	-0.04493	0.03538	0.58931	0.19684	-0.21162	0.66132	0.24713	0.00264	0.57828	0.17695	-0.17719	0.65326	0.21187	-0.01340	0.45117	0.11254	-0.21588	0.72445	0.19228	-0.06820	0.60554	0.16179	-0.16628	0.47224	0.15083	-0.21718	0.55182	0.15966	-0.04789	0.53521	0.09664	-0.11905	0.46264	0.11089	-0.09259	0.65835	0.18270	-0.04842	0.41078	0.07474	-0.09433
28	0.50515	0.06063	0.14023	0.03385	-0.17401	0.04494	0.58601	0.11131	0.17434	0.05687	-0.03870	0.03743	0.55729	0.18705	-0.20902	0.63870	0.24197	0.01296	0.55631	0.16878	-0.18022	0.63354	0.21363	-0.00531	0.43450	0.11256	-0.22326	0.70046	0.18857	-0.06839	0.57555	0.16083	-0.17309	0.44604	0.14331	-0.20431	0.52470	0.15442	-0.04051	0.51722	0.09686	-0.12690	0.44918	0.11221	-0.10127	0.62826	0.17025	-0.04422	0.39038	0.07720	-0.08672
29	0.48338	0.05637	0.13735	0.03055	-0.17535	0.04041	0.56450	0.10891	0.17207	0.05567	-0.03167	0.03976	0.52655	0.17797	-0.20494	0.62036	0.23977	0.02391	0.53716	0.16188	-0.18217	0.61683	0.21669	0.00363	0.41935	0.11199	-0.22812	0.67348	0.18431	-0.06732	0.54523	0.16273	-0.17662	0.42208	0.13503	-0.19039	0.49913	0.14986	-0.03267	0.49876	0.09956	-0.13489	0.43453	0.11230	-0.11033	0.60213	0.15993	-0.03848	0.37506	0.08188	-0.07912
30	0.46391	0.05278	0.13543	0.02816	-0.17533	0.03615	0.54517	0.10581	0.17164	0.05532	-0.02380	0.04211	0.49869	0.16941	-0.19957	0.60596	0.24115	0.03541	0.52134	0.15655	-0.18308	0.60280	0.22060	0.01357	0.40839	0.11135	-0.22964	0.64413	0.18118	-0.06402	0.51838	0.16730	-0.17726	0.40129	0.12650	-0.17610	0.47559	0.14635	-0.02456	0.47985	0.10484	-0.14258	0.41943	0.11209	-0.11907	0.57944	0.15237	-0.03158	0.36310	0.08815	-0.07161
31	0.44836	0.05047	0.13452	0.02705	-0.17403	0.03226	0.52859	0.10289	0.17328	0.05585	-0.01514	0.04432	0.47551	0.16118	-0.19305	0.59506	0.24599	0.04736	0.50795	0.15250	-0.18297	0.59154	0.22524	0.02458	0.40309	0.11075	-0.22752	0.61466	0.18070	-0.05840	0.50050	0.17397	-0.17581	0.38434	0.11830	-0.16213	0.45585	0.14450	-0.01639	0.46259	0.11254	-0.14970	0.40450	0.11243	-0.12706	0.56128	0.14796	-0.02398	0.35313	0.09529	-0.06401
32	0.43754	0.04954	0.13437	0.02726	-0.17168	0.02880	0.51598	0.10090	0.17709	0.05693	-0.00589	0.04640	0.45681	0.15300	-0.18550	0.58687	0.25335	0.05965	0.49538	0.14889	-0.18191	0.58294	0.23058	0.03656	0.40370	0.11020	-0.22184	0.58981	0.18411	-0.05114	0.49409	0.18133	-0.17315	0.37174	0.11094	-0.14898	0.44258	0.14510	-0.00829	0.45016	0.12222	-0.15625	0.39088	0.11401	-0.13413	0.54932	0.14665	-0.01611	0.34438	0.10275	-0.05598
