	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_1_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_1_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_1_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d
7	0.04305	0.02221	0.01092	0.01002	-0.00022	0.01319	0.09385	0.03633	0.01962	0.02120	0.01495	0.01615	0.13019	0.01709	0.01426	0.05434	-0.00241	-0.01073	0.10592	-0.01110	-0.00683	0.05767	0.01790	0.01705	0.12246	0.04335	0.03835	0.00403	0.01196	-0.01217	0.04624	0.00463	-0.00571	0.05298	0.02252	0.01047	0.05914	0.03531	0.01772	0.05154	0.01345	0.01126
8	0.06332	0.01532	0.00181	0.00935	-0.00225	0.01146	0.11726	0.04014	0.00565	0.02302	0.01094	0.01819	0.16240	0.00099	0.01265	0.06744	-0.00919	-0.01166	0.10577	-0.02663	-0.01413	0.06905	0.01156	0.01348	0.15696	0.02839	0.03635	0.03654	0.00185	-0.01165	0.06801	-0.00573	-0.00764	0.07555	0.01057	0.00621	0.08297	0.02755	0.01459	0.07821	-0.00203	0.00522
9	0.08286	0.01043	-0.00983	0.00907	-0.00530	0.00917	0.14015	0.04096	-0.01217	0.02387	0.00484	0.01923	0.18822	-0.01863	0.00841	0.07560	-0.01594	-0.01306	0.10936	-0.04335	-0.02160	0.07891	0.00353	0.00814	0.18152	0.00819	0.03124	0.07277	-0.01227	-0.01192	0.08914	-0.01915	-0.00990	0.09787	-0.00531	0.00022	0.10775	0.01519	0.00877	0.11389	-0.02228	-0.00262
10	0.10389	0.01775	-0.02400	0.01101	-0.00868	0.00661	0.16426	0.03912	-0.03272	0.02375	-0.00235	0.01931	0.20747	-0.04030	0.00259	0.08164	-0.02276	-0.01459	0.11995	-0.05999	-0.02846	0.08842	-0.00649	0.00191	0.20130	-0.01609	0.02400	0.11641	-0.03033	-0.01223	0.11143	-0.03565	-0.01192	0.12156	-0.02477	-0.00659	0.13464	-0.00112	0.00132	0.15794	-0.04612	-0.01118
11	0.12647	0.03197	-0.04027	0.01545	-0.01189	0.00436	0.18578	0.03799	-0.05394	0.02298	-0.00954	0.01866	0.21952	-0.06212	-0.00343	0.08837	-0.02982	-0.01593	0.13321	-0.07482	-0.03409	0.09922	-0.01857	-0.00450	0.21714	-0.04191	0.01586	0.16485	-0.05179	-0.01207	0.13459	-0.05440	-0.01347	0.14532	-0.04676	-0.01349	0.15942	-0.01973	-0.00654	0.19961	-0.07110	-0.01950
12	0.14794	0.04374	-0.05764	0.02093	-0.01466	0.00387	0.20001	0.03856	-0.07374	0.02215	-0.01579	0.01759	0.22490	-0.08194	-0.00838	0.09843	-0.03749	-0.01694	0.14328	-0.08667	-0.03810	0.11320	-0.03235	-0.01062	0.22559	-0.06638	0.00789	0.20849	-0.07534	-0.01125	0.15499	-0.07370	-0.01463	0.16460	-0.06931	-0.01983	0.17633	-0.03875	-0.01366	0.22994	-0.09493	-0.02670
13	0.16445	0.04854	-0.07460	0.02604	-0.01681	0.00553	0.20635	0.04014	-0.09059	0.02171	-0.02035	0.01626	0.22614	-0.09788	-0.01136	0.11235	-0.04584	-0.01767	0.14805	-0.09502	-0.04023	0.12953	-0.04684	-0.01606	0.22442	-0.08720	0.00081	0.23767	-0.09915	-0.00976	0.16733	-0.09120	-0.01544	0.17539	-0.08996	-0.02514	0.18404	-0.05670	-0.01909	0.24911	-0.11614	-0.03186
14	0.17352	0.04744	-0.08936	0.02986	-0.01826	0.00787	0.20708	0.04246	-0.10324	0.02187	-0.02278	0.01476	0.22558	-0.10856	-0.01196	0.12703	-0.05442	-0.01815	0.14833	-0.09949	-0.04037	0.14391	-0.06055	-0.02059	0.21493	-0.10274	-0.00512	0.25048	-0.12094	-0.00748	0.16864	-0.10449	-0.01587	0.17755	-0.10640	-0.02923	0.18567	-0.07213	-0.02218	0.26092	-0.13329	-0.03429
15	0.17478	0.04463	-0.10034	0.03194	-0.01904	0.01025	0.20379	0.04507	-0.11060	0.02243	-0.02303	0.01315	0.22336	-0.11303	-0.01018	0.13757	-0.06251	-0.01839	0.14535	-0.09986	-0.03852	0.15132	-0.07198	-0.02416	0.20007	-0.11205	-0.00990	0.25108	-0.13816	-0.00448	0.16027	-0.11206	-0.01600	0.17367	-0.11698	-0.03218	0.18383	-0.08349	-0.02284	0.26636	-0.14458	-0.03371
16	0.16958	0.04238	-0.10662	0.03213	-0.01922	0.01250	0.19714	0.04693	-0.11203	0.02289	-0.02124	0.01168	0.21850	-0.11108	-0.00632	0.14052	-0.06936	-0.01842	0.14038	-0.09620	-0.03478	0.15031	-0.08007	-0.02687	0.18276	-0.11495	-0.01355	0.24341	-0.14872	-0.00094	0.14699	-0.11374	-0.01582	0.16668	-0.12121	-0.03406	0.17913	-0.08947	-0.02135	0.26496	-0.14846	-0.03022
