	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_1_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_2_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0001_3_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_1_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_1_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_1_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_3_CINE_E.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d	2014_06_16_CR010_BAREFOOT_GAIT0003_6_CINE_D.c3d
7	0.17512	0.04526	-0.00424	0.04616	-0.08916	0.05508	0.15863	0.10050	-0.03970	0.04742	-0.09177	0.03336	0.23457	0.01842	-0.03833	0.16168	0.02816	-0.03459	0.21749	-0.04086	-0.11986	0.16158	-0.07045	-0.16272	0.24037	-0.00787	-0.09086	0.11327	0.00393	-0.05740	0.22494	0.04527	-0.05909	0.21412	-0.02813	-0.13199	0.02751	-0.06587	-0.08971	0.07323	-0.10230	-0.12008
8	0.25460	0.04927	0.00398	0.05318	-0.09580	0.05994	0.23775	0.10006	-0.04793	0.04574	-0.10661	0.03443	0.31253	-0.00016	-0.05012	0.22556	0.04250	-0.03781	0.26907	-0.04127	-0.13426	0.22226	-0.06350	-0.17719	0.33872	-0.01062	-0.10720	0.20979	0.00220	-0.06589	0.31712	0.06833	-0.05742	0.29825	-0.02964	-0.14071	0.10386	-0.07897	-0.10681	0.16456	-0.10865	-0.13465
9	0.33528	0.05583	0.02227	0.06041	-0.09561	0.06459	0.32132	0.09478	-0.04414	0.04688	-0.11544	0.03524	0.38388	-0.00874	-0.05678	0.28818	0.06676	-0.03634	0.33437	-0.03013	-0.14428	0.28863	-0.04471	-0.18417	0.42889	0.00438	-0.11710	0.31111	0.01098	-0.06432	0.41055	0.10014	-0.04997	0.37795	-0.02180	-0.14325	0.18791	-0.08325	-0.11733	0.27155	-0.10295	-0.14170
10	0.41740	0.06320	0.04885	0.06730	-0.09092	0.06932	0.40812	0.08778	-0.02752	0.05236	-0.11963	0.03607	0.45035	-0.00406	-0.05923	0.35455	0.09968	-0.03097	0.41257	-0.00915	-0.15094	0.36062	-0.01727	-0.18554	0.51366	0.03800	-0.12180	0.41450	0.03074	-0.05478	0.50402	0.13722	-0.03986	0.45331	-0.00614	-0.14345	0.27591	-0.07805	-0.12292	0.38813	-0.08435	-0.14329
11	0.49707	0.06873	0.08078	0.07297	-0.08441	0.07408	0.48997	0.08356	-0.00030	0.06102	-0.12114	0.03706	0.51225	0.01294	-0.05897	0.42553	0.13809	-0.02337	0.49070	0.01759	-0.15531	0.43467	0.01459	-0.18343	0.59060	0.08605	-0.12365	0.51102	0.06042	-0.04104	0.59236	0.17537	-0.02998	0.52175	0.01543	-0.14420	0.35865	-0.06348	-0.12578	0.49764	-0.05461	-0.14198
12	0.56892	0.06962	0.11430	0.07669	-0.07817	0.07858	0.56085	0.08228	0.03303	0.06981	-0.12122	0.03825	0.56937	0.03766	-0.05690	0.49862	0.17743	-0.01575	0.55849	0.04568	-0.15775	0.50718	0.04689	-0.17966	0.65549	0.13958	-0.12462	0.59016	0.09785	-0.02661	0.66929	0.20984	-0.02209	0.57934	0.03947	-0.14673	0.42992	-0.04097	-0.12736	0.59095	-0.01682	-0.13945
13	0.63068	0.06659	0.14489	0.07874	-0.07327	0.08254	0.62151	0.08227	0.06740	0.07563	-0.11993	0.03958	0.62258	0.06516	-0.05294	0.56929	0.21313	-0.01022	0.61474	0.07181	-0.15786	0.57441	0.07611	-0.17542	0.70825	0.18804	-0.12543	0.65036	0.13838	-0.01345	0.73265	0.23602	-0.01637	0.62667	0.06083	-0.15089	0.49095	-0.01350	-0.12768	0.67105	0.02551	-0.13571
14	0.68386	0.06251	0.16815	0.08042	-0.06963	0.08578	0.67392	0.08255	0.09849	0.07646	-0.11639	0.04107	0.67162	0.09177	-0.04627	0.63377	0.24182	-0.00800	0.66087	0.09395	-0.15500	0.63278	0.09910	-0.17108	0.75115	0.22300	-0.12553	0.70087	0.17562	-0.00183	0.78374	0.25026	-0.01167	0.66813	0.07393	-0.15556	0.54500	0.01539	-0.12581	0.74096	0.06837	-0.12933
15	0.72995	0.05915	0.18080	0.08320	-0.06637	0.08830	0.71600	0.08242	0.12329	0.07217	-0.10955	0.04287	0.71275	0.11498	-0.03598	0.69067	0.26119	-0.00907	0.69608	0.11140	-0.14864	0.67872	0.11328	-0.16635	0.78342	0.24067	-0.12386	0.75106	0.20312	0.00898	0.82369	0.25137	-0.00622	0.70561	0.07504	-0.15918	0.59083	0.04212	-0.12062	0.79694	0.10726	-0.11866
16	0.76737	0.05670	0.18234	0.08729	-0.06236	0.09037	0.74394	0.08102	0.14067	0.06435	-0.09890	0.04515	0.74110	0.13366	-0.02169	0.73941	0.27012	-0.01239	0.71912	0.12469	-0.13873	0.71029	0.11792	-0.16064	0.80138	0.24240	-0.11962	0.80004	0.21719	0.02018	0.85003	0.24188	0.00149	0.73705	0.06460	-0.16046	0.62442	0.06383	-0.11153	0.83366	0.13879	-0.10294
