	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d
7	0.09378	0.09827	0.03085	0.30724	0.51626	0.26797	0.37576	0.58387	-0.19989	0.40181	0.62987	0.29623	0.18775	0.14675	0.36980	0.10187	-0.31749	0.82553	0.28716	0.02709	0.50093	1.40288	-0.88547	1.06361	0.11983	-0.22272	0.80544	0.06840	0.10349	0.39412	0.00051	-0.02183	0.38524	-0.00829	0.26327	0.35343
8	0.07776	0.12316	0.02689	0.31783	0.55806	0.20735	0.37629	0.57472	-0.23417	0.41993	0.65795	0.27933	0.20096	0.17125	0.44501	0.07767	-0.33750	0.79737	0.27318	0.04326	0.59666	1.39063	-0.95482	1.07946	0.10558	-0.24189	0.77845	0.09636	0.05180	0.43498	0.01569	-0.06918	0.40021	-0.04537	0.24691	0.43180
9	0.07530	0.14890	0.00426	0.31098	0.59827	0.15095	0.37629	0.55864	-0.27168	0.42785	0.67308	0.26340	0.23420	0.17315	0.51778	0.05275	-0.35461	0.77241	0.27498	0.03605	0.68758	1.36134	-1.01086	1.06175	0.09392	-0.25926	0.75482	0.13550	-0.02217	0.46231	0.01570	-0.10216	0.39896	-0.06103	0.19426	0.50463
10	0.08011	0.17463	-0.03168	0.28637	0.63628	0.10423	0.38507	0.53536	-0.31538	0.42725	0.67893	0.25430	0.27751	0.15480	0.58485	0.01704	-0.36142	0.75623	0.29471	0.00305	0.76824	1.32641	-1.05898	1.02833	0.08299	-0.27441	0.73322	0.18229	-0.10998	0.47802	0.03894	-0.13658	0.38684	-0.05421	0.11157	0.56776
11	0.09005	0.20024	-0.07572	0.24902	0.67104	0.06961	0.40729	0.52234	-0.36739	0.42433	0.67968	0.24376	0.32126	0.12073	0.64406	-0.02494	-0.35579	0.75011	0.33104	-0.05505	0.83442	1.32083	-1.11262	0.98351	0.06143	-0.27882	0.70337	0.23447	-0.20476	0.48634	0.08870	-0.18569	0.39075	-0.02618	0.00791	0.61896
12	0.11020	0.22115	-0.12780	0.21295	0.70259	0.04904	0.43454	0.52883	-0.42177	0.42676	0.67877	0.24080	0.36192	0.07452	0.69455	-0.05288	-0.34999	0.75515	0.38250	-0.13638	0.88380	1.34794	-1.17653	0.94927	0.03818	-0.28015	0.67588	0.29269	-0.30042	0.49252	0.11139	-0.21537	0.39237	0.02158	-0.10794	0.65806
13	0.14093	0.23715	-0.18779	0.18965	0.73142	0.04248	0.46788	0.52768	-0.48163	0.42151	0.68244	0.22668	0.40078	0.01883	0.73661	-0.06381	-0.35394	0.77107	0.44799	-0.23785	0.91598	1.36319	-1.22846	0.91122	0.01889	-0.28165	0.65647	0.35292	-0.39169	0.50149	0.15644	-0.26850	0.42702	0.08581	-0.22825	0.68659
14	0.17284	0.26118	-0.24452	0.17429	0.75310	0.04020	0.49153	0.51639	-0.53479	0.40458	0.68702	0.20869	0.43986	-0.04327	0.77129	-0.08209	-0.34426	0.78098	0.52636	-0.35521	0.93213	1.34151	-1.24660	0.87597	0.00065	-0.27968	0.64066	0.40501	-0.47473	0.51698	0.18411	-0.31772	0.46937	0.16073	-0.34603	0.70702
15	0.20316	0.29584	-0.29484	0.17487	0.76957	0.04171	0.50551	0.51189	-0.58078	0.38987	0.69289	0.19262	0.47942	-0.10816	0.79993	-0.10899	-0.32154	0.78677	0.61529	-0.48315	0.93460	1.30873	-1.25092	0.85992	-0.02401	-0.27148	0.61936	0.44981	-0.54682	0.54106	0.17775	-0.35152	0.50949	0.23904	-0.45482	0.72202
16	0.23492	0.32951	-0.34315	0.19106	0.78658	0.04693	0.51460	0.51816	-0.62334	0.38215	0.70578	0.17437	0.51751	-0.17235	0.82383	-0.12702	-0.30763	0.80203	0.70940	-0.61512	0.92639	1.27923	-1.25216	0.86237	-0.04668	-0.26501	0.60468	0.48445	-0.60594	0.57431	0.14660	-0.37848	0.56114	0.31428	-0.54948	0.73387
