	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d
7	0.02845	0.29361	-0.05042	0.23337	0.07518	0.04699	-0.00772	0.22515	-0.12646	0.20095	0.06793	0.06684	-0.21802	-0.23968	0.04124	0.35330	0.21033	0.12881	-0.12076	-0.18540	0.04761	0.16069	-0.08868	0.11325	0.30104	0.20236	0.15678	-0.19015	-0.25617	0.03371	-0.18942	-0.30442	-0.01169	-0.04993	-0.12191	0.05549
8	0.03983	0.26909	-0.04862	0.23111	0.08819	0.05265	0.02141	0.20717	-0.10208	0.19601	0.07130	0.06473	-0.18255	-0.23509	0.04662	0.33895	0.20994	0.14740	-0.05736	-0.17658	0.04435	0.20216	-0.03274	0.11203	0.27959	0.20866	0.16115	-0.18413	-0.26110	0.04102	-0.13319	-0.24863	-0.00207	-0.03691	-0.12072	0.07054
9	0.05948	0.25731	-0.04202	0.22860	0.10072	0.05471	0.03694	0.19026	-0.08049	0.18909	0.07149	0.06277	-0.14431	-0.22447	0.05420	0.34862	0.21441	0.16099	0.00579	-0.16510	0.03917	0.20586	0.01028	0.11361	0.25577	0.20675	0.15640	-0.18513	-0.25948	0.04908	-0.09757	-0.19487	-0.00081	-0.02586	-0.11600	0.08698
10	0.07923	0.24933	-0.03197	0.22522	0.11386	0.05525	0.05019	0.19007	-0.05523	0.18586	0.07274	0.06267	-0.10726	-0.20943	0.06419	0.36242	0.22140	0.17337	0.06493	-0.15088	0.03326	0.23259	0.07279	0.12484	0.23176	0.20104	0.14897	-0.19543	-0.25107	0.05728	-0.08291	-0.14803	-0.00064	-0.01748	-0.10787	0.10403
11	0.08855	0.23200	-0.02587	0.21071	0.12427	0.05012	0.06238	0.20617	-0.02671	0.18670	0.07807	0.06101	-0.07409	-0.19114	0.07594	0.35422	0.21140	0.17601	0.11614	-0.13303	0.02809	0.27782	0.13742	0.13553	0.21373	0.20023	0.14737	-0.21641	-0.23667	0.06558	-0.07939	-0.10149	0.01378	-0.01450	-0.09787	0.12086
12	0.09014	0.21011	-0.02390	0.18617	0.13169	0.04095	0.07022	0.22351	-0.00214	0.18447	0.07984	0.06032	-0.04436	-0.16996	0.08834	0.33226	0.18573	0.16972	0.15534	-0.11052	0.02539	0.30642	0.17457	0.13001	0.20627	0.20552	0.15173	-0.24122	-0.21741	0.07446	-0.07569	-0.06287	0.01760	-0.01749	-0.08748	0.13701
13	0.10073	0.20889	-0.01197	0.17620	0.14456	0.04093	0.07807	0.24831	0.02447	0.18615	0.08806	0.06087	-0.01582	-0.14598	0.10030	0.34190	0.18761	0.18104	0.17961	-0.08298	0.02686	0.35846	0.22992	0.14598	0.20010	0.20676	0.15339	-0.26283	-0.19425	0.08466	-0.08501	-0.03707	0.02940	-0.02388	-0.07755	0.15235
14	0.11083	0.20672	0.00058	0.16575	0.15524	0.03960	0.08015	0.25551	0.04636	0.17787	0.09522	0.05804	0.01341	-0.11976	0.11113	0.34826	0.18964	0.18773	0.18839	-0.05117	0.03383	0.37483	0.26011	0.15894	0.18584	0.19678	0.14623	-0.27926	-0.16810	0.09699	-0.06903	-0.00584	0.04009	-0.02919	-0.06814	0.16687
15	0.11822	0.19527	0.00940	0.14808	0.16078	0.03471	0.09201	0.24919	0.07426	0.16757	0.10830	0.05583	0.04400	-0.09241	0.12070	0.33973	0.17928	0.18113	0.18380	-0.01702	0.04683	0.37624	0.27607	0.17398	0.19051	0.20380	0.15089	-0.28103	-0.13973	0.11197	-0.00950	0.04818	0.05781	-0.02906	-0.05865	0.18051
16	0.13330	0.18956	0.02153	0.13594	0.16682	0.03336	0.10164	0.23717	0.10045	0.15960	0.12691	0.05699	0.07548	-0.06536	0.12930	0.34503	0.17819	0.17802	0.16972	0.01697	0.06523	0.36626	0.29245	0.20289	0.20340	0.21713	0.15887	-0.26658	-0.10983	0.12950	0.03537	0.08554	0.07806	-0.02062	-0.04823	0.19313
