	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d
7	0.02212	0.12806	0.01354	0.04219	-0.02516	0.03915	0.04627	0.19899	0.05252	0.08760	0.01205	0.11303	-0.08602	0.05753	-0.06862	0.16354	-0.02658	0.00735	-0.01857	0.04191	-0.02825	0.30382	0.20171	0.18228	0.20486	0.02818	0.06708	-0.10697	0.01998	-0.06678	-0.15178	-0.02918	-0.09407	-0.01117	0.00966	-0.01421
8	0.02143	0.10581	0.00399	0.04073	-0.02922	0.03441	0.06383	0.18647	0.05123	0.08406	0.02301	0.11369	-0.06672	0.04406	-0.06893	0.13877	-0.03737	-0.00804	0.01822	0.02950	-0.02774	0.30758	0.19527	0.19576	0.20514	0.04124	0.08005	-0.10342	0.01294	-0.06479	-0.10835	-0.02279	-0.06820	-0.00775	0.00529	-0.01070
9	0.02387	0.08740	-0.00597	0.04423	-0.03313	0.03043	0.07228	0.16836	0.05091	0.07619	0.03270	0.10905	-0.04724	0.03208	-0.06554	0.12145	-0.05450	-0.02868	0.05436	0.02001	-0.02533	0.28163	0.18102	0.19738	0.20263	0.05336	0.09061	-0.10381	0.00908	-0.05905	-0.07343	-0.00892	-0.04013	-0.00259	0.00450	-0.00518
10	0.03085	0.07808	-0.01043	0.04493	-0.03186	0.03062	0.07849	0.15994	0.05053	0.06715	0.04131	0.10360	-0.02994	0.02287	-0.05865	0.11891	-0.06154	-0.03844	0.08715	0.01405	-0.02079	0.26700	0.16245	0.19573	0.19907	0.06436	0.09934	-0.10948	0.00760	-0.05064	-0.05130	0.00422	-0.01708	0.00358	0.00738	0.00152
11	0.03485	0.06782	-0.01084	0.04501	-0.02792	0.03147	0.08190	0.15477	0.04869	0.05314	0.04757	0.09226	-0.01608	0.01694	-0.04910	0.11183	-0.06277	-0.04290	0.11373	0.01179	-0.01396	0.24870	0.13152	0.17966	0.19782	0.07235	0.10570	-0.12053	0.00720	-0.04080	-0.03021	0.02059	0.00725	0.00878	0.01332	0.00824
12	0.03361	0.05278	-0.01060	0.04869	-0.02487	0.03414	0.08107	0.14940	0.04606	0.04028	0.05176	0.07898	-0.00472	0.01396	-0.03816	0.09381	-0.06668	-0.05036	0.13183	0.01299	-0.00483	0.21600	0.09766	0.15620	0.20132	0.07831	0.11064	-0.13205	0.00645	-0.03061	-0.01174	0.03492	0.02739	0.01175	0.02091	0.01392
13	0.04039	0.05403	-0.00629	0.04758	-0.01801	0.03239	0.08106	0.14788	0.04401	0.03276	0.05586	0.06646	0.00614	0.01310	-0.02701	0.10268	-0.06050	-0.04495	0.14026	0.01692	0.00638	0.19914	0.06561	0.13311	0.20361	0.08252	0.11329	-0.13978	0.00444	-0.02084	0.00205	0.05059	0.04737	0.01234	0.02854	0.01793
14	0.04767	0.05729	-0.00123	0.04531	-0.01100	0.02866	0.07960	0.14148	0.04292	0.03269	0.06002	0.05663	0.01794	0.01349	-0.01655	0.11372	-0.05207	-0.03648	0.13922	0.02245	0.01919	0.17758	0.04400	0.11661	0.19903	0.08460	0.11260	-0.14340	0.00120	-0.01196	0.02554	0.06235	0.06363	0.01137	0.03489	0.02003
15	0.05123	0.05415	0.00169	0.04528	-0.00675	0.02690	0.08486	0.13319	0.04239	0.03671	0.06460	0.04907	0.03098	0.01437	-0.00727	0.11259	-0.04857	-0.03338	0.13026	0.02824	0.03286	0.15402	0.02602	0.10117	0.20518	0.08580	0.11272	-0.13759	-0.00250	-0.00413	0.07241	0.07439	0.08038	0.01012	0.03928	0.02040
16	0.05651	0.05334	0.00304	0.04585	-0.00400	0.02612	0.09226	0.12796	0.04443	0.03781	0.07127	0.04656	0.04467	0.01517	0.00073	0.11477	-0.04766	-0.03216	0.11578	0.03304	0.04646	0.15205	0.03044	0.10753	0.21607	0.08713	0.11398	-0.12218	-0.00558	0.00266	0.09957	0.07710	0.08571	0.01009	0.04161	0.01943
