	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d
7	0.45669	0.18000	0.37237	0.09260	0.35185	0.07424	0.28877	0.13358	0.56670	0.13476	0.17346	0.07367	0.28870	0.66371	0.06076	0.40655	0.52622	0.36160	0.22176	0.42499	0.15788	0.68131	0.41103	0.35503	0.38489	0.32803	0.44245	0.26208	0.71766	0.19393	0.15401	0.40324	0.24169	0.15991	0.59933	0.19174	0.55421	0.53303	0.25402	0.31082	0.31395	0.42338	0.51141	0.42781	0.26297
8	0.46868	0.18912	0.44190	0.09262	0.39758	0.08790	0.28098	0.14453	0.65182	0.14477	0.20187	0.08376	0.27200	0.77347	0.07387	0.40923	0.60022	0.40766	0.21452	0.49779	0.18050	0.69175	0.44079	0.44734	0.46229	0.36841	0.51259	0.25050	0.81226	0.22729	0.14272	0.44325	0.26815	0.14351	0.66321	0.22582	0.57827	0.54933	0.33995	0.35831	0.35461	0.47409	0.52435	0.51240	0.30186
9	0.47787	0.19312	0.48752	0.09122	0.43805	0.09964	0.26676	0.15304	0.69714	0.15056	0.22866	0.09250	0.24515	0.84507	0.08861	0.40655	0.63720	0.44742	0.20617	0.53401	0.20188	0.69321	0.46775	0.50934	0.52306	0.40348	0.57584	0.23181	0.85511	0.25976	0.14107	0.46053	0.29208	0.12353	0.68504	0.25340	0.60047	0.55816	0.41368	0.38129	0.39349	0.51601	0.52717	0.56644	0.33963
10	0.48467	0.19343	0.50622	0.09014	0.47196	0.10950	0.25090	0.15841	0.69969	0.15261	0.25205	0.09961	0.21450	0.87267	0.10340	0.39797	0.63461	0.47913	0.20255	0.53228	0.22126	0.68979	0.48934	0.53583	0.56230	0.43206	0.63077	0.21333	0.84325	0.28847	0.14850	0.45770	0.31223	0.10252	0.66684	0.27309	0.62077	0.56164	0.46848	0.37838	0.42961	0.54796	0.52161	0.58338	0.37402
11	0.49048	0.19203	0.49843	0.09117	0.49843	0.11736	0.23916	0.16144	0.66311	0.15099	0.27084	0.10477	0.19002	0.85616	0.11732	0.38568	0.59594	0.50175	0.21010	0.49729	0.23755	0.68484	0.50706	0.52623	0.57695	0.45339	0.67581	0.20371	0.78215	0.31132	0.16220	0.43938	0.32818	0.08002	0.61785	0.28531	0.63958	0.56353	0.50067	0.35139	0.46195	0.56950	0.51195	0.56209	0.40268
12	0.49675	0.19070	0.46773	0.09526	0.51723	0.12305	0.23456	0.16369	0.59622	0.14582	0.28447	0.10777	0.17686	0.80183	0.12977	0.37440	0.53021	0.51520	0.22845	0.43853	0.24998	0.68205	0.52208	0.48441	0.56728	0.46719	0.70975	0.20493	0.68407	0.32723	0.17855	0.41064	0.34041	0.05927	0.55047	0.29140	0.65757	0.56586	0.50847	0.30538	0.48954	0.58128	0.50328	0.50622	0.42396
13	0.50407	0.18917	0.41965	0.10130	0.52880	0.12631	0.23630	0.16647	0.51023	0.13780	0.29312	0.10856	0.17444	0.71988	0.14038	0.36922	0.44829	0.52037	0.25307	0.36674	0.25852	0.68181	0.53371	0.41836	0.53621	0.47375	0.73200	0.21476	0.56346	0.33629	0.19618	0.37560	0.35002	0.04153	0.47749	0.29327	0.67553	0.56797	0.49212	0.24731	0.51186	0.58482	0.49771	0.42357	0.43716
14	0.51291	0.18565	0.36038	0.10706	0.53428	0.12694	0.24230	0.17023	0.41591	0.12897	0.29764	0.10727	0.18066	0.62123	0.14901	0.37277	0.36036	0.51913	0.28023	0.29099	0.26389	0.68279	0.54188	0.33803	0.48784	0.47400	0.74283	0.23007	0.43412	0.33965	0.21742	0.33755	0.35859	0.02588	0.40891	0.29306	0.69309	0.56949	0.45466	0.18386	0.52875	0.58241	0.49466	0.32431	0.44259
15	0.52332	0.17949	0.29609	0.11057	0.53533	0.12489	0.25042	0.17495	0.32243	0.12258	0.29937	0.10418	0.19316	0.51623	0.15594	0.38330	0.27521	0.51408	0.30687	0.21867	0.26739	0.68426	0.54790	0.25311	0.42666	0.46960	0.74351	0.24731	0.30806	0.33929	0.24376	0.29971	0.36759	0.01161	0.35057	0.29283	0.70896	0.57172	0.40112	0.12073	0.54038	0.57683	0.49315	0.21860	0.44142
16	0.53425	0.17151	0.23231	0.11064	0.53390	0.12031	0.25915	0.18077	0.23663	0.12165	0.29999	0.09971	0.20949	0.41390	0.16184	0.39614	0.19958	0.50809	0.33104	0.15509	0.27060	0.68605	0.55224	0.17182	0.35746	0.46299	0.73600	0.26521	0.19414	0.33756	0.27410	0.26491	0.37809	-0.00263	0.30463	0.29441	0.72214	0.57485	0.33729	0.06282	0.54722	0.57099	0.49262	0.11540	0.43556
17	0.54407	0.16363	0.17339	0.10710	0.53197	0.11347	0.26747	0.18796	0.16299	0.12694	0.30113	0.09450	0.22710	0.32123	0.16758	0.40652	0.13789	0.50385	0.35161	0.10322	0.27500	0.68836	0.55482	0.10020	0.28504	0.45689	0.72273	0.28422	0.09776	0.33677	0.30490	0.23488	0.39067	-0.01821	0.27094	0.29899	0.73314	0.57669	0.26848	0.01387	0.55016	0.56752	0.49265	0.02181	0.42733
