	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d
7	0.04893	0.03983	0.04706	0.06415	-0.07366	0.02746	0.05376	0.05487	-0.01911	0.01433	-0.04889	0.03625	-0.01744	0.00316	-0.08450	0.04721	0.06460	-0.08284	0.11765	-0.01780	-0.00114	0.01641	0.05192	0.06856	0.09788	-0.10892	-0.06343	0.07960	-0.03513	-0.04159	0.09406	-0.07993	-0.03247	0.01245	-0.02730	-0.08569	-0.00665	0.09061	0.07993	0.05133	-0.09469	-0.05959	0.07656	-0.01847	-0.03155
8	0.05220	0.04459	0.02768	0.06355	-0.08452	0.03733	0.07225	0.05271	-0.04159	0.01580	-0.05677	0.03767	0.00338	-0.01518	-0.08790	0.06180	0.04170	-0.09323	0.13872	-0.04409	-0.00718	0.01209	0.05293	0.04368	0.07886	-0.13224	-0.07122	0.09287	-0.05732	-0.04826	0.10455	-0.09746	-0.02753	0.03704	-0.04838	-0.10037	-0.01031	0.09213	0.06536	0.03392	-0.11484	-0.06806	0.08926	-0.04295	-0.04016
9	0.05643	0.04747	0.00821	0.06143	-0.09270	0.04601	0.08916	0.05190	-0.06374	0.01587	-0.06274	0.03971	0.02144	-0.03627	-0.09147	0.07231	0.01775	-0.09915	0.15745	-0.06782	-0.01036	0.01109	0.05921	0.01643	0.05968	-0.15093	-0.07608	0.10616	-0.07743	-0.05218	0.11210	-0.11141	-0.02287	0.05712	-0.06957	-0.11180	-0.01017	0.09406	0.04891	0.01791	-0.13325	-0.07393	0.10361	-0.06761	-0.04786
10	0.05867	0.04823	-0.00982	0.05824	-0.09861	0.05306	0.10253	0.05205	-0.08295	0.01441	-0.06631	0.04167	0.03537	-0.05756	-0.09469	0.07446	-0.00454	-0.10066	0.17136	-0.08581	-0.01080	0.00801	0.06823	-0.01134	0.04191	-0.16497	-0.07912	0.11782	-0.09275	-0.05345	0.11471	-0.12095	-0.01963	0.06944	-0.08906	-0.11865	-0.00723	0.09386	0.03131	0.00470	-0.14967	-0.07761	0.11867	-0.08957	-0.05395
11	0.05721	0.04905	-0.02518	0.05443	-0.10262	0.05836	0.11047	0.05299	-0.09741	0.01236	-0.06772	0.04322	0.04300	-0.07660	-0.09753	0.06819	-0.02295	-0.09846	0.17857	-0.09612	-0.00930	-0.00087	0.07676	-0.03732	0.02652	-0.17443	-0.08118	0.12560	-0.10185	-0.05257	0.11370	-0.12568	-0.01831	0.07356	-0.10588	-0.12109	-0.00492	0.09038	0.01323	-0.00491	-0.16386	-0.07949	0.13164	-0.10662	-0.05810
12	0.05238	0.05181	-0.03704	0.05048	-0.10514	0.06188	0.11224	0.05508	-0.10644	0.01179	-0.06767	0.04453	0.04355	-0.09190	-0.10032	0.05621	-0.03606	-0.09399	0.17940	-0.09872	-0.00694	-0.01426	0.08267	-0.05907	0.01412	-0.17944	-0.08283	0.12906	-0.10498	-0.05015	0.11203	-0.12589	-0.01897	0.06918	-0.11910	-0.12072	-0.00658	0.08421	-0.00468	-0.01069	-0.17552	-0.08010	0.13999	-0.11749	-0.06021
13	0.04610	0.05640	-0.04502	0.04699	-0.10659	0.06368	0.10850	0.05853	-0.11045	0.01416	-0.06703	0.04592	0.03816	-0.10311	-0.10339	0.04255	-0.04344	-0.08882	0.17559	-0.09514	-0.00471	-0.02770	0.08552	-0.07480	0.00532	-0.18051	-0.08437	0.12900	-0.10338	-0.04691	0.11266	-0.12270	-0.02144	0.05694	-0.12864	-0.11975	-0.01322	0.07678	-0.02159	-0.01289	-0.18434	-0.08005	0.14279	-0.12198	-0.06036
14	0.04059	0.06158	-0.04923	0.04443	-0.10738	0.06388	0.10069	0.06299	-0.11058	0.01858	-0.06658	0.04767	0.02858	-0.11052	-0.10702	0.03120	-0.04550	-0.08438	0.16906	-0.08766	-0.00333	-0.03695	0.08655	-0.08380	0.00036	-0.17870	-0.08584	0.12629	-0.09865	-0.04351	0.11663	-0.11764	-0.02541	0.03926	-0.13526	-0.12007	-0.02361	0.06969	-0.03643	-0.01235	-0.19011	-0.07986	0.14024	-0.12079	-0.05897
15	0.03710	0.06611	-0.05030	0.04294	-0.10792	0.06271	0.09053	0.06766	-0.10832	0.02358	-0.06685	0.04986	0.01644	-0.11492	-0.11139	0.02457	-0.04344	-0.08165	0.16156	-0.07881	-0.00319	-0.04007	0.08734	-0.08660	-0.00105	-0.17534	-0.08714	0.12144	-0.09251	-0.04053	0.12231	-0.11217	-0.03053	0.01988	-0.14014	-0.12261	-0.03532	0.06374	-0.04824	-0.01031	-0.19291	-0.07996	0.13330	-0.11524	-0.05651
16	0.03546	0.06912	-0.04932	0.04234	-0.10852	0.06047	0.07978	0.07129	-0.10516	0.02844	-0.06801	0.05241	0.00325	-0.11746	-0.11648	0.02270	-0.03911	-0.08112	0.15424	-0.07062	-0.00448	-0.03808	0.08861	-0.08487	0.00034	-0.17175	-0.08805	0.11451	-0.08638	-0.03838	0.12699	-0.10751	-0.03645	0.00349	-0.14436	-0.12725	-0.04572	0.05826	-0.05656	-0.00820	-0.19305	-0.08068	0.12339	-0.10698	-0.05346
