	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0006_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_1.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_2.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d	2014_03_20_PC006_BAREFOOT_GAIT0007_3.c3d
7	0.04485	0.14302	-0.14925	0.13415	-0.08525	0.07130	0.21067	0.12577	-0.06559	0.07621	-0.09930	0.06730	0.02561	-0.17148	-0.15999	0.01281	-0.15324	-0.12501	0.29556	0.01738	-0.04131	0.02886	-0.06066	-0.23938	-0.21080	-0.13181	-0.11479	0.28970	-0.01351	-0.08828	0.29870	0.11311	0.05761	0.13364	-0.11178	-0.17733	-0.10628	0.09564	-0.24455	-0.16061	-0.09509	-0.10240	0.30884	-0.04857	-0.02959
8	0.09059	0.14456	-0.13073	0.14828	-0.08713	0.07824	0.28858	0.12967	-0.03641	0.08289	-0.10531	0.07366	0.09265	-0.14513	-0.16950	0.07354	-0.12419	-0.13284	0.37678	0.05897	-0.04085	0.07376	-0.01202	-0.22853	-0.19280	-0.13864	-0.11863	0.35723	0.02088	-0.09135	0.34172	0.15652	0.06928	0.21977	-0.09241	-0.19345	-0.07570	0.14224	-0.24767	-0.14773	-0.09776	-0.10420	0.39647	-0.02435	-0.03139
9	0.13840	0.14174	-0.11112	0.15666	-0.08932	0.08369	0.36485	0.13399	-0.00346	0.08884	-0.10816	0.07910	0.15916	-0.11260	-0.17373	0.13244	-0.09377	-0.13912	0.45228	0.10427	-0.03687	0.12516	0.04362	-0.21152	-0.16917	-0.14396	-0.12334	0.42448	0.05565	-0.09048	0.37962	0.18922	0.07790	0.30310	-0.07036	-0.20663	-0.03697	0.18654	-0.24589	-0.13557	-0.10082	-0.10660	0.48525	0.00572	-0.03307
10	0.18243	0.13459	-0.09528	0.15926	-0.09151	0.08757	0.43324	0.13912	0.02733	0.09175	-0.10810	0.08308	0.22114	-0.07985	-0.17348	0.18048	-0.06855	-0.14257	0.51729	0.14337	-0.03028	0.17549	0.09966	-0.19455	-0.14616	-0.14712	-0.12928	0.48621	0.08295	-0.08675	0.40943	0.20680	0.08378	0.37144	-0.04702	-0.21515	0.00758	0.22195	-0.24134	-0.12791	-0.10471	-0.10918	0.57014	0.03718	-0.03485
11	0.21819	0.12462	-0.08605	0.15746	-0.09302	0.08962	0.48722	0.14446	0.05163	0.09063	-0.10547	0.08532	0.27245	-0.05303	-0.16959	0.21343	-0.05212	-0.14253	0.56571	0.16946	-0.02219	0.21665	0.15105	-0.18188	-0.12897	-0.14705	-0.13540	0.53532	0.09927	-0.08100	0.43038	0.20967	0.08701	0.41952	-0.02292	-0.21817	0.05273	0.24492	-0.23676	-0.12625	-0.10893	-0.11123	0.64308	0.06538	-0.03640
12	0.24385	0.11418	-0.08392	0.15303	-0.09357	0.08977	0.52339	0.14930	0.06766	0.08689	-0.10091	0.08585	0.30935	-0.03551	-0.16300	0.23160	-0.04529	-0.13972	0.59444	0.18142	-0.01405	0.24569	0.19441	-0.17459	-0.12029	-0.14372	-0.14044	0.56891	0.10626	-0.07413	0.44329	0.20122	0.08736	0.44669	-0.00117	-0.21622	0.09321	0.25492	-0.23426	-0.13029	-0.11236	-0.11255	0.69758	0.08729	-0.03713
13	0.25992	0.10596	-0.08795	0.14746	-0.09344	0.08836	0.54210	0.15271	0.07575	0.08257	-0.09528	0.08496	0.33160	-0.02726	-0.15473	0.23844	-0.04722	-0.13574	0.60378	0.18179	-0.00723	0.26366	0.22712	-0.17191	-0.12042	-0.13831	-0.14397	0.58775	0.10753	-0.06700	0.45126	0.18556	0.08502	0.45628	0.01475	-0.21079	0.12602	0.25301	-0.23473	-0.13900	-0.11417	-0.11345	0.73110	0.10195	-0.03662
14	0.26835	0.10174	-0.09684	0.14173	-0.09315	0.08608	0.54607	0.15393	0.07738	0.07889	-0.08942	0.08315	0.34062	-0.02642	-0.14568	0.23846	-0.05669	-0.13223	0.59687	0.17406	-0.00245	0.27280	0.24880	-0.17324	-0.12795	-0.13245	-0.14640	0.59460	0.10613	-0.06029	0.45764	0.16609	0.08076	0.45423	0.02348	-0.20385	0.15029	0.24214	-0.23797	-0.15131	-0.11423	-0.11432	0.74404	0.10966	-0.03482
15	0.27127	0.10132	-0.10938	0.13651	-0.09314	0.08363	0.53961	0.15279	0.07460	0.07629	-0.08397	0.08107	0.33887	-0.03071	-0.13662	0.23512	-0.07241	-0.13023	0.58000	0.16173	0.00032	0.27539	0.26074	-0.17892	-0.14079	-0.12738	-0.14842	0.59344	0.10415	-0.05439	0.46343	0.14527	0.07561	0.44644	0.02613	-0.19724	0.16667	0.22624	-0.24316	-0.16628	-0.11304	-0.11538	0.73930	0.11171	-0.03193
16	0.27011	0.10322	-0.12430	0.13227	-0.09365	0.08148	0.52793	0.14960	0.06962	0.07474	-0.07940	0.07923	0.33014	-0.03786	-0.12819	0.22998	-0.09266	-0.13005	0.56044	0.14775	0.00136	0.27315	0.26435	-0.18931	-0.15682	-0.12374	-0.15034	0.58874	0.10288	-0.04954	0.46791	0.12498	0.07038	0.43839	0.02540	-0.19218	0.17694	0.20836	-0.24937	-0.18263	-0.11136	-0.11675	0.72192	0.10994	-0.02847
