	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_13_PC006_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_3_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_3_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0005_1_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0005_3_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0005_3_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0005_3_CINE_D.c3d	2014_05_13_PC006_BAREFOOT_GAIT0005_4_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0005_4_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT0005_4_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_1_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_2_CINE_D&E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_3_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_3_CINE_E.c3d	2014_05_13_PC006_BAREFOOT_GAIT_3_CINE_E.c3d
7	0.40766	0.16000	0.00892	0.10780	-0.03823	0.03766	0.39269	0.11179	0.04101	0.06204	-0.05489	0.04019	0.18115	0.01514	-0.06191	0.40611	0.00677	-0.10758	0.31726	0.16699	-0.07082	0.37487	0.03548	-0.06434	0.23633	0.12211	-0.06116	0.55650	-0.12734	-0.01383	0.41848	-0.00347	-0.06933	0.23395	0.04334	-0.02571	0.34245	0.02885	-0.05340	0.60041	-0.04159	0.01070	0.48427	-0.05744	-0.03937	0.58543	0.00884	0.01701	0.63434	0.01631	0.03638	0.26989	0.13911	-0.10886	0.26314	0.21234	-0.06329	0.46375	-0.02078	-0.07644	0.51623	-0.12971	-0.03920	0.34065	0.01684	-0.02737	0.38567	0.02644	-0.05787
8	0.36304	0.17911	0.09044	0.12223	-0.03320	0.04181	0.37644	0.12421	0.12092	0.06877	-0.04845	0.04802	0.12101	0.08403	-0.05653	0.43854	0.09378	-0.11040	0.27046	0.26789	-0.06257	0.36646	0.10160	-0.05812	0.19984	0.20193	-0.04750	0.53617	-0.06670	-0.00949	0.39712	0.07681	-0.06961	0.17998	0.11469	-0.01658	0.32232	0.08042	-0.05295	0.56684	0.05035	0.02548	0.47337	0.00929	-0.03921	0.56078	0.10473	0.03011	0.63741	0.11536	0.06140	0.17953	0.23162	-0.10691	0.20083	0.33087	-0.05619	0.43072	0.05553	-0.07803	0.47733	-0.06043	-0.04031	0.32508	0.09497	-0.01828	0.33457	0.10592	-0.06240
9	0.30939	0.19638	0.16923	0.13632	-0.02165	0.04613	0.34633	0.13804	0.19890	0.07652	-0.03484	0.05566	0.05993	0.15298	-0.04435	0.45391	0.17805	-0.10365	0.20970	0.36164	-0.04690	0.34660	0.16890	-0.04485	0.14026	0.27690	-0.02676	0.50305	-0.00475	0.00047	0.36575	0.15510	-0.06272	0.11986	0.18307	-0.00234	0.29817	0.12524	-0.04675	0.52054	0.13982	0.04592	0.44726	0.07351	-0.03317	0.52313	0.19518	0.05051	0.61853	0.21892	0.09340	0.08294	0.31781	-0.09796	0.12733	0.44761	-0.03965	0.38017	0.13119	-0.07202	0.43733	0.00750	-0.03492	0.30389	0.17411	-0.00330	0.27251	0.17957	-0.06097
10	0.25825	0.20877	0.23836	0.14867	-0.00479	0.05045	0.30471	0.14806	0.27062	0.08356	-0.01528	0.06255	0.00746	0.21450	-0.02717	0.44754	0.25699	-0.08861	0.14461	0.44132	-0.02563	0.31133	0.23496	-0.02560	0.07579	0.33768	-0.00072	0.46481	0.05339	0.01534	0.32837	0.22674	-0.04894	0.06227	0.24265	0.01576	0.26853	0.16326	-0.03521	0.47282	0.21881	0.06993	0.41045	0.13076	-0.02200	0.48101	0.27282	0.07653	0.57680	0.31947	0.12976	-0.00176	0.38968	-0.08381	0.06245	0.55268	-0.01512	0.31450	0.20286	-0.05910	0.40600	0.06723	-0.02392	0.27492	0.25230	0.01657	0.21703	0.24107	-0.05345
11	0.21540	0.21675	0.29388	0.15877	0.01566	0.05452	0.25836	0.15021	0.33188	0.08861	0.00863	0.06822	-0.03370	0.26434	-0.00738	0.42235	0.32875	-0.06688	0.09108	0.49933	-0.00093	0.26630	0.29455	-0.00195	0.02435	0.37942	0.02878	0.42897	0.10375	0.03381	0.28482	0.28988	-0.02933	0.01338	0.28962	0.03605	0.23465	0.19380	-0.01923	0.43023	0.28187	0.09539	0.37233	0.17728	-0.00681	0.44018	0.33279	0.10595	0.52073	0.40823	0.16766	-0.07027	0.44374	-0.06642	0.01155	0.64093	0.01497	0.24661	0.26528	-0.04055	0.38407	0.11599	-0.00875	0.23438	0.32768	0.04011	0.17727	0.28845	-0.04025
12	0.17756	0.22352	0.33516	0.16638	0.03787	0.05807	0.21424	0.14478	0.37934	0.09196	0.03514	0.07239	-0.07045	0.30199	0.01286	0.38571	0.39142	-0.04033	0.05838	0.53162	0.02522	0.22163	0.34265	0.02427	-0.01056	0.40222	0.06000	0.39859	0.14418	0.05428	0.23529	0.34255	-0.00540	-0.02899	0.32385	0.05675	0.20085	0.21562	-0.00011	0.39079	0.32710	0.12030	0.33947	0.21130	0.01103	0.40149	0.37296	0.13656	0.46188	0.47797	0.20459	-0.13034	0.48055	-0.04740	-0.03401	0.71051	0.04781	0.19057	0.31388	-0.01807	0.36267	0.15503	0.00894	0.18441	0.39611	0.06611	0.14640	0.32408	-0.02239
13	0.13978	0.22971	0.36266	0.17068	0.06023	0.06084	0.17645	0.13677	0.41099	0.09470	0.06256	0.07504	-0.10801	0.32685	0.03219	0.34584	0.44236	-0.01083	0.04157	0.53954	0.05116	0.18528	0.37606	0.05126	-0.03803	0.40872	0.09097	0.37095	0.17441	0.07512	0.18367	0.38181	0.02103	-0.07054	0.34703	0.07633	0.17210	0.22805	0.02069	0.34954	0.35483	0.14298	0.31006	0.23363	0.03002	0.36371	0.39352	0.16646	0.40960	0.52453	0.23867	-0.18575	0.50054	-0.02763	-0.08026	0.75915	0.08069	0.15266	0.34639	0.00654	0.33381	0.18601	0.02753	0.13541	0.45142	0.09356	0.11431	0.35066	-0.00140
14	0.10170	0.23303	0.37641	0.17087	0.08146	0.06266	0.14533	0.13130	0.42648	0.09727	0.08937	0.07627	-0.14412	0.33745	0.05013	0.30829	0.47864	0.01996	0.02783	0.52792	0.07552	0.15793	0.39400	0.07748	-0.06846	0.40192	0.11959	0.34138	0.19490	0.09492	0.13705	0.40501	0.04821	-0.11185	0.36013	0.09373	0.15147	0.23156	0.04178	0.30545	0.36569	0.16225	0.27896	0.24609	0.04887	0.32602	0.39586	0.19424	0.36684	0.54741	0.26861	-0.23154	0.50274	-0.00735	-0.12590	0.78429	0.11121	0.12932	0.36290	0.03150	0.29834	0.20854	0.04555	0.09771	0.48896	0.12166	0.08021	0.36841	0.02104
15	0.06642	0.23167	0.37635	0.16697	0.10074	0.06338	0.11888	0.12889	0.42693	0.09912	0.11434	0.07629	-0.17325	0.33292	0.06709	0.27428	0.49819	0.05069	0.01012	0.50158	0.09736	0.13461	0.39754	0.10181	-0.10352	0.38411	0.14423	0.30838	0.20565	0.11257	0.10207	0.41151	0.07463	-0.14832	0.36348	0.10820	0.13850	0.22748	0.06197	0.26188	0.36021	0.17757	0.24407	0.25011	0.06657	0.28885	0.38176	0.21911	0.32963	0.54892	0.29351	-0.26201	0.48680	0.01366	-0.16797	0.78528	0.13745	0.11086	0.36519	0.05518	0.26288	0.22122	0.06186	0.07340	0.50783	0.14968	0.04967	0.37612	0.04334
16	0.03680	0.22663	0.36333	0.15986	0.11772	0.06300	0.09498	0.12630	0.41434	0.09949	0.13668	0.07536	-0.19322	0.31427	0.08403	0.24219	0.50037	0.08025	-0.00894	0.46414	0.11636	0.11093	0.38855	0.12361	-0.13582	0.35725	0.16411	0.27457	0.20626	0.12728	0.07996	0.40307	0.09917	-0.17602	0.35779	0.11940	0.12911	0.21769	0.08031	0.22340	0.33961	0.18911	0.20909	0.24638	0.08238	0.25367	0.35316	0.24097	0.29175	0.53239	0.31291	-0.27822	0.45495	0.03584	-0.20487	0.76406	0.15815	0.08892	0.35544	0.07635	0.23238	0.22375	0.07577	0.05670	0.51017	0.17704	0.02721	0.37308	0.06423
