	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d
7	-2.00384	2.52008	3.78092	0.98000	7.11592	0.72414	-7.96037	0.37170	-0.33640	2.82972	10.96093	3.39110	8.93459	1.76545	6.74560	2.06121	-10.27701	0.60607	-4.29132	2.28382	-0.54091	4.61315	8.21234	-8.19965	2.96584	9.61581	11.72572	4.64029	-11.07196	-6.48106	-1.20294	2.85847	6.75423	-7.42834	0.01603	8.65807	7.36093	7.45543	-9.98180	-4.03338	-3.61045	3.58322	7.20400	-8.13957	-2.64293	12.45605	7.53755	8.31745	-10.46111	-4.00133	0.81591	2.87188	7.16183	-7.72237	1.70721	7.89413	8.68338	8.84510	-10.42627	-6.16947	-5.48082	4.97787	6.24720	-8.31191	-3.72814	16.18061	9.36538	4.46974	-9.44394	-0.77134
8	-1.61144	2.56834	4.78477	0.97466	6.41832	0.29750	-8.32841	0.77026	0.17850	2.95012	11.21369	3.55097	9.56647	1.55708	6.38948	1.56330	-10.64907	0.66618	-4.38884	2.24025	0.04500	5.78652	6.88573	-8.13280	3.62655	9.72775	11.94234	4.66572	-11.65386	-6.43105	-1.03972	3.67804	6.22248	-7.58057	0.49278	8.88483	8.22845	6.72083	-9.83776	-3.82124	-3.28181	4.63939	6.37970	-8.47068	-2.18350	12.66237	8.10114	7.63017	-10.37743	-4.41884	1.30099	4.03846	6.11668	-7.88209	2.33014	8.04315	9.89068	8.06904	-10.81170	-6.32440	-5.08165	5.78144	6.48704	-9.57589	-3.37344	16.75038	9.66972	4.86165	-10.56462	-0.94866
9	-1.22882	2.60780	5.75811	0.93270	5.89891	0.53444	-8.93688	1.08365	0.59048	3.06438	11.44345	3.71888	10.23853	1.28021	5.95843	1.02443	-11.03759	0.86562	-4.63730	2.18904	0.59582	7.00594	5.67642	-8.34201	4.14380	9.82873	11.87591	4.70574	-11.99231	-6.50568	-0.87257	4.63065	5.86175	-8.09205	0.91865	9.07695	9.30856	5.88374	-9.85439	-3.77420	-2.98440	5.68558	5.85237	-9.16489	-1.82068	12.81206	8.95140	6.81127	-10.46189	-4.96691	1.76584	5.16624	5.32998	-8.35036	2.84976	8.17665	11.29818	7.13990	-11.31523	-6.60917	-4.64881	6.30211	6.77401	-10.73509	-3.13912	17.32286	9.75858	5.25149	-11.56413	-1.33051
10	-0.85401	2.64768	6.55613	0.92930	5.61005	0.83122	-9.69609	1.15009	0.88973	3.16436	11.65114	3.87876	10.86565	1.23161	5.52368	0.63234	-11.42430	0.92574	-5.06634	2.14775	1.11152	8.04401	4.84189	-8.85798	4.51030	9.89300	11.60967	4.73039	-12.08718	-6.76638	-0.68368	5.55613	5.73910	-8.90339	1.26854	9.25368	10.42312	5.15894	-10.10717	-3.92540	-2.70196	6.56163	5.64257	-10.09471	-1.56362	12.93804	9.91758	6.08925	-10.80933	-5.65498	2.21856	6.06567	4.92037	-9.07890	3.24617	8.31216	12.63984	6.23325	-11.87174	-7.06679	-4.21450	6.55320	6.90631	-11.54547	-3.01271	17.85881	9.73805	5.40658	-12.24607	-1.91813
11	-0.49316	2.69802	7.09041	0.96929	5.51265	0.90597	-10.45701	0.97994	1.08323	3.24580	11.83319	4.01330	11.36943	1.45159	5.14813	0.41873	-11.78077	0.79891	-5.68067	2.13484	1.58872	8.73677	4.46651	-9.57709	4.74035	9.89547	11.24003	4.74563	-11.99089	-7.26256	-0.46141	6.32657	5.80734	-9.85127	1.53328	9.43107	11.40684	4.67578	-10.58558	-4.28180	-2.42740	7.16431	5.66123	-11.05327	-1.40558	13.07184	10.83561	5.59272	-11.40439	-6.46252	2.65943	6.63774	4.83991	-9.91458	3.51904	8.45638	13.67350	5.47727	-12.38410	-7.71757	-3.82512	6.58664	6.78827	-11.88885	-2.97095	18.31118	9.69116	5.24925	-12.53887	-2.67889
12	-0.16096	2.76419	7.34419	1.00720	5.51562	0.80280	-11.07208	0.70028	1.18804	3.30794	11.98227	4.11037	11.69902	1.70228	4.86054	0.31294	-12.06681	0.61603	-6.45389	2.16346	2.01577	9.02957	4.46978	-10.31797	4.85968	9.81921	10.85205	4.77808	-11.77956	-8.01364	-0.20625	6.87319	5.94651	-10.73393	1.71610	9.61703	12.14872	4.43524	-11.18658	-4.82050	-2.16642	7.46311	5.78263	-11.84770	-1.33045	13.23442	11.59102	5.30428	-12.12289	-7.33630	3.07703	6.89258	4.92582	-10.67056	3.68314	8.60172	14.24644	4.94298	-12.76377	-8.55109	-3.52493	6.46252	6.45334	-11.79022	-2.98828	18.63895	9.65687	4.84211	-12.48125	-3.54794
13	0.12243	2.84453	7.36022	1.01010	5.53358	0.63281	-11.44968	0.54446	1.22541	3.35223	12.08905	4.16821	11.83989	1.83375	4.66144	0.33774	-12.24709	0.62748	-7.32842	2.24285	2.37199	8.96852	4.70024	-10.91379	4.89716	9.66090	10.50839	4.85602	-11.52794	-8.99653	0.06777	7.18527	6.03898	-11.38916	1.82786	9.80825	12.60236	4.35205	-11.76295	-5.48965	-1.93584	7.48888	5.90881	-12.36122	-1.31827	13.42926	12.12816	5.11864	-12.79916	-8.19573	3.44941	6.91643	5.00497	-11.20740	3.76143	8.72725	14.32268	4.65616	-12.96418	-9.52598	-3.34118	6.24199	6.01491	-11.37682	-3.04114	18.81958	9.63785	4.32434	-12.18121	-4.43423
14	0.33718	2.93110	7.21179	0.96863	5.52153	0.50468	-11.57012	0.64762	1.21649	3.38106	12.14470	4.19636	11.81056	1.81881	4.54162	0.47121	-12.30713	0.83361	-8.22274	2.38159	2.63351	8.65636	5.02022	-11.26626	4.87982	9.43276	10.24658	4.99099	-11.28830	-10.14298	0.33642	7.29235	6.02112	-11.73717	1.88302	9.98997	12.77482	4.32951	-12.18843	-6.21407	-1.75703	7.30767	5.99019	-12.55949	-1.34895	13.64077	12.43738	4.93724	-13.30147	-8.94783	3.74976	6.81160	4.98046	-11.47182	3.77840	8.80401	13.97224	4.60229	-12.98230	-10.57249	-3.27678	5.99100	5.59567	-10.81588	-3.10986	18.85601	9.62179	3.84806	-11.77518	-5.23633
15	0.47026	3.01189	6.97536	0.88477	5.47114	0.47888	-11.46517	0.80213	1.17960	3.39696	12.14297	4.21070	11.65191	1.68861	4.48883	0.62042	-12.25189	1.02747	-9.04759	2.58361	2.78253	8.20739	5.32967	-11.34104	4.83007	9.15970	10.08038	5.16716	-11.07779	-11.34760	0.57266	7.24297	5.88886	-11.77660	1.89662	10.13966	12.70805	4.30780	-12.39589	-6.90895	-1.64753	6.99729	6.01419	-12.46755	-1.40440	13.83825	12.53465	4.71752	-13.56244	-9.51260	3.95498	6.65259	4.84671	-11.48224	3.75557	8.80281	13.33554	4.73040	-12.84195	-11.60006	-3.31135	5.77656	5.27628	-10.25844	-3.17984	18.77442	9.60090	3.52129	-11.38135	-5.86873
16	0.52031	3.07384	6.71591	0.76639	5.39053	0.52837	-11.19052	0.86564	1.12919	3.40249	12.08145	4.22602	11.41612	1.49066	4.48291	0.75104	-12.09386	1.12144	-9.72853	2.83762	2.81520	7.72226	5.56158	-11.14872	4.76483	8.87273	10.00554	5.34400	-10.88132	-12.48780	0.75471	7.09079	5.67614	-11.55869	1.88243	10.23338	12.46300	4.26801	-12.37695	-7.50140	-1.61370	6.63458	5.98865	-12.14893	-1.46962	13.98373	12.44831	4.46472	-13.56801	-9.84986	4.05363	6.48112	4.64886	-11.29518	3.71026	8.70233	12.58414	4.96612	-12.58263	-12.51681	-3.40831	5.65082	5.07743	-9.80109	-3.24193	18.61511	9.57958	3.37172	-11.06038	-6.28680
