	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d
7	16.66362	0.58058	33.89127	0.89585	17.62405	0.97672	3.38346	0.61273	15.75892	0.78451	36.88313	2.83901	24.53731	1.83233	5.31066	0.50448	16.28777	33.29349	16.37177	2.79371	15.51822	33.22497	22.88734	6.05936	17.10627	35.23323	18.51325	4.03346	15.80022	38.54166	23.53875	5.43946	16.72904	34.33704	18.61377	3.88970	16.20617	39.84046	26.18326	4.95389	15.89108	33.56580	17.68563	3.49692	16.67697	38.26204	26.84117	5.34861	17.30393	33.02680	16.93582	2.70353	14.59303	34.54651	23.23606	4.75198
8	16.79284	0.60276	33.69068	0.91754	18.37190	1.07979	3.37896	0.54869	15.81239	0.89930	36.33718	2.85088	24.80727	1.87388	5.66421	0.69053	16.35922	32.88733	16.87322	2.68126	15.57718	32.67315	22.95662	6.78066	17.32551	35.00809	19.10969	3.93020	15.93445	37.97074	23.75042	5.39173	16.91612	34.20408	19.49950	3.86208	16.31860	39.32760	26.54072	4.94173	15.99552	33.48937	18.70560	3.45911	16.80565	37.72979	27.09869	5.77271	17.36781	32.86454	17.67149	2.96213	14.42605	33.98465	23.68992	5.43422
9	16.89999	0.63006	33.49590	0.98938	19.12590	1.22326	3.57694	0.52609	15.87417	0.99611	35.77555	2.88400	24.99951	1.93491	6.10282	0.91380	16.42068	32.55285	17.46360	2.77549	15.67765	32.07150	22.88324	7.45096	17.51016	34.84277	19.80236	4.00958	16.06896	37.42220	23.93326	5.42998	17.07578	34.08398	20.39913	4.07601	16.41856	38.80431	26.83400	5.09629	16.07290	33.43256	19.72455	3.61187	16.91599	37.18637	27.26821	6.29958	17.42045	32.56735	18.23983	3.41176	14.28968	33.39341	24.07885	6.23730
10	16.99266	0.66236	33.25813	1.09166	19.79252	1.38941	3.94940	0.54855	15.94553	1.06859	35.19374	2.93313	25.09425	2.01676	6.60028	1.09596	16.47083	32.23146	18.03859	3.05671	15.81510	31.43091	22.68557	8.04332	17.66545	34.67983	20.48098	4.26356	16.19526	36.88531	24.06609	5.57686	17.21500	33.90466	21.19944	4.50407	16.50165	38.27209	27.05295	5.42616	16.13117	33.34200	20.65474	3.95516	17.01331	36.61493	27.33023	6.90157	17.48085	32.13269	18.58887	3.96749	14.20233	32.76543	24.33644	7.05349
11	17.08441	0.69707	32.94431	1.20529	20.30625	1.56857	4.45213	0.58281	16.02982	1.11608	34.59308	2.98634	25.09798	2.11107	7.13993	1.19735	16.51847	31.86965	18.52432	3.50015	15.98284	30.76875	22.40175	8.55870	17.80426	34.46838	21.05781	4.66849	16.31255	36.34925	24.15326	5.85658	17.34775	33.61103	21.80298	5.08271	16.57097	37.73092	27.21496	5.93039	16.18703	33.18182	21.44286	4.46973	17.10864	36.00056	27.27798	7.54505	17.56453	31.59069	18.70328	4.53957	14.17410	32.11592	24.44194	7.80896
12	17.18978	0.73141	32.53728	1.30729	20.62208	1.74527	5.02505	0.60516	16.13236	1.14119	33.97298	3.02720	25.01823	2.20165	7.70011	1.21573	16.57656	31.42563	18.85827	4.05393	16.17546	30.09843	22.06624	9.01049	17.94046	34.16597	21.46033	5.17580	16.42671	35.79636	24.18628	6.26020	17.48789	33.17256	22.13692	5.72600	16.63511	37.16748	27.31235	6.56737	16.25905	32.93073	22.04526	5.10244	17.21476	35.33271	27.10661	8.18665	17.68494	30.99155	18.60961	5.06708	14.20975	31.46993	24.41965	8.47582
13	17.32001	0.76348	32.03338	1.37907	20.71423	1.89927	5.60545	0.61937	16.25866	1.14759	33.32730	3.04142	24.85021	2.27075	8.25100	1.17779	16.65560	30.87438	18.98586	4.64387	16.38955	29.42555	21.69772	9.41278	18.08486	33.74281	21.63276	5.72217	16.54654	35.20185	24.13290	6.74170	17.64587	32.58954	22.17055	6.35369	16.70462	36.55706	27.29893	7.25782	16.36252	32.58016	22.42423	5.77960	17.34204	34.61134	26.81903	8.78742	17.85121	30.38002	18.35777	5.52789	14.31053	30.84068	24.30247	9.05531
14	17.48088	0.79193	31.44193	1.41629	20.58319	2.01609	6.14562	0.63570	16.41246	1.13888	32.65137	3.02398	24.58784	2.30671	8.76550	1.11732	16.76166	30.21629	18.88305	5.20298	16.62217	28.75125	21.30248	9.77547	18.24436	33.18942	21.55043	6.25114	16.67997	34.54675	23.96199	7.24352	17.82825	31.89294	21.92326	6.91078	16.78918	35.88331	27.13001	7.92234	16.50691	32.13678	22.56570	6.43530	17.49647	33.85105	26.43396	9.32478	18.06324	29.77420	17.99354	5.92790	14.47452	30.22449	24.11080	9.56140
15	17.67281	0.81454	30.78265	1.42815	20.25537	2.09418	6.61976	0.65538	16.59491	1.11882	31.94897	2.98021	24.23878	2.31049	9.22899	1.05691	16.89887	29.47963	18.56832	5.69026	16.86912	28.07644	20.88224	10.10267	18.42253	32.51980	21.22697	6.72640	16.83274	33.83044	23.67087	7.72381	18.03759	31.12977	21.44933	7.37028	16.89658	35.15194	26.80520	8.51484	16.69575	31.62028	22.48718	7.02798	17.68024	33.07460	25.97988	9.79249	18.30931	29.16376	17.54507	6.28387	14.69587	29.61142	23.85573	10.01117
16	17.89191	0.82695	30.07675	1.42600	19.76945	2.13952	7.01996	0.67425	16.80454	1.09243	31.22919	2.92083	23.82285	2.29301	9.63858	1.00465	17.07198	28.70790	18.08638	6.08925	17.12426	27.40198	20.43870	10.39368	18.62021	31.76240	20.70127	7.13100	17.00945	33.06802	23.28424	8.16373	18.27179	30.33843	20.81039	7.72934	17.03307	34.38332	26.36568	9.02428	16.92717	31.04903	22.22110	7.53910	17.89317	32.29981	25.47999	10.19450	18.56839	28.52598	17.02810	6.61110	14.96278	28.99280	23.54567	10.41672
17	18.13044	0.82333	29.33572	1.41316	19.16088	2.15535	7.35050	0.68995	17.03779	1.06582	30.49740	2.85570	23.35830	2.26516	9.99673	0.96035	17.28469	27.93678	17.48247	6.40158	17.37960	26.72501	19.97358	10.64657	18.83500	30.94122	20.01438	7.46179	17.21439	32.27653	22.83056	8.55877	18.52316	29.53082	20.05424	8.00314	17.20388	33.59398	25.85789	9.45809	17.19414	30.42616	21.79461	7.96656	18.13326	31.53104	24.94304	10.54004	18.81519	27.84363	16.45867	6.91943	15.25784	28.36043	23.18646	10.78016
18	18.37717	0.79911	28.55833	1.38557	18.45590	2.13936	7.62317	0.70269	17.28932	1.04437	29.75102	2.79176	22.85312	2.23245	10.30761	0.92117	17.53484	27.17857	16.78896	6.64174	17.62597	26.03615	19.48661	10.86198	19.06056	30.06371	19.19596	7.72502	17.45055	31.46544	22.32439	8.91024	18.77868	28.69520	19.21036	8.21568	17.41261	32.78949	25.30867	9.82940	17.48546	29.74166	21.22511	8.31862	18.39565	30.75927	24.36555	10.84018	19.02633	27.11253	15.85910	7.21477	15.56180	27.70473	22.78038	11.09625
19	18.61866	0.75396	27.73787	1.33971	17.67591	2.08971	7.85307	0.71281	17.55198	1.03153	28.98359	2.73396	22.30862	2.19578	10.57730	0.88367	17.81184	26.42425	16.02751	6.83175	17.85396	25.32399	18.97756	11.04444	19.28729	29.12691	18.26778	7.93219	17.71744	30.63733	21.76857	9.22384	19.02190	27.81346	18.29978	8.39105	17.65951	31.97088	24.72571	10.15213	17.78683	28.98659	20.53016	8.60831	18.67178	29.97022	23.74232	11.10522	19.18544	26.33814	15.25431	7.50206	15.85724	27.01551	22.32897	11.36085
20	18.84120	0.69312	26.87224	1.27823	16.84544	2.01106	8.05587	0.71922	17.81679	1.02947	28.19115	2.68461	21.72830	2.15353	10.81418	0.84551	18.09767	25.65767	15.22090	6.99680	18.05513	24.58459	18.45199	11.20172	19.50406	28.13270	17.25675	8.09722	18.00901	29.79229	21.16547	9.50858	19.23637	26.87699	17.34657	8.54883	17.93973	31.14004	24.10950	10.43886	18.08236	28.16417	19.73766	8.84979	18.95023	29.15410	23.07648	11.34370	19.28553	25.52970	14.66531	7.78670	16.12987	26.28473	21.83806	11.57805
