	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
15	0.15107	0.03869	-0.17760	0.05813	-0.08446	0.03649	0.22369	0.15372	-0.10734	0.03782	-0.04091	0.14774	0.12371	-0.21870	-0.11027	0.17842	-0.13649	-0.05866	0.11499	-0.13409	-0.14538	0.33239	-0.08060	0.06356
16	0.14281	0.03581	-0.17625	0.05474	-0.08226	0.03326	0.22916	0.16248	-0.11787	0.04880	-0.03976	0.16214	0.11749	-0.21496	-0.10578	0.16814	-0.13754	-0.05874	0.11427	-0.15238	-0.15441	0.34406	-0.08336	0.07489
17	0.13100	0.03321	-0.16991	0.05023	-0.07868	0.03010	0.23120	0.17151	-0.12379	0.06032	-0.03615	0.17369	0.10752	-0.20543	-0.09996	0.15449	-0.13440	-0.05739	0.10993	-0.16645	-0.15896	0.35247	-0.08114	0.08667
18	0.11691	0.03075	-0.15957	0.04527	-0.07438	0.02711	0.23059	0.18093	-0.12468	0.07152	-0.03089	0.18202	0.09517	-0.19158	-0.09354	0.13866	-0.12756	-0.05521	0.10265	-0.17526	-0.15960	0.35853	-0.07411	0.09781
19	0.10212	0.02806	-0.14655	0.04038	-0.06988	0.02434	0.22839	0.19025	-0.12082	0.08168	-0.02480	0.18716	0.08228	-0.17510	-0.08710	0.12196	-0.11800	-0.05267	0.09386	-0.17858	-0.15714	0.36292	-0.06306	0.10754
20	0.08788	0.02502	-0.13232	0.03589	-0.06550	0.02182	0.22566	0.19798	-0.11308	0.09039	-0.01851	0.18946	0.07019	-0.15770	-0.08093	0.10557	-0.10694	-0.05007	0.08567	-0.17700	-0.15247	0.36566	-0.04917	0.11546
21	0.07493	0.02170	-0.11821	0.03201	-0.06134	0.01951	0.22288	0.20283	-0.10266	0.09741	-0.01248	0.18951	0.05958	-0.14084	-0.07514	0.09028	-0.09557	-0.04755	0.07946	-0.17155	-0.14649	0.36630	-0.03378	0.12152
22	0.06358	0.01824	-0.10519	0.02876	-0.05740	0.01740	0.21979	0.20456	-0.09079	0.10268	-0.00700	0.18802	0.05069	-0.12552	-0.06970	0.07648	-0.08485	-0.04509	0.07514	-0.16340	-0.13996	0.36443	-0.01818	0.12595
23	0.05383	0.01477	-0.09380	0.02601	-0.05360	0.01551	0.21577	0.20376	-0.07849	0.10627	-0.00217	0.18569	0.04338	-0.11219	-0.06456	0.06428	-0.07540	-0.04263	0.07169	-0.15363	-0.13347	0.35985	-0.00335	0.12914
24	0.04554	0.01150	-0.08418	0.02364	-0.04988	0.01386	0.21046	0.20134	-0.06649	0.10841	0.00210	0.18308	0.03741	-0.10090	-0.05968	0.05368	-0.06747	-0.04008	0.06809	-0.14314	-0.12736	0.35283	0.01017	0.13156
25	0.03866	0.00869	-0.07626	0.02158	-0.04620	0.01249	0.20419	0.19813	-0.05527	0.10956	0.00596	0.18062	0.03251	-0.09152	-0.05504	0.04481	-0.06100	-0.03737	0.06409	-0.13274	-0.12176	0.34429	0.02221	0.13368
26	0.03323	0.00648	-0.06982	0.01986	-0.04254	0.01138	0.19777	0.19426	-0.04507	0.11036	0.00962	0.17857	0.02865	-0.08387	-0.05059	0.03782	-0.05578	-0.03450	0.06041	-0.12311	-0.11665	0.33513	0.03296	0.13589
27	0.02932	0.00492	-0.06460	0.01850	-0.03889	0.01047	0.19188	0.18971	-0.03592	0.11137	0.01329	0.17702	0.02584	-0.07768	-0.04629	0.03280	-0.05151	-0.03149	0.05774	-0.11467	-0.11188	0.32603	0.04283	0.13847
28	0.02705	0.00396	-0.06028	0.01743	-0.03522	0.00965	0.18675	0.18501	-0.02768	0.11287	0.01712	0.17598	0.02425	-0.07260	-0.04205	0.02985	-0.04795	-0.02839	0.05593	-0.10749	-0.10732	0.31757	0.05214	0.14155
29	0.02636	0.00361	-0.05658	0.01656	-0.03148	0.00885	0.18244	0.18075	-0.02021	0.11493	0.02121	0.17538	0.02381	-0.06829	-0.03774	0.02891	-0.04487	-0.02523	0.05463	-0.10148	-0.10280	0.31026	0.06105	0.14522
30	0.02688	0.00380	-0.05329	0.01582	-0.02767	0.00800	0.17885	0.17719	-0.01343	0.11742	0.02563	0.17514	0.02419	-0.06448	-0.03333	0.02956	-0.04210	-0.02200	0.05356	-0.09646	-0.09821	0.30414	0.06959	0.14947
31	0.02804	0.00428	-0.05029	0.01528	-0.02375	0.00715	0.17564	0.17410	-0.00723	0.12016	0.03038	0.17513	0.02501	-0.06109	-0.02880	0.03107	-0.03949	-0.01869	0.05253	-0.09219	-0.09346	0.29875	0.07774	0.15421
32	0.02938	0.00477	-0.04749	0.01499	-0.01969	0.00633	0.17262	0.17094	-0.00144	0.12296	0.03531	0.17522	0.02600	-0.05809	-0.02417	0.03275	-0.03689	-0.01522	0.05175	-0.08838	-0.08859	0.29350	0.08551	0.15921
33	0.03056	0.00514	-0.04487	0.01500	-0.01548	0.00566	0.16959	0.16762	0.00406	0.12557	0.04024	0.17532	0.02692	-0.05548	-0.01948	0.03419	-0.03427	-0.01148	0.05107	-0.08474	-0.08374	0.28811	0.09285	0.16421
34	0.03146	0.00530	-0.04238	0.01531	-0.01110	0.00520	0.16642	0.16442	0.00923	0.12783	0.04493	0.17546	0.02772	-0.05320	-0.01477	0.03521	-0.03155	-0.00742	0.05015	-0.08116	-0.07914	0.28268	0.09962	0.16900
35	0.03204	0.00525	-0.03992	0.01592	-0.00656	0.00504	0.16310	0.16148	0.01398	0.12959	0.04919	0.17572	0.02833	-0.05118	-0.01012	0.03576	-0.02866	-0.00300	0.04892	-0.07766	-0.07506	0.27728	0.10561	0.17344
36	0.03223	0.00515	-0.03739	0.01679	-0.00190	0.00523	0.15956	0.15847	0.01821	0.13075	0.05284	0.17617	0.02859	-0.04926	-0.00559	0.03588	-0.02552	0.00180	0.04750	-0.07424	-0.07173	0.27161	0.11066	0.17740
37	0.03200	0.00509	-0.03472	0.01782	0.00287	0.00573	0.15563	0.15521	0.02186	0.13129	0.05580	0.17690	0.02839	-0.04732	-0.00118	0.03560	-0.02211	0.00692	0.04588	-0.07097	-0.06929	0.26537	0.11470	0.18089
38	0.03138	0.00521	-0.03185	0.01891	0.00774	0.00647	0.15132	0.15169	0.02479	0.13126	0.05815	0.17802	0.02769	-0.04523	0.00317	0.03506	-0.01848	0.01231	0.04407	-0.06803	-0.06773	0.25858	0.11760	0.18403
39	0.03045	0.00571	-0.02876	0.01998	0.01274	0.00733	0.14657	0.14834	0.02688	0.13078	0.06006	0.17961	0.02641	-0.04288	0.00755	0.03449	-0.01463	0.01793	0.04168	-0.06560	-0.06695	0.25146	0.11936	0.18706
40	0.02934	0.00668	-0.02536	0.02094	0.01788	0.00824	0.14129	0.14549	0.02809	0.13012	0.06171	0.18166	0.02462	-0.04017	0.01205	0.03406	-0.01056	0.02371	0.03841	-0.06392	-0.06675	0.24417	0.12009	0.19016
