	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d
7	0.90713	0.05776	0.24982	0.06488	0.15945	0.21494	0.85371	0.19160	0.18836	0.08704	0.27126	0.06808	0.61097	0.16865	0.26743	0.82211	0.34494	-0.08915	0.93209	0.23731	0.43522	0.81943	0.15472	0.33962	1.00969	0.19937	0.20394	1.08020	0.09170	0.20442	0.95046	0.20605	0.15977	0.74826	0.32735	0.34091	0.92385	0.21100	0.13197
8	0.93519	0.07698	0.45486	0.08156	0.22053	0.25750	0.84950	0.20881	0.36811	0.10230	0.35472	0.07862	0.61378	0.31156	0.35010	0.82053	0.57712	-0.07596	0.96720	0.41588	0.55191	0.81919	0.33125	0.43056	1.09106	0.35504	0.27744	1.03388	0.29590	0.27726	0.98623	0.41620	0.22040	0.68959	0.54678	0.43824	0.96678	0.41021	0.18578
9	0.94584	0.09496	0.65552	0.10130	0.29547	0.29482	0.81948	0.19109	0.56330	0.12211	0.45164	0.08626	0.62337	0.44984	0.43998	0.80362	0.80464	-0.04388	0.98718	0.58102	0.67491	0.82379	0.50271	0.53219	1.02984	0.59266	0.36970	0.98791	0.50961	0.36777	1.00001	0.62856	0.29567	0.63251	0.76169	0.54854	0.99254	0.60785	0.25517
10	0.93880	0.10915	0.82839	0.12326	0.37900	0.32355	0.79390	0.19111	0.73216	0.14456	0.55550	0.09023	0.62131	0.56815	0.53110	0.77511	1.00188	0.00548	0.99453	0.71375	0.79456	0.82111	0.64956	0.63656	1.00986	0.78818	0.47593	0.94087	0.70794	0.46998	0.98998	0.81638	0.37985	0.57635	0.94697	0.66393	0.99557	0.78156	0.33609
11	0.91718	0.11826	0.95239	0.14420	0.46510	0.34138	0.75082	0.18997	0.86091	0.16681	0.65827	0.09104	0.59436	0.65262	0.61769	0.74070	1.14483	0.06912	0.99089	0.79883	0.90217	0.79873	0.75477	0.73530	0.96424	0.94935	0.58668	0.88077	0.86595	0.57627	0.96158	0.95543	0.46635	0.51599	1.08184	0.77541	0.97554	0.91048	0.42276
12	0.88124	0.12117	1.01377	0.16026	0.54819	0.34766	0.69166	0.18715	0.93247	0.18405	0.75274	0.08946	0.54350	0.69305	0.69501	0.70275	1.21721	0.14306	0.97183	0.82879	0.99193	0.75593	0.80624	0.82142	0.90462	1.04765	0.69341	0.80081	0.96386	0.67874	0.91744	1.02983	0.54912	0.45345	1.15154	0.87508	0.93294	0.97925	0.50866
13	0.83046	0.11753	1.00919	0.16802	0.62387	0.34332	0.62383	0.17913	0.93963	0.19281	0.83328	0.08663	0.48146	0.68551	0.75979	0.66122	1.21399	0.22260	0.93255	0.80591	1.06124	0.70151	0.79945	0.89017	0.83261	1.07336	0.78829	0.70684	0.99036	0.77063	0.85627	1.03514	0.62364	0.39676	1.14945	0.95750	0.87182	0.98173	0.58801
14	0.76967	0.10921	0.94561	0.16543	0.68895	0.33020	0.55936	0.16826	0.88363	0.19016	0.89629	0.08353	0.42308	0.63404	0.80995	0.61769	1.14081	0.30253	0.87649	0.73968	1.10935	0.64479	0.73796	0.93916	0.76349	1.02306	0.86569	0.61306	0.94457	0.84690	0.78101	0.97865	0.68709	0.35241	1.07850	1.01973	0.80348	0.92330	0.65680
15	0.71054	0.10007	0.83664	0.15280	0.74095	0.31006	0.50681	0.15728	0.77530	0.17516	0.93974	0.08082	0.37747	0.55042	0.84398	0.57747	1.01120	0.37779	0.81628	0.64235	1.13558	0.59212	0.63239	0.96775	0.70772	0.90618	0.92233	0.53388	0.83659	0.90407	0.70444	0.87503	0.73761	0.32285	0.95091	1.06056	0.74398	0.81800	0.71284
16	0.66643	0.09244	0.69804	0.13252	0.77781	0.28424	0.47027	0.14763	0.63182	0.14942	0.96258	0.07870	0.34680	0.45002	0.86074	0.54906	0.84281	0.44413	0.76558	0.52578	1.13902	0.54822	0.49805	0.97625	0.66972	0.74154	0.95667	0.47767	0.68409	0.93977	0.64501	0.74073	0.77333	0.30896	0.78540	1.07947	0.70605	0.68282	0.75476
