	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d
7	-0.09084	0.12953	-0.03633	0.06833	-0.05517	0.02388	0.47239	0.13759	-0.14062	0.08242	-0.09196	0.04144	0.29208	-0.20911	-0.06290	0.09718	-0.04909	-0.04730	-0.14671	-0.06081	-0.02504	0.44477	-0.17270	-0.13284	0.44703	-0.14218	-0.04582	0.67447	0.00054	-0.08053	-0.11737	0.06151	-0.07725	0.50358	-0.17965	-0.13772	-0.19646	-0.09692	-0.07111
8	-0.00223	0.13993	-0.05858	0.07361	-0.08062	0.02783	0.59985	0.15065	-0.20313	0.07981	-0.11705	0.04808	0.39460	-0.26419	-0.07531	0.20115	-0.07239	-0.07250	-0.05838	-0.08259	-0.04624	0.54311	-0.22702	-0.15738	0.63737	-0.18610	-0.06281	0.80913	-0.07279	-0.11854	-0.03470	0.04626	-0.11117	0.61506	-0.26558	-0.17122	-0.11698	-0.12562	-0.09258
9	0.08406	0.14704	-0.07121	0.07429	-0.10711	0.02909	0.71387	0.16336	-0.25467	0.07409	-0.13632	0.05441	0.49548	-0.29617	-0.08522	0.29829	-0.07674	-0.09448	0.02355	-0.09694	-0.07662	0.64007	-0.26013	-0.17661	0.77165	-0.25531	-0.07414	0.93784	-0.13321	-0.14961	0.04901	0.03210	-0.14479	0.72429	-0.32851	-0.19602	-0.03459	-0.14328	-0.11258
10	0.16090	0.15125	-0.06744	0.07208	-0.13531	0.03070	0.82128	0.17638	-0.27152	0.06908	-0.15129	0.06034	0.58742	-0.29717	-0.09556	0.38226	-0.05537	-0.11214	0.09358	-0.10004	-0.11712	0.72790	-0.26481	-0.19315	0.91467	-0.27955	-0.07917	1.04992	-0.16329	-0.17422	0.12410	0.02698	-0.17949	0.82648	-0.35279	-0.21435	0.04368	-0.14135	-0.13248
11	0.22755	0.15356	-0.04481	0.07166	-0.16500	0.03758	0.91085	0.18625	-0.25368	0.06524	-0.16525	0.06488	0.66498	-0.26931	-0.10808	0.45351	-0.00928	-0.12592	0.15485	-0.09074	-0.16407	0.80237	-0.24304	-0.20996	1.03377	-0.26606	-0.08428	1.13759	-0.15454	-0.19398	0.18734	0.03779	-0.21589	0.91557	-0.33545	-0.22995	0.11451	-0.11699	-0.15411
12	0.28777	0.15480	-0.00691	0.07639	-0.19394	0.04874	0.98054	0.19074	-0.20862	0.06247	-0.17948	0.06754	0.72908	-0.22220	-0.12178	0.51650	0.05374	-0.13669	0.21475	-0.07056	-0.20881	0.86325	-0.20493	-0.22787	1.12675	-0.21674	-0.09345	1.19761	-0.11248	-0.20943	0.24243	0.06449	-0.25207	0.98601	-0.28675	-0.24486	0.17740	-0.07531	-0.17817
13	0.34612	0.15591	0.03860	0.08472	-0.21785	0.05883	1.03391	0.18751	-0.15017	0.06156	-0.19206	0.06796	0.78823	-0.16578	-0.13288	0.57670	0.12307	-0.14479	0.27972	-0.04210	-0.24039	0.91392	-0.16205	-0.24437	1.19151	-0.14862	-0.10684	1.23645	-0.05225	-0.21898	0.29462	0.09948	-0.28350	1.03945	-0.22216	-0.25724	0.23346	-0.02605	-0.20272
14	0.40557	0.15687	0.08370	0.09232	-0.23173	0.06413	1.08010	0.17940	-0.08919	0.06269	-0.19846	0.06642	0.84929	-0.10671	-0.13673	0.63670	0.18816	-0.14994	0.35065	-0.00838	-0.25013	0.95933	-0.12082	-0.25467	1.23984	-0.07571	-0.11968	1.26811	0.01110	-0.21918	0.34793	0.13274	-0.30405	1.08393	-0.15380	-0.26202	0.28698	0.02228	-0.22282
15	0.46544	0.15591	0.12261	0.09553	-0.23188	0.06401	1.12265	0.17137	-0.03179	0.06436	-0.19406	0.06360	0.90891	-0.04925	-0.13024	0.69380	0.24039	-0.15163	0.42143	0.02759	-0.23525	0.99910	-0.08250	-0.25422	1.28183	-0.00677	-0.12525	1.29923	0.06768	-0.20659	0.40369	0.15718	-0.30831	1.12418	-0.08812	-0.25402	0.34285	0.06530	-0.23235
16	0.52040	0.15167	0.15295	0.09300	-0.21755	0.06026	1.15623	0.16645	0.01932	0.06534	-0.17688	0.06020	0.95715	0.00343	-0.11327	0.74211	0.27562	-0.14943	0.48108	0.06358	-0.19967	1.02636	-0.04676	-0.24116	1.31592	0.05408	-0.11881	1.32602	0.11412	-0.18011	0.45809	0.17062	-0.29398	1.15568	-0.02827	-0.23104	0.40030	0.10198	-0.22714
