	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d
7	0.12533	0.19403	-0.06585	0.09217	-0.04546	0.06273	0.24785	0.06824	0.02944	0.07458	-0.01329	0.05114	0.40907	0.05313	0.06411	0.25995	-0.03067	-0.07016	0.11730	-0.11458	-0.11304	0.19862	-0.00844	-0.03716	0.08201	-0.10294	-0.06102	0.18785	0.01712	0.02181	0.19855	-0.07172	-0.09919	-0.22155	-0.16447	-0.07017	0.19586	0.04682	0.03499	0.42030	0.07607	0.01725	0.05646	-0.18174	-0.10247	0.27153	-0.00823	-0.03276	0.16889	0.02865	0.03575	-0.06594	-0.14213	-0.10755	0.20781	0.02965	-0.01780	0.09256	-0.06701	-0.05964	0.37427	0.16137	0.04427	0.19419	-0.04345	-0.05780	0.33621	0.12911	0.03635
8	0.21831	0.20684	-0.04635	0.10215	-0.05529	0.07235	0.31817	0.08096	0.05100	0.07887	-0.02642	0.05375	0.52320	0.07979	0.06369	0.35132	-0.01337	-0.08756	0.20928	-0.10325	-0.13630	0.25533	0.01473	-0.04705	0.18899	-0.08036	-0.07008	0.24927	0.03490	0.01396	0.24923	-0.06269	-0.12019	-0.13392	-0.14124	-0.07731	0.25348	0.06296	0.02274	0.55091	0.11652	0.02465	0.13093	-0.17445	-0.11997	0.35049	0.02098	-0.04240	0.24255	0.06418	0.03589	0.01386	-0.14088	-0.13541	0.28358	0.05616	-0.03226	0.17290	-0.05725	-0.06992	0.47994	0.18744	0.02976	0.28436	-0.02653	-0.06815	0.39089	0.15790	0.02520
9	0.31976	0.21064	-0.01138	0.10861	-0.06550	0.08107	0.38532	0.09555	0.08166	0.07974	-0.04099	0.05493	0.63058	0.11574	0.05892	0.42347	0.01391	-0.10440	0.30246	-0.07738	-0.15963	0.31196	0.04853	-0.05780	0.29506	-0.04072	-0.07920	0.30890	0.06780	0.00561	0.28752	-0.04308	-0.14004	-0.01699	-0.10096	-0.08333	0.31641	0.09018	0.00764	0.67896	0.17019	0.03359	0.22952	-0.14239	-0.13736	0.42980	0.06606	-0.05203	0.32722	0.09971	0.03146	0.11092	-0.12678	-0.16353	0.36029	0.08725	-0.04881	0.25844	-0.02695	-0.07920	0.58523	0.20676	0.00830	0.38143	0.01577	-0.07667	0.44431	0.19755	0.01264
10	0.41915	0.20779	0.03337	0.11276	-0.07742	0.08880	0.46091	0.10626	0.12127	0.07801	-0.05664	0.05499	0.72454	0.15981	0.04961	0.48084	0.05133	-0.12059	0.38646	-0.04396	-0.18356	0.38533	0.09115	-0.06984	0.38122	0.00647	-0.09040	0.37963	0.11590	-0.00355	0.33216	-0.00883	-0.15768	0.10624	-0.05158	-0.08974	0.39840	0.12917	-0.01022	0.79272	0.23271	0.04158	0.33831	-0.09274	-0.15594	0.52197	0.12403	-0.06212	0.42418	0.12647	0.02102	0.21891	-0.10106	-0.19147	0.44820	0.12053	-0.06681	0.34428	0.01976	-0.08901	0.68473	0.21999	-0.01855	0.47466	0.07780	-0.08626	0.51691	0.24819	-0.00042
11	0.50826	0.20318	0.07950	0.11687	-0.09185	0.09524	0.55048	0.11076	0.16416	0.07533	-0.07296	0.05426	0.80496	0.20823	0.03678	0.53699	0.09486	-0.13593	0.45964	-0.01120	-0.20762	0.47977	0.13346	-0.08336	0.44719	0.05181	-0.10437	0.46899	0.17080	-0.01409	0.39970	0.03886	-0.17245	0.21500	-0.00357	-0.09807	0.49649	0.17227	-0.03058	0.88637	0.29705	0.04607	0.44025	-0.03671	-0.17620	0.63013	0.18536	-0.07283	0.52956	0.13913	0.00396	0.32286	-0.06758	-0.21844	0.55170	0.15101	-0.08561	0.42431	0.07212	-0.10082	0.77398	0.22860	-0.04854	0.55246	0.14569	-0.09982	0.61660	0.30223	-0.01329
12	0.58703	0.19930	0.11997	0.12209	-0.10837	0.09993	0.64724	0.11048	0.20174	0.07318	-0.08923	0.05308	0.87428	0.25528	0.02245	0.60466	0.13659	-0.14987	0.52930	0.01564	-0.22999	0.57946	0.16395	-0.09782	0.50922	0.08980	-0.11985	0.57074	0.22033	-0.02607	0.48903	0.09170	-0.18424	0.30668	0.03548	-0.10908	0.59404	0.20868	-0.05253	0.96353	0.35635	0.04542	0.52976	0.01614	-0.19701	0.74262	0.23853	-0.08370	0.63537	0.13765	-0.01877	0.41248	-0.03045	-0.24308	0.66351	0.17359	-0.10437	0.49540	0.11840	-0.11514	0.85006	0.23397	-0.07896	0.61424	0.20545	-0.11861	0.73107	0.34832	-0.02550
13	0.65959	0.19485	0.15111	0.12778	-0.12532	0.10253	0.73669	0.10759	0.22795	0.07216	-0.10435	0.05184	0.93180	0.29557	0.00909	0.68358	0.16845	-0.16186	0.59838	0.03467	-0.24813	0.66436	0.17771	-0.11164	0.57804	0.11859	-0.13440	0.66829	0.25568	-0.03866	0.58239	0.13934	-0.19322	0.39392	0.06357	-0.12219	0.67436	0.23169	-0.07430	1.03250	0.40566	0.03961	0.61031	0.06053	-0.21613	0.84165	0.27626	-0.09363	0.73349	0.12701	-0.04471	0.48723	0.00676	-0.26360	0.76866	0.18642	-0.12195	0.56026	0.15073	-0.13118	0.91048	0.23707	-0.10725	0.66999	0.24796	-0.14154	0.83640	0.37898	-0.03663
14	0.72657	0.18812	0.17244	0.13242	-0.14042	0.10297	0.80595	0.10431	0.24185	0.07198	-0.11701	0.05079	0.97316	0.32607	-0.00113	0.76081	0.18710	-0.17139	0.65995	0.04687	-0.25961	0.72249	0.17702	-0.12271	0.64869	0.13920	-0.14538	0.74570	0.27460	-0.05033	0.65891	0.17500	-0.19934	0.48689	0.08266	-0.13576	0.73165	0.24100	-0.09367	1.09737	0.44227	0.03000	0.68187	0.09446	-0.23116	0.91441	0.29754	-0.10120	0.81645	0.11432	-0.07049	0.54933	0.04078	-0.27802	0.85240	0.19178	-0.13691	0.62289	0.16718	-0.14709	0.95321	0.23879	-0.13138	0.72910	0.27062	-0.16558	0.91398	0.39380	-0.04613
15	0.78308	0.17928	0.18577	0.13446	-0.15141	0.10148	0.84981	0.10211	0.24636	0.07191	-0.12599	0.05002	0.99283	0.34581	-0.00695	0.82150	0.19497	-0.17791	0.70456	0.05532	-0.26274	0.75377	0.16809	-0.12921	0.70746	0.15450	-0.15069	0.79610	0.28018	-0.05936	0.70617	0.19645	-0.20224	0.58198	0.09561	-0.14780	0.76886	0.24002	-0.10875	1.15337	0.46534	0.01890	0.73928	0.11819	-0.24027	0.95829	0.30587	-0.10507	0.87988	0.10694	-0.09279	0.59783	0.06889	-0.28460	0.90694	0.19455	-0.14773	0.68231	0.17099	-0.16053	0.97788	0.24020	-0.15015	0.79126	0.27613	-0.18661	0.95880	0.39691	-0.05344
16	0.82187	0.16996	0.19393	0.13286	-0.15659	0.09831	0.86912	0.10104	0.24541	0.07118	-0.13052	0.04941	0.98713	0.35508	-0.00824	0.85768	0.19757	-0.18065	0.72523	0.06296	-0.25703	0.76290	0.15678	-0.13034	0.74098	0.16736	-0.14919	0.82130	0.27750	-0.06460	0.72307	0.20435	-0.20146	0.66744	0.10634	-0.15645	0.78838	0.23263	-0.11851	1.18883	0.47538	0.00876	0.77738	0.13356	-0.24248	0.97599	0.30548	-0.10457	0.92281	0.11020	-0.10921	0.62861	0.08936	-0.28222	0.93262	0.19931	-0.15319	0.73210	0.16828	-0.16933	0.98531	0.24213	-0.16321	0.84815	0.27078	-0.20054	0.97480	0.39293	-0.05814
