	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_4_CINE_D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0002_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_1_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_2_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_3_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_4_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_5_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d	2014_07_02_CR016_BAREFOOT_GAIT0003_6_CINE_E&D.c3d
7	-0.02511	0.05906	-0.02725	0.04913	-0.02033	0.02889	0.13073	0.04819	-0.00952	0.02279	0.02784	0.02551	0.00027	-0.14474	-0.07086	0.11741	-0.00218	0.01513	-0.03900	-0.02695	-0.04344	0.10759	-0.01503	0.00346	-0.01754	-0.00566	-0.01433	0.13663	0.02226	0.04199	0.09092	0.00870	0.01125	-0.11992	0.03491	-0.00851	0.15548	0.01719	0.05489	0.08367	-0.06483	0.00449	-0.05822	-0.00443	-0.03437	0.08652	-0.02631	0.01096	0.04782	-0.03457	0.01962	-0.07109	-0.02306	-0.05338	0.08933	-0.04602	-0.00454	-0.05837	0.00996	0.00211	0.15537	-0.02860	0.05999	-0.01874	-0.01312	-0.00465	0.23731	-0.01573	0.05745
8	0.01116	0.06616	-0.05094	0.05444	-0.02537	0.03430	0.15040	0.05097	-0.03010	0.02591	0.02860	0.03126	0.02044	-0.17942	-0.07886	0.15052	-0.03035	0.01140	-0.01085	-0.05055	-0.05610	0.11733	-0.03480	-0.00072	0.03348	-0.02781	-0.02078	0.15940	0.00554	0.04624	0.09701	-0.00926	0.00502	-0.07829	0.01871	-0.01197	0.17189	0.00321	0.06003	0.13902	-0.09599	0.00499	-0.04371	-0.02431	-0.04265	0.10196	-0.05055	0.00845	0.08734	-0.05748	0.02616	-0.05534	-0.04469	-0.06705	0.10849	-0.07275	-0.00811	-0.00952	-0.00811	0.00046	0.19614	-0.04644	0.07068	0.02900	-0.03971	-0.00795	0.25089	-0.03547	0.06443
9	0.05401	0.07190	-0.07801	0.05789	-0.03105	0.03981	0.16546	0.05595	-0.05385	0.02886	0.02734	0.03705	0.04623	-0.21252	-0.08546	0.17079	-0.06119	0.00485	0.02013	-0.07816	-0.07065	0.12468	-0.05893	-0.00683	0.08725	-0.05302	-0.02823	0.18002	-0.01570	0.04941	0.09306	-0.02941	-0.00303	-0.01949	-0.00401	-0.01553	0.18698	-0.01553	0.06232	0.19680	-0.13055	0.00534	-0.01444	-0.05035	-0.05165	0.11707	-0.07911	0.00407	0.12412	-0.08113	0.03199	-0.03316	-0.06970	-0.08184	0.12363	-0.10153	-0.01348	0.04487	-0.02995	-0.00216	0.23591	-0.06553	0.07896	0.08780	-0.07073	-0.01229	0.25701	-0.05775	0.06983
10	0.09702	0.07597	-0.10600	0.05975	-0.03733	0.04512	0.18497	0.06293	-0.08053	0.03132	0.02449	0.04272	0.07275	-0.24175	-0.09043	0.18186	-0.09297	-0.00408	0.04885	-0.10739	-0.08690	0.14107	-0.08735	-0.01439	0.13120	-0.07762	-0.03621	0.20592	-0.04156	0.05227	0.09288	-0.05244	-0.01199	0.04199	-0.02945	-0.01904	0.21280	-0.03907	0.06221	0.24912	-0.16546	0.00542	0.02502	-0.08048	-0.06125	0.13700	-0.11138	-0.00152	0.15888	-0.10443	0.03576	-0.00369	-0.09662	-0.09717	0.14400	-0.13193	-0.02055	0.09859	-0.05353	-0.00571	0.27473	-0.08436	0.08436	0.14749	-0.10328	-0.01774	0.27450	-0.08374	0.07409
11	0.13358	0.07873	-0.13217	0.06056	-0.04399	0.04973	0.21288	0.06995	-0.10821	0.03352	0.02075	0.04806	0.09542	-0.26553	-0.09342	0.19231	-0.12469	-0.01470	0.07105	-0.13556	-0.10393	0.16855	-0.11747	-0.02248	0.16046	-0.09908	-0.04393	0.24073	-0.06967	0.05547	0.10661	-0.07808	-0.02067	0.09217	-0.05355	-0.02270	0.24894	-0.06426	0.06054	0.28976	-0.19735	0.00517	0.06452	-0.11092	-0.07111	0.16209	-0.14436	-0.00725	0.19252	-0.12717	0.03657	0.02741	-0.12300	-0.11188	0.17435	-0.16243	-0.02872	0.14639	-0.07625	-0.01026	0.31097	-0.10117	0.08681	0.19614	-0.13331	-0.02444	0.31135	-0.11172	0.07778
12	0.16159	0.08048	-0.15475	0.06053	-0.05048	0.05325	0.24496	0.07589	-0.13328	0.03594	0.01693	0.05282	0.11282	-0.28308	-0.09424	0.20968	-0.15483	-0.02593	0.08817	-0.16092	-0.12009	0.19727	-0.14434	-0.02998	0.18080	-0.11705	-0.05025	0.28038	-0.09539	0.05927	0.13296	-0.10377	-0.02798	0.12767	-0.07468	-0.02660	0.28517	-0.08614	0.05811	0.31759	-0.22385	0.00472	0.09729	-0.13861	-0.08060	0.18665	-0.17353	-0.01210	0.22442	-0.14930	0.03425	0.05389	-0.14684	-0.12454	0.21082	-0.19008	-0.03702	0.18512	-0.09561	-0.01544	0.34212	-0.11433	0.08676	0.22815	-0.15754	-0.03204	0.35957	-0.13715	0.08129
13	0.18286	0.08123	-0.17304	0.05941	-0.05605	0.05545	0.27280	0.08037	-0.15238	0.03875	0.01363	0.05678	0.12502	-0.29372	-0.09289	0.23401	-0.18091	-0.03661	0.10346	-0.18227	-0.13376	0.21620	-0.16418	-0.03607	0.19880	-0.13177	-0.05416	0.31519	-0.11449	0.06347	0.16136	-0.12578	-0.03333	0.15489	-0.09368	-0.03027	0.31163	-0.10096	0.05550	0.33527	-0.24397	0.00441	0.12265	-0.16221	-0.08888	0.20337	-0.19531	-0.01543	0.25291	-0.17021	0.02928	0.07400	-0.16706	-0.13394	0.24444	-0.21183	-0.04447	0.21519	-0.11042	-0.02047	0.36614	-0.12267	0.08491	0.24641	-0.17514	-0.03978	0.40282	-0.15530	0.08470
14	0.19908	0.08141	-0.18676	0.05698	-0.06004	0.05633	0.28980	0.08404	-0.16375	0.04169	0.01122	0.05981	0.13102	-0.29684	-0.08940	0.25838	-0.20051	-0.04581	0.11677	-0.19868	-0.14373	0.22034	-0.17559	-0.04031	0.21464	-0.14288	-0.05506	0.33665	-0.12494	0.06771	0.18022	-0.14125	-0.03651	0.18072	-0.11142	-0.03301	0.32588	-0.10769	0.05313	0.34512	-0.25735	0.00450	0.14129	-0.18102	-0.09531	0.20813	-0.20823	-0.01695	0.27506	-0.18855	0.02249	0.08889	-0.18288	-0.13936	0.26704	-0.22577	-0.05027	0.23922	-0.12097	-0.02463	0.38231	-0.12586	0.08202	0.25804	-0.18705	-0.04693	0.42921	-0.16386	0.08800
15	0.20966	0.08169	-0.19553	0.05329	-0.06205	0.05600	0.29455	0.08768	-0.16745	0.04442	0.00988	0.06184	0.12928	-0.29220	-0.08398	0.27463	-0.21240	-0.05290	0.12460	-0.20952	-0.14914	0.21291	-0.17927	-0.04266	0.22358	-0.14963	-0.05275	0.34267	-0.12721	0.07166	0.18378	-0.14916	-0.03769	0.20565	-0.12719	-0.03442	0.33070	-0.10725	0.05128	0.34653	-0.26353	0.00508	0.15312	-0.19450	-0.09952	0.20235	-0.21274	-0.01668	0.28865	-0.20307	0.01509	0.09904	-0.19338	-0.14056	0.27549	-0.23155	-0.05388	0.25868	-0.12806	-0.02748	0.39123	-0.12423	0.07878	0.26746	-0.19418	-0.05284	0.43714	-0.16322	0.09097
16	0.21260	0.08234	-0.19900	0.04859	-0.06182	0.05469	0.28941	0.09105	-0.16454	0.04669	0.00956	0.06284	0.12002	-0.28025	-0.07708	0.27853	-0.21691	-0.05763	0.12301	-0.21443	-0.14967	0.19995	-0.17658	-0.04329	0.22083	-0.15126	-0.04733	0.33701	-0.12313	0.07504	0.17385	-0.14992	-0.03734	0.22566	-0.13983	-0.03429	0.32816	-0.10084	0.05004	0.33683	-0.26183	0.00618	0.15781	-0.20247	-0.10133	0.19033	-0.21006	-0.01491	0.29357	-0.21309	0.00844	0.10308	-0.19768	-0.13770	0.27210	-0.22993	-0.05496	0.27193	-0.13218	-0.02865	0.39350	-0.11840	0.07579	0.27328	-0.19703	-0.05677	0.43128	-0.15512	0.09328
