	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d
7	0.21415	0.08370	-0.07774	0.05615	-0.02325	0.04332	-0.00199	0.06067	-0.13224	0.05455	-0.03224	0.03106	0.00984	-0.11183	-0.05318	0.11855	-0.14171	-0.06254	-0.09083	-0.21351	-0.04734	0.24970	-0.05490	0.02320	0.04129	-0.09660	-0.04231	0.27421	-0.03660	-0.03040	0.03173	-0.10702	0.01388
8	0.28100	0.10166	-0.09797	0.06276	-0.02612	0.05127	0.07923	0.06282	-0.15596	0.05148	-0.03872	0.04007	0.09352	-0.14835	-0.06945	0.16598	-0.16931	-0.07250	-0.01322	-0.23069	-0.05064	0.31820	-0.07332	0.02893	0.12238	-0.12763	-0.05496	0.35882	-0.05129	-0.03480	0.11423	-0.11716	0.02017
9	0.34843	0.11911	-0.10852	0.06574	-0.02864	0.05689	0.17176	0.06332	-0.16850	0.05038	-0.04123	0.04951	0.18735	-0.17456	-0.08146	0.21549	-0.18316	-0.08036	0.07827	-0.23465	-0.05005	0.38438	-0.08319	0.03230	0.20834	-0.14965	-0.06390	0.44543	-0.05922	-0.03785	0.21307	-0.11514	0.03049
10	0.40322	0.13178	-0.10644	0.06615	-0.03300	0.05971	0.26223	0.06886	-0.16617	0.05336	-0.04114	0.05874	0.28229	-0.18382	-0.08985	0.25845	-0.18154	-0.08785	0.16082	-0.22570	-0.04780	0.43502	-0.08098	0.03060	0.29221	-0.15677	-0.07004	0.51620	-0.05681	-0.04175	0.31360	-0.09837	0.04312
11	0.44097	0.13817	-0.09083	0.06651	-0.04043	0.05999	0.33542	0.07985	-0.14818	0.05923	-0.04102	0.06688	0.36269	-0.17380	-0.09648	0.29201	-0.16623	-0.09626	0.21804	-0.20529	-0.04666	0.46598	-0.06581	0.02299	0.36396	-0.14672	-0.07546	0.56493	-0.04047	-0.04803	0.39698	-0.06690	0.05451
12	0.46425	0.13912	-0.06467	0.06860	-0.05057	0.05866	0.38657	0.09057	-0.11554	0.06588	-0.04324	0.07324	0.41912	-0.14548	-0.10335	0.31772	-0.14187	-0.10584	0.25300	-0.17409	-0.04854	0.48049	-0.04144	0.01098	0.41962	-0.12016	-0.08235	0.59454	-0.01069	-0.05685	0.45453	-0.02241	0.06127
13	0.47560	0.13675	-0.03375	0.07256	-0.06183	0.05704	0.42262	0.09713	-0.07071	0.07192	-0.04884	0.07757	0.45633	-0.10176	-0.11150	0.33549	-0.11407	-0.11603	0.27862	-0.13335	-0.05375	0.48260	-0.01424	-0.00232	0.46469	-0.07972	-0.09193	0.60872	0.02706	-0.06713	0.49086	0.03200	0.06181
14	0.47794	0.13399	-0.00359	0.07762	-0.07209	0.05640	0.45385	0.10093	-0.01797	0.07676	-0.05728	0.08004	0.48726	-0.04738	-0.12073	0.34438	-0.08736	-0.12583	0.30358	-0.08641	-0.06120	0.47708	0.01070	-0.01336	0.50821	-0.02964	-0.10394	0.61236	0.06589	-0.07707	0.51635	0.09154	0.05675
15	0.47591	0.13274	0.02194	0.08266	-0.07941	0.05757	0.48682	0.10488	0.03652	0.07984	-0.06698	0.08109	0.52200	0.01127	-0.13003	0.34677	-0.06458	-0.13417	0.33085	-0.03895	-0.06912	0.46897	0.03030	-0.01938	0.55548	0.02477	-0.11693	0.61199	0.10011	-0.08468	0.53897	0.14899	0.04815
16	0.47268	0.13241	0.04054	0.08641	-0.08262	0.06060	0.52244	0.10964	0.08570	0.08067	-0.07609	0.08120	0.56264	0.06736	-0.13819	0.34678	-0.04714	-0.14006	0.36083	0.00202	-0.07572	0.46050	0.04313	-0.01929	0.60506	0.07763	-0.12894	0.61077	0.12563	-0.08851	0.56121	0.19578	0.03850
