	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d
7	22.05093	0.38495	43.19095	0.98544	17.11004	2.30001	-0.68668	0.77507	25.18248	0.73524	48.41422	0.41335	15.06386	2.35336	0.35668	0.96490	21.90221	22.47981	42.32844	43.64933	14.16775	17.98488	-1.43290	-0.71338	25.78592	47.79765	11.74758	-0.83279	22.40691	43.56463	17.19300	-0.88945	25.78731	48.64563	15.88152	0.00590	22.28652	22.14349	44.10716	43.29025	18.30495	17.32531	0.11313	-0.88374	24.86274	48.55843	15.35736	0.94095	21.45182	21.68574	44.00195	41.39489	20.61215	14.18222	0.56225	-1.56266	24.29393	48.65518	17.26895	1.31265
8	22.35098	0.31811	42.78740	1.05470	17.87490	2.60975	-0.16861	1.06666	25.30779	0.70152	48.44918	0.41970	16.54736	2.21700	-0.44731	1.00957	22.32321	22.72785	41.74643	43.23895	14.34362	18.76148	-1.45188	-0.10192	25.88241	47.85140	13.39114	-1.72422	22.56297	43.21273	18.19908	-0.23973	25.89301	48.48817	16.95314	-0.74093	22.53003	22.46552	43.61754	42.86224	19.05152	18.06672	0.58375	-0.29505	24.98387	48.81060	17.27586	0.10592	21.85647	21.99084	43.87243	40.96149	21.93068	14.77119	1.64033	-1.31579	24.47185	48.64656	18.56930	0.56999
9	22.61519	0.25949	42.43180	1.08643	18.68126	2.80297	0.61336	1.30984	25.35718	0.66081	48.54475	0.47043	18.12130	2.05883	-1.15976	1.02026	22.70577	22.94695	41.18658	42.82175	14.62496	19.44581	-1.08783	0.73321	25.90133	48.00593	15.22410	-2.47258	22.65816	42.86612	19.19625	0.59686	25.91220	48.39844	18.13584	-1.40112	22.73832	22.73811	43.18405	42.54394	19.86566	18.95173	1.33831	0.56661	25.03320	49.12967	19.27320	-0.64087	22.27697	22.24206	43.71240	40.70776	23.04943	15.63501	2.86690	-0.72054	24.58200	48.64497	19.85206	-0.12448
10	22.84930	0.23895	42.15515	1.07020	19.49935	2.84919	1.53398	1.48357	25.33442	0.61381	48.69571	0.55602	19.71663	1.91402	-1.72753	1.01142	23.04074	23.14683	40.74557	42.42590	15.08202	20.01124	-0.44927	1.66613	25.84009	48.23339	17.12152	-3.05179	22.71487	42.53317	20.10575	1.50373	25.85621	48.39223	19.42512	-1.90042	22.91054	22.96877	42.86234	42.35555	20.74179	19.92958	2.23270	1.55211	25.01362	49.48383	21.20796	-1.26591	22.71964	22.44370	43.51667	40.64689	23.88418	16.74087	4.12716	0.10530	24.62774	48.67339	21.11190	-0.69202
11	23.06500	0.28175	41.92832	1.00634	20.23962	2.74973	2.42386	1.48888	25.25579	0.56105	48.86360	0.64627	21.25130	1.78965	-2.07168	1.00447	23.33049	23.34144	40.46639	42.03003	15.71508	20.39575	0.33409	2.56867	25.71025	48.48124	18.95266	-3.41029	22.76155	42.17897	20.81536	2.38283	25.74668	48.43252	20.75984	-2.14921	23.05297	23.17333	42.63652	42.23037	21.60424	20.85376	3.13893	2.53522	24.94122	49.81351	22.95526	-1.69995	23.18864	22.60660	43.25631	40.69966	24.36016	17.93299	4.96765	1.03960	24.62502	48.72714	22.33746	-1.02727
12	23.27539	0.37352	41.66729	0.90722	20.76621	2.53766	3.24597	1.44886	25.14566	0.50405	48.97262	0.72077	22.61828	1.67951	-2.12685	1.01875	23.58608	23.54392	40.30873	41.56706	16.42364	20.50686	1.15026	3.33690	25.53480	48.67356	20.57953	-3.49926	22.82538	41.74025	21.20965	3.17007	25.61077	48.42831	22.00984	-2.08779	23.17664	23.36957	42.41710	42.03642	22.30510	21.51858	3.96654	3.42315	24.84011	50.03351	24.40654	-1.87223	23.68188	22.74426	42.88311	40.71834	24.42371	18.97594	5.70009	1.97478	24.59696	48.75509	23.47719	-1.04812
13	23.49095	0.48702	41.26638	0.79777	20.94706	2.27041	3.95605	1.40448	25.03088	0.44622	48.92300	0.77696	23.68913	1.58316	-1.87644	1.06215	23.82075	23.76334	40.16200	40.95421	17.02862	20.25960	1.91542	3.91440	25.34315	48.71687	21.85942	-3.30509	22.92708	41.15316	21.21072	3.83838	25.47648	48.26019	23.00317	-1.71748	23.29353	23.57118	42.07553	41.63055	22.67596	21.74592	4.66246	4.15927	24.73592	50.04728	25.46491	-1.74762	24.19132	22.86942	42.34956	40.53967	24.06324	19.64534	6.37360	2.82880	24.56798	48.66767	24.42899	-0.73558
14	23.71792	0.60518	40.63969	0.71188	20.70949	2.01171	4.50366	1.31291	24.93612	0.39278	48.61833	0.82514	24.34243	1.51109	-1.35826	1.12747	24.04465	24.00378	39.89040	40.13027	17.34661	19.62368	2.57548	4.30011	25.16504	48.51445	22.66550	-2.85938	23.07893	40.37838	20.80722	4.39237	25.36896	47.81938	23.58126	-1.09602	23.41363	23.78534	41.49301	40.91321	22.60050	21.45914	5.20916	4.72766	24.65054	49.77184	26.05469	-1.34050	24.70655	22.99256	41.63351	40.03902	23.32305	19.80623	6.76669	3.55418	24.55993	48.36764	25.06828	-0.13714
15	23.95877	0.71872	39.75104	0.67976	20.06416	1.80628	4.91933	1.22582	24.88123	0.34987	47.99615	0.87709	24.50595	1.47759	-0.64428	1.20049	24.26396	24.26493	39.38120	39.08197	17.26371	18.64446	3.10841	4.53451	25.02561	47.99031	22.92196	-2.22623	23.28510	39.41612	20.05779	4.85699	25.30876	47.04565	23.65594	-0.30691	23.54403	24.01383	40.60128	39.86124	22.05679	20.69741	5.62186	5.14888	24.60003	49.16246	26.14489	-0.70485	25.21728	23.12227	40.74997	39.16547	22.29015	19.43880	7.02438	4.14028	24.59050	47.78617	25.30102	0.66087
16	24.21353	0.82243	38.62247	0.71079	19.08844	1.66533	5.23296	1.15220	24.88087	0.32347	47.04973	0.93357	24.18483	1.49029	0.18528	1.26886	24.48237	24.54288	38.57570	37.84862	16.76052	17.42369	3.52096	4.67181	24.94319	47.11454	22.63060	-1.47891	23.54292	38.30520	19.06564	5.26074	25.31154	45.95088	23.23710	0.56704	23.68950	24.25570	39.40276	38.53080	21.10984	19.57931	5.93508	5.46175	24.59550	48.22568	25.76687	0.08745	25.71498	23.26636	39.74475	37.94949	21.06315	18.61690	7.17658	4.60381	24.67326	46.90781	25.10474	1.56554
