	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d
7	0.67940	0.12955	0.05528	0.10720	-0.04736	0.07406	0.86092	0.14856	-0.11222	0.12541	-0.08495	0.03059	1.00627	-0.25167	-0.04856	0.55160	0.17266	-0.10605	0.72760	-0.01308	-0.10016	0.81064	-0.03743	0.03586	0.97161	-0.18451	-0.07289	0.67595	0.03061	-0.07189	0.73819	0.00039	-0.11821
8	0.60610	0.13799	0.16631	0.11755	-0.02792	0.08803	0.85625	0.14739	-0.01310	0.13197	-0.09246	0.02974	0.98942	-0.16366	-0.05672	0.46800	0.29585	-0.09871	0.70998	0.08446	-0.10573	0.74398	0.06644	0.07065	0.97671	-0.08318	-0.08193	0.60633	0.13663	-0.05570	0.74888	0.10999	-0.12546
9	0.50582	0.13912	0.27707	0.12445	0.00182	0.10543	0.81679	0.16089	0.09998	0.13727	-0.08984	0.02753	0.94946	-0.06010	-0.05602	0.37081	0.41302	-0.08499	0.63840	0.19547	-0.10183	0.64872	0.16876	0.11915	0.95624	0.03302	-0.08142	0.49793	0.24943	-0.02869	0.72307	0.23151	-0.12009
10	0.41676	0.13838	0.37138	0.13053	0.03960	0.12585	0.74791	0.18337	0.21918	0.14094	-0.07673	0.02319	0.88665	0.05214	-0.04705	0.28927	0.51067	-0.06690	0.53191	0.31214	-0.08758	0.56392	0.25186	0.17848	0.91299	0.15545	-0.07137	0.39708	0.35162	0.00721	0.66008	0.35697	-0.10092
11	0.37010	0.13962	0.43684	0.13748	0.08293	0.14809	0.67643	0.19972	0.33230	0.14178	-0.05368	0.01647	0.81758	0.16246	-0.03110	0.24608	0.57830	-0.04584	0.43894	0.42023	-0.06302	0.52132	0.30373	0.24475	0.86369	0.27233	-0.05227	0.34290	0.42849	0.04988	0.58550	0.47419	-0.06832
12	0.36144	0.14418	0.47003	0.14502	0.12967	0.17059	0.63053	0.20321	0.42647	0.13989	-0.02199	0.00850	0.76742	0.25761	-0.00968	0.23573	0.61239	-0.02248	0.39367	0.50680	-0.02918	0.51882	0.32248	0.31409	0.82890	0.37117	-0.02477	0.32977	0.47521	0.09738	0.53211	0.57029	-0.02436
13	0.36250	0.15107	0.47443	0.15247	0.17823	0.19193	0.61566	0.20177	0.49309	0.13747	0.01671	0.00782	0.74974	0.32601	0.01594	0.23322	0.61649	0.00306	0.38649	0.56686	0.01238	0.52857	0.31333	0.38339	0.81670	0.44232	0.01058	0.32569	0.49348	0.14824	0.50971	0.63716	0.02795
14	0.35139	0.15677	0.45535	0.15941	0.22750	0.21094	0.61470	0.20621	0.52940	0.13667	0.06096	0.01761	0.75655	0.36202	0.04482	0.21967	0.59726	0.03092	0.38324	0.60148	0.06010	0.52478	0.28287	0.45035	0.81740	0.48144	0.05326	0.30973	0.48592	0.20124	0.50162	0.67267	0.08566
15	0.32590	0.15752	0.41732	0.16539	0.27653	0.22678	0.60789	0.21790	0.53644	0.13735	0.10948	0.02896	0.76688	0.36700	0.07638	0.19600	0.56044	0.06126	0.36272	0.61185	0.11248	0.50111	0.23626	0.51329	0.81429	0.48917	0.10265	0.28058	0.45527	0.25505	0.48767	0.67773	0.14641
16	0.29357	0.15298	0.36490	0.16998	0.32438	0.23880	0.58618	0.22970	0.51731	0.13738	0.16100	0.04033	0.76160	0.34706	0.11016	0.17211	0.51043	0.09407	0.32612	0.59810	0.16790	0.46538	0.17808	0.57086	0.79628	0.46954	0.15764	0.24323	0.40619	0.30821	0.46073	0.65453	0.20830
17	0.26032	0.14645	0.30323	0.17300	0.37005	0.24668	0.55049	0.23549	0.47664	0.13469	0.21404	0.05126	0.73427	0.30970	0.14559	0.15350	0.45135	0.12902	0.28206	0.56205	0.22443	0.42727	0.11309	0.62201	0.76158	0.42816	0.21658	0.20020	0.34525	0.35913	0.42407	0.60667	0.26957
18	0.22866	0.14121	0.23725	0.17435	0.41273	0.25043	0.50620	0.23647	0.41987	0.12855	0.26688	0.06141	0.69214	0.26144	0.18180	0.14057	0.38716	0.16550	0.23446	0.50826	0.28000	0.39154	0.04592	0.66624	0.71591	0.37061	0.27724	0.15388	0.27866	0.40647	0.38228	0.53918	0.32850
19	0.19894	0.13829	0.17093	0.17403	0.45199	0.25046	0.45957	0.23704	0.35242	0.11936	0.31774	0.07056	0.64723	0.20744	0.21764	0.13113	0.32151	0.20282	0.18512	0.44216	0.33273	0.35804	-0.01961	0.70371	0.66767	0.30214	0.33715	0.10764	0.21088	0.44942	0.33827	0.45795	0.38342
