	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d
7	1.22795	1.43195	4.85140	1.40544	-7.29708	0.87219	2.30380	1.31895	1.24676	0.65194	-8.23009	1.40166	1.87769	1.87107	5.87181	5.57852	-6.04853	-7.38514	0.33465	0.72503	-9.88168	1.45982	4.22093	-7.65860	2.89273	1.52284	-7.27852	1.16100	0.98828	5.08180	6.30645	-6.78668	-7.70067	2.84904	2.03910	-8.88398	-1.68430	2.92211	2.07414	4.82617	-8.75827	-6.74169	3.13880	0.70008	-6.87617
8	2.04331	1.33341	5.56407	1.35526	-7.39262	0.61729	2.87706	1.34898	1.81350	0.64675	-8.19665	1.35613	2.51038	2.70980	6.47199	6.24172	-6.57578	-7.36346	0.87538	1.11604	-9.88550	2.28808	4.93534	-7.42604	3.46667	2.26468	-7.37798	1.95410	1.85415	5.77589	7.01136	-7.04165	-7.89060	3.35089	2.45361	-8.66052	-0.66270	3.64935	2.88125	5.63094	-8.44110	-7.00971	3.81532	1.41967	-6.86262
9	2.97588	1.22152	6.28485	1.29231	-7.22165	0.38441	3.54774	1.37322	2.41624	0.68379	-7.84681	1.27789	3.25914	3.67750	7.09525	6.93064	-6.92998	-7.11988	1.52493	1.55513	-9.53040	3.21528	5.68377	-6.92429	4.12401	3.00808	-7.13620	2.88202	2.83577	6.49817	7.66719	-7.03293	-7.69614	3.96518	2.92146	-8.09726	0.50537	4.45608	3.71302	6.40592	-7.84842	-6.99993	4.57686	2.18029	-6.62337
10	3.99442	1.10048	6.97938	1.20220	-6.73084	0.32168	4.31549	1.38558	3.02467	0.73367	-7.11236	1.17837	4.10563	4.73787	7.69809	7.61593	-6.97342	-6.62846	2.28845	2.03740	-8.74385	4.20768	6.42812	-6.15200	4.86173	3.70952	-6.48172	3.91332	3.89434	7.20230	8.23912	-6.65659	-7.05059	4.69823	3.42623	-7.16211	1.78385	5.31827	4.57211	7.10000	-7.03966	-6.61519	5.41354	2.92553	-6.06179
11	5.05604	0.97589	7.61940	1.08052	-5.94382	0.42634	5.17369	1.37858	3.61849	0.76976	-6.00058	1.05579	5.01844	5.84138	8.24001	8.26776	-6.62372	-5.91959	3.16709	2.55623	-7.51708	5.22392	7.13161	-5.18004	5.67156	4.35084	-5.44266	5.00213	4.98053	7.84882	8.70980	-5.89774	-6.01097	5.54793	3.95440	-5.89112	3.12182	6.20407	5.44796	7.68987	-6.11763	-5.85708	6.30817	3.61247	-5.15145
12	6.11112	0.85402	8.18613	0.93687	-4.96596	0.53055	6.10704	1.34474	4.18794	0.77933	-4.60014	0.90143	5.95795	6.93040	8.69936	8.85837	-5.88983	-5.07967	4.15439	3.10716	-5.92501	6.21874	7.76085	-4.13263	6.53816	4.93511	-4.14111	6.09508	6.04038	8.41557	9.08043	-4.85525	-4.75791	6.50121	4.49630	-4.38734	4.45833	7.07698	6.31059	8.17770	-5.20470	-4.84170	7.23439	4.21318	-3.94710
13	7.10937	0.73964	8.66912	0.78945	-3.95608	0.58672	7.09041	1.27875	4.73009	0.76126	-3.07091	0.71329	6.88207	7.94598	9.07396	9.36465	-4.88145	-4.23433	5.23301	3.68818	-4.13065	7.14731	8.28796	-3.15079	7.43820	5.47507	-2.76206	7.13828	7.02068	8.89620	9.36374	-3.71325	-3.53671	7.53281	5.04269	-2.80951	5.73209	7.89916	7.11857	8.57876	-4.41481	-3.76119	8.15764	4.71443	-2.58144
14	8.00493	0.63449	9.06412	0.65649	-3.07842	0.61308	8.08957	1.17989	5.24533	0.72313	-1.61611	0.50951	7.75048	8.83469	9.37246	9.77230	-3.78243	-3.51730	6.37315	4.29859	-2.36236	7.96854	8.69404	-2.35723	8.34098	5.98225	-1.51211	8.08232	7.87305	9.29355	9.57481	-2.67936	-2.57085	8.60527	5.58197	-1.34414	6.89087	8.63455	7.83345	8.90822	-3.82702	-2.81473	9.03888	5.11851	-1.24581
15	8.75984	0.53877	9.37179	0.55118	-2.45710	0.64059	9.06359	1.05430	5.73446	0.67929	-0.43446	0.34505	8.52652	9.55376	9.60528	10.07709	-2.79644	-3.03198	7.53325	4.93589	-0.85731	8.64814	8.97425	-1.83050	9.21047	6.45987	-0.57481	8.88562	8.55777	9.61413	9.72707	-1.92252	-1.99669	9.67122	6.10096	-0.15995	7.89591	9.25115	8.42863	9.17607	-3.47257	-2.14903	9.83942	5.44111	-0.14579
16	9.34617	0.45461	9.59766	0.47890	-2.15049	0.67751	9.96867	0.91651	6.19731	0.64746	0.33407	0.32498	9.17806	10.07417	9.78016	10.28209	-2.08657	-2.82300	8.66286	5.59199	0.20658	9.16103	9.14055	-1.59559	10.00831	6.90206	-0.06488	9.51618	9.04700	9.86538	9.83176	-1.53472	-1.84300	10.67814	6.58895	0.63508	8.72390	9.72286	8.89346	9.39024	-3.33961	-1.83092	10.52536	5.70624	0.55949
