	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d
7	0.06935	0.03498	-0.01099	0.03509	-0.01684	0.03125	-0.01662	0.07134	0.04134	0.02752	-0.00329	0.01431	0.03231	0.06680	0.01003	0.07209	0.02943	0.01729	-0.11943	0.04012	-0.01249	0.03307	-0.03369	-0.04407	0.03094	0.05499	0.00776	0.10288	-0.02870	-0.02372	-0.01029	0.00345	-0.01846
8	0.09919	0.03965	-0.02914	0.03647	-0.02782	0.03143	0.04396	0.07844	0.03009	0.03049	-0.01123	0.01544	0.10408	0.05795	0.00381	0.09511	0.01287	0.00622	-0.06426	0.03053	-0.02127	0.06175	-0.05273	-0.05573	0.09944	0.04433	-0.00003	0.14072	-0.04756	-0.03394	0.03658	-0.01245	-0.02744
9	0.14088	0.04762	-0.04780	0.03727	-0.03977	0.03038	0.11421	0.07987	0.01406	0.03257	-0.02243	0.01537	0.18146	0.04355	-0.00654	0.12571	-0.00486	-0.00733	0.00736	0.01583	-0.03317	0.10270	-0.07172	-0.06754	0.16875	0.02860	-0.01220	0.19424	-0.06682	-0.04446	0.09927	-0.03174	-0.03780
10	0.18113	0.05736	-0.06451	0.03736	-0.05170	0.02848	0.18281	0.08090	-0.00542	0.03356	-0.03596	0.01430	0.25626	0.02434	-0.02007	0.15455	-0.02143	-0.02193	0.07525	-0.00168	-0.04734	0.14187	-0.08803	-0.07870	0.23218	0.00880	-0.02768	0.24696	-0.08408	-0.05447	0.16756	-0.05314	-0.04873
11	0.20852	0.06641	-0.07839	0.03686	-0.06262	0.02610	0.23384	0.08413	-0.02602	0.03340	-0.05032	0.01276	0.31279	0.00251	-0.03508	0.17396	-0.03587	-0.03628	0.12020	-0.01923	-0.06252	0.16652	-0.10100	-0.08848	0.27845	-0.01315	-0.04466	0.28509	-0.09832	-0.06310	0.22392	-0.07420	-0.05900
12	0.21975	0.07367	-0.09009	0.03600	-0.07190	0.02355	0.25984	0.08732	-0.04619	0.03230	-0.06395	0.01162	0.34098	-0.01964	-0.04971	0.18251	-0.04854	-0.04952	0.13932	-0.03616	-0.07744	0.17213	-0.11165	-0.09648	0.30179	-0.03570	-0.06118	0.30461	-0.11008	-0.06972	0.25728	-0.09325	-0.06748
13	0.21721	0.07910	-0.10044	0.03488	-0.07923	0.02116	0.26557	0.08791	-0.06618	0.03042	-0.07564	0.01177	0.34432	-0.04137	-0.06245	0.18185	-0.06017	-0.06110	0.14198	-0.05405	-0.09102	0.16195	-0.12098	-0.10248	0.30671	-0.05887	-0.07568	0.30782	-0.12017	-0.07410	0.26926	-0.11045	-0.07343
14	0.20585	0.08266	-0.10964	0.03334	-0.08435	0.01908	0.26122	0.08630	-0.08704	0.02773	-0.08462	0.01342	0.33440	-0.06348	-0.07245	0.17373	-0.07114	-0.07064	0.13801	-0.07438	-0.10244	0.14407	-0.12898	-0.10615	0.30294	-0.08353	-0.08723	0.29975	-0.12879	-0.07627	0.26954	-0.12678	-0.07636
15	0.19060	0.08446	-0.11723	0.03099	-0.08715	0.01738	0.25522	0.08425	-0.10876	0.02427	-0.09055	0.01608	0.32179	-0.08637	-0.07944	0.16003	-0.08144	-0.07799	0.13338	-0.09673	-0.11117	0.12570	-0.13481	-0.10720	0.29851	-0.10968	-0.09536	0.28609	-0.13543	-0.07627	0.26722	-0.14224	-0.07626
16	0.17431	0.08501	-0.12230	0.02738	-0.08772	0.01617	0.25158	0.08252	-0.12945	0.02033	-0.09357	0.01910	0.31220	-0.10871	-0.08358	0.14293	-0.09070	-0.08317	0.13110	-0.11865	-0.11712	0.10945	-0.13722	-0.10568	0.29642	-0.13536	-0.09998	0.27055	-0.13899	-0.07431	0.26660	-0.15509	-0.07360
