	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_4.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_4.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_4.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d
7	3.00913	1.73506	7.00295	2.71670	-1.36956	1.94643	4.58551	1.72949	-6.17261	2.88063	-1.64008	0.65091	4.61252	7.34025	-0.04401	2.00870	-7.75428	-1.72250	3.14995	7.07217	1.09857	4.33699	-8.07897	-1.17646	1.59582	-0.33280	8.67453	0.68521	0.25454	-5.41644	7.46389	-1.31731	-2.74103	6.76301	-4.85271	-2.03085	4.23969	-7.57225	-1.44730	3.14843	8.45493	-2.79324	4.45476	-3.70944	-1.60910	3.21832	8.45246	-0.48460	3.10938	-5.70633	-1.87931	5.62618	7.87465	0.01014	3.32293	-10.50866	-0.47234	1.34288	4.38001	-1.39168	6.26049	-8.95723	-1.04180	4.16817	10.41530	-2.71152	3.56183	6.68004	-2.21738	3.89527	-3.26892	-2.28015
8	3.31009	1.76169	7.55275	2.61351	-1.48577	2.11159	4.81854	1.73559	-5.59531	2.89419	-1.63102	0.74500	5.05542	7.93356	0.20389	2.17467	-7.33116	-1.77530	3.35716	7.57519	1.28580	4.39301	-7.47846	-1.05665	1.73941	0.05484	9.04653	1.46653	0.02815	-5.76618	7.61001	-0.73230	-3.13609	7.15245	-4.30619	-1.73297	4.72827	-7.21555	-1.16118	3.42392	9.14674	-3.33676	4.71924	-3.34989	-1.32030	3.61418	8.91962	-0.72813	3.44811	-4.71050	-2.35235	5.91018	8.39748	0.11050	3.49744	-9.89209	-0.51029	1.53957	4.91852	-1.50622	6.39682	-8.34704	-1.26163	4.53803	10.71079	-2.74773	3.86825	7.41252	-2.40101	4.06534	-2.58990	-2.00348
9	3.65776	1.77859	8.14023	2.49861	-1.37977	2.24967	5.11957	1.75068	-4.91508	2.85731	-1.50346	0.88586	5.51357	8.55960	0.72671	2.41229	-6.79987	-1.61651	3.59246	8.11403	1.64642	4.53927	-6.62683	-1.06484	1.94104	0.53420	9.46272	2.32535	-0.04444	-5.79965	7.82409	-0.13973	-3.36705	7.60820	-3.67580	-1.10720	5.28241	-6.66262	-0.74732	3.72595	9.77082	-3.59790	5.02990	-2.92447	-0.90745	4.08688	9.40352	-0.68439	3.82309	-3.74391	-2.64702	6.21760	9.00750	0.32363	3.76499	-9.05707	-0.58667	1.77396	5.53553	-1.46844	6.60324	-7.68118	-1.21935	4.96177	11.08265	-2.57766	4.23012	8.14058	-2.32194	4.30816	-1.83934	-1.77121
10	4.04630	1.78441	8.73629	2.37082	-1.00837	2.33495	5.48693	1.77385	-4.13168	2.76424	-1.21510	1.05435	5.97674	9.19855	1.47631	2.71385	-6.16594	-1.19662	3.85322	8.67436	2.18750	4.77031	-5.54224	-1.22728	2.20081	1.11049	9.89037	3.22114	0.12066	-5.46645	8.10760	0.45075	-3.34386	8.12496	-2.95673	-0.13851	5.88558	-5.89671	-0.17457	4.05000	10.29102	-3.47559	5.38904	-2.41800	-0.36939	4.62940	9.88265	-0.28214	4.23363	-2.81600	-2.63399	6.53688	9.67312	0.66468	4.12395	-8.00278	-0.66400	2.03367	6.21531	-1.27965	6.88754	-6.93838	-0.88641	5.43340	11.50226	-2.11343	4.63843	8.81413	-1.91556	4.63278	-1.03072	-1.51637
11	4.45884	1.77988	9.31393	2.23285	-0.38323	2.34682	5.90856	1.80481	-3.24530	2.62341	-0.77487	1.26805	6.42501	9.82990	2.34321	3.06148	-5.42545	-0.54765	4.12599	9.23019	2.86938	5.06676	-4.28365	-1.52542	2.50954	1.77160	10.30337	4.11659	0.58438	-4.75629	8.45547	1.04321	-3.02927	8.69028	-2.13726	1.08634	6.51300	-4.91192	0.53719	4.38465	10.68515	-2.94253	5.79090	-1.81130	0.24341	5.21853	10.34703	0.46342	4.67094	-1.91447	-2.25000	6.84739	10.35565	1.12603	4.55891	-6.75419	-0.71970	2.29744	6.93150	-0.95698	7.24306	-6.09092	-0.34001	5.93381	11.93874	-1.34446	5.07446	9.40118	-1.21845	5.03479	-0.16709	-1.20355
12	4.86904	1.76798	9.84628	2.09202	0.41384	2.27341	6.36098	1.84391	-2.27182	2.45359	-0.24242	1.52154	6.83070	10.42182	3.17295	3.42805	-4.58741	0.23111	4.38828	9.74773	3.58656	5.39775	-2.94818	-1.89384	2.84877	2.48723	10.68371	4.97714	1.34265	-3.72783	8.85434	1.64713	-2.45412	9.28311	-1.21514	2.38910	7.12982	-3.73539	1.30033	4.71299	10.94694	-2.06389	6.21883	-1.09997	0.83636	5.81742	10.79064	1.43442	5.11653	-1.02106	-1.52795	7.12291	11.00977	1.65185	5.04061	-5.36938	-0.73965	2.53742	7.64085	-0.54678	7.64818	-5.12697	0.27441	6.43248	12.35940	-0.35657	5.51217	9.88485	-0.35495	5.49259	0.73820	-0.83992
13	5.24527	1.75364	10.30653	1.95811	1.24371	2.11719	6.81210	1.89090	-1.25109	2.27778	0.29815	1.76507	7.16293	10.92976	3.79980	3.78192	-3.68886	1.01332	4.61339	10.19555	4.17798	5.72737	-1.65442	-2.23276	3.19176	3.21303	11.02125	5.77105	2.29921	-2.52090	9.28230	2.26705	-1.70620	9.87400	-0.21231	3.55360	7.69371	-2.43795	1.98484	5.01523	11.09007	-0.98219	6.64663	-0.30436	1.31077	6.38163	11.19951	2.44172	5.54409	-0.12694	-0.58995	7.33700	11.59130	2.14179	5.53144	-3.93497	-0.70926	2.72306	8.28239	-0.12723	8.06979	-4.06890	0.81275	6.89297	12.72806	0.69574	5.92171	10.25632	0.51124	5.96981	1.65078	-0.45557
14	5.55640	1.74246	10.67164	1.83904	1.94907	1.90195	7.22710	1.94437	-0.24679	2.11867	0.77009	1.93321	7.39420	11.30846	4.09234	4.09214	-2.79514	1.68555	4.77626	10.55246	4.47402	6.02336	-0.51960	-2.43977	3.50750	3.89834	11.31260	6.47207	3.27788	-1.33545	9.71156	2.89053	-0.90023	10.42858	0.82067	4.39727	8.16327	-1.13078	2.47107	5.27178	11.14663	0.12125	7.04401	0.52834	1.60552	6.86672	11.54609	3.28753	5.92394	0.75539	0.39099	7.46858	12.06791	2.48471	5.99177	-2.55305	-0.61580	2.82653	8.78996	0.21525	8.46992	-2.98368	1.18485	7.27990	13.00943	1.64065	6.27419	10.51079	1.23249	6.42244	2.51943	-0.07856
15	5.77720	1.73901	10.92978	1.73894	2.40029	1.67291	7.57482	2.00227	0.66495	1.99480	1.11949	1.97959	7.50588	11.53186	3.98977	4.33194	-1.98420	2.16790	4.85783	10.81258	4.36100	6.26368	0.36537	-2.45693	3.76611	4.49496	11.55745	7.06161	4.07535	-0.38446	10.11273	3.48127	-0.15009	10.91351	1.81724	4.81640	8.50892	0.05810	2.68944	5.46654	11.15754	1.06785	7.38328	1.33259	1.70782	7.23540	11.79814	3.82561	6.22804	1.58756	1.24332	7.50565	12.42728	2.59837	6.38525	-1.32283	-0.46053	2.82819	9.11701	0.41564	8.81281	-1.97237	1.36498	7.56506	13.18164	2.33696	6.54632	10.65271	1.71686	6.80804	3.28674	0.27258
16	5.89174	1.74520	11.08686	1.66119	2.52590	1.48106	7.83266	2.06261	1.41702	1.91639	1.31356	1.89228	7.49017	11.60707	3.50595	4.48182	-1.32039	2.41341	4.84663	10.98780	3.82275	6.43823	0.95412	-2.29912	3.94326	4.96433	11.75520	7.52721	4.52480	0.16269	10.45921	3.98586	0.44776	11.30209	2.71746	4.78780	8.71973	1.02674	2.62625	5.58906	11.16079	1.71743	7.64425	2.04433	1.63729	7.46252	11.93820	3.99057	6.43410	2.31619	1.83757	7.44610	12.67974	2.45273	6.68298	-0.32136	-0.26653	2.72058	9.25848	0.44310	9.07117	-1.13396	1.37424	7.73154	13.25029	2.70135	6.72320	10.70383	1.93769	7.09300	3.90124	0.57694
