	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d
7	-0.00628	0.05740	-0.00304	0.02033	-0.06537	0.03587	-0.00310	0.07088	-0.01330	0.02208	-0.01107	0.02914	-0.10164	0.00340	-0.02119	-0.03664	-0.01157	-0.08752	-0.04965	0.01062	-0.01999	-0.07674	-0.03625	-0.11545	-0.06493	-0.01861	-0.02373	0.02619	-0.02888	0.00468	-0.03277	-0.01972	-0.02339	0.02029	0.02688	-0.04651	0.11235	0.00322	0.04294	0.10417	0.00233	-0.02465	0.03053	-0.00048	-0.01473	-0.07591	-0.01380	-0.03058	-0.00304	0.02107	-0.05288	0.06045	0.01907	0.03577	-0.04440	-0.01316	-0.09062	0.04744	-0.04414	-0.03760
8	0.00419	0.05923	-0.02024	0.02215	-0.07940	0.04063	0.02815	0.07651	-0.04041	0.03054	-0.01758	0.03283	-0.07549	-0.01606	-0.02725	-0.02163	-0.03006	-0.10518	-0.02088	-0.00951	-0.03033	-0.07195	-0.05331	-0.13389	-0.02172	-0.05454	-0.02980	0.06351	-0.05535	0.00049	-0.01360	-0.04683	-0.03671	0.02625	0.00962	-0.05853	0.14823	-0.01563	0.04340	0.11205	-0.00709	-0.03460	0.05482	-0.01782	-0.01925	-0.06409	-0.03286	-0.04021	0.00803	0.00687	-0.06664	0.10016	-0.00119	0.03554	-0.03701	-0.03507	-0.10854	0.08270	-0.08609	-0.04544
9	0.02783	0.07031	-0.04365	0.02401	-0.09314	0.04504	0.07571	0.08192	-0.07242	0.03985	-0.02567	0.03609	-0.03816	-0.03972	-0.03476	0.00178	-0.04830	-0.12210	0.02406	-0.03400	-0.04257	-0.06307	-0.07177	-0.15140	0.04218	-0.09935	-0.03538	0.11013	-0.08566	-0.00576	0.02611	-0.07953	-0.05353	0.04043	-0.01083	-0.06922	0.19225	-0.03771	0.04124	0.16265	-0.05777	-0.04480	0.08650	-0.03592	-0.02422	-0.03377	-0.05414	-0.05211	0.02681	-0.00620	-0.08127	0.15374	-0.02830	0.03258	-0.01625	-0.05921	-0.12607	0.14029	-0.13288	-0.05320
10	0.05773	0.07696	-0.06473	0.02754	-0.10553	0.04918	0.13635	0.08540	-0.10716	0.04920	-0.03470	0.03919	0.00916	-0.06512	-0.04317	0.02949	-0.06590	-0.13766	0.08412	-0.06227	-0.05542	-0.04446	-0.09145	-0.16733	0.12528	-0.15014	-0.03968	0.16558	-0.11868	-0.01344	0.08534	-0.11618	-0.07346	0.06500	-0.03323	-0.07748	0.23996	-0.06152	0.03716	0.20432	-0.08903	-0.05325	0.12707	-0.05316	-0.02914	0.01483	-0.07672	-0.06588	0.05260	-0.01810	-0.09581	0.21482	-0.06015	0.02767	0.01390	-0.08348	-0.14178	0.21218	-0.18039	-0.06038
11	0.08751	0.07844	-0.08216	0.02887	-0.11533	0.05300	0.19737	0.08631	-0.14108	0.05789	-0.04370	0.04248	0.05836	-0.08951	-0.05167	0.05559	-0.08309	-0.15079	0.14642	-0.09110	-0.06723	-0.01764	-0.11182	-0.18084	0.21240	-0.20138	-0.04183	0.22103	-0.15216	-0.02159	0.15160	-0.15405	-0.09544	0.09405	-0.05542	-0.08226	0.28236	-0.08458	0.03212	0.22932	-0.09785	-0.05846	0.17087	-0.06888	-0.03323	0.07097	-0.09816	-0.08042	0.08048	-0.02973	-0.10885	0.26951	-0.09238	0.02203	0.04369	-0.10525	-0.15410	0.28054	-0.22374	-0.06649
12	0.11567	0.08423	-0.10050	0.03151	-0.12158	0.05638	0.24750	0.08511	-0.17022	0.06538	-0.05155	0.04608	0.10140	-0.11037	-0.05930	0.07678	-0.10050	-0.16058	0.19893	-0.11597	-0.07648	0.01081	-0.13208	-0.19100	0.28536	-0.24588	-0.04138	0.26592	-0.18243	-0.02907	0.21161	-0.18935	-0.11745	0.11979	-0.07538	-0.08299	0.31467	-0.10388	0.02722	0.26759	-0.12455	-0.06029	0.21120	-0.08254	-0.03540	0.12265	-0.11569	-0.09415	0.10627	-0.04235	-0.11885	0.30867	-0.12021	0.01704	0.06647	-0.12328	-0.16177	0.33293	-0.25920	-0.07097
13	0.13657	0.08767	-0.11636	0.03280	-0.12383	0.05921	0.28421	0.08249	-0.19170	0.07112	-0.05725	0.04976	0.13574	-0.12580	-0.06515	0.09231	-0.11798	-0.16676	0.23881	-0.13365	-0.08216	0.03500	-0.15160	-0.19719	0.33659	-0.27770	-0.03877	0.29727	-0.20601	-0.03488	0.26036	-0.21870	-0.13698	0.13825	-0.09221	-0.07981	0.33838	-0.11677	0.02343	0.29061	-0.14225	-0.05896	0.24479	-0.09403	-0.03486	0.16507	-0.12828	-0.10538	0.12817	-0.05650	-0.12467	0.33369	-0.14085	0.01391	0.08174	-0.13814	-0.16417	0.36811	-0.28461	-0.07327
14	0.15089	0.09041	-0.13019	0.03368	-0.12220	0.06158	0.31046	0.07918	-0.20398	0.07451	-0.06019	0.05296	0.16205	-0.13453	-0.06865	0.10204	-0.13394	-0.16993	0.26849	-0.14271	-0.08382	0.05190	-0.16973	-0.19943	0.36918	-0.29368	-0.03536	0.31914	-0.22091	-0.03840	0.29901	-0.24000	-0.15178	0.15007	-0.10594	-0.07346	0.35660	-0.12180	0.02141	0.30455	-0.15642	-0.05443	0.27068	-0.10291	-0.03145	0.19881	-0.13635	-0.11261	0.14465	-0.07107	-0.12591	0.35045	-0.15304	0.01329	0.09161	-0.15074	-0.16149	0.39044	-0.29840	-0.07298
15	0.15870	0.09164	-0.14078	0.03442	-0.11752	0.06352	0.32828	0.07616	-0.20648	0.07519	-0.06020	0.05508	0.17936	-0.13577	-0.06964	0.10595	-0.14630	-0.17121	0.28913	-0.14291	-0.08151	0.06098	-0.18543	-0.19843	0.38771	-0.29301	-0.03264	0.33546	-0.22679	-0.03949	0.32719	-0.25183	-0.16044	0.15753	-0.11654	-0.06510	0.37006	-0.11906	0.02139	0.30836	-0.16397	-0.04785	0.28749	-0.10817	-0.02563	0.22473	-0.14060	-0.11487	0.15389	-0.08370	-0.12285	0.36228	-0.15570	0.01524	0.09770	-0.16106	-0.15455	0.40341	-0.29956	-0.07002
16	0.16073	0.09113	-0.14711	0.03549	-0.11093	0.06507	0.33674	0.07415	-0.19952	0.07335	-0.05750	0.05581	0.18524	-0.12965	-0.06830	0.10488	-0.15393	-0.17170	0.29881	-0.13471	-0.07594	0.06344	-0.19744	-0.19534	0.39312	-0.27683	-0.03152	0.34636	-0.22438	-0.03832	0.34146	-0.25350	-0.16245	0.16242	-0.12358	-0.05609	0.37706	-0.10982	0.02331	0.30402	-0.16461	-0.04058	0.29410	-0.10877	-0.01832	0.24135	-0.14118	-0.11195	0.15555	-0.09218	-0.11633	0.36886	-0.14844	0.01943	0.10073	-0.16820	-0.14455	0.40758	-0.28831	-0.06463
