	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d
7	0.12054	0.07755	-0.14936	0.06082	-0.00568	0.04199	-0.09075	0.10992	-0.03963	0.07047	-0.04643	0.05515	-0.24276	-0.13078	-0.07328	0.10564	-0.18092	-0.07540	-0.22096	-0.11431	-0.12915	0.13911	-0.20505	-0.06795	-0.07517	-0.07895	0.01777	-0.00269	0.04662	-0.03578	-0.07764	-0.06260	-0.13507	0.10939	-0.18115	0.01889	0.04669	0.09287	0.01324	0.28081	-0.06397	0.00007	0.16841	-0.04562	0.00782	-0.20521	-0.07183	-0.07156	0.05065	-0.14578	0.01233	-0.16369	0.01188	0.00771	0.05516	-0.18621	0.02940	0.01697	-0.04461	-0.02911
8	0.18943	0.08703	-0.14914	0.06887	-0.00267	0.04928	-0.00807	0.12258	-0.00335	0.07424	-0.05167	0.06830	-0.16887	-0.10276	-0.07341	0.17532	-0.17642	-0.08195	-0.15652	-0.09211	-0.13945	0.19887	-0.21363	-0.07567	0.04990	-0.01681	0.06325	0.08467	0.08141	-0.04728	-0.01075	-0.03334	-0.16468	0.17510	-0.18279	0.02863	0.11641	0.13058	0.00632	0.36614	-0.07065	0.00205	0.25599	-0.01696	0.01035	-0.15574	-0.05894	-0.08792	0.10636	-0.15036	0.01079	-0.08010	0.04505	0.00025	0.11884	-0.19117	0.04224	0.12015	0.00669	-0.03690
9	0.27076	0.09692	-0.13342	0.08709	-0.00323	0.05541	0.09827	0.13992	0.04015	0.08266	-0.05400	0.08482	-0.07909	-0.06567	-0.06700	0.25168	-0.16461	-0.09229	-0.06506	-0.07021	-0.14198	0.26705	-0.21369	-0.08212	0.20833	0.05969	0.12078	0.18178	0.12626	-0.05808	0.08031	0.00717	-0.19006	0.25746	-0.17078	0.03592	0.20074	0.17334	-0.00108	0.46657	-0.00665	-0.00134	0.35260	0.01558	0.00966	-0.08440	-0.04903	-0.10474	0.16835	-0.15515	0.00537	0.02785	0.08582	-0.00649	0.20120	-0.18604	0.04950	0.25610	0.06705	-0.04570
10	0.35802	0.10759	-0.11332	0.09790	-0.00904	0.06007	0.22042	0.15936	0.08871	0.09658	-0.05524	0.10361	0.01986	-0.01842	-0.05726	0.32720	-0.14708	-0.10736	0.05350	-0.05063	-0.13792	0.34549	-0.20180	-0.09090	0.38992	0.14639	0.18315	0.28783	0.18512	-0.06880	0.18967	0.05635	-0.21152	0.35236	-0.14375	0.03789	0.29204	0.21877	-0.00981	0.57074	0.03590	-0.00821	0.45601	0.04913	0.00469	0.00704	-0.04240	-0.12265	0.23244	-0.15744	-0.00415	0.14830	0.13346	-0.01377	0.28994	-0.17075	0.04786	0.40802	0.12920	-0.05690
11	0.44081	0.11751	-0.09019	0.10026	-0.02017	0.06324	0.34093	0.17737	0.13740	0.11497	-0.05788	0.12230	0.11543	0.03593	-0.04881	0.39725	-0.12556	-0.12613	0.18201	-0.03741	-0.13062	0.42939	-0.17764	-0.10447	0.56890	0.23484	0.24027	0.39413	0.25592	-0.08076	0.30189	0.10904	-0.23042	0.44709	-0.10438	0.03335	0.37852	0.26182	-0.02073	0.66290	0.05371	-0.01716	0.55684	0.08239	-0.00455	0.10598	-0.04025	-0.14223	0.29349	-0.15493	-0.01636	0.26151	0.18251	-0.02316	0.36974	-0.14756	0.03697	0.55046	0.18582	-0.07118
12	0.51409	0.12746	-0.05789	0.10840	-0.03498	0.06526	0.44506	0.19118	0.18103	0.13528	-0.06388	0.13801	0.19761	0.09073	-0.04571	0.46163	-0.10186	-0.14599	0.30179	-0.03135	-0.12381	0.51078	-0.14367	-0.12298	0.71844	0.31497	0.28218	0.48926	0.32977	-0.09490	0.40263	0.15818	-0.24851	0.53025	-0.05718	0.02331	0.45384	0.29711	-0.03391	0.74307	0.11005	-0.02819	0.64967	0.11380	-0.01637	0.19775	-0.04225	-0.16296	0.34984	-0.14627	-0.02842	0.35392	0.22643	-0.03530	0.43374	-0.11898	0.01940	0.66770	0.23338	-0.08792
13	0.57633	0.13602	-0.02447	0.11315	-0.05007	0.06673	0.52908	0.19943	0.21657	0.15342	-0.07353	0.14845	0.26383	0.13810	-0.04990	0.52026	-0.07908	-0.16358	0.40344	-0.02765	-0.11986	0.58377	-0.10387	-0.14426	0.82768	0.37933	0.30303	0.56917	0.39513	-0.11076	0.48796	0.19759	-0.26646	0.59736	-0.00658	0.01059	0.51798	0.32130	-0.04842	0.80780	0.15697	-0.03707	0.73272	0.14230	-0.02796	0.27672	-0.04437	-0.18284	0.40106	-0.13154	-0.03729	0.42722	0.26186	-0.04916	0.48382	-0.08696	-0.00049	0.75838	0.27220	-0.10549
14	0.62722	0.14301	0.00805	0.11668	-0.06205	0.06823	0.59483	0.20216	0.24278	0.16512	-0.08536	0.15266	0.31484	0.17106	-0.06046	0.57043	-0.06165	-0.17582	0.48266	-0.01982	-0.11936	0.64511	-0.06355	-0.16471	0.89938	0.42323	0.30275	0.63639	0.44262	-0.12621	0.56015	0.22363	-0.28308	0.64967	0.04319	-0.00115	0.57143	0.33353	-0.06262	0.85689	0.19974	-0.04106	0.80428	0.16662	-0.03633	0.34376	-0.04141	-0.19894	0.44388	-0.11264	-0.04108	0.48881	0.28799	-0.06240	0.52375	-0.05368	-0.01812	0.82542	0.30349	-0.12163
15	0.66571	0.14824	0.03563	0.11822	-0.06835	0.06998	0.64192	0.20028	0.25866	0.16801	-0.09667	0.15087	0.34847	0.18449	-0.07396	0.60904	-0.05323	-0.18072	0.53510	-0.00528	-0.12157	0.69333	-0.02847	-0.18042	0.93710	0.44295	0.28554	0.69262	0.46741	-0.13829	0.61799	0.23426	-0.29555	0.68949	0.08767	-0.00858	0.61198	0.33454	-0.07447	0.88920	0.22997	-0.03849	0.86081	0.18512	-0.03931	0.39884	-0.03033	-0.20845	0.47414	-0.09252	-0.03945	0.53981	0.30411	-0.07223	0.55485	-0.02174	-0.02991	0.86862	0.32724	-0.13388
16	0.69115	0.15151	0.05560	0.11807	-0.06787	0.07163	0.66721	0.19512	0.26286	0.16249	-0.10456	0.14385	0.36088	0.17652	-0.08570	0.63576	-0.05457	-0.17775	0.55681	0.01250	-0.12458	0.72851	-0.00318	-0.18832	0.94078	0.43577	0.25700	0.73612	0.46880	-0.14418	0.65652	0.22904	-0.30049	0.71809	0.12261	-0.00962	0.63628	0.32566	-0.08202	0.90445	0.24528	-0.02962	0.89934	0.19639	-0.03609	0.43873	-0.01204	-0.20938	0.49054	-0.07410	-0.03337	0.57503	0.30943	-0.07643	0.57624	0.00621	-0.03408	0.88547	0.34146	-0.13992
