	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d
7	0.63755	0.23055	0.05805	0.10838	0.79042	0.13705	0.32591	0.19246	0.14875	0.07044	0.78316	0.14469	0.73358	0.00716	0.86575	0.39066	0.02312	0.74533	0.40071	0.10157	0.57747	0.57788	0.17408	0.90520	0.92320	-0.11108	0.99218	0.18500	0.16439	0.92956	0.51023	0.14156	0.65916	0.37722	0.17905	0.70482	0.72362	0.01964	0.80613	0.09184	0.24239	0.94510	0.33603	0.15819	0.59066	0.12505	0.19410	0.72029	0.73165	0.09536	0.78295
8	0.64200	0.22893	0.12288	0.11456	0.86312	0.16397	0.29320	0.20397	0.20252	0.07960	0.90016	0.15207	0.73433	0.05519	0.94219	0.39071	0.05233	0.84258	0.38504	0.15154	0.68380	0.54131	0.25950	1.03486	0.94172	-0.05197	1.10424	0.14698	0.21731	1.05678	0.47590	0.20324	0.77861	0.39499	0.25096	0.74687	0.71168	0.09337	0.90062	0.01720	0.29044	1.06572	0.34128	0.23243	0.62846	0.09525	0.24327	0.83879	0.72799	0.15729	0.85633
9	0.65631	0.22183	0.16573	0.11744	0.91002	0.18659	0.26638	0.21049	0.23085	0.08526	0.99748	0.15393	0.74146	0.08303	0.99637	0.39389	0.06706	0.92435	0.37130	0.18119	0.78044	0.50110	0.31519	1.14652	0.96187	-0.01365	1.17888	0.11791	0.24747	1.15712	0.44413	0.22960	0.87986	0.43545	0.28303	0.75784	0.71037	0.15128	0.96993	-0.03940	0.30294	1.15489	0.35908	0.28594	0.65007	0.07576	0.27250	0.93920	0.72962	0.20476	0.90705
10	0.67815	0.21225	0.18175	0.11974	0.93290	0.20179	0.24708	0.21183	0.22713	0.08659	1.06886	0.15032	0.75237	0.08826	1.02904	0.40021	0.06263	0.98781	0.36204	0.18389	0.86142	0.46070	0.33079	1.23198	0.98354	-0.00427	1.21449	0.09898	0.24800	1.22515	0.41612	0.21348	0.95442	0.48872	0.27166	0.74764	0.72098	0.18686	1.01147	-0.07527	0.27631	1.20642	0.38614	0.31414	0.65985	0.06680	0.27479	1.01482	0.73715	0.23383	0.93487
11	0.70338	0.20187	0.17114	0.12500	0.93585	0.20772	0.23457	0.20843	0.19056	0.08448	1.11081	0.14188	0.76355	0.07217	1.04240	0.40798	0.03769	1.03134	0.35785	0.15732	0.92251	0.42245	0.30317	1.28530	1.00379	-0.02515	1.21467	0.08823	0.21749	1.25851	0.39086	0.15690	0.99767	0.54511	0.22290	0.72681	0.74161	0.19667	1.02655	-0.09005	0.21354	1.21832	0.41810	0.31699	0.66258	0.06466	0.24784	1.06203	0.74809	0.24328	0.94207
12	0.72783	0.19141	0.13842	0.13457	0.92363	0.20407	0.22751	0.20127	0.12609	0.08082	1.12300	0.12989	0.77184	0.03891	1.03927	0.41491	-0.00567	1.05471	0.35785	0.10399	0.96173	0.38851	0.23671	1.30362	1.01964	-0.07111	1.18591	0.08306	0.16038	1.25819	0.36880	0.06912	1.00926	0.59806	0.14867	0.70340	0.76795	0.18112	1.01897	-0.08483	0.12362	1.19309	0.45087	0.29824	0.66210	0.06428	0.19450	1.08038	0.75864	0.23467	0.93214
13	0.74881	0.18127	0.09024	0.14668	0.90079	0.19181	0.22560	0.19170	0.04267	0.07738	1.10794	0.11624	0.77548	-0.00586	1.02263	0.41982	-0.06288	1.05912	0.36157	0.03018	0.97922	0.36172	0.14154	1.28751	1.02960	-0.13312	1.13584	0.08238	0.08543	1.22799	0.35260	-0.03653	0.99246	0.64467	0.06153	0.68257	0.79545	0.14387	0.99369	-0.06207	0.01946	1.13710	0.48156	0.26369	0.66090	0.06322	0.12152	1.07215	0.76610	0.21136	0.90913
14	0.76521	0.17170	0.03340	0.15847	0.87132	0.17278	0.22956	0.18114	-0.04915	0.07479	1.07028	0.10301	0.77448	-0.05635	0.99554	0.42324	-0.12831	1.04690	0.36957	-0.05578	0.97693	0.34485	0.03068	1.24064	1.03361	-0.20154	1.07214	0.08699	0.00299	1.17371	0.34494	-0.14576	0.95307	0.68396	-0.02866	0.66690	0.82040	0.09056	0.95594	-0.02541	-0.08543	1.05917	0.50908	0.21918	0.66029	0.06276	0.03751	1.04151	0.76977	0.17720	0.87713
15	0.77680	0.16290	-0.02658	0.16769	0.83851	0.14930	0.23995	0.17080	-0.13934	0.07259	1.01594	0.09196	0.76989	-0.10764	0.96101	0.42660	-0.19602	1.02115	0.38275	-0.14509	0.95812	0.33906	-0.08267	1.16897	1.03211	-0.26857	1.00172	0.09822	-0.07717	1.10223	0.34676	-0.24601	0.89841	0.71469	-0.11534	0.65685	0.84082	0.02712	0.91068	0.02077	-0.18000	0.96904	0.53295	0.16946	0.66074	0.06548	-0.04844	0.99368	0.77037	0.13550	0.84006
16	0.78345	0.15487	-0.08573	0.17316	0.80487	0.12380	0.25627	0.16137	-0.21985	0.07026	0.95138	0.08395	0.76274	-0.15607	0.92183	0.43089	-0.26041	0.98546	0.40111	-0.22978	0.92684	0.34365	-0.18743	1.07983	1.02511	-0.32921	0.93031	0.11623	-0.14744	1.02076	0.35671	-0.32843	0.83629	0.73593	-0.19452	0.65138	0.85598	-0.04110	0.86223	0.07191	-0.25723	0.87601	0.55246	0.11782	0.66222	0.07337	-0.12825	0.93448	0.76850	0.08873	0.80124
