	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d
7	0.05222	0.18899	0.11327	0.13366	0.12287	0.08684	0.36262	0.09195	0.07541	0.07592	0.08665	0.05844	0.02458	0.14091	0.01259	0.28351	0.04723	0.09665	0.31952	0.10137	0.09995	0.49010	0.17638	0.18047	-0.03271	0.20964	0.04861	0.23639	-0.04548	0.00228	0.43227	0.15501	0.08794	0.25397	0.19203	0.22858	-0.13135	0.00204	0.16733	0.34212	0.03405	0.11273	-0.11476	-0.10059	0.08397	0.43441	0.05932	0.02655	0.31360	0.23560	0.19615
8	0.09810	0.19166	0.15484	0.13913	0.14214	0.09968	0.44310	0.09979	0.11565	0.08117	0.10282	0.06035	0.06830	0.17288	0.01571	0.34967	0.08944	0.11555	0.40206	0.14495	0.12159	0.58833	0.21453	0.19804	0.00208	0.24150	0.05141	0.30520	-0.02044	0.01314	0.50929	0.20459	0.10464	0.30119	0.25112	0.25666	-0.07250	0.04191	0.19742	0.43492	0.07659	0.12504	-0.07757	-0.06674	0.10190	0.51225	0.09992	0.04174	0.36709	0.28837	0.22975
9	0.14314	0.19151	0.21076	0.14336	0.16064	0.11034	0.51193	0.10541	0.16349	0.08517	0.11991	0.06122	0.11565	0.21457	0.01969	0.41104	0.14134	0.13642	0.47689	0.19479	0.14328	0.67128	0.26066	0.21363	0.04440	0.29072	0.05661	0.36227	0.01356	0.02563	0.57176	0.25701	0.12090	0.34322	0.32389	0.27973	-0.01395	0.09916	0.22636	0.51604	0.13024	0.13963	-0.04405	-0.01554	0.12047	0.57421	0.14683	0.05987	0.41355	0.35176	0.26097
10	0.18702	0.18914	0.27595	0.14566	0.17868	0.11789	0.56707	0.10828	0.21203	0.08745	0.13682	0.06159	0.16481	0.26330	0.02566	0.46734	0.19707	0.15821	0.54198	0.24491	0.16354	0.73638	0.31045	0.22740	0.09554	0.35343	0.06685	0.40748	0.05118	0.03877	0.61977	0.30142	0.13469	0.38201	0.39965	0.29802	0.04169	0.17058	0.25351	0.57685	0.18655	0.15646	-0.01425	0.04720	0.13906	0.61970	0.19265	0.07867	0.45229	0.42150	0.28895
11	0.23113	0.18526	0.34366	0.14538	0.19638	0.12196	0.60837	0.10777	0.25371	0.08797	0.15223	0.06203	0.21520	0.31544	0.03427	0.51968	0.25030	0.17954	0.59650	0.28834	0.18081	0.78340	0.35695	0.23966	0.15572	0.42254	0.08304	0.44294	0.08616	0.05154	0.65193	0.32853	0.14414	0.42045	0.46775	0.31156	0.09507	0.25032	0.27858	0.61393	0.23626	0.17419	0.01504	0.11424	0.15739	0.65018	0.22939	0.09575	0.48532	0.49169	0.31344
12	0.27678	0.18011	0.40727	0.14240	0.21319	0.12284	0.63486	0.10419	0.28294	0.08754	0.16499	0.06277	0.26672	0.36696	0.04525	0.56724	0.29573	0.19885	0.63824	0.31955	0.19398	0.81157	0.39287	0.25043	0.22175	0.48998	0.10342	0.46933	0.11398	0.06333	0.66474	0.33523	0.14867	0.45920	0.52058	0.31978	0.14880	0.33113	0.30116	0.62703	0.27175	0.19040	0.04825	0.17892	0.17525	0.66589	0.25150	0.10925	0.51592	0.55605	0.33426
13	0.32326	0.17312	0.46151	0.13723	0.22777	0.12128	0.64484	0.09921	0.29814	0.08692	0.17450	0.06350	0.31878	0.41409	0.05742	0.60653	0.33050	0.21478	0.66356	0.33647	0.20267	0.81945	0.41360	0.25935	0.28729	0.54876	0.12417	0.48538	0.13365	0.07428	0.65624	0.32552	0.14945	0.49427	0.55468	0.32175	0.20506	0.40595	0.32034	0.61720	0.28915	0.20243	0.08770	0.23632	0.19218	0.66554	0.25813	0.11856	0.54648	0.60925	0.35076
14	0.36773	0.16367	0.50303	0.13073	0.23841	0.11811	0.63790	0.09517	0.30166	0.08612	0.18094	0.06347	0.36989	0.45385	0.06906	0.63392	0.35460	0.22664	0.67043	0.34110	0.20754	0.80677	0.41888	0.26568	0.34526	0.59395	0.14101	0.48974	0.14723	0.08501	0.62906	0.30750	0.14878	0.51955	0.57000	0.31677	0.26330	0.46920	0.33464	0.58684	0.28931	0.20851	0.13158	0.28347	0.20720	0.64856	0.25300	0.12442	0.57679	0.64770	0.36175
15	0.40668	0.15255	0.53036	0.12366	0.24360	0.11397	0.61634	0.09359	0.29796	0.08473	0.18494	0.06198	0.41794	0.48435	0.07852	0.64819	0.37010	0.23456	0.66030	0.33804	0.20986	0.77549	0.41199	0.26856	0.39051	0.62274	0.15081	0.48282	0.15797	0.09611	0.58982	0.28891	0.14863	0.53262	0.56894	0.30496	0.31988	0.51747	0.34240	0.54052	0.27678	0.20851	0.17510	0.31888	0.21905	0.61727	0.24195	0.12831	0.60401	0.66977	0.36587
16	0.43787	0.14152	0.54367	0.11644	0.24267	0.10916	0.58497	0.09441	0.29156	0.08271	0.18717	0.05895	0.46092	0.50488	0.08477	0.65128	0.37986	0.23930	0.63776	0.33219	0.21100	0.72986	0.39778	0.26740	0.42156	0.63433	0.15249	0.46752	0.16856	0.10751	0.54622	0.27443	0.14961	0.53647	0.55549	0.28756	0.37005	0.54950	0.34246	0.48527	0.25775	0.20383	0.21378	0.34236	0.22658	0.57687	0.23036	0.13157	0.62443	0.67545	0.36217
