	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0001_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0002_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0003_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_1.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_3.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC008_BAREFOOT_GAIT0004_4.c3d
7	0.08598	0.12616	-0.00838	0.09448	0.05814	0.10835	0.08771	0.03553	-0.04378	0.01694	-0.00084	0.02317	0.20871	0.11479	0.17906	0.09758	-0.01678	0.01307	0.09525	-0.03483	0.00895	0.13077	-0.06644	0.02159	0.24905	0.10552	0.19489	0.02646	-0.04899	-0.03967	0.12271	-0.04498	0.01527	0.08919	-0.07710	0.03001	-0.03654	-0.04148	-0.02558	0.06894	-0.03404	0.00133	-0.06451	-0.04847	-0.07369	0.07226	-0.06039	-0.02645	0.06997	-0.10356	0.04415
8	0.09602	0.12435	-0.01788	0.09840	0.07495	0.10869	0.09085	0.03654	-0.05542	0.01925	0.00525	0.02613	0.21323	0.10958	0.19408	0.10478	-0.02414	0.02474	0.09688	-0.04933	0.01341	0.13758	-0.08153	0.02781	0.25936	0.10165	0.21168	0.02905	-0.06156	-0.03949	0.12312	-0.05591	0.02392	0.10329	-0.08871	0.04991	-0.02151	-0.05289	-0.00822	0.06747	-0.04229	0.00895	-0.05444	-0.05951	-0.06107	0.07705	-0.07319	-0.02261	0.07619	-0.11740	0.06331
9	0.10263	0.12142	-0.02882	0.10052	0.09386	0.10767	0.09437	0.03643	-0.06452	0.02130	0.01468	0.02867	0.21188	0.10024	0.20768	0.11179	-0.03017	0.04023	0.09934	-0.06204	0.02062	0.14284	-0.09376	0.03647	0.26512	0.09469	0.23096	0.03299	-0.07128	-0.03501	0.12181	-0.06382	0.03468	0.11466	-0.10014	0.07082	-0.00858	-0.06538	0.01317	0.06943	-0.04749	0.02052	-0.04678	-0.07188	-0.04432	0.08240	-0.08306	-0.01473	0.07946	-0.13047	0.08486
10	0.10557	0.11810	-0.04035	0.10104	0.11335	0.10585	0.09728	0.03532	-0.06939	0.02304	0.02661	0.03057	0.20538	0.08798	0.21960	0.11755	-0.03374	0.05825	0.10176	-0.07122	0.02981	0.14572	-0.10131	0.04731	0.26715	0.08565	0.25169	0.03699	-0.07684	-0.02643	0.11794	-0.06659	0.04578	0.12231	-0.11047	0.08967	0.00139	-0.07817	0.03718	0.07409	-0.04771	0.03519	-0.04225	-0.08497	-0.02518	0.08691	-0.08830	-0.00361	0.07943	-0.14213	0.10716
11	0.10537	0.11497	-0.05140	0.10036	0.13173	0.10368	0.09843	0.03366	-0.06893	0.02444	0.03941	0.03178	0.19520	0.07439	0.22964	0.12094	-0.03408	0.07679	0.10292	-0.07537	0.03966	0.14560	-0.10291	0.05930	0.26660	0.07610	0.27197	0.03974	-0.07751	-0.01502	0.11103	-0.06276	0.05511	0.12630	-0.11814	0.10398	0.00826	-0.09068	0.06182	0.07955	-0.04223	0.05097	-0.04063	-0.09825	-0.00548	0.08923	-0.08764	0.00903	0.07651	-0.15182	0.12843
12	0.10303	0.11213	-0.06061	0.09905	0.14738	0.10144	0.09713	0.03189	-0.06275	0.02547	0.05125	0.03238	0.18330	0.06133	0.23752	0.12126	-0.03060	0.09374	0.10196	-0.07354	0.04883	0.14216	-0.09784	0.07087	0.26419	0.06821	0.28945	0.04056	-0.07308	-0.00252	0.10146	-0.05222	0.06133	0.12728	-0.12107	0.11225	0.01256	-0.10228	0.08492	0.08375	-0.03148	0.06532	-0.04085	-0.11095	0.01319	0.08879	-0.08048	0.02117	0.07171	-0.15892	0.14695
13	0.09939	0.10934	-0.06662	0.09776	0.15904	0.09922	0.09337	0.03015	-0.05152	0.02597	0.06081	0.03246	0.17164	0.05060	0.24297	0.11841	-0.02326	0.10748	0.09871	-0.06574	0.05639	0.13544	-0.08640	0.08042	0.25993	0.06407	0.30189	0.03956	-0.06416	0.00954	0.09044	-0.03673	0.06448	0.12521	-0.11763	0.11412	0.01511	-0.11207	0.10442	0.08523	-0.01694	0.07603	-0.04173	-0.12191	0.02954	0.08583	-0.06744	0.03136	0.06618	-0.16275	0.16133
14	0.09490	0.10637	-0.06842	0.09700	0.16595	0.09704	0.08783	0.02825	-0.03695	0.02573	0.06765	0.03192	0.16168	0.04352	0.24580	0.11298	-0.01282	0.11727	0.09376	-0.05323	0.06217	0.12598	-0.07006	0.08683	0.25367	0.06495	0.30785	0.03746	-0.05213	0.02037	0.07964	-0.01921	0.06571	0.11974	-0.10770	0.11005	0.01641	-0.11887	0.11872	0.08363	-0.00086	0.08196	-0.04278	-0.12975	0.04267	0.08133	-0.05036	0.03921	0.06068	-0.16264	0.17061
15	0.08989	0.10334	-0.06579	0.09691	0.16790	0.09494	0.08158	0.02597	-0.02122	0.02462	0.07213	0.03062	0.15411	0.04067	0.24604	0.10612	-0.00069	0.12336	0.08827	-0.03810	0.06661	0.11467	-0.05116	0.08978	0.24563	0.07081	0.30695	0.03517	-0.03876	0.02996	0.07055	-0.00246	0.06646	0.11183	-0.09302	0.10108	0.01637	-0.12162	0.12694	0.07967	0.01435	0.08343	-0.04409	-0.13339	0.05194	0.07658	-0.03173	0.04529	0.05548	-0.15817	0.17442
16	0.08492	0.10064	-0.05928	0.09714	0.16525	0.09299	0.07567	0.02335	-0.00628	0.02274	0.07508	0.02867	0.14894	0.04184	0.24389	0.09916	0.01158	0.12670	0.08335	-0.02255	0.07040	0.10255	-0.03213	0.08976	0.23679	0.08047	0.29987	0.03338	-0.02563	0.03866	0.06382	0.01174	0.06772	0.10383	-0.07636	0.08872	0.01472	-0.11986	0.12894	0.07468	0.02683	0.08182	-0.04557	-0.13250	0.05711	0.07276	-0.01378	0.05052	0.05081	-0.14929	0.17296
17	0.08075	0.09854	-0.05004	0.09710	0.15886	0.09120	0.07075	0.02074	0.00661	0.02040	0.07731	0.02644	0.14581	0.04618	0.23978	0.09309	0.02282	0.12843	0.07967	-0.00830	0.07405	0.09059	-0.01492	0.08767	0.22868	0.09205	0.28800	0.03230	-0.01388	0.04674	0.05934	0.02275	0.06978	0.09790	-0.06038	0.07482	0.01158	-0.11387	0.12533	0.06985	0.03570	0.07883	-0.04662	-0.12772	0.05833	0.07040	0.00206	0.05567	0.04714	-0.13651	0.16691
18	0.07798	0.09705	-0.03942	0.09637	0.14990	0.08950	0.06690	0.01865	0.01690	0.01798	0.07934	0.02440	0.14414	0.05250	0.23426	0.08834	0.03243	0.12951	0.07733	0.00368	0.07775	0.07949	-0.00070	0.08453	0.22261	0.10372	0.27310	0.03163	-0.00412	0.05416	0.05647	0.03071	0.07252	0.09480	-0.04690	0.06125	0.00756	-0.10466	0.11722	0.06573	0.04098	0.07581	-0.04644	-0.12033	0.05624	0.06929	0.01529	0.06108	0.04519	-0.12087	0.15729
19	0.07684	0.09597	-0.02870	0.09487	0.13958	0.08777	0.06373	0.01744	0.02461	0.01590	0.08138	0.02293	0.14334	0.05957	0.22788	0.08476	0.04023	0.13056	0.07583	0.01307	0.08141	0.06969	0.01016	0.08115	0.21909	0.11409	0.25688	0.03083	0.00341	0.06072	0.05418	0.03608	0.07561	0.09411	-0.03664	0.04955	0.00359	-0.09366	0.10606	0.06215	0.04326	0.07350	-0.04459	-0.11179	0.05181	0.06871	0.02603	0.06671	0.04547	-0.10377	0.14529
